,CODE,DATE_COLLECTE,DATE_HEURE_DEBUT,DATE_HEURE_FIN,MISSION,IMMAT,LIBELLE_CIRCUIT,TEMPS_D_ACTIVITE,TEMPS_D_ARRET,TEMPS_DE_MOTEUR_OFF,TEMPS_DE_PAUSE,TEMPS_DE_MARCHE_ARRIERE,TEMPS_DE_SERVICE,KM_D_ACTIVITE,KM_DE_HLP,KM_DE_MARCHE_ARRIERE,KM_DE_SERVICE,SOURCE,CODE_CIRCUIT,SECTEUR_CIRCUIT,TOURNEE_CIRCUIT,JOURS_CIRCUIT,FLUX_CIRCUIT
0,AUTO33428,2023-09-04,2023-09-04,,Collecte,j364urbaz5,NE_T01_TRONC MEYS2_LUN JEU_OMR_110004,12292.0,480.0,,,89.0,0,18.92,33.26,0.04,52.18,GAM,110004.0,NE,T01,LUN JEU,OMR
1,AUTO33429,2023-09-04,2023-09-04,,Collecte,oF7I4xGfPC,NE_T17_GRE GRENETTE MALHERBE_LUN JEU_OMR_110006,7604.0,944.0,3050.0,,117.0,0,6.91,20.1,0.05,27.01,GAM,110006.0,NE,T17,LUN JEU,OMR
2,AUTO33430,2023-09-04,2023-09-04,,Collecte,0jbxz085fw,NO_T10_GRE VALLIER_LUN JEU_CS_151010,0.0,1713.0,581.0,,,0,0.0,30.35,,30.35,GAM,151010.0,NO,T10,LUN JEU,CS
3,AUTO33436,2023-09-04,2023-09-04,,Collecte,fknz9lrv64,,0.0,982.0,4416.0,,,0,0.0,56.01,,56.01,GAM,,,,,
4,AUTO33437,2023-09-04,2023-09-04,,Collecte,jvdwb1fexp,,57.0,816.0,1512.0,,,0,0.08,27.33,,27.41,GAM,,,,,
5,AUTO33444,2023-09-04,2023-09-04,,Collecte,zp1g9jrpi1,,85.0,32.0,8091.0,,85.0,0,0.04,11.03,0.04,11.07,GAM,,,,,
6,AUTO33439,2023-09-04,2023-09-04,,Transport,61FRWBjauh,,1345.0,7551.0,180.0,,1345.0,0,0.33,78.75,0.33,79.08,GAM,,,,,
7,AUTO33440,2023-09-04,2023-09-04,2023-09-04,Collecte PAV,cewxgzybhe,TEST PAV_1771_LA LUIRE_MER_CS_170005,248.0,18054.0,348.0,,248.0,25746,0.11,69.3,0.11,69.41,GAM,170005.0,TEST PAV,1771,MER,CS
8,AUTO33441,2023-09-04,2023-09-04,2023-09-04,Collecte PAV,8qtjzvpvsd,circuit libre,179.0,9106.0,510.0,,179.0,17276,0.1,43.13,0.1,43.23,GAM,,circuit libre,,,
9,AUTO33442,2023-09-04,2023-09-04,,Collecte PAV,37ix70x3dv,,115.0,6104.0,,,115.0,0,0.08,82.67,0.08,82.75,GAM,,,,,
