Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
01/12/23 04:22:05;Inconnu, Sassenage;45.204479;5.68652;;DEPOT;0;
01/12/23 04:22:05;Inconnu, Sassenage;45.204479;5.68652;;DEPOT;0;
01/12/23 04:22:05;Inconnu, Sassenage;45.204479;5.68652;;DEPOT;0;
01/12/23 04:22:05;Inconnu, Sassenage;45.204479;5.68652;;DEPOT;0;
01/12/23 04:22:05;Inconnu, Sassenage;45.204479;5.68652;;DEPOT;0;
01/12/23 04:22:05;Inconnu, Sassenage;45.204479;5.68652;;DEPOT;4;
01/12/23 04:22:44;Inconnu, Sassenage;45.204502;5.686485;0.0;DEPOT;50;
01/12/23 04:46:27;Inconnu, Sassenage;45.204887;5.686145;6.0;HAUT LE PIED;13;
01/12/23 04:46:58;Rue de Sornin, Sassenage;45.204994;5.686074;0.0;ARRET;25;
01/12/23 04:47:06;Rue de Sornin, Sassenage;45.204964;5.685758;20.0;HAUT LE PIED;104;
01/12/23 04:47:19;Rue de Sornin, Sassenage;45.204666;5.684506;14.0;HAUT LE PIED;11;
01/12/23 04:47:22;Rue de la Sure, Sassenage;45.204704;5.684381;14.0;HAUT LE PIED;46;
01/12/23 04:47:29;Rue de la Sure, Sassenage;45.204967;5.683928;34.0;HAUT LE PIED;83;
01/12/23 04:47:37;Rue de la Sure, Sassenage;45.205338;5.683015;31.0;HAUT LE PIED;46;
01/12/23 04:48:08;Rue de la Sure, Sassenage;45.205666;5.682658;0.0;ARRET;29;
01/12/23 04:48:15;D 531, Sassenage;45.205929;5.682652;27.0;HAUT LE PIED;172;
01/12/23 04:48:30;VV5, Sassenage;45.207409;5.683287;41.0;HAUT LE PIED;143;
01/12/23 04:48:41;Pont des Martyrs, Grenoble;45.208328;5.684559;53.0;HAUT LE PIED;98;
01/12/23 04:48:50;Inconnu, Grenoble;45.208927;5.685483;27.0;HAUT LE PIED;25;
01/12/23 04:48:53;Inconnu, Grenoble;45.208942;5.685796;32.0;HAUT LE PIED;26;
01/12/23 04:48:56;Inconnu, Grenoble;45.208824;5.68608;34.0;HAUT LE PIED;30;
01/12/23 04:48:59;Inconnu, Grenoble;45.208576;5.686233;40.0;HAUT LE PIED;94;
01/12/23 04:49:06;Inconnu, Grenoble;45.207794;5.686702;53.0;HAUT LE PIED;128;
01/12/23 04:49:14;Inconnu, Grenoble;45.206932;5.687792;60.0;HAUT LE PIED;533;
01/12/23 04:49:39;A 480, Grenoble;45.203552;5.692604;88.0;HAUT LE PIED;751;
01/12/23 04:50:10;A 480, Grenoble;45.198792;5.699402;90.0;HAUT LE PIED;249;
01/12/23 04:50:19;A 480, Grenoble;45.197079;5.701449;90.0;HAUT LE PIED;173;
01/12/23 04:50:26;A 480, Grenoble;45.195652;5.702338;89.0;HAUT LE PIED;173;
01/12/23 04:50:33;A 480, Grenoble;45.194118;5.702719;89.0;HAUT LE PIED;252;
01/12/23 04:50:44;A 480, Grenoble;45.191853;5.702693;91.0;HAUT LE PIED;774;
01/12/23 04:51:14;A 480, Grenoble;45.184902;5.702421;91.0;HAUT LE PIED;635;
01/12/23 04:51:45;Inconnu, Grenoble;45.179199;5.702106;52.0;HAUT LE PIED;58;
01/12/23 04:51:51;Inconnu, Grenoble;45.178677;5.702062;25.0;HAUT LE PIED;22;
01/12/23 04:51:55;Inconnu, Grenoble;45.178532;5.702249;27.0;HAUT LE PIED;23;
01/12/23 04:51:58;Inconnu, Grenoble;45.178482;5.702538;29.0;HAUT LE PIED;24;
01/12/23 04:52:01;Inconnu, Grenoble;45.178612;5.702785;30.0;HAUT LE PIED;27;
01/12/23 04:52:03;Inconnu, Grenoble;45.178841;5.702913;35.0;HAUT LE PIED;95;
01/12/23 04:52:11;Inconnu, Grenoble;45.179665;5.703209;38.0;HAUT LE PIED;31;
01/12/23 04:52:14;Inconnu, Grenoble;45.179844;5.703509;41.0;HAUT LE PIED;32;
01/12/23 04:52:17;Boulevard Joseph Vallier, Grenoble;45.179947;5.703893;40.0;HAUT LE PIED;168;
01/12/23 04:52:46;Inconnu, Grenoble;45.180008;5.706034;50.0;HAUT LE PIED;392;
01/12/23 04:53:16;Inconnu, Grenoble;45.180092;5.711035;4.0;ARRET;179;
01/12/23 04:53:47;Boulevard Joseph Vallier, Grenoble;45.180153;5.713322;56.0;HAUT LE PIED;210;
01/12/23 04:54:17;Boulevard Joseph Vallier, Grenoble;45.180252;5.716002;0.0;ARRET;25;
01/12/23 04:54:40;Boulevard Joseph Vallier, Grenoble;45.18026;5.716326;22.0;HAUT LE PIED;70;
01/12/23 04:55:11;Boulevard Maréchal Foch, Grenoble;45.180344;5.717215;0.0;ARRET;30;
01/12/23 04:56:13;Boulevard Maréchal Foch, Grenoble;45.180382;5.717597;27.0;HAUT LE PIED;28;
01/12/23 04:56:44;Boulevard Maréchal Foch, Grenoble;45.180386;5.717957;0.0;ARRET;27;
01/12/23 04:57:10;Boulevard Maréchal Foch, Grenoble;45.180405;5.718296;24.0;HAUT LE PIED;11;
01/12/23 04:57:42;Boulevard Maréchal Foch, Grenoble;45.18042;5.718432;0.0;ARRET;28;
01/12/23 04:58:01;Boulevard Maréchal Foch, Grenoble;45.18045;5.718783;28.0;HAUT LE PIED;67;
01/12/23 04:58:12;Boulevard Maréchal Foch, Grenoble;45.180515;5.719626;16.0;HAUT LE PIED;13;
01/12/23 04:58:15;Boulevard Maréchal Foch, Grenoble;45.180626;5.719678;20.0;HAUT LE PIED;14;
01/12/23 04:58:18;Rue Colonel Lanoyerie, Grenoble;45.180698;5.719529;23.0;HAUT LE PIED;187;
01/12/23 04:58:48;Boulevard Maréchal Foch, Grenoble;45.180546;5.717148;14.0;HAUT LE PIED;85;
01/12/23 04:59:19;Boulevard Joseph Vallier, Grenoble;45.180489;5.716064;29.0;HAUT LE PIED;38;
01/12/23 04:59:24;Rue Pierre Termier, Grenoble;45.180485;5.715582;16.0;HAUT LE PIED;11;
01/12/23 04:59:27;Rue Pierre Termier, Grenoble;45.18055;5.71548;11.0;HAUT LE PIED;8;
01/12/23 04:59:30;Rue Pierre Termier, Grenoble;45.180622;5.715497;10.0;HAUT LE PIED;6;
01/12/23 05:00:02;Rue Pierre Termier, Grenoble;45.180637;5.715576;0.0;ARRET;29;
01/12/23 05:00:09;Rue Pierre Termier, Grenoble;45.180885;5.71569;23.0;HAUT LE PIED;21;
01/12/23 05:00:40;Rue Pierre Termier, Grenoble;45.181072;5.715709;0.0;ARRET;25;
01/12/23 05:01:55;Rue Pierre Termier, Grenoble;45.181282;5.715837;13.0;HAUT LE PIED;10;
01/12/23 05:01:57;Rue Pierre Dupont, Grenoble;45.18137;5.715852;8.0;HAUT LE PIED;8;
01/12/23 05:02:28;Rue Pierre Dupont, Grenoble;45.181412;5.715777;0.0;ARRET;27;
01/12/23 05:04:23;Rue Pierre Dupont, Grenoble;45.181423;5.715437;15.0;HAUT LE PIED;37;
01/12/23 05:04:54;Rue Pierre Dupont, Grenoble;45.18153;5.714996;0.0;ARRET;26;
01/12/23 05:05:11;Rue Pierre Dupont, Grenoble;45.18161;5.714687;16.0;HAUT LE PIED;14;
01/12/23 05:05:42;Rue Irvoy, Grenoble;45.181736;5.714677;0.0;ARRET;30;
01/12/23 05:07:04;Rue Irvoy, Grenoble;45.181862;5.715008;6.0;HAUT LE PIED;58;
01/12/23 05:07:35;Rue Irvoy, Grenoble;45.182232;5.715528;23.0;HAUT LE PIED;23;
01/12/23 05:08:05;Rue Irvoy, Grenoble;45.182255;5.715815;0.0;ARRET;26;
01/12/23 05:08:10;Rue Irvoy, Grenoble;45.182404;5.716067;13.0;HAUT LE PIED;35;
01/12/23 05:08:42;Rue Irvoy, Grenoble;45.182587;5.716435;11.0;HAUT LE PIED;11;
01/12/23 05:09:12;Rue Irvoy, Grenoble;45.182678;5.71649;0.0;ARRET;26;
01/12/23 05:10:59;Rue Irvoy, Grenoble;45.182739;5.716812;16.0;HAUT LE PIED;25;
01/12/23 05:11:25;Cours Jean Jaurès, Grenoble;45.182724;5.717135;8.0;HAUT LE PIED;8;
01/12/23 05:11:27;Cours Jean Jaurès, Grenoble;45.18269;5.717218;9.0;HAUT LE PIED;9;
01/12/23 05:11:30;Cours Jean Jaurès, Grenoble;45.182606;5.717206;13.0;HAUT LE PIED;65;
01/12/23 05:12:01;Cours Jean Jaurès, Grenoble;45.182083;5.716842;15.0;HAUT LE PIED;22;
