Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
20/11/23 04:40:08;Inconnu, Sassenage;45.20454;5.68605;;DEPOT;0;
20/11/23 04:40:08;Inconnu, Sassenage;45.20454;5.68605;;DEPOT;0;
20/11/23 04:40:09;Inconnu, Sassenage;45.20454;5.68605;;DEPOT;0;
20/11/23 04:40:09;Inconnu, Sassenage;45.20454;5.68605;;DEPOT;0;
20/11/23 04:40:09;Inconnu, Sassenage;45.20454;5.68605;;DEPOT;0;
20/11/23 04:40:09;Inconnu, Sassenage;45.20454;5.68605;;DEPOT;0;
20/11/23 04:40:15;Inconnu, Sassenage;45.20454;5.68605;0.0;DEPOT;50;
20/11/23 04:45:41;Rue de Sornin, Sassenage;45.20499;5.686027;15.0;HAUT LE PIED;13;
20/11/23 04:45:44;Rue de Sornin, Sassenage;45.204975;5.685866;22.0;HAUT LE PIED;19;
20/11/23 04:45:47;Rue de Sornin, Sassenage;45.204895;5.685654;25.0;HAUT LE PIED;97;
20/11/23 04:46:00;Rue de Sornin, Sassenage;45.204647;5.684473;16.0;HAUT LE PIED;21;
20/11/23 04:46:03;Rue de la Sure, Sassenage;45.204773;5.684277;35.0;HAUT LE PIED;31;
20/11/23 04:46:06;Rue de la Sure, Sassenage;45.204941;5.683957;43.0;HAUT LE PIED;84;
20/11/23 04:46:13;Rue de la Sure, Sassenage;45.205326;5.683033;36.0;HAUT LE PIED;58;
20/11/23 04:46:19;D 531, Sassenage;45.205753;5.682601;29.0;HAUT LE PIED;27;
20/11/23 04:46:22;D 531, Sassenage;45.20599;5.682668;36.0;HAUT LE PIED;166;
20/11/23 04:46:34;D 531, Sassenage;45.207417;5.683274;55.0;HAUT LE PIED;138;
20/11/23 04:46:42;Pont des Martyrs, Grenoble;45.208298;5.684522;68.0;HAUT LE PIED;138;
20/11/23 04:46:51;D 531, Grenoble;45.20919;5.685752;41.0;HAUT LE PIED;35;
20/11/23 04:46:54;D 531, Grenoble;45.209507;5.685765;45.0;HAUT LE PIED;51;
20/11/23 04:46:58;D 531, Grenoble;45.209888;5.685402;44.0;HAUT LE PIED;104;
20/11/23 04:47:05;D 531, Grenoble;45.21059;5.684522;43.0;HAUT LE PIED;36;
20/11/23 04:47:08;D 531, Grenoble;45.210915;5.684549;46.0;HAUT LE PIED;36;
20/11/23 04:47:11;D 531, Grenoble;45.21114;5.684877;45.0;HAUT LE PIED;36;
20/11/23 04:47:14;VV7, Grenoble;45.211197;5.685325;40.0;HAUT LE PIED;41;
20/11/23 04:47:17;VV7, Grenoble;45.211098;5.685835;46.0;HAUT LE PIED;34;
20/11/23 04:47:20;D 531, Grenoble;45.210938;5.686204;35.0;HAUT LE PIED;27;
20/11/23 04:47:23;Inconnu, Grenoble;45.210701;5.686302;36.0;HAUT LE PIED;28;
20/11/23 04:47:26;Inconnu, Grenoble;45.210487;5.686501;36.0;HAUT LE PIED;26;
20/11/23 04:47:29;Inconnu, Grenoble;45.210495;5.686835;32.0;HAUT LE PIED;32;
20/11/23 04:47:32;Avenue des Martyrs, Grenoble;45.210594;5.687221;41.0;HAUT LE PIED;37;
20/11/23 04:47:35;Avenue des Martyrs, Grenoble;45.210583;5.68769;47.0;HAUT LE PIED;530;
20/11/23 04:48:01;Avenue des Martyrs, Grenoble;45.209526;5.694283;85.0;HAUT LE PIED;88;
20/11/23 04:48:05;Avenue des Martyrs, Grenoble;45.209106;5.695241;79.0;HAUT LE PIED;262;
20/11/23 04:48:16;Avenue des Martyrs, Grenoble;45.207382;5.697515;88.0;HAUT LE PIED;276;
20/11/23 04:48:32;Place de la Résistance, Grenoble;45.205536;5.699876;26.0;HAUT LE PIED;19;
20/11/23 04:48:35;Place de la Résistance, Grenoble;45.205379;5.699791;22.0;HAUT LE PIED;21;
20/11/23 04:48:38;Place de la Résistance, Grenoble;45.205196;5.699859;31.0;HAUT LE PIED;57;
20/11/23 04:48:44;Place de la Résistance, Grenoble;45.204857;5.700412;30.0;HAUT LE PIED;33;
20/11/23 04:48:53;Inconnu, Grenoble;45.204876;5.700834;24.0;HAUT LE PIED;252;
20/11/23 04:49:11;Avenue des Martyrs, Grenoble;45.203205;5.702997;66.0;HAUT LE PIED;512;
20/11/23 04:49:42;Avenue des Martyrs, Grenoble;45.199814;5.707417;53.0;HAUT LE PIED;206;
20/11/23 04:49:59;Place Nelson Mandela, Grenoble;45.198521;5.709295;31.0;HAUT LE PIED;28;
20/11/23 04:50:02;Rue Durand-Savoyat, Grenoble;45.198586;5.709637;38.0;HAUT LE PIED;349;
20/11/23 04:50:27;Rue Durand-Savoyat, Grenoble;45.199497;5.713893;30.0;HAUT LE PIED;26;
20/11/23 04:50:30;Quai de la Graille, Grenoble;45.199348;5.714149;38.0;HAUT LE PIED;45;
20/11/23 04:50:34;Quai de la Graille, Grenoble;45.198952;5.714244;46.0;HAUT LE PIED;135;
20/11/23 04:50:45;Rue de Villard de Lans, Grenoble;45.197739;5.71434;24.0;HAUT LE PIED;21;
20/11/23 04:50:48;Rue de Villard de Lans, Grenoble;45.197708;5.714081;30.0;HAUT LE PIED;187;
20/11/23 04:51:06;Rue de Villard de Lans, Grenoble;45.197578;5.711698;11.0;HAUT LE PIED;13;
20/11/23 04:51:09;Rue Henri Tarzé, Grenoble;45.197472;5.711622;23.0;HAUT LE PIED;22;
20/11/23 04:51:12;Rue Henri Tarzé, Grenoble;45.197281;5.711711;31.0;HAUT LE PIED;100;
20/11/23 04:51:21;Rue Arago, Grenoble;45.196442;5.712184;44.0;HAUT LE PIED;49;
20/11/23 04:51:26;Rue Arago, Grenoble;45.196114;5.712597;20.0;HAUT LE PIED;16;
20/11/23 04:51:29;Rue de la Scierie, Grenoble;45.196102;5.712803;23.0;HAUT LE PIED;33;
20/11/23 04:51:33;Rue de la Scierie, Grenoble;45.196228;5.71319;35.0;HAUT LE PIED;49;
20/11/23 04:51:40;Rue de la Scierie, Grenoble;45.196274;5.713816;15.0;HAUT LE PIED;12;
20/11/23 04:51:44;Rue de la Scierie, Grenoble;45.196255;5.71397;8.0;HAUT LE PIED;3;
20/11/23 04:51:47;Rue de la Scierie, Grenoble;45.196274;5.713997;;MARCHE ARRIERE;5;
20/11/23 04:51:53;Rue de la Scierie, Grenoble;45.196262;5.713934;;ARRET;2;
20/11/23 04:52:09;Rue de la Scierie, Grenoble;45.196247;5.713944;;COLLECTE;0;
20/11/23 04:52:11;Rue de la Scierie, Grenoble;45.196247;5.713944;;COLLECTE;0;
20/11/23 04:52:11;Rue de la Scierie, Grenoble;45.196247;5.713944;;COLLECTE;0;
20/11/23 04:52:11;Rue de la Scierie, Grenoble;45.196247;5.713944;;COLLECTE;0;
20/11/23 04:52:15;Rue de la Scierie, Grenoble;45.196247;5.713944;0.0;COLLECTE;0;
20/11/23 04:52:22;Rue de la Scierie, Grenoble;45.196247;5.713945;;COLLECTE;0;
20/11/23 04:52:22;Rue de la Scierie, Grenoble;45.196247;5.713945;;ARRET;0;
20/11/23 04:52:27;Rue de la Scierie, Grenoble;45.196247;5.713945;;COLLECTE;0;
20/11/23 04:52:28;Rue de la Scierie, Grenoble;45.196247;5.713945;;ARRET;0;
