Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
19/12/23 04:12:52;Inconnu, Sassenage;45.204838;5.686245;;DEPOT;0;
19/12/23 04:12:52;Inconnu, Sassenage;45.204838;5.686245;;DEPOT;0;
19/12/23 04:12:52;Inconnu, Sassenage;45.204838;5.686245;;DEPOT;0;
19/12/23 04:12:52;Inconnu, Sassenage;45.204838;5.686245;;DEPOT;0;
19/12/23 04:12:53;Inconnu, Sassenage;45.204838;5.686245;;DEPOT;0;
19/12/23 04:12:53;Inconnu, Sassenage;45.204838;5.686245;;DEPOT;0;
19/12/23 04:13:00;Inconnu, Sassenage;45.204838;5.686245;0.0;DEPOT;33;
19/12/23 04:54:43;Rue de Sornin, Sassenage;45.204998;5.685887;17.0;HAUT LE PIED;120;
19/12/23 04:55:04;Rue de la Sure, Sassenage;45.204666;5.684432;11.0;HAUT LE PIED;13;
19/12/23 04:55:07;Rue de la Sure, Sassenage;45.204754;5.684321;19.0;HAUT LE PIED;20;
19/12/23 04:55:10;Rue de la Sure, Sassenage;45.204884;5.684138;28.0;HAUT LE PIED;110;
19/12/23 04:55:25;Rue de Chamechaude, Sassenage;45.205387;5.682933;20.0;HAUT LE PIED;45;
19/12/23 04:55:39;D 531, Sassenage;45.205696;5.682568;16.0;HAUT LE PIED;15;
19/12/23 04:55:42;D 531, Sassenage;45.205833;5.682601;23.0;HAUT LE PIED;176;
19/12/23 04:55:59;VV5, Sassenage;45.207348;5.683232;42.0;HAUT LE PIED;110;
19/12/23 04:56:08;Pont des Martyrs, Grenoble;45.208057;5.684201;44.0;HAUT LE PIED;134;
19/12/23 04:56:21;Inconnu, Grenoble;45.208897;5.685433;21.0;HAUT LE PIED;20;
19/12/23 04:56:24;Inconnu, Grenoble;45.208935;5.685688;27.0;HAUT LE PIED;26;
19/12/23 04:56:27;Inconnu, Grenoble;45.208855;5.685996;33.0;HAUT LE PIED;28;
19/12/23 04:56:30;Inconnu, Grenoble;45.208649;5.686203;37.0;HAUT LE PIED;105;
