Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
18/12/23 04:36:42;Inconnu, Sassenage;45.204647;5.686104;;DEPOT;0;
18/12/23 04:36:42;Inconnu, Sassenage;45.204647;5.686104;;DEPOT;0;
18/12/23 04:36:42;Inconnu, Sassenage;45.204647;5.686104;;DEPOT;0;
18/12/23 04:36:42;Inconnu, Sassenage;45.204647;5.686104;;DEPOT;0;
18/12/23 04:36:42;Inconnu, Sassenage;45.204647;5.686104;;DEPOT;0;
18/12/23 04:36:43;Inconnu, Sassenage;45.204647;5.686104;;DEPOT;1;
18/12/23 04:36:48;Inconnu, Sassenage;45.204647;5.686091;0.0;DEPOT;36;
18/12/23 05:01:41;Inconnu, Sassenage;45.204964;5.686028;14.0;HAUT LE PIED;14;
18/12/23 05:01:44;Rue de Sornin, Sassenage;45.204956;5.685855;18.0;HAUT LE PIED;21;
18/12/23 05:01:48;Rue de Sornin, Sassenage;45.204868;5.685624;19.0;HAUT LE PIED;14;
18/12/23 05:01:51;Rue Baptiste Marcet, Sassenage;45.204739;5.68563;19.0;HAUT LE PIED;130;
18/12/23 05:02:12;Inconnu, Fontaine;45.203743;5.686502;26.0;HAUT LE PIED;20;
18/12/23 05:02:15;Rue Baptiste Marcet, Sassenage;45.20377;5.686748;27.0;HAUT LE PIED;68;
18/12/23 05:02:24;Rue Baptiste Marcet, Sassenage;45.204067;5.687512;27.0;HAUT LE PIED;20;
18/12/23 05:02:27;Boulevard Joliot Curie, Fontaine;45.204021;5.687756;25.0;HAUT LE PIED;25;
18/12/23 05:02:30;Boulevard Joliot Curie, Fontaine;45.203831;5.687927;35.0;HAUT LE PIED;278;
18/12/23 05:03:01;Boulevard Joliot Curie, Fontaine;45.201668;5.689698;43.0;HAUT LE PIED;232;
18/12/23 05:03:21;Boulevard Joliot Curie, Fontaine;45.199883;5.691229;35.0;HAUT LE PIED;105;
18/12/23 05:03:30;Boulevard Joliot Curie, Fontaine;45.199093;5.691958;41.0;HAUT LE PIED;281;
18/12/23 05:03:57;Boulevard Joliot Curie, Fontaine;45.196907;5.693753;42.0;HAUT LE PIED;326;
18/12/23 05:04:22;Boulevard Joliot Curie, Fontaine;45.194054;5.694674;42.0;HAUT LE PIED;156;
18/12/23 05:04:52;Boulevard Joliot Curie, Fontaine;45.192654;5.694853;6.0;HAUT LE PIED;23;
18/12/23 05:04:58;Boulevard Joliot Curie, Fontaine;45.192455;5.694909;21.0;HAUT LE PIED;18;
18/12/23 05:05:01;Avenue du Vercors, Fontaine;45.19239;5.695115;26.0;HAUT LE PIED;153;
18/12/23 05:05:15;Avenue du Vercors, Fontaine;45.19241;5.697071;46.0;HAUT LE PIED;285;
18/12/23 05:05:46;Avenue du Vercors, Fontaine;45.192429;5.700708;34.0;HAUT LE PIED;138;
18/12/23 05:06:00;Pont du Vercors, Grenoble;45.192371;5.702469;27.0;HAUT LE PIED;23;
18/12/23 05:06:03;Pont du Vercors, Grenoble;45.192322;5.70276;30.0;HAUT LE PIED;72;
18/12/23 05:06:12;Rue Diderot, Grenoble;45.192295;5.703678;26.0;HAUT LE PIED;21;
18/12/23 05:06:15;Rue Diderot, Grenoble;45.192165;5.703873;26.0;HAUT LE PIED;149;
18/12/23 05:06:33;Rue Diderot, Grenoble;45.190937;5.704638;24.0;HAUT LE PIED;68;
18/12/23 05:07:03;Rue Diderot, Grenoble;45.190346;5.704854;0.0;ARRET;2;
18/12/23 05:07:37;Rue Diderot, Grenoble;45.190331;5.70484;;ARRET;0;
18/12/23 05:07:44;Rue Diderot, Grenoble;45.190331;5.70484;;ARRET;19;
18/12/23 05:07:59;Rue Diderot, Grenoble;45.190189;5.704967;;ARRET;1;
18/12/23 05:08:00;Rue Diderot, Grenoble;45.190189;5.704976;;ARRET;1;
18/12/23 05:08:06;Rue Diderot, Grenoble;45.190189;5.704983;;ARRET;0;
18/12/23 05:08:07;Rue Diderot, Grenoble;45.190189;5.704983;;ARRET;1;
18/12/23 05:08:15;Rue Diderot, Grenoble;45.190182;5.70499;;ARRET;5;
18/12/23 05:08:18;Rue Diderot, Grenoble;45.190144;5.705022;10.0;HAUT LE PIED;43;
18/12/23 05:08:28;Rue Diderot, Grenoble;45.1898;5.705262;;ARRET;1;
18/12/23 05:08:40;Rue Diderot, Grenoble;45.189793;5.705258;;ARRET;0;
18/12/23 05:08:47;Rue Diderot, Grenoble;45.189789;5.705256;;ARRET;0;
18/12/23 05:08:49;Rue Diderot, Grenoble;45.189789;5.705256;0.0;ARRET;0;
18/12/23 05:08:51;Rue Diderot, Grenoble;45.189789;5.705256;;ARRET;28;
18/12/23 05:09:00;Rue Diderot, Grenoble;45.18956;5.705407;20.0;HAUT LE PIED;16;
18/12/23 05:09:07;Rue Diderot, Grenoble;45.18943;5.705497;;ARRET;0;
18/12/23 05:09:10;Rue Diderot, Grenoble;45.18943;5.705499;;ARRET;1;
18/12/23 05:09:27;Rue Diderot, Grenoble;45.18943;5.705508;;ARRET;0;
18/12/23 05:09:27;Rue Diderot, Grenoble;45.18943;5.705508;;ARRET;1;
18/12/23 05:09:31;Rue Diderot, Grenoble;45.189426;5.705515;0.0;ARRET;75;
18/12/23 05:09:45;Cours Berriat, Grenoble;45.188812;5.705919;17.0;HAUT LE PIED;14;
18/12/23 05:09:48;Cours Berriat, Grenoble;45.18877;5.706094;22.0;HAUT LE PIED;12;
18/12/23 05:09:51;Rue René Thomas, Grenoble;45.188793;5.706249;10.0;HAUT LE PIED;4;
18/12/23 05:09:54;Rue René Thomas, Grenoble;45.188793;5.706295;;ARRET;2;
18/12/23 05:10:01;Rue René Thomas, Grenoble;45.188808;5.706303;;ARRET;0;
18/12/23 05:10:01;Rue René Thomas, Grenoble;45.188808;5.706303;;ARRET;2;
18/12/23 05:10:09;Rue René Thomas, Grenoble;45.188824;5.706303;;ARRET;0;
18/12/23 05:10:09;Rue René Thomas, Grenoble;45.188824;5.706303;;ARRET;0;
18/12/23 05:10:12;Rue René Thomas, Grenoble;45.188828;5.706301;;ARRET;0;
18/12/23 05:10:19;Rue René Thomas, Grenoble;45.188828;5.706301;;ARRET;0;
18/12/23 05:10:22;Rue René Thomas, Grenoble;45.188828;5.706301;;ARRET;26;
18/12/23 05:10:34;Rue Denis Papin, Grenoble;45.188721;5.706594;11.0;HAUT LE PIED;30;
18/12/23 05:10:44;Rue Denis Papin, Grenoble;45.188454;5.706557;;ARRET;1;
18/12/23 05:10:47;Rue Denis Papin, Grenoble;45.188442;5.706549;;ARRET;2;
18/12/23 05:10:54;Rue Denis Papin, Grenoble;45.188442;5.706528;;ARRET;0;
18/12/23 05:10:57;Rue Denis Papin, Grenoble;45.188442;5.706525;;ARRET;21;
18/12/23 05:11:05;Rue Denis Papin, Grenoble;45.188255;5.706513;;ARRET;4;
18/12/23 05:11:10;Rue Denis Papin, Grenoble;45.188244;5.706557;;ARRET;1;
18/12/23 05:11:11;Rue Denis Papin, Grenoble;45.188248;5.70657;;ARRET;3;
18/12/23 05:11:20;Rue Denis Papin, Grenoble;45.188244;5.706604;;ARRET;0;
18/12/23 05:11:20;Rue Denis Papin, Grenoble;45.188244;5.706604;;ARRET;16;
18/12/23 05:11:43;Rue Denis Papin, Grenoble;45.188099;5.706585;;ARRET;0;
18/12/23 05:11:44;Rue Denis Papin, Grenoble;45.188099;5.706585;;ARRET;0;
18/12/23 05:11:52;Rue Denis Papin, Grenoble;45.188095;5.706587;;ARRET;1;
18/12/23 05:11:57;Rue Denis Papin, Grenoble;45.188091;5.706592;;ARRET;7;
18/12/23 05:12:09;Rue Denis Papin, Grenoble;45.188026;5.706592;11.0;HAUT LE PIED;12;
18/12/23 05:12:22;Rue Denis Papin, Grenoble;45.187931;5.706522;;ARRET;0;
18/12/23 05:12:22;Rue Denis Papin, Grenoble;45.187931;5.706522;;ARRET;1;
18/12/23 05:12:29;Rue Denis Papin, Grenoble;45.187927;5.706516;;ARRET;0;
18/12/23 05:12:33;Rue Denis Papin, Grenoble;45.187927;5.706516;;ARRET;0;
18/12/23 05:12:39;Rue Denis Papin, Grenoble;45.187927;5.706516;;ARRET;0;
18/12/23 05:12:40;Rue Denis Papin, Grenoble;45.187927;5.706516;;ARRET;0;
18/12/23 05:12:49;Rue Denis Papin, Grenoble;45.187927;5.706516;;ARRET;0;
18/12/23 05:12:51;Rue Denis Papin, Grenoble;45.187927;5.706516;;ARRET;0;
18/12/23 05:12:54;Rue Denis Papin, Grenoble;45.187927;5.706516;;ARRET;0;
18/12/23 05:13:01;Rue Denis Papin, Grenoble;45.187927;5.706516;;ARRET;0;
18/12/23 05:13:04;Rue Denis Papin, Grenoble;45.187927;5.706516;;ARRET;21;
18/12/23 05:13:16;Rue Denis Papin, Grenoble;45.187748;5.706439;;ARRET;2;
18/12/23 05:13:21;Rue Denis Papin, Grenoble;45.187748;5.706418;;ARRET;0;
18/12/23 05:13:22;Rue Denis Papin, Grenoble;45.187748;5.706416;;ARRET;0;
18/12/23 05:13:28;Rue Denis Papin, Grenoble;45.187748;5.706414;;ARRET;0;
18/12/23 05:13:35;Rue Denis Papin, Grenoble;45.187748;5.706412;;ARRET;1;
18/12/23 05:13:44;Rue Denis Papin, Grenoble;45.18774;5.706412;;ARRET;4;
18/12/23 05:13:47;Rue Denis Papin, Grenoble;45.187702;5.706407;9.0;HAUT LE PIED;22;
18/12/23 05:13:59;Rue Marx Dormoy, Grenoble;45.187527;5.706288;;ARRET;4;
18/12/23 05:14:10;Rue Marx Dormoy, Grenoble;45.187557;5.706262;;ARRET;0;
18/12/23 05:14:10;Rue Marx Dormoy, Grenoble;45.187557;5.706262;;ARRET;1;
18/12/23 05:14:18;Rue Marx Dormoy, Grenoble;45.187561;5.706259;0.0;ARRET;0;
18/12/23 05:14:20;Rue Marx Dormoy, Grenoble;45.187561;5.706259;;ARRET;0;
18/12/23 05:14:20;Rue Marx Dormoy, Grenoble;45.187561;5.706259;;ARRET;0;
18/12/23 05:14:23;Rue Marx Dormoy, Grenoble;45.187561;5.706259;;ARRET;0;
18/12/23 05:14:31;Rue Marx Dormoy, Grenoble;45.187561;5.706258;;ARRET;6;
18/12/23 05:14:43;Rue Marx Dormoy, Grenoble;45.187542;5.706189;;ARRET;0;
18/12/23 05:14:45;Rue Marx Dormoy, Grenoble;45.187542;5.706189;;ARRET;0;
18/12/23 05:14:45;Rue Marx Dormoy, Grenoble;45.187542;5.706189;;ARRET;0;
18/12/23 05:14:45;Rue Marx Dormoy, Grenoble;45.187542;5.706189;;ARRET;1;
18/12/23 05:14:57;Rue Marx Dormoy, Grenoble;45.187534;5.706185;;ARRET;0;
18/12/23 05:14:57;Rue Marx Dormoy, Grenoble;45.187534;5.706185;;ARRET;13;
18/12/23 05:15:12;Rue Marx Dormoy, Grenoble;45.187523;5.706017;;ARRET;0;
18/12/23 05:15:12;Rue Marx Dormoy, Grenoble;45.187523;5.706017;;ARRET;2;
18/12/23 05:15:21;Rue Marx Dormoy, Grenoble;45.187504;5.706;;ARRET;0;
18/12/23 05:15:21;Rue Marx Dormoy, Grenoble;45.187504;5.706;;ARRET;1;
18/12/23 05:15:27;Rue Marx Dormoy, Grenoble;45.1875;5.705996;;ARRET;0;
18/12/23 05:15:29;Rue Marx Dormoy, Grenoble;45.1875;5.705995;;ARRET;0;
