Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
21/11/23 09:16:11;;45.152649;5.737576;;DEPOT;0;
21/11/23 09:16:11;;45.152649;5.737576;;DEPOT;0;
21/11/23 09:16:11;;45.152649;5.737576;;DEPOT;0;
21/11/23 09:16:11;;45.152649;5.737576;;DEPOT;0;
21/11/23 09:16:11;;45.152649;5.737576;;DEPOT;0;
21/11/23 09:16:11;;45.152649;5.737576;;DEPOT;0;
21/11/23 09:16:19;;45.152649;5.737576;0.0;DEPOT;11;
21/11/23 09:23:20;;45.152752;5.737576;;DEPOT;3;
21/11/23 09:23:28;;45.15274;5.737543;;DEPOT;26;
21/11/23 09:23:44;;45.152908;5.737781;18.0;HAUT LE PIED;37;
21/11/23 09:23:52;Rue Le Corbusier, Eybens;45.153225;5.737644;14.0;HAUT LE PIED;14;
21/11/23 09:23:55;Rue Le Corbusier, Eybens;45.15324;5.737461;17.0;HAUT LE PIED;39;
21/11/23 09:24:01;Rue Le Corbusier, Eybens;45.153255;5.73697;21.0;HAUT LE PIED;32;
21/11/23 09:24:17;Rue Le Corbusier, Eybens;45.153374;5.736601;13.0;HAUT LE PIED;174;
21/11/23 09:24:35;Inconnu, Eybens;45.153351;5.734387;25.0;HAUT LE PIED;14;
21/11/23 09:24:38;Inconnu, Eybens;45.153397;5.734225;11.0;HAUT LE PIED;40;
21/11/23 09:24:46;Avenue d'Innsbruck, Eybens;45.153664;5.733875;26.0;HAUT LE PIED;26;
21/11/23 09:24:49;Avenue d'Innsbruck, Eybens;45.153893;5.733821;36.0;HAUT LE PIED;289;
21/11/23 09:25:12;Inconnu, Grenoble;45.15649;5.733799;30.0;HAUT LE PIED;34;
21/11/23 09:25:33;Inconnu, Grenoble;45.156788;5.733865;9.0;HAUT LE PIED;174;
21/11/23 09:25:53;Avenue d'Innsbruck, Grenoble;45.158352;5.733788;22.0;HAUT LE PIED;17;
21/11/23 09:25:56;Avenue d'Innsbruck, Grenoble;45.158501;5.733764;15.0;HAUT LE PIED;10;
21/11/23 09:26:27;Avenue d'Innsbruck, Grenoble;45.158581;5.733808;0.0;ARRET;29;
21/11/23 09:27:05;Avenue de l'Europe, Grenoble;45.158817;5.733963;22.0;HAUT LE PIED;31;
21/11/23 09:27:09;Avenue de l'Europe, Grenoble;45.15905;5.734182;30.0;HAUT LE PIED;23;
21/11/23 09:27:12;D 5B, Grenoble;45.159256;5.734143;28.0;HAUT LE PIED;23;
21/11/23 09:27:15;Avenue de l'Europe, Grenoble;45.159416;5.733951;27.0;HAUT LE PIED;25;
21/11/23 09:27:18;Avenue de l'Europe, Grenoble;45.159451;5.733635;33.0;HAUT LE PIED;160;
21/11/23 09:27:49;Inconnu, Grenoble;45.159401;5.731592;0.0;ARRET;27;
21/11/23 09:28:02;Inconnu, Grenoble;45.159405;5.731247;25.0;HAUT LE PIED;140;
21/11/23 09:28:33;Avenue Marie Reynoard, Grenoble;45.15937;5.729463;0.0;ARRET;27;
21/11/23 09:28:55;Avenue Marie Reynoard, Grenoble;45.159466;5.729147;19.0;HAUT LE PIED;21;
21/11/23 09:28:58;Avenue Marie Reynoard, Grenoble;45.159626;5.729017;28.0;HAUT LE PIED;97;
21/11/23 09:29:07;Avenue Marie Reynoard, Grenoble;45.1605;5.728957;46.0;HAUT LE PIED;397;
21/11/23 09:29:38;Avenue Marie Reynoard, Grenoble;45.164066;5.728805;37.0;HAUT LE PIED;252;
21/11/23 09:30:08;Avenue Marie Reynoard, Grenoble;45.166332;5.72867;0.0;ARRET;163;
21/11/23 09:30:39;Avenue Marie Reynoard, Grenoble;45.167801;5.72867;39.0;HAUT LE PIED;28;
21/11/23 09:30:42;Avenue Marie Reynoard, Grenoble;45.168041;5.728789;37.0;HAUT LE PIED;29;
21/11/23 09:30:45;Avenue Marie Reynoard, Grenoble;45.168247;5.729023;38.0;HAUT LE PIED;41;
21/11/23 09:30:49;Avenue Marie Reynoard, Grenoble;45.168461;5.729455;39.0;HAUT LE PIED;34;
21/11/23 09:30:52;Avenue Marie Reynoard, Grenoble;45.16853;5.729877;42.0;HAUT LE PIED;144;
21/11/23 09:31:05;Inconnu, Grenoble;45.168629;5.731709;23.0;HAUT LE PIED;16;
21/11/23 09:31:35;Inconnu, Grenoble;45.168736;5.731852;0.0;ARRET;26;
21/11/23 09:32:33;Rue des Alliés, Grenoble;45.168968;5.731842;18.0;HAUT LE PIED;23;
21/11/23 09:32:37;Rue des Alliés, Grenoble;45.169067;5.731587;21.0;HAUT LE PIED;170;
21/11/23 09:33:07;Inconnu, Grenoble;45.169861;5.729736;35.0;HAUT LE PIED;93;
21/11/23 09:33:18;Inconnu, Grenoble;45.170269;5.728707;9.0;HAUT LE PIED;13;
21/11/23 09:33:24;Inconnu, Grenoble;45.170315;5.728559;11.0;HAUT LE PIED;19;
21/11/23 09:33:29;Rue des Alliés, Grenoble;45.170376;5.728338;14.0;HAUT LE PIED;7;
21/11/23 09:34:00;Rue des Alliés, Grenoble;45.17038;5.728251;0.0;ARRET;1;
21/11/23 09:34:48;Rue des Alliés, Grenoble;45.170376;5.728237;;COLLECTE;0;
21/11/23 09:34:50;Rue des Alliés, Grenoble;45.170376;5.728237;;COLLECTE;0;
21/11/23 09:34:56;Rue des Alliés, Grenoble;45.170376;5.728237;;COLLECTE;0;
21/11/23 09:34:57;Rue des Alliés, Grenoble;45.170376;5.728237;;ARRET;0;
21/11/23 09:35:02;Rue des Alliés, Grenoble;45.170376;5.728237;;COLLECTE;0;
21/11/23 09:35:08;Rue des Alliés, Grenoble;45.170376;5.728237;;ARRET;0;
21/11/23 09:35:12;Rue des Alliés, Grenoble;45.170376;5.728237;;ARRET;26;
21/11/23 09:35:37;Rue des Alliés, Grenoble;45.170486;5.727943;8.0;HAUT LE PIED;32;
21/11/23 09:35:43;Rue Gustave Flaubert, Grenoble;45.170601;5.727566;24.0;HAUT LE PIED;109;
21/11/23 09:35:57;Rue des Alliés, Grenoble;45.171051;5.726331;29.0;HAUT LE PIED;86;
21/11/23 09:36:11;Rue des Alliés, Grenoble;45.171429;5.725368;;ARRET;4;
21/11/23 09:36:27;Rue des Alliés, Grenoble;45.171459;5.725345;;COLLECTE;0;
21/11/23 09:36:28;Rue des Alliés, Grenoble;45.171459;5.725345;0.0;COLLECTE;0;
21/11/23 09:36:30;Rue des Alliés, Grenoble;45.171459;5.725345;;COLLECTE;0;
21/11/23 09:36:35;Rue des Alliés, Grenoble;45.171459;5.725345;;COLLECTE;0;
21/11/23 09:36:37;Rue des Alliés, Grenoble;45.171459;5.725345;;ARRET;0;
21/11/23 09:36:46;Rue des Alliés, Grenoble;45.171459;5.725345;;COLLECTE;0;
21/11/23 09:36:46;Rue des Alliés, Grenoble;45.171459;5.725345;;COLLECTE;0;
21/11/23 09:36:52;Rue des Alliés, Grenoble;45.171459;5.725345;;COLLECTE;0;
21/11/23 09:36:52;Rue des Alliés, Grenoble;45.171459;5.725345;;ARRET;0;
21/11/23 09:36:55;Rue des Alliés, Grenoble;45.171459;5.725345;;ARRET;26;
21/11/23 09:37:07;Rue des Alliés, Grenoble;45.171558;5.72505;24.0;HAUT LE PIED;16;
21/11/23 09:37:10;Rue des Alliés, Grenoble;45.17165;5.724887;18.0;HAUT LE PIED;9;
21/11/23 09:37:16;Rue des Alliés, Grenoble;45.171696;5.724785;;ARRET;1;
21/11/23 09:37:19;Rue des Alliés, Grenoble;45.171707;5.724784;;COLLECTE;1;
21/11/23 09:37:26;Rue des Alliés, Grenoble;45.171711;5.72478;;ARRET;0;
21/11/23 09:37:40;Rue des Alliés, Grenoble;45.171711;5.724782;0.0;ARRET;28;
21/11/23 09:37:52;Rue de Stalingrad, Grenoble;45.171841;5.724482;9.0;HAUT LE PIED;9;
21/11/23 09:38:02;Rue de Stalingrad, Grenoble;45.171921;5.724475;;COLLECTE;1;
