Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
14/11/23 04:47:45;Inconnu, La Tronche;45.198154;5.756505;;DEPOT;0;
14/11/23 04:47:45;Inconnu, La Tronche;45.198154;5.756505;;DEPOT;0;
14/11/23 04:47:45;Inconnu, La Tronche;45.198154;5.756505;;DEPOT;0;
14/11/23 04:47:55;Inconnu, La Tronche;45.198154;5.756505;6.0;HAUT LE PIED;9;
14/11/23 04:48:25;Inconnu, La Tronche;45.198235;5.756483;0.0;DEPOT;52;
14/11/23 05:04:29;Inconnu, La Tronche;45.198509;5.757024;18.0;HAUT LE PIED;223;
14/11/23 05:04:59;Chemin de la Tuilerie, La Tronche;45.199368;5.759589;24.0;HAUT LE PIED;28;
14/11/23 05:05:04;Chemin de la Tuilerie, La Tronche;45.199566;5.759808;17.0;HAUT LE PIED;24;
14/11/23 05:05:09;Chemin de la Tuilerie, La Tronche;45.199772;5.759899;20.0;HAUT LE PIED;15;
14/11/23 05:05:12;Chemin de la Tuilerie, La Tronche;45.199894;5.759824;17.0;HAUT LE PIED;80;
14/11/23 05:05:38;Chemin de la Tuilerie, Meylan;45.200443;5.759164;15.0;HAUT LE PIED;43;
14/11/23 05:05:47;Avenue de Verdun, Meylan;45.200817;5.759045;10.0;HAUT LE PIED;11;
14/11/23 05:05:50;Avenue de Verdun, Meylan;45.200912;5.759024;15.0;HAUT LE PIED;14;
14/11/23 05:05:53;Avenue de Verdun, Meylan;45.200962;5.758864;17.0;HAUT LE PIED;14;
14/11/23 05:05:56;Avenue de Verdun, Meylan;45.200932;5.758695;16.0;HAUT LE PIED;29;
14/11/23 05:06:00;D 1090, La Tronche;45.20079;5.758388;32.0;HAUT LE PIED;522;
14/11/23 05:06:31;Avenue de Verdun, La Tronche;45.197483;5.753672;72.0;HAUT LE PIED;326;
14/11/23 05:06:51;Inconnu, La Tronche;45.195465;5.750653;30.0;HAUT LE PIED;29;
14/11/23 05:06:55;Inconnu, La Tronche;45.19537;5.750311;20.0;HAUT LE PIED;10;
14/11/23 05:07:26;Inconnu, La Tronche;45.195316;5.750202;0.0;ARRET;10;
14/11/23 05:09:45;Inconnu, La Tronche;45.195286;5.750086;;MARCHE ARRIERE;20;
14/11/23 05:10:04;Inconnu, La Tronche;45.1954;5.750277;;ARRET;92;
14/11/23 05:10:23;Inconnu, La Tronche;45.194717;5.749626;29.0;HAUT LE PIED;228;
14/11/23 05:10:40;Avenue de Verdun, La Tronche;45.193222;5.747634;58.0;HAUT LE PIED;434;
14/11/23 05:11:10;Avenue de Verdun, La Tronche;45.19051;5.743662;59.0;HAUT LE PIED;182;
14/11/23 05:11:33;Rue du 19 Mars 1962, Grenoble;45.1894;5.741959;21.0;HAUT LE PIED;18;
14/11/23 05:11:36;Rue du 19 Mars 1962, Grenoble;45.189243;5.741998;24.0;HAUT LE PIED;49;
14/11/23 05:11:42;Rue du 19 Mars 1962, Grenoble;45.188873;5.742332;32.0;HAUT LE PIED;25;
14/11/23 05:11:45;Rue du 19 Mars 1962, Grenoble;45.188797;5.742635;31.0;HAUT LE PIED;17;
14/11/23 05:11:48;Rue du 19 Mars 1962, Grenoble;45.188801;5.742852;22.0;HAUT LE PIED;77;
14/11/23 05:11:56;Rue du 19 Mars 1962, Grenoble;45.188782;5.743836;41.0;HAUT LE PIED;34;
14/11/23 05:11:59;Rue du 19 Mars 1962, Grenoble;45.188652;5.744222;39.0;HAUT LE PIED;24;
14/11/23 05:12:02;Inconnu, Grenoble;45.188538;5.744479;18.0;HAUT LE PIED;26;
14/11/23 05:12:06;Rue du 19 Mars 1962, Grenoble;45.188435;5.744776;28.0;HAUT LE PIED;61;
14/11/23 05:12:12;Rue du 19 Mars 1962, Grenoble;45.188248;5.745514;36.0;HAUT LE PIED;33;
14/11/23 05:12:16;Rue du 19 Mars 1962, Grenoble;45.188133;5.7459;26.0;HAUT LE PIED;25;
14/11/23 05:12:19;Rue du 19 Mars 1962, Grenoble;45.188042;5.746188;32.0;HAUT LE PIED;30;
14/11/23 05:12:22;Rue Jules Flandrin, Grenoble;45.188004;5.746572;37.0;HAUT LE PIED;75;
14/11/23 05:12:29;Inconnu, Grenoble;45.187923;5.747527;32.0;HAUT LE PIED;20;
14/11/23 05:12:33;Inconnu, Grenoble;45.187881;5.747775;17.0;HAUT LE PIED;12;
14/11/23 05:12:36;Rue du Pont Carpin, Grenoble;45.187775;5.747756;13.0;HAUT LE PIED;50;
14/11/23 05:12:43;Rue du Pont Carpin, Grenoble;45.187405;5.747393;27.0;HAUT LE PIED;21;
14/11/23 05:13:13;Rue du Pont Carpin, Grenoble;45.187263;5.747223;0.0;ARRET;57;
14/11/23 05:16:11;Rue du Docteur Roux, Grenoble;45.186924;5.74776;27.0;HAUT LE PIED;18;
14/11/23 05:16:14;Rue du Docteur Roux, Grenoble;45.186832;5.747954;19.0;HAUT LE PIED;12;
14/11/23 05:16:17;Rue du Docteur Roux, Grenoble;45.186775;5.748086;11.0;HAUT LE PIED;16;
14/11/23 05:16:48;Place de la République, Saint-Martin-d'Hères;45.186665;5.748208;0.0;ARRET;44;
14/11/23 05:19:41;Rue du Docteur Roux, Grenoble;45.186493;5.748713;29.0;HAUT LE PIED;34;
14/11/23 05:19:47;Rue Louis Pasteur, Saint-Martin-d'Hères;45.18642;5.749139;13.0;HAUT LE PIED;8;
14/11/23 05:19:50;Rue de la Poste, Saint-Martin-d'Hères;45.186478;5.749202;12.0;HAUT LE PIED;13;
14/11/23 05:19:53;Rue de la Poste, Saint-Martin-d'Hères;45.186581;5.749268;13.0;HAUT LE PIED;36;
14/11/23 05:20:23;Rue de la Poste, Saint-Martin-d'Hères;45.186897;5.749376;0.0;ARRET;27;
14/11/23 05:20:35;Rue de la Poste, Saint-Martin-d'Hères;45.187122;5.749502;18.0;HAUT LE PIED;27;
14/11/23 05:21:06;Rue de la Poste, Saint-Martin-d'Hères;45.187355;5.749591;0.0;ARRET;31;
14/11/23 05:21:55;Rue de la Poste, Saint-Martin-d'Hères;45.187588;5.749812;9.0;HAUT LE PIED;26;
14/11/23 05:22:26;Avenue Gabriel Péri, Grenoble;45.187744;5.750067;20.0;HAUT LE PIED;38;
14/11/23 05:22:32;Avenue Gabriel Péri, Grenoble;45.187687;5.750546;17.0;HAUT LE PIED;9;
14/11/23 05:22:35;Rue des Lilas, Saint-Martin-d'Hères;45.187611;5.750569;10.0;HAUT LE PIED;30;
14/11/23 05:23:06;Rue des Lilas, Saint-Martin-d'Hères;45.187355;5.750458;0.0;ARRET;28;
14/11/23 05:24:13;Rue des Lilas, Saint-Martin-d'Hères;45.187122;5.75032;14.0;HAUT LE PIED;18;
14/11/23 05:24:20;Rue des Lilas, Saint-Martin-d'Hères;45.18697;5.750236;10.0;HAUT LE PIED;12;
14/11/23 05:24:23;Rue des Lilas, Saint-Martin-d'Hères;45.186867;5.750196;13.0;HAUT LE PIED;28;
14/11/23 05:24:31;Rue des Lilas, Saint-Martin-d'Hères;45.186634;5.750067;14.0;HAUT LE PIED;18;
14/11/23 05:24:35;Rue Louis Pasteur, Saint-Martin-d'Hères;45.186501;5.749946;14.0;HAUT LE PIED;12;
14/11/23 05:24:38;Rue Louis Pasteur, Saint-Martin-d'Hères;45.186481;5.749796;23.0;HAUT LE PIED;34;
14/11/23 05:25:08;Rue Louis Pasteur, Saint-Martin-d'Hères;45.186436;5.749365;0.0;ARRET;32;
14/11/23 05:25:15;Rue du Docteur Roux, Grenoble;45.186489;5.74897;24.0;HAUT LE PIED;23;
14/11/23 05:25:19;Inconnu, Saint-Martin-d'Hères;45.186558;5.748697;11.0;HAUT LE PIED;26;
14/11/23 05:25:49;Rue du Docteur Roux, Grenoble;45.186657;5.7484;26.0;HAUT LE PIED;113;
14/11/23 05:26:04;Rue du Pont Carpin, Grenoble;45.18718;5.747168;11.0;HAUT LE PIED;15;
14/11/23 05:26:07;Rue du Pont Carpin, Grenoble;45.187107;5.747004;20.0;HAUT LE PIED;22;
14/11/23 05:26:12;Rue du Pont Carpin, Grenoble;45.186954;5.74683;10.0;HAUT LE PIED;16;
14/11/23 05:26:43;Rue du Pont Carpin, Grenoble;45.186813;5.746787;0.0;ARRET;41;
14/11/23 05:28:25;Rue du Pont Carpin, Grenoble;45.186539;5.746445;6.0;HAUT LE PIED;27;
14/11/23 05:28:36;Rue du Pont Carpin, Grenoble;45.186302;5.746398;23.0;HAUT LE PIED;19;
14/11/23 05:28:39;Rue du Pont Carpin, Grenoble;45.186146;5.746481;21.0;HAUT LE PIED;18;
14/11/23 05:29:09;Rue du Pont Carpin, Grenoble;45.186001;5.746569;0.0;ARRET;26;
14/11/23 05:29:23;Avenue Ambroise Croizat, Grenoble;45.18586;5.746832;25.0;HAUT LE PIED;148;
14/11/23 05:29:44;Rue de la Poste, Saint-Martin-d'Hères;45.185417;5.748605;8.0;HAUT LE PIED;17;
14/11/23 05:29:47;Rue de la Poste, Saint-Martin-d'Hères;45.185558;5.748676;18.0;HAUT LE PIED;14;
14/11/23 05:30:18;Rue de la Poste, Saint-Martin-d'Hères;45.185669;5.748756;0.0;ARRET;29;
14/11/23 05:31:42;Rue de la Poste, Saint-Martin-d'Hères;45.185925;5.748822;16.0;HAUT LE PIED;14;
14/11/23 05:32:13;Rue de la Poste, Saint-Martin-d'Hères;45.186035;5.748901;0.0;ARRET;27;
14/11/23 05:32:33;Rue de la Poste, Saint-Martin-d'Hères;45.186253;5.749038;23.0;HAUT LE PIED;10;
14/11/23 05:33:04;Rue de la Poste, Saint-Martin-d'Hères;45.186321;5.749124;0.0;ARRET;25;
14/11/23 05:33:43;Rue Louis Pasteur, Saint-Martin-d'Hères;45.186359;5.749442;17.0;HAUT LE PIED;22;
14/11/23 05:33:46;Inconnu, Saint-Martin-d'Hères;45.186432;5.749698;26.0;HAUT LE PIED;184;
14/11/23 05:34:17;Rue Louis Pasteur, Saint-Martin-d'Hères;45.18708;5.751852;0.0;ARRET;25;
14/11/23 05:35:13;Rue Louis Pasteur, Saint-Martin-d'Hères;45.187176;5.752144;26.0;HAUT LE PIED;20;
14/11/23 05:35:17;Rue Galilée, Saint-Martin-d'Hères;45.187267;5.752369;16.0;HAUT LE PIED;17;
14/11/23 05:35:20;Rue Galilée, Saint-Martin-d'Hères;45.187412;5.752297;17.0;HAUT LE PIED;27;
14/11/23 05:35:31;Inconnu, Saint-Martin-d'Hères;45.187508;5.752612;30.0;HAUT LE PIED;169;
14/11/23 05:35:48;Avenue Gabriel Péri, Saint-Martin-d'Hères;45.187145;5.754706;35.0;HAUT LE PIED;82;
14/11/23 05:35:57;Avenue Gabriel Péri, Saint-Martin-d'Hères;45.186901;5.755692;18.0;HAUT LE PIED;13;
14/11/23 05:36:00;Inconnu, Saint-Martin-d'Hères;45.18679;5.755719;16.0;HAUT LE PIED;68;
14/11/23 05:36:10;Rue Galilée, Saint-Martin-d'Hères;45.186241;5.755352;19.0;HAUT LE PIED;15;
14/11/23 05:36:13;Rue Galilée, Saint-Martin-d'Hères;45.18626;5.755166;17.0;HAUT LE PIED;24;
14/11/23 05:36:17;Rue Galilée, Saint-Martin-d'Hères;45.18634;5.754888;16.0;HAUT LE PIED;13;
14/11/23 05:36:48;Rue Galilée, Saint-Martin-d'Hères;45.186359;5.754725;0.0;ARRET;26;
14/11/23 05:38:14;Rue Galilée, Saint-Martin-d'Hères;45.186523;5.754487;31.0;HAUT LE PIED;111;
14/11/23 05:38:45;Rue Galilée, Saint-Martin-d'Hères;45.186829;5.753144;0.0;ARRET;26;
14/11/23 05:39:47;Rue Galilée, Saint-Martin-d'Hères;45.186916;5.752841;23.0;HAUT LE PIED;17;
14/11/23 05:39:50;Rue Galilée, Saint-Martin-d'Hères;45.187012;5.752675;15.0;HAUT LE PIED;13;
14/11/23 05:40:21;Rue Galilée, Saint-Martin-d'Hères;45.187019;5.752513;0.0;ARRET;27;
14/11/23 05:40:26;Rue Louis Pasteur, Saint-Martin-d'Hères;45.187222;5.752315;28.0;HAUT LE PIED;28;
14/11/23 05:40:31;Rue Galilée, Saint-Martin-d'Hères;45.187458;5.752209;12.0;HAUT LE PIED;8;
14/11/23 05:40:34;Avenue Gabriel Péri, Saint-Martin-d'Hères;45.187519;5.752261;8.0;HAUT LE PIED;13;
14/11/23 05:40:37;Inconnu, Saint-Martin-d'Hères;45.187534;5.75242;16.0;HAUT LE PIED;55;
14/11/23 05:40:45;Inconnu, Saint-Martin-d'Hères;45.187458;5.753109;16.0;HAUT LE PIED;13;
14/11/23 05:40:48;Inconnu, Saint-Martin-d'Hères;45.187553;5.753204;17.0;HAUT LE PIED;13;
14/11/23 05:40:51;Avenue Gabriel Péri, Saint-Martin-d'Hères;45.187641;5.75309;19.0;HAUT LE PIED;20;
14/11/23 05:40:54;Inconnu, Saint-Martin-d'Hères;45.187706;5.752853;25.0;HAUT LE PIED;19;
14/11/23 05:41:25;Inconnu, Saint-Martin-d'Hères;45.187756;5.752622;0.0;ARRET;28;
14/11/23 05:41:49;Inconnu, Saint-Martin-d'Hères;45.187775;5.752266;29.0;HAUT LE PIED;70;
14/11/23 05:42:00;Inconnu, Saint-Martin-d'Hères;45.18782;5.751374;8.0;HAUT LE PIED;4;
14/11/23 05:42:30;Inconnu, Saint-Martin-d'Hères;45.187843;5.751332;0.0;ARRET;26;
14/11/23 05:43:46;Inconnu, Saint-Martin-d'Hères;45.187874;5.751009;24.0;HAUT LE PIED;39;
14/11/23 05:44:17;Inconnu, Saint-Martin-d'Hères;45.187908;5.750513;0.0;ARRET;27;
14/11/23 05:45:12;Inconnu, Saint-Martin-d'Hères;45.187943;5.750177;13.0;HAUT LE PIED;27;
14/11/23 05:45:39;Inconnu, Saint-Martin-d'Hères;45.187939;5.749839;20.0;HAUT LE PIED;20;
14/11/23 05:45:42;Inconnu, Saint-Martin-d'Hères;45.187977;5.749588;18.0;HAUT LE PIED;11;
14/11/23 05:46:13;Inconnu, Saint-Martin-d'Hères;45.187996;5.749444;0.0;ARRET;25;
14/11/23 05:46:29;Avenue Gabriel Péri, Saint-Martin-d'Hères;45.187996;5.74912;14.0;HAUT LE PIED;10;
14/11/23 05:47:00;Avenue Gabriel Péri, Saint-Martin-d'Hères;45.187996;5.748992;0.0;ARRET;27;
14/11/23 05:48:13;Avenue Gabriel Péri, Saint-Martin-d'Hères;45.188023;5.748653;26.0;HAUT LE PIED;31;
14/11/23 05:48:19;Avenue Gabriel Péri, Saint-Martin-d'Hères;45.188061;5.748263;8.0;HAUT LE PIED;8;
14/11/23 05:48:49;Avenue Gabriel Péri, Saint-Martin-d'Hères;45.188034;5.748166;0.0;ARRET;31;
14/11/23 05:49:21;Rue Jules Flandrin, Grenoble;45.188061;5.747767;30.0;HAUT LE PIED;123;
14/11/23 05:49:33;Rue Jules Flandrin, Grenoble;45.188168;5.746206;19.0;HAUT LE PIED;15;
14/11/23 05:49:36;Rue Jules Flandrin, Grenoble;45.188057;5.746093;19.0;HAUT LE PIED;25;
14/11/23 05:49:46;Rue Jules Flandrin, Grenoble;45.188007;5.74641;23.0;HAUT LE PIED;150;
14/11/23 05:50:01;Inconnu, Grenoble;45.187859;5.74831;32.0;HAUT LE PIED;41;
14/11/23 05:50:32;Avenue Gabriel Péri, Grenoble;45.187832;5.748829;0.0;ARRET;34;
14/11/23 05:51:36;Avenue Gabriel Péri, Grenoble;45.187786;5.749255;26.0;HAUT LE PIED;14;
14/11/23 05:52:06;Avenue Gabriel Péri, Grenoble;45.187798;5.749437;0.0;ARRET;28;
14/11/23 05:52:33;Avenue Gabriel Péri, Grenoble;45.187748;5.749789;28.0;HAUT LE PIED;133;
14/11/23 05:53:04;Inconnu, Grenoble;45.187576;5.751466;0.0;ARRET;27;
14/11/23 05:53:48;Inconnu, Grenoble;45.187534;5.7518;30.0;HAUT LE PIED;26;
14/11/23 05:53:52;Inconnu, Grenoble;45.187477;5.752116;16.0;HAUT LE PIED;12;
14/11/23 05:53:55;Rue Galilée, Saint-Martin-d'Hères;45.187374;5.752178;12.0;HAUT LE PIED;24;
14/11/23 05:54:25;Rue Louis Pasteur, Saint-Martin-d'Hères;45.187176;5.752292;0.0;ARRET;27;
