Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
18/12/23 09:54:40;;45.152885;5.73719;;DEPOT;0;
18/12/23 09:54:40;;45.152885;5.73719;;DEPOT;0;
18/12/23 09:54:50;;45.152885;5.73719;6.0;HAUT LE PIED;13;
18/12/23 09:55:20;;45.152992;5.737123;0.0;DEPOT;25;
18/12/23 09:55:28;Rue Le Corbusier, Eybens;45.153202;5.737004;23.0;HAUT LE PIED;13;
18/12/23 09:55:31;Rue Le Corbusier, Eybens;45.153225;5.736841;15.0;HAUT LE PIED;13;
18/12/23 09:55:34;Rue Le Corbusier, Eybens;45.153336;5.736804;10.0;HAUT LE PIED;27;
18/12/23 09:55:52;Rue Le Corbusier, Eybens;45.153328;5.736465;19.0;HAUT LE PIED;173;
18/12/23 09:56:09;Rue Le Corbusier, Eybens;45.153278;5.734265;21.0;HAUT LE PIED;28;
18/12/23 09:56:20;Rond-Point Jean Monnet, Eybens;45.153477;5.734044;26.0;HAUT LE PIED;31;
18/12/23 09:56:24;Avenue d'Innsbruck, Eybens;45.15369;5.733784;29.0;HAUT LE PIED;27;
18/12/23 09:56:27;Avenue d'Innsbruck, Eybens;45.153934;5.733779;33.0;HAUT LE PIED;271;
18/12/23 09:56:57;Inconnu, Grenoble;45.156368;5.733749;21.0;HAUT LE PIED;40;
18/12/23 09:57:20;Inconnu, Grenoble;45.156727;5.733833;15.0;HAUT LE PIED;213;
18/12/23 09:57:48;Avenue d'Innsbruck, Grenoble;45.158638;5.733773;24.0;HAUT LE PIED;26;
18/12/23 09:57:51;Avenue de l'Europe, Grenoble;45.158817;5.733991;35.0;HAUT LE PIED;36;
18/12/23 09:57:55;Avenue de l'Europe, Grenoble;45.159023;5.734349;32.0;HAUT LE PIED;28;
18/12/23 09:57:58;Avenue de l'Europe, Grenoble;45.159069;5.7347;31.0;HAUT LE PIED;21;
18/12/23 09:58:29;Avenue de l'Europe, Grenoble;45.159096;5.734962;0.0;ARRET;25;
18/12/23 10:00:09;Inconnu, Grenoble;45.159164;5.735266;20.0;HAUT LE PIED;293;
18/12/23 10:00:39;Avenue du Général de Gaulle, Grenoble;45.159672;5.738929;6.0;HAUT LE PIED;1;
18/12/23 10:01:09;Avenue du Général de Gaulle, Grenoble;45.159672;5.738946;0.0;ARRET;27;
18/12/23 10:01:16;Inconnu, Grenoble;45.159882;5.739123;29.0;HAUT LE PIED;52;
18/12/23 10:01:24;Rue de Cure Bourse, Grenoble;45.160336;5.738948;19.0;HAUT LE PIED;13;
18/12/23 10:01:27;Rue de Cure Bourse, Grenoble;45.160423;5.739066;16.0;HAUT LE PIED;158;
18/12/23 10:01:46;Rue de Cure Bourse, Grenoble;45.161427;5.740486;25.0;HAUT LE PIED;27;
18/12/23 10:01:49;Rue de Cure Bourse, Grenoble;45.161343;5.740815;36.0;HAUT LE PIED;47;
18/12/23 10:01:55;Rue de Cure Bourse, Grenoble;45.161236;5.741394;25.0;HAUT LE PIED;21;
18/12/23 10:01:58;Rue de Cure Bourse, Grenoble;45.161354;5.741607;25.0;HAUT LE PIED;52;
18/12/23 10:02:05;Rue de Cure Bourse, Grenoble;45.161812;5.741721;22.0;HAUT LE PIED;49;
18/12/23 10:02:15;Rue de Cure Bourse, Grenoble;45.162247;5.741827;16.0;HAUT LE PIED;17;
18/12/23 10:02:18;Rue de Cure Bourse, Grenoble;45.162392;5.741881;19.0;HAUT LE PIED;116;
18/12/23 10:02:32;Rue de Cure Bourse, Grenoble;45.163422;5.742146;29.0;HAUT LE PIED;21;
18/12/23 10:02:35;Rue du 8 Mai 1945, Eybens;45.163589;5.742035;22.0;HAUT LE PIED;13;
18/12/23 10:02:38;Rue du 8 Mai 1945, Eybens;45.163551;5.741883;31.0;HAUT LE PIED;30;
18/12/23 10:02:42;Rue du 8 Mai 1945, Grenoble;45.163345;5.741639;36.0;HAUT LE PIED;130;
18/12/23 10:03:00;Rue du 8 Mai 1945, Grenoble;45.162453;5.740578;18.0;HAUT LE PIED;24;
18/12/23 10:03:03;Rue du 8 Mai 1945, Grenoble;45.162415;5.740276;33.0;HAUT LE PIED;58;
