Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
20/11/23 05:03:07;Inconnu, Sassenage;45.204453;5.686319;;DEPOT;0;
20/11/23 05:03:07;Inconnu, Sassenage;45.204453;5.686319;;DEPOT;0;
20/11/23 05:03:07;Inconnu, Sassenage;45.204453;5.686319;;DEPOT;0;
20/11/23 05:03:14;Inconnu, Sassenage;45.204453;5.686319;0.0;DEPOT;27;
20/11/23 05:05:20;Inconnu, Sassenage;45.204693;5.686266;19.0;HAUT LE PIED;44;
20/11/23 05:05:38;Rue de Sornin, Sassenage;45.205036;5.685975;12.0;HAUT LE PIED;11;
20/11/23 05:05:41;Rue de Sornin, Sassenage;45.205006;5.685837;13.0;HAUT LE PIED;19;
20/11/23 05:05:45;Rue de Sornin, Sassenage;45.204895;5.685653;20.0;HAUT LE PIED;99;
20/11/23 05:06:03;Rue de la Sure, Sassenage;45.204647;5.684439;10.0;HAUT LE PIED;10;
20/11/23 05:06:06;Rue de la Sure, Sassenage;45.204716;5.684366;12.0;HAUT LE PIED;15;
20/11/23 05:06:09;Rue de la Sure, Sassenage;45.204803;5.684227;21.0;HAUT LE PIED;149;
20/11/23 05:06:40;Rue de la Sure, Sassenage;45.205582;5.682685;0.0;ARRET;29;
20/11/23 05:07:03;Rue de la Maladière, Sassenage;45.205738;5.682395;30.0;HAUT LE PIED;73;
20/11/23 05:07:10;Rue de la Maladière, Sassenage;45.206161;5.681686;36.0;HAUT LE PIED;178;
20/11/23 05:07:40;Rue de la Maladière, Sassenage;45.207367;5.680185;6.0;HAUT LE PIED;16;
20/11/23 05:07:44;Rue de la Maladière, Sassenage;45.207462;5.680025;20.0;HAUT LE PIED;14;
20/11/23 05:07:47;Chemin du Drac, Sassenage;45.207409;5.679857;20.0;HAUT LE PIED;116;
20/11/23 05:08:00;Chemin du Drac, Sassenage;45.206787;5.678676;22.0;HAUT LE PIED;24;
20/11/23 05:08:30;Chemin du Drac, Sassenage;45.206684;5.678411;0.0;ARRET;29;
20/11/23 05:09:15;Chemin du Drac, Sassenage;45.206566;5.678084;27.0;HAUT LE PIED;34;
20/11/23 05:09:20;Chemin du Drac, Sassenage;45.206429;5.677692;21.0;HAUT LE PIED;16;
20/11/23 05:09:23;Chemin du Drac, Sassenage;45.206394;5.677496;20.0;HAUT LE PIED;17;
20/11/23 05:09:26;Chemin du Drac, Sassenage;45.206314;5.677305;19.0;HAUT LE PIED;13;
20/11/23 05:09:56;Chemin du Drac, Sassenage;45.206268;5.67715;0.0;ARRET;27;
20/11/23 05:10:06;Chemin du Drac, Sassenage;45.206165;5.676839;29.0;HAUT LE PIED;54;
20/11/23 05:10:36;Chemin du Drac, Sassenage;45.205929;5.676244;0.0;ARRET;28;
20/11/23 05:11:16;Impasse des Phacélies, Sassenage;45.205765;5.675976;19.0;HAUT LE PIED;17;
20/11/23 05:11:19;Chemin du Drac, Sassenage;45.205658;5.675821;22.0;HAUT LE PIED;41;
20/11/23 05:11:48;Chemin du Drac, Sassenage;45.205383;5.675475;16.0;HAUT LE PIED;64;
20/11/23 05:12:18;Chemin du Drac, Sassenage;45.20504;5.674826;0.0;ARRET;48;
20/11/23 05:12:30;Chemin du Drac, Sassenage;45.204769;5.674342;20.0;HAUT LE PIED;31;
20/11/23 05:13:01;Chemin du Drac, Sassenage;45.204662;5.673975;0.0;ARRET;26;
20/11/23 05:13:25;Rue du Vinay, Sassenage;45.204575;5.673674;13.0;HAUT LE PIED;13;
20/11/23 05:13:28;Rue du Vinay, Sassenage;45.204628;5.673522;22.0;HAUT LE PIED;34;
20/11/23 05:13:32;Rue du Vinay, Sassenage;45.204758;5.673128;38.0;HAUT LE PIED;70;
20/11/23 05:13:38;Rue du Vinay, Sassenage;45.204922;5.672271;42.0;HAUT LE PIED;82;
20/11/23 05:13:46;Rue du Vinay, Sassenage;45.204956;5.671227;32.0;HAUT LE PIED;26;
20/11/23 05:13:49;Rue du Vinay, Sassenage;45.205097;5.670967;33.0;HAUT LE PIED;35;
20/11/23 05:13:53;Rue du Vinay, Sassenage;45.205276;5.670602;27.0;HAUT LE PIED;28;
20/11/23 05:13:57;Inconnu, Sassenage;45.205326;5.670248;28.0;HAUT LE PIED;25;
20/11/23 05:14:00;Rue du Vinay, Sassenage;45.205292;5.669927;33.0;HAUT LE PIED;109;
20/11/23 05:14:11;Rue du Vinay, Sassenage;45.204948;5.668631;31.0;HAUT LE PIED;84;
20/11/23 05:14:24;Chemin du Billery, Sassenage;45.205021;5.667563;11.0;HAUT LE PIED;11;
20/11/23 05:14:27;Chemin du Billery, Sassenage;45.205116;5.667508;17.0;HAUT LE PIED;42;
20/11/23 05:14:33;Chemin du Billery, Sassenage;45.205479;5.667386;28.0;HAUT LE PIED;40;
20/11/23 05:14:40;Chemin du Paget, Sassenage;45.205795;5.667151;9.0;HAUT LE PIED;10;
20/11/23 05:14:43;Chemin du Paget, Sassenage;45.205841;5.667257;13.0;HAUT LE PIED;16;
20/11/23 05:14:46;Chemin du Paget, Sassenage;45.205898;5.667449;27.0;HAUT LE PIED;275;
20/11/23 05:15:16;Chemin du Paget, Sassenage;45.206886;5.670667;33.0;HAUT LE PIED;95;
20/11/23 05:15:28;Chemin du Paget, Sassenage;45.207253;5.671757;14.0;HAUT LE PIED;9;
20/11/23 05:15:31;Chemin du Paget, Sassenage;45.207329;5.671721;9.0;HAUT LE PIED;9;
20/11/23 05:15:34;Chemin du Paget, Sassenage;45.207336;5.671609;11.0;HAUT LE PIED;9;
