Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
27/12/23 04:42:41;Inconnu, La Tronche;45.198452;5.756361;;DEPOT;0;
27/12/23 04:42:41;Inconnu, La Tronche;45.198452;5.756361;;DEPOT;0;
27/12/23 04:42:41;Inconnu, La Tronche;45.198452;5.756361;;DEPOT;0;
27/12/23 04:42:41;Inconnu, La Tronche;45.198452;5.756361;;DEPOT;0;
27/12/23 04:42:41;Inconnu, La Tronche;45.198452;5.756361;;DEPOT;0;
27/12/23 04:42:42;Inconnu, La Tronche;45.198452;5.756361;;DEPOT;0;
27/12/23 04:42:49;Inconnu, La Tronche;45.198452;5.756361;0.0;DEPOT;63;
27/12/23 05:06:47;Chemin de la Tuilerie, La Tronche;45.198566;5.757145;15.0;HAUT LE PIED;202;
27/12/23 05:07:12;Inconnu, La Tronche;45.199249;5.759535;31.0;HAUT LE PIED;38;
27/12/23 05:07:17;Inconnu, La Tronche;45.199265;5.760022;23.0;HAUT LE PIED;18;
27/12/23 05:07:20;Inconnu, La Tronche;45.199158;5.760197;25.0;HAUT LE PIED;125;
27/12/23 05:07:39;Inconnu, La Tronche;45.198112;5.760784;19.0;HAUT LE PIED;15;
27/12/23 05:07:42;Chemin de la Tuilerie, La Tronche;45.198139;5.760969;16.0;HAUT LE PIED;15;
27/12/23 05:07:45;Chemin de la Tuilerie, La Tronche;45.198254;5.761063;19.0;HAUT LE PIED;15;
27/12/23 05:07:48;Chemin de la Tuilerie, La Tronche;45.198383;5.761027;16.0;HAUT LE PIED;18;
27/12/23 05:07:51;Chemin de la Tuilerie, La Tronche;45.198528;5.76092;26.0;HAUT LE PIED;161;
27/12/23 05:08:08;Chemin de la Tuilerie, La Tronche;45.199791;5.759921;32.0;HAUT LE PIED;98;
27/12/23 05:08:22;Chemin de la Tuilerie, Meylan;45.200497;5.759168;15.0;HAUT LE PIED;11;
27/12/23 05:08:25;A 41s, Meylan;45.200573;5.759264;18.0;HAUT LE PIED;487;
