Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
11/12/23 04:45:23;Chemin des Acacias, La Tronche;45.197926;5.756558;;DEPOT;0;
11/12/23 04:45:23;Chemin des Acacias, La Tronche;45.197926;5.756558;;DEPOT;0;
11/12/23 04:45:24;Chemin des Acacias, La Tronche;45.197926;5.756558;;DEPOT;0;
11/12/23 04:45:24;Chemin des Acacias, La Tronche;45.197926;5.756558;;DEPOT;0;
11/12/23 04:45:24;Chemin des Acacias, La Tronche;45.197926;5.756558;;DEPOT;0;
11/12/23 04:45:24;Chemin des Acacias, La Tronche;45.197926;5.756558;;DEPOT;9;
11/12/23 04:46:03;Inconnu, La Tronche;45.197956;5.756671;0.0;DEPOT;6;
11/12/23 05:07:43;Inconnu, La Tronche;45.197983;5.756608;;DEPOT;2;
11/12/23 05:08:01;Inconnu, La Tronche;45.197998;5.7566;;DEPOT;41;
11/12/23 05:08:38;Inconnu, La Tronche;45.198044;5.75712;12.0;HAUT LE PIED;10;
11/12/23 05:08:41;Inconnu, La Tronche;45.198132;5.757133;11.0;HAUT LE PIED;45;
11/12/23 05:08:55;Inconnu, La Tronche;45.198517;5.756972;10.0;HAUT LE PIED;10;
11/12/23 05:08:58;Chemin de la Tuilerie, La Tronche;45.198574;5.757071;13.0;HAUT LE PIED;25;
11/12/23 05:09:03;Chemin de la Tuilerie, La Tronche;45.198669;5.757353;20.0;HAUT LE PIED;28;
11/12/23 05:09:08;Chemin de la Tuilerie, La Tronche;45.198803;5.757659;21.0;HAUT LE PIED;153;
11/12/23 05:09:34;Inconnu, La Tronche;45.199287;5.759483;17.0;HAUT LE PIED;16;
11/12/23 05:09:38;Inconnu, La Tronche;45.199284;5.759686;11.0;HAUT LE PIED;24;
11/12/23 05:09:43;Inconnu, La Tronche;45.19931;5.759996;21.0;HAUT LE PIED;16;
11/12/23 05:09:46;Inconnu, La Tronche;45.199223;5.760153;18.0;HAUT LE PIED;18;
11/12/23 05:09:49;Inconnu, La Tronche;45.199066;5.760201;23.0;HAUT LE PIED;32;
11/12/23 05:09:54;Inconnu, La Tronche;45.198795;5.760338;19.0;HAUT LE PIED;79;
11/12/23 05:10:07;Inconnu, La Tronche;45.198139;5.760726;17.0;HAUT LE PIED;15;
11/12/23 05:10:10;Chemin de la Tuilerie, La Tronche;45.198162;5.76091;17.0;HAUT LE PIED;19;
11/12/23 05:10:13;Chemin de la Tuilerie, La Tronche;45.198299;5.761052;21.0;HAUT LE PIED;19;
11/12/23 05:10:16;Inconnu, La Tronche;45.198463;5.760965;27.0;HAUT LE PIED;191;
11/12/23 05:10:33;Chemin de la Tuilerie, La Tronche;45.199951;5.759744;39.0;HAUT LE PIED;75;
11/12/23 05:11:03;Chemin de la Tuilerie, Meylan;45.200478;5.759142;18.0;HAUT LE PIED;28;
11/12/23 05:11:08;Avenue de Verdun, La Tronche;45.200699;5.75897;17.0;HAUT LE PIED;10;
11/12/23 05:11:11;Avenue de Verdun, Meylan;45.200787;5.758933;9.0;HAUT LE PIED;6;
11/12/23 05:11:42;Avenue de Verdun, Meylan;45.20084;5.758944;0.0;ARRET;25;
11/12/23 05:12:03;Avenue de Verdun, Meylan;45.200867;5.758622;23.0;HAUT LE PIED;37;
11/12/23 05:12:07;D 1090, La Tronche;45.20068;5.758231;41.0;HAUT LE PIED;342;
11/12/23 05:12:34;Inconnu, La Tronche;45.198601;5.755019;11.0;HAUT LE PIED;11;
11/12/23 05:12:37;Boulevard de la Chantourne, La Tronche;45.198589;5.754877;16.0;HAUT LE PIED;16;
11/12/23 05:12:40;Boulevard de la Chantourne, La Tronche;45.198479;5.754738;25.0;HAUT LE PIED;148;
11/12/23 05:12:52;Boulevard de la Chantourne, La Tronche;45.197567;5.753363;44.0;HAUT LE PIED;83;
11/12/23 05:12:59;Boulevard de la Chantourne, La Tronche;45.197216;5.752431;49.0;HAUT LE PIED;101;
11/12/23 05:13:30;Boulevard de la Chantourne, La Tronche;45.196926;5.751204;34.0;HAUT LE PIED;139;
11/12/23 05:13:41;Boulevard de la Chantourne, La Tronche;45.196831;5.749442;48.0;HAUT LE PIED;47;
11/12/23 05:13:46;Boulevard de la Chantourne, La Tronche;45.196896;5.748844;17.0;HAUT LE PIED;15;
11/12/23 05:13:49;Inconnu, La Tronche;45.197018;5.748771;21.0;HAUT LE PIED;19;
11/12/23 05:13:52;Avenue du Grand Sablon, La Tronche;45.197174;5.748673;25.0;HAUT LE PIED;19;
11/12/23 05:13:55;Inconnu, La Tronche;45.197186;5.748426;26.0;HAUT LE PIED;28;
11/12/23 05:13:59;Inconnu, La Tronche;45.197071;5.748104;26.0;HAUT LE PIED;24;
11/12/23 05:14:02;Inconnu, La Tronche;45.197124;5.747803;35.0;HAUT LE PIED;321;
11/12/23 05:14:25;Chemin Fortuné Ferrini, La Tronche;45.19825;5.744038;38.0;HAUT LE PIED;40;
11/12/23 05:14:29;Chemin Fortuné Ferrini, La Tronche;45.198521;5.743701;34.0;HAUT LE PIED;128;
11/12/23 05:14:39;Chemin Fortuné Ferrini, La Tronche;45.1996;5.743127;57.0;HAUT LE PIED;189;
11/12/23 05:14:55;Avenue des Maquis du Grésivaudan, La Tronche;45.201107;5.742014;15.0;HAUT LE PIED;161;
11/12/23 05:15:12;Quai Yermoloff, La Tronche;45.202095;5.74051;37.0;HAUT LE PIED;219;
11/12/23 05:15:38;Quai Eugène Charpenay, La Tronche;45.20266;5.737829;25.0;HAUT LE PIED;46;
11/12/23 05:15:44;Quai Eugène Charpenay, La Tronche;45.202633;5.737242;35.0;HAUT LE PIED;101;
11/12/23 05:15:57;Quai Eugène Charpenay, La Tronche;45.202374;5.736008;20.0;HAUT LE PIED;12;
11/12/23 05:16:00;Rue de l'Isère, La Tronche;45.202351;5.735856;12.0;HAUT LE PIED;12;
11/12/23 05:16:03;Rue de l'Isère, La Tronche;45.202431;5.735754;17.0;HAUT LE PIED;43;
