Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
27/12/23 09:13:39;;45.15316;5.737211;;DEPOT;0;
27/12/23 09:13:39;;45.15316;5.737211;;DEPOT;0;
27/12/23 09:13:39;;45.15316;5.737211;;DEPOT;0;
27/12/23 09:13:39;;45.15316;5.737211;;DEPOT;0;
27/12/23 09:13:39;;45.15316;5.737211;;DEPOT;0;
27/12/23 09:13:39;;45.15316;5.737211;;DEPOT;0;
27/12/23 09:13:50;;45.15316;5.737211;6.0;HAUT LE PIED;8;
27/12/23 09:14:21;Rue Le Corbusier, Eybens;45.153225;5.737254;0.0;DEPOT;32;
27/12/23 09:31:18;;45.152943;5.737202;19.0;HAUT LE PIED;28;
27/12/23 09:31:22;;45.152702;5.737281;22.0;HAUT LE PIED;16;
27/12/23 09:31:25;;45.152683;5.737487;17.0;HAUT LE PIED;15;
27/12/23 09:31:28;;45.152748;5.737651;19.0;HAUT LE PIED;16;
27/12/23 09:31:31;;45.152882;5.737714;21.0;HAUT LE PIED;35;
27/12/23 09:31:37;Rue Le Corbusier, Eybens;45.153191;5.737645;16.0;HAUT LE PIED;15;
27/12/23 09:31:40;Rue Le Corbusier, Eybens;45.153255;5.737479;22.0;HAUT LE PIED;50;
27/12/23 09:31:48;Rue Le Corbusier, Eybens;45.153236;5.736845;13.0;HAUT LE PIED;27;
27/12/23 09:31:59;Rue Le Corbusier, Eybens;45.153378;5.736572;20.0;HAUT LE PIED;174;
27/12/23 09:32:17;Rue Le Corbusier, Eybens;45.153339;5.734352;18.0;HAUT LE PIED;15;
27/12/23 09:32:20;Rue Le Corbusier, Eybens;45.153412;5.734185;19.0;HAUT LE PIED;29;
27/12/23 09:32:24;Rond-Point Jean Monnet, Eybens;45.153561;5.733883;29.0;HAUT LE PIED;23;
27/12/23 09:32:28;Avenue d'Innsbruck, Eybens;45.15353;5.733593;29.0;HAUT LE PIED;32;
27/12/23 09:32:31;Inconnu, Eybens;45.153324;5.733315;32.0;HAUT LE PIED;30;
27/12/23 09:32:35;Rond-Point Jean Monnet, Eybens;45.153103;5.733538;30.0;HAUT LE PIED;37;
27/12/23 09:32:38;D 269A, Eybens;45.152798;5.733728;40.0;HAUT LE PIED;164;
27/12/23 09:32:54;Inconnu, Eybens;45.151325;5.733725;33.0;HAUT LE PIED;48;
27/12/23 09:32:59;Inconnu, Eybens;45.151039;5.733263;37.0;HAUT LE PIED;99;
27/12/23 09:33:06;Inconnu, Eybens;45.15089;5.732017;62.0;HAUT LE PIED;313;
27/12/23 09:33:21;Rocade Sud, Échirolles;45.150776;5.728025;80.0;HAUT LE PIED;264;
27/12/23 09:33:34;Rocade Sud, Échirolles;45.151112;5.724689;70.0;HAUT LE PIED;280;
27/12/23 09:33:48;Inconnu, Échirolles;45.151821;5.721269;71.0;HAUT LE PIED;303;
27/12/23 09:34:03;Rocade Sud, Échirolles;45.152622;5.717573;73.0;HAUT LE PIED;94;
27/12/23 09:34:08;Rocade Sud, Échirolles;45.153168;5.71666;66.0;HAUT LE PIED;183;
27/12/23 09:34:18;Rocade Sud, Échirolles;45.154427;5.715156;66.0;HAUT LE PIED;252;
27/12/23 09:34:32;Rocade Sud, Échirolles;45.156311;5.713367;61.0;HAUT LE PIED;134;
27/12/23 09:34:40;Inconnu, Échirolles;45.157349;5.712504;59.0;HAUT LE PIED;100;
27/12/23 09:34:46;Carrefour du Rondeau, Échirolles;45.15797;5.711585;58.0;HAUT LE PIED;149;
