Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
14/11/23 09:12:19;;45.150726;5.738932;;ARRET;0;
14/11/23 09:12:19;;45.150726;5.738932;;ARRET;0;
14/11/23 09:12:19;;45.150726;5.738932;;ARRET;0;
14/11/23 09:12:24;;45.150726;5.738932;;MOTEUR OFF;0;
14/11/23 09:12:25;;45.150726;5.738932;;ARRET;0;
14/11/23 09:12:30;;45.150726;5.738932;;MOTEUR OFF;0;
14/11/23 09:12:57;;45.150726;5.738932;;ARRET;0;
14/11/23 09:13:08;;45.150726;5.738932;;MOTEUR OFF;0;
14/11/23 09:14:17;;45.150726;5.738932;6.0;HAUT LE PIED;28;
14/11/23 09:14:46;;45.150894;5.738671;8.0;HAUT LE PIED;7;
14/11/23 09:15:17;;45.150837;5.738647;0.0;ARRET;1;
14/11/23 09:17:31;;45.150833;5.738652;;ARRET;1;
14/11/23 09:18:27;;45.150829;5.738662;;MOTEUR OFF;0;
14/11/23 09:18:30;;45.150829;5.738662;;ARRET;0;
14/11/23 09:18:57;;45.150829;5.738662;;ARRET;0;
14/11/23 09:18:59;;45.150829;5.738662;0.0;ARRET;0;
14/11/23 09:21:43;;45.150829;5.738663;;MOTEUR OFF;12;
14/11/23 09:26:37;;45.15073;5.738609;;ARRET;0;
14/11/23 09:26:41;;45.15073;5.738609;;MOTEUR OFF;10;
14/11/23 10:09:10;;45.150806;5.738685;;ARRET;1;
14/11/23 10:19:20;;45.150806;5.738693;;MOTEUR OFF;1;
14/11/23 10:42:47;;45.150818;5.738692;;ARRET;0;
14/11/23 10:44:17;;45.150818;5.738692;;MOTEUR OFF;0;
14/11/23 10:50:41;;45.150822;5.738692;;ARRET;0;
14/11/23 10:51:00;;45.150822;5.738692;;ARRET;0;
14/11/23 10:51:05;;45.150822;5.738692;;ARRET;0;
14/11/23 10:51:07;;45.150822;5.738692;;MOTEUR OFF;0;
14/11/23 10:51:40;;45.150822;5.738692;;ARRET;0;
14/11/23 10:52:00;;45.150822;5.738692;;ARRET;0;
14/11/23 10:52:06;;45.150822;5.738692;;ARRET;0;
14/11/23 10:52:13;;45.150822;5.738692;;MOTEUR OFF;1;
14/11/23 10:56:02;;45.150818;5.738695;;ARRET;0;
14/11/23 10:56:46;;45.150818;5.738695;;ARRET;0;
14/11/23 10:57:13;;45.150818;5.738695;;ARRET;0;
14/11/23 10:57:20;;45.150818;5.738695;;ARRET;0;
14/11/23 10:57:32;;45.150818;5.738695;;ARRET;0;
14/11/23 10:57:57;;45.150818;5.738694;;ARRET;0;
14/11/23 10:58:13;;45.150818;5.738695;;ARRET;0;
14/11/23 10:59:49;;45.150818;5.738695;;MOTEUR OFF;0;
14/11/23 10:59:54;;45.150818;5.738695;;ARRET;0;
14/11/23 10:59:59;;45.150818;5.738695;;MOTEUR OFF;0;
14/11/23 11:00:29;;45.150818;5.738696;;ARRET;0;
14/11/23 11:01:14;;45.150818;5.738696;;ARRET;0;
14/11/23 11:01:31;;45.150818;5.738696;;ARRET;0;
14/11/23 11:01:34;;45.150818;5.738696;;MOTEUR OFF;5;
14/11/23 12:16:41;;45.150856;5.738735;;ARRET;0;
14/11/23 12:16:41;;45.150856;5.738735;;ARRET;0;
14/11/23 12:16:41;;45.150856;5.738735;;ARRET;0;
14/11/23 12:16:56;;45.150856;5.738735;6.0;HAUT LE PIED;9;
14/11/23 12:17:22;;45.150913;5.738814;;MOTEUR OFF;0;
14/11/23 12:17:27;;45.150909;5.738815;0.0;MOTEUR OFF;2;
14/11/23 12:18:43;;45.150894;5.738822;;ARRET;4;
14/11/23 12:27:10;;45.150867;5.73878;;MOTEUR OFF;0;
