Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
27/12/23 04:51:25;Inconnu, La Tronche;45.198196;5.75668;;DEPOT;0;
27/12/23 04:51:25;Inconnu, La Tronche;45.198196;5.75668;;DEPOT;0;
27/12/23 04:51:25;Inconnu, La Tronche;45.198196;5.75668;;DEPOT;0;
27/12/23 04:51:25;Inconnu, La Tronche;45.198196;5.75668;;DEPOT;0;
27/12/23 04:51:25;Inconnu, La Tronche;45.198196;5.75668;;DEPOT;0;
27/12/23 04:51:25;Inconnu, La Tronche;45.198196;5.75668;;DEPOT;0;
27/12/23 04:51:35;Inconnu, La Tronche;45.198196;5.75668;6.0;HAUT LE PIED;3;
27/12/23 04:52:06;Inconnu, La Tronche;45.198177;5.756648;0.0;DEPOT;33;
27/12/23 05:03:40;Inconnu, La Tronche;45.197914;5.756842;11.0;HAUT LE PIED;12;
27/12/23 05:03:43;Inconnu, La Tronche;45.197941;5.756989;14.0;HAUT LE PIED;19;
27/12/23 05:03:48;Inconnu, La Tronche;45.198036;5.757185;14.0;HAUT LE PIED;15;
27/12/23 05:03:51;Inconnu, La Tronche;45.19817;5.757132;19.0;HAUT LE PIED;34;
27/12/23 05:03:57;Inconnu, La Tronche;45.198467;5.757009;12.0;HAUT LE PIED;10;
27/12/23 05:04:00;Chemin de la Tuilerie, La Tronche;45.198547;5.757067;13.0;HAUT LE PIED;148;
27/12/23 05:04:19;Inconnu, La Tronche;45.199078;5.758796;36.0;HAUT LE PIED;62;
27/12/23 05:04:26;Inconnu, La Tronche;45.199276;5.759537;25.0;HAUT LE PIED;39;
27/12/23 05:04:32;Inconnu, La Tronche;45.199268;5.76003;23.0;HAUT LE PIED;22;
27/12/23 05:04:35;Inconnu, La Tronche;45.19912;5.760207;29.0;HAUT LE PIED;58;
27/12/23 05:04:42;Inconnu, La Tronche;45.198639;5.760496;27.0;HAUT LE PIED;40;
27/12/23 05:04:48;Inconnu, La Tronche;45.198307;5.760675;29.0;HAUT LE PIED;23;
27/12/23 05:04:51;Inconnu, La Tronche;45.19812;5.760812;28.0;HAUT LE PIED;17;
27/12/23 05:04:54;Chemin de la Tuilerie, La Tronche;45.198029;5.760983;17.0;HAUT LE PIED;15;
27/12/23 05:04:57;Chemin de la Tuilerie, La Tronche;45.198074;5.76116;19.0;HAUT LE PIED;22;
27/12/23 05:05:00;Chemin de la Tuilerie, La Tronche;45.198269;5.761111;28.0;HAUT LE PIED;177;
27/12/23 05:05:16;Chemin de la Tuilerie, La Tronche;45.199673;5.760053;44.0;HAUT LE PIED;149;
27/12/23 05:05:32;Avenue de Verdun, La Tronche;45.200756;5.758935;15.0;HAUT LE PIED;14;
27/12/23 05:06:02;Avenue de Verdun, Meylan;45.200878;5.758935;0.0;ARRET;29;
27/12/23 05:06:33;Inconnu, La Tronche;45.200882;5.75857;25.0;HAUT LE PIED;103;
27/12/23 05:06:42;Inconnu, La Tronche;45.200256;5.757597;54.0;HAUT LE PIED;591;
27/12/23 05:07:12;Avenue de Verdun, La Tronche;45.196522;5.752244;78.0;HAUT LE PIED;602;
27/12/23 05:07:43;Inconnu, La Tronche;45.192734;5.74677;46.0;HAUT LE PIED;53;
27/12/23 05:07:49;Inconnu, La Tronche;45.192398;5.746297;16.0;HAUT LE PIED;11;
27/12/23 05:07:52;Inconnu, La Tronche;45.19244;5.746175;21.0;HAUT LE PIED;19;
27/12/23 05:07:55;Inconnu, La Tronche;45.1926;5.746088;26.0;HAUT LE PIED;16;
27/12/23 05:07:58;Inconnu, La Tronche;45.192722;5.745978;15.0;HAUT LE PIED;26;
27/12/23 05:08:13;Avenue du Grand Sablon, La Tronche;45.192764;5.745646;19.0;HAUT LE PIED;81;
27/12/23 05:08:22;Avenue du Grand Sablon, La Tronche;45.192165;5.745069;42.0;HAUT LE PIED;62;
27/12/23 05:08:27;Avenue du Grand Sablon, La Tronche;45.19186;5.744414;44.0;HAUT LE PIED;39;
27/12/23 05:08:30;Avenue du Grand Sablon, La Tronche;45.191776;5.743926;50.0;HAUT LE PIED;66;
27/12/23 05:08:36;Avenue du Grand Sablon, La Tronche;45.191746;5.743085;15.0;HAUT LE PIED;11;
27/12/23 05:08:39;Chemin Fortuné Ferrini, La Tronche;45.191784;5.74295;11.0;HAUT LE PIED;30;
27/12/23 05:08:45;Chemin Fortuné Ferrini, La Tronche;45.191849;5.742577;21.0;HAUT LE PIED;16;
27/12/23 05:08:48;Chemin Fortuné Ferrini, La Tronche;45.19199;5.742528;23.0;HAUT LE PIED;135;
27/12/23 05:09:01;Inconnu, La Tronche;45.193199;5.742728;30.0;HAUT LE PIED;344;
27/12/23 05:09:32;Chemin Fortuné Ferrini, La Tronche;45.196144;5.74405;21.0;HAUT LE PIED;13;
27/12/23 05:10:03;Chemin Fortuné Ferrini, La Tronche;45.196259;5.7441;0.0;ARRET;74;
27/12/23 05:10:33;Chemin Fortuné Ferrini, La Tronche;45.196922;5.744164;25.0;HAUT LE PIED;29;
27/12/23 05:10:40;Chemin Fortuné Ferrini, La Tronche;45.197186;5.744182;12.0;HAUT LE PIED;8;
27/12/23 05:11:11;Chemin Fortuné Ferrini, La Tronche;45.197254;5.744173;0.0;ARRET;33;
27/12/23 05:16:50;Chemin Fortuné Ferrini, La Tronche;45.197548;5.744132;16.0;HAUT LE PIED;57;
27/12/23 05:17:03;Chemin Fortuné Ferrini, La Tronche;45.198063;5.744114;16.0;HAUT LE PIED;26;
27/12/23 05:17:10;Chemin Fortuné Ferrini, La Tronche;45.198277;5.74397;27.0;HAUT LE PIED;38;
27/12/23 05:17:14;Chemin Fortuné Ferrini, La Tronche;45.198536;5.743661;38.0;HAUT LE PIED;195;
27/12/23 05:17:29;Chemin Fortuné Ferrini, La Tronche;45.200146;5.742677;43.0;HAUT LE PIED;126;
27/12/23 05:17:45;Chemin Fortuné Ferrini, La Tronche;45.201138;5.741914;26.0;HAUT LE PIED;153;
27/12/23 05:18:03;Quai Yermoloff, La Tronche;45.202084;5.740499;37.0;HAUT LE PIED;237;
27/12/23 05:18:28;Quai Eugène Charpenay, La Tronche;45.20266;5.737588;22.0;HAUT LE PIED;70;
27/12/23 05:18:35;Quai Eugène Charpenay, La Tronche;45.202526;5.736716;24.0;HAUT LE PIED;131;
27/12/23 05:18:50;Quai Eugène Charpenay, La Tronche;45.201977;5.735242;46.0;HAUT LE PIED;120;
27/12/23 05:19:02;Quai Eugène Charpenay, La Tronche;45.201233;5.734142;19.0;HAUT LE PIED;20;
27/12/23 05:19:05;Quai Eugène Charpenay, La Tronche;45.201088;5.733998;28.0;HAUT LE PIED;15;
27/12/23 05:19:08;Quai Eugène Charpenay, La Tronche;45.201023;5.733829;8.0;HAUT LE PIED;10;
27/12/23 05:19:11;Quai des Allobroges, Grenoble;45.200974;5.733719;18.0;HAUT LE PIED;19;
27/12/23 05:19:14;Quai des Allobroges, Grenoble;45.200809;5.733637;29.0;HAUT LE PIED;349;
27/12/23 05:19:45;Quai des Allobroges, Grenoble;45.197781;5.732464;0.0;ARRET;28;
27/12/23 05:20:04;Quai Xavier Jouvin, Grenoble;45.197544;5.732362;33.0;HAUT LE PIED;105;
27/12/23 05:20:13;Quai Xavier Jouvin, Grenoble;45.196712;5.731743;37.0;HAUT LE PIED;124;
27/12/23 05:20:26;Quai Xavier Jouvin, Grenoble;45.195904;5.73065;42.0;HAUT LE PIED;210;
27/12/23 05:20:46;Quai Perrière, Grenoble;45.194664;5.728623;39.0;HAUT LE PIED;225;
27/12/23 05:21:05;Quai Perrière, Grenoble;45.194012;5.725901;38.0;HAUT LE PIED;50;
27/12/23 05:21:13;Rue Maurice Gignoux, Grenoble;45.193901;5.725282;9.0;HAUT LE PIED;9;
27/12/23 05:21:17;Rue Maurice Gignoux, Grenoble;45.193977;5.725264;8.0;HAUT LE PIED;28;
27/12/23 05:21:23;Rue Maurice Gignoux, Grenoble;45.194225;5.725293;25.0;HAUT LE PIED;19;
27/12/23 05:21:26;Rue Maurice Gignoux, Grenoble;45.194271;5.72553;24.0;HAUT LE PIED;113;
27/12/23 05:21:42;Rue Maurice Gignoux, Grenoble;45.194626;5.726876;14.0;HAUT LE PIED;9;
27/12/23 05:21:45;Rue Maurice Gignoux, Grenoble;45.194675;5.726779;12.0;HAUT LE PIED;32;
27/12/23 05:21:51;Rue Maurice Gignoux, Grenoble;45.194645;5.726377;24.0;HAUT LE PIED;60;
27/12/23 05:21:59;Rue Maurice Gignoux, Grenoble;45.194736;5.725627;23.0;HAUT LE PIED;36;
27/12/23 05:22:04;Rue Maurice Gignoux, Grenoble;45.194611;5.725203;28.0;HAUT LE PIED;39;
27/12/23 05:22:12;Rue Maurice Gignoux, Grenoble;45.194462;5.724758;10.0;HAUT LE PIED;6;
27/12/23 05:22:15;Rue Maurice Gignoux, Grenoble;45.194519;5.724754;8.0;HAUT LE PIED;7;
27/12/23 05:22:18;Rue Maurice Gignoux, Grenoble;45.194553;5.724834;11.0;HAUT LE PIED;78;
27/12/23 05:22:30;Rue Maurice Gignoux, Grenoble;45.194946;5.72566;26.0;HAUT LE PIED;30;
27/12/23 05:22:34;Rue Maurice Gignoux, Grenoble;45.194988;5.726037;25.0;HAUT LE PIED;15;
27/12/23 05:22:40;Rue Maurice Gignoux, Grenoble;45.195034;5.726212;15.0;HAUT LE PIED;26;
27/12/23 05:22:54;Rue Maurice Gignoux, Grenoble;45.19508;5.725883;24.0;HAUT LE PIED;25;
27/12/23 05:22:58;Rue Maurice Gignoux, Grenoble;45.195084;5.725564;20.0;HAUT LE PIED;17;
27/12/23 05:23:01;Rue Maurice Gignoux, Grenoble;45.195019;5.725365;20.0;HAUT LE PIED;26;
27/12/23 05:23:06;Rue Maurice Gignoux, Grenoble;45.194904;5.72507;10.0;HAUT LE PIED;9;
27/12/23 05:23:09;Inconnu, Grenoble;45.194958;5.724986;11.0;HAUT LE PIED;12;
27/12/23 05:23:12;Inconnu, Grenoble;45.195068;5.725006;16.0;HAUT LE PIED;17;
27/12/23 05:23:15;Inconnu, Grenoble;45.195164;5.725178;23.0;HAUT LE PIED;67;
27/12/23 05:23:24;Inconnu, Grenoble;45.195374;5.725976;26.0;HAUT LE PIED;30;
27/12/23 05:23:28;Inconnu, Grenoble;45.195461;5.726336;25.0;HAUT LE PIED;21;
27/12/23 05:23:32;Inconnu, Grenoble;45.195583;5.726545;18.0;HAUT LE PIED;13;
27/12/23 05:23:35;Inconnu, Grenoble;45.19569;5.726622;10.0;HAUT LE PIED;8;
27/12/23 05:23:43;Inconnu, Grenoble;45.195698;5.726727;;MARCHE ARRIERE;9;
27/12/23 05:23:54;Inconnu, Grenoble;45.195751;5.726636;;ARRET;4;
27/12/23 05:24:05;Inconnu, Grenoble;45.195744;5.726681;0.0;ARRET;32;
