Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
27/12/23 09:27:59;;45.15303;5.737828;;DEPOT;0;
27/12/23 09:27:59;;45.15303;5.737828;;DEPOT;0;
27/12/23 09:27:59;;45.15303;5.737828;;DEPOT;0;
27/12/23 09:28:08;;45.15303;5.737828;0.0;DEPOT;33;
27/12/23 09:32:12;Rue Le Corbusier, Eybens;45.153267;5.737565;9.0;HAUT LE PIED;32;
27/12/23 09:32:17;Rue Le Corbusier, Eybens;45.153259;5.737159;19.0;HAUT LE PIED;17;
27/12/23 09:32:20;Rue Le Corbusier, Eybens;45.153275;5.736948;18.0;HAUT LE PIED;27;
27/12/23 09:32:30;Rue Le Corbusier, Eybens;45.153355;5.736621;10.0;HAUT LE PIED;176;
27/12/23 09:32:53;Inconnu, Eybens;45.153351;5.734378;17.0;HAUT LE PIED;26;
27/12/23 09:33:10;Rond-Point Jean Monnet, Eybens;45.153465;5.734087;19.0;HAUT LE PIED;19;
27/12/23 09:33:13;Avenue d'Innsbruck, Eybens;45.153564;5.733894;26.0;HAUT LE PIED;21;
27/12/23 09:33:16;Avenue d'Innsbruck, Eybens;45.153557;5.733624;27.0;HAUT LE PIED;22;
27/12/23 09:33:19;Rond-Point Jean Monnet, Eybens;45.153416;5.733436;29.0;HAUT LE PIED;22;
27/12/23 09:33:22;Rond-Point Jean Monnet, Eybens;45.153214;5.733449;29.0;HAUT LE PIED;25;
27/12/23 09:33:25;D 269A, Eybens;45.15303;5.733627;27.0;HAUT LE PIED;25;
27/12/23 09:33:28;D 269A, Eybens;45.152828;5.733755;31.0;HAUT LE PIED;161;
27/12/23 09:33:47;D 269A, Eybens;45.151379;5.733864;11.0;HAUT LE PIED;7;
27/12/23 09:33:50;Inconnu, Eybens;45.151325;5.733816;12.0;HAUT LE PIED;37;
27/12/23 09:33:56;Inconnu, Eybens;45.151085;5.733484;29.0;HAUT LE PIED;16;
27/12/23 09:33:58;Inconnu, Eybens;45.150948;5.733445;31.0;HAUT LE PIED;33;
27/12/23 09:34:02;Inconnu, Eybens;45.150669;5.733578;36.0;HAUT LE PIED;16;
27/12/23 09:34:04;Inconnu, Eybens;45.150589;5.733752;32.0;HAUT LE PIED;35;
27/12/23 09:34:08;D 269A, Eybens;45.150383;5.734091;32.0;HAUT LE PIED;250;
27/12/23 09:34:32;D 269A, Eybens;45.148338;5.735396;13.0;HAUT LE PIED;12;
27/12/23 09:34:35;Rue François Quesnay, Eybens;45.148232;5.735409;17.0;HAUT LE PIED;19;
27/12/23 09:34:38;Rue François Quesnay, Eybens;45.148067;5.735448;23.0;HAUT LE PIED;18;
27/12/23 09:34:41;Rue François Quesnay, Eybens;45.147976;5.735639;25.0;HAUT LE PIED;23;
27/12/23 09:34:44;Rue François Quesnay, Eybens;45.14782;5.735837;34.0;HAUT LE PIED;325;
27/12/23 09:35:12;Rue François Quesnay, Eybens;45.145382;5.738122;47.0;HAUT LE PIED;318;
27/12/23 09:35:42;Rue de la Maritelle, Eybens;45.142967;5.740288;37.0;HAUT LE PIED;129;
27/12/23 09:35:55;Rue de la République, Eybens;45.141991;5.741183;33.0;HAUT LE PIED;72;
27/12/23 09:36:03;Rue de la République, Eybens;45.141354;5.741326;32.0;HAUT LE PIED;66;
27/12/23 09:36:13;Rue de l'Oratoire, Bresson;45.140762;5.741399;19.0;HAUT LE PIED;17;
27/12/23 09:36:16;Rue de la République, Bresson;45.14069;5.741592;18.0;HAUT LE PIED;123;
27/12/23 09:36:37;Rue de la République, Bresson;45.140347;5.743078;16.0;HAUT LE PIED;48;
27/12/23 09:36:46;Rue de la République, Bresson;45.140099;5.743581;18.0;HAUT LE PIED;37;
27/12/23 09:36:53;Inconnu, Bresson;45.139816;5.74382;11.0;HAUT LE PIED;9;
27/12/23 09:37:24;Rue de la République, Bresson;45.139748;5.743876;0.0;ARRET;6;
27/12/23 09:38:58;Rue de la République, Bresson;45.139698;5.743851;;ARRET;0;
27/12/23 09:39:05;Rue de la République, Bresson;45.139698;5.743851;;ARRET;24;
27/12/23 09:39:33;Rue de la République, Bresson;45.139503;5.743987;16.0;HAUT LE PIED;74;
27/12/23 09:39:47;Rue de la République, Bresson;45.138901;5.744395;25.0;HAUT LE PIED;32;
27/12/23 09:39:52;Rue de la République, Bresson;45.138714;5.74471;21.0;HAUT LE PIED;132;
27/12/23 09:40:20;Rue de la République, Bresson;45.137901;5.745939;;ARRET;0;
27/12/23 09:40:23;Rue de la République, Bresson;45.137905;5.745938;0.0;ARRET;0;
27/12/23 09:40:27;Rue de la République, Bresson;45.137905;5.745937;;ARRET;31;
