Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
04/12/23 04:54:47;Inconnu, Sassenage;45.204453;5.68608;;DEPOT;0;
04/12/23 04:54:47;Inconnu, Sassenage;45.204453;5.68608;;DEPOT;0;
04/12/23 04:54:47;Inconnu, Sassenage;45.204453;5.68608;;DEPOT;0;
04/12/23 04:54:48;Inconnu, Sassenage;45.204453;5.68608;;DEPOT;0;
04/12/23 04:54:49;Inconnu, Sassenage;45.204453;5.68608;;DEPOT;0;
04/12/23 04:54:49;Inconnu, Sassenage;45.204453;5.68608;;DEPOT;0;
04/12/23 04:54:55;Inconnu, Sassenage;45.204453;5.68608;0.0;DEPOT;26;
04/12/23 04:57:05;Inconnu, Sassenage;45.204311;5.686347;14.0;HAUT LE PIED;19;
04/12/23 04:57:08;Inconnu, Sassenage;45.204456;5.686468;14.0;HAUT LE PIED;19;
04/12/23 04:57:11;Inconnu, Sassenage;45.204613;5.68636;22.0;HAUT LE PIED;54;
04/12/23 04:57:24;Rue de Sornin, Sassenage;45.205036;5.686023;11.0;HAUT LE PIED;12;
04/12/23 04:57:27;Rue de Sornin, Sassenage;45.205009;5.685869;14.0;HAUT LE PIED;19;
04/12/23 04:57:31;Rue de Sornin, Sassenage;45.204933;5.685653;20.0;HAUT LE PIED;98;
04/12/23 04:57:46;Rue de la Sure, Sassenage;45.204674;5.684461;13.0;HAUT LE PIED;20;
04/12/23 04:57:50;Rue de la Sure, Sassenage;45.204811;5.684295;23.0;HAUT LE PIED;24;
04/12/23 04:57:53;Rue de la Sure, Sassenage;45.204956;5.684065;34.0;HAUT LE PIED;104;
04/12/23 04:58:04;Rue de Chamechaude, Sassenage;45.205429;5.682919;31.0;HAUT LE PIED;35;
04/12/23 04:58:34;D 531, Sassenage;45.205677;5.682646;0.0;ARRET;32;
04/12/23 04:58:43;D 531, Sassenage;45.205967;5.68263;30.0;HAUT LE PIED;175;
04/12/23 04:58:57;D 531, Sassenage;45.207462;5.683343;56.0;HAUT LE PIED;191;
04/12/23 04:59:08;Pont des Martyrs, Grenoble;45.208679;5.685059;66.0;HAUT LE PIED;82;
04/12/23 04:59:14;D 531, Grenoble;45.209229;5.685763;41.0;HAUT LE PIED;32;
04/12/23 04:59:17;D 531, Grenoble;45.209515;5.685802;40.0;HAUT LE PIED;35;
04/12/23 04:59:20;Inconnu, Grenoble;45.209785;5.685578;39.0;HAUT LE PIED;47;
04/12/23 04:59:23;D 531, Grenoble;45.210072;5.685133;59.0;HAUT LE PIED;65;
04/12/23 04:59:27;D 531, Grenoble;45.210503;5.684575;49.0;HAUT LE PIED;37;
04/12/23 04:59:30;D 531, Grenoble;45.210827;5.684477;43.0;HAUT LE PIED;37;
04/12/23 04:59:33;D 531, Grenoble;45.211105;5.684733;44.0;HAUT LE PIED;36;
04/12/23 04:59:36;A 480, Grenoble;45.211224;5.685156;42.0;HAUT LE PIED;43;
04/12/23 04:59:39;VV7, Grenoble;45.211136;5.685685;48.0;HAUT LE PIED;42;
04/12/23 04:59:42;D 531, Grenoble;45.210983;5.686168;40.0;HAUT LE PIED;27;
04/12/23 04:59:45;D 531, Grenoble;45.210766;5.68632;32.0;HAUT LE PIED;27;
04/12/23 04:59:48;Inconnu, Grenoble;45.210526;5.686396;33.0;HAUT LE PIED;22;
04/12/23 04:59:51;Inconnu, Grenoble;45.210442;5.686652;29.0;HAUT LE PIED;26;
04/12/23 04:59:54;Avenue des Martyrs, Grenoble;45.210533;5.686962;33.0;HAUT LE PIED;34;
04/12/23 04:59:57;Avenue des Martyrs, Grenoble;45.210602;5.687379;44.0;HAUT LE PIED;40;
04/12/23 05:00:00;Avenue des Martyrs, Grenoble;45.210552;5.687882;52.0;HAUT LE PIED;235;
04/12/23 05:00:13;Avenue des Martyrs, Grenoble;45.210102;5.690806;79.0;HAUT LE PIED;295;
04/12/23 05:00:26;Avenue des Martyrs, Grenoble;45.209473;5.694467;77.0;HAUT LE PIED;60;
04/12/23 05:00:29;Avenue des Martyrs, Grenoble;45.209171;5.695108;73.0;HAUT LE PIED;289;
04/12/23 05:00:45;Avenue des Martyrs, Grenoble;45.207264;5.697612;61.0;HAUT LE PIED;253;
04/12/23 05:01:15;Rue Jules Horowitz, Grenoble;45.205589;5.699793;25.0;HAUT LE PIED;16;
04/12/23 05:01:18;Place de la Résistance, Grenoble;45.205448;5.699828;22.0;HAUT LE PIED;18;
04/12/23 05:01:21;Place de la Résistance, Grenoble;45.205303;5.699741;19.0;HAUT LE PIED;19;
04/12/23 05:01:24;Place de la Résistance, Grenoble;45.205162;5.699874;26.0;HAUT LE PIED;55;
04/12/23 05:01:31;Place de la Résistance, Grenoble;45.204826;5.700387;20.0;HAUT LE PIED;7;
04/12/23 05:02:02;Place de la Résistance, Grenoble;45.204861;5.700467;0.0;ARRET;64;
04/12/23 05:02:18;Inconnu, Grenoble;45.205219;5.701104;39.0;HAUT LE PIED;35;
04/12/23 05:02:21;Inconnu, Grenoble;45.205517;5.701233;45.0;HAUT LE PIED;185;
04/12/23 05:02:33;Pont d'Oxford, Grenoble;45.207108;5.701913;61.0;HAUT LE PIED;176;
04/12/23 05:02:45;Inconnu, Saint-Martin-le-Vinoux;45.208637;5.70249;40.0;HAUT LE PIED;35;
04/12/23 05:02:48;Inconnu, Saint-Martin-le-Vinoux;45.208828;5.702128;47.0;HAUT LE PIED;404;
04/12/23 05:03:10;N 481, Saint-Martin-le-Vinoux;45.210312;5.697422;86.0;HAUT LE PIED;343;
04/12/23 05:03:24;N 481, Saint-Martin-le-Vinoux;45.211391;5.693318;88.0;HAUT LE PIED;486;
04/12/23 05:03:44;Inconnu, Saint-Martin-le-Vinoux;45.212769;5.687433;79.0;HAUT LE PIED;173;
04/12/23 05:03:54;Inconnu, Saint-Martin-le-Vinoux;45.213581;5.685549;58.0;HAUT LE PIED;85;
