Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
27/12/23 09:17:01;;45.152817;5.737446;;DEPOT;0;
27/12/23 09:17:01;;45.152817;5.737446;;DEPOT;0;
27/12/23 09:17:02;;45.152817;5.737446;;DEPOT;0;
27/12/23 09:17:02;;45.152817;5.737446;;DEPOT;0;
27/12/23 09:17:02;;45.152817;5.737446;;DEPOT;0;
27/12/23 09:17:02;;45.152817;5.737446;;DEPOT;0;
27/12/23 09:17:03;;45.152817;5.737446;;DEPOT;0;
27/12/23 09:17:10;;45.152817;5.737446;0.0;DEPOT;21;
27/12/23 09:17:45;;45.152973;5.7376;;DEPOT;84;
27/12/23 09:31:07;Rue Le Corbusier, Eybens;45.153381;5.736704;11.0;HAUT LE PIED;183;
27/12/23 09:31:32;Inconnu, Eybens;45.153351;5.734369;19.0;HAUT LE PIED;12;
27/12/23 09:31:35;Inconnu, Eybens;45.1534;5.734233;10.0;HAUT LE PIED;29;
27/12/23 09:31:41;Avenue d'Innsbruck, Eybens;45.153568;5.733954;26.0;HAUT LE PIED;23;
27/12/23 09:31:44;Avenue d'Innsbruck, Eybens;45.153568;5.733658;29.0;HAUT LE PIED;23;
27/12/23 09:31:47;Rond-Point Jean Monnet, Eybens;45.153408;5.733469;28.0;HAUT LE PIED;24;
27/12/23 09:31:50;Rond-Point Jean Monnet, Eybens;45.153191;5.733466;30.0;HAUT LE PIED;55;
27/12/23 09:31:56;Inconnu, Eybens;45.152737;5.733738;35.0;HAUT LE PIED;104;
27/12/23 09:32:06;Inconnu, Eybens;45.151806;5.733613;38.0;HAUT LE PIED;32;
27/12/23 09:32:09;Inconnu, Eybens;45.151539;5.733455;40.0;HAUT LE PIED;31;
27/12/23 09:32:12;Inconnu, Eybens;45.151348;5.733159;37.0;HAUT LE PIED;32;
27/12/23 09:32:15;Rue de Lorraine, Eybens;45.151264;5.732772;39.0;HAUT LE PIED;131;
27/12/23 09:32:27;Rue de Lorraine, Eybens;45.15118;5.731106;37.0;HAUT LE PIED;31;
27/12/23 09:32:30;Rue de Lorraine, Eybens;45.151287;5.730741;38.0;HAUT LE PIED;32;
27/12/23 09:32:33;Rue de Lorraine, Eybens;45.151478;5.730428;39.0;HAUT LE PIED;248;
27/12/23 09:32:54;Rue de Lorraine, Eybens;45.153172;5.728369;40.0;HAUT LE PIED;35;
27/12/23 09:32:57;Rue de Lorraine, Eybens;45.153263;5.727947;42.0;HAUT LE PIED;246;
27/12/23 09:33:19;Rue de Lorraine, Eybens;45.153412;5.72482;36.0;HAUT LE PIED;62;
27/12/23 09:33:49;Rue de Lorraine, Eybens;45.153282;5.724049;0.0;ARRET;30;
27/12/23 09:34:02;Rue de Provence, Échirolles;45.153206;5.72368;22.0;HAUT LE PIED;59;
27/12/23 09:34:10;Rue du Jura, Échirolles;45.152851;5.723119;27.0;HAUT LE PIED;71;
27/12/23 09:34:20;Rue du Jura, Échirolles;45.152317;5.722617;22.0;HAUT LE PIED;15;
27/12/23 09:34:23;Rue du Jura, Échirolles;45.152184;5.72264;16.0;HAUT LE PIED;9;
27/12/23 09:34:26;Inconnu, Échirolles;45.152103;5.722672;19.0;HAUT LE PIED;8;
27/12/23 09:34:29;Rue du Jura, Échirolles;45.152088;5.722573;11.0;HAUT LE PIED;3;
27/12/23 09:34:32;Rue du Jura, Échirolles;45.1521;5.722546;;MARCHE ARRIERE;7;
27/12/23 09:34:38;Rue du Jura, Échirolles;45.152134;5.722628;;ARRET;22;
27/12/23 09:34:47;Rue du Jura, Échirolles;45.152336;5.72262;17.0;HAUT LE PIED;14;
27/12/23 09:34:50;Rue du Jura, Échirolles;45.152447;5.722711;21.0;HAUT LE PIED;32;
27/12/23 09:35:07;Rue du Jura, Échirolles;45.15266;5.722981;;ARRET;0;
27/12/23 09:35:08;Rue du Jura, Échirolles;45.152657;5.722982;;ARRET;1;
27/12/23 09:35:20;Rue du Jura, Échirolles;45.152649;5.722988;0.0;ARRET;1;
27/12/23 09:39:32;Rue du Jura, Échirolles;45.152641;5.722999;;COLLECTE;0;
27/12/23 09:39:42;Rue du Jura, Échirolles;45.152641;5.722999;;ARRET;0;
27/12/23 09:39:49;Rue du Jura, Échirolles;45.152641;5.723;;COLLECTE;0;
27/12/23 09:40:19;Rue du Jura, Échirolles;45.152641;5.723;;ARRET;0;
27/12/23 09:40:24;Rue du Jura, Échirolles;45.152641;5.723;;COLLECTE;0;
27/12/23 09:40:38;Rue du Jura, Échirolles;45.152645;5.723;;ARRET;0;
27/12/23 09:41:16;Rue du Jura, Échirolles;45.152645;5.723;;COLLECTE;0;
27/12/23 09:41:45;Rue du Jura, Échirolles;45.152645;5.722999;;ARRET;1;
27/12/23 09:42:06;Rue du Jura, Échirolles;45.152653;5.72299;;COLLECTE;1;
27/12/23 09:42:39;Rue du Jura, Échirolles;45.15266;5.722979;;ARRET;1;
27/12/23 09:42:45;Rue du Jura, Échirolles;45.152664;5.722976;;COLLECTE;0;
27/12/23 09:44:07;Rue du Jura, Échirolles;45.15266;5.722976;;ARRET;0;
27/12/23 09:44:20;Rue du Jura, Échirolles;45.15266;5.722976;;COLLECTE;0;
27/12/23 09:44:45;Rue du Jura, Échirolles;45.15266;5.722976;;ARRET;0;
27/12/23 09:44:51;Rue du Jura, Échirolles;45.15266;5.722976;;COLLECTE;1;
27/12/23 09:45:10;Rue du Jura, Échirolles;45.152657;5.722982;;ARRET;1;
27/12/23 09:45:15;Rue du Jura, Échirolles;45.152657;5.722994;;COLLECTE;1;
27/12/23 09:46:06;Rue du Jura, Échirolles;45.152657;5.723001;;ARRET;16;
27/12/23 09:46:46;Rue du Jura, Échirolles;45.152775;5.723128;;COLLECTE;3;
27/12/23 09:46:56;Rue du Jura, Échirolles;45.152794;5.72315;;ARRET;0;
27/12/23 09:47:41;Rue du Jura, Échirolles;45.152794;5.723156;;COLLECTE;0;
27/12/23 09:48:02;Rue du Jura, Échirolles;45.152794;5.723157;;ARRET;0;
27/12/23 09:48:07;Rue du Jura, Échirolles;45.152794;5.723157;;COLLECTE;0;
27/12/23 09:48:22;Rue du Jura, Échirolles;45.152794;5.723158;;ARRET;0;
27/12/23 09:48:27;Rue du Jura, Échirolles;45.152794;5.723159;;COLLECTE;2;
27/12/23 09:48:45;Rue du Jura, Échirolles;45.152809;5.723179;;ARRET;0;
27/12/23 09:48:47;Rue du Jura, Échirolles;45.152809;5.723181;;ARRET;47;
27/12/23 09:49:37;Inconnu, Échirolles;45.153076;5.723648;17.0;HAUT LE PIED;101;
27/12/23 09:49:51;Rue de Lorraine, Eybens;45.153332;5.724887;29.0;HAUT LE PIED;24;
27/12/23 09:49:54;Rue de Lorraine, Eybens;45.153343;5.72519;29.0;HAUT LE PIED;122;
27/12/23 09:50:10;Rue de Lorraine, Eybens;45.153252;5.726745;16.0;HAUT LE PIED;11;
27/12/23 09:50:13;Inconnu, Échirolles;45.153179;5.726833;11.0;HAUT LE PIED;26;
27/12/23 09:50:36;Inconnu, Échirolles;45.152946;5.726867;17.0;HAUT LE PIED;12;
27/12/23 09:50:39;Inconnu, Échirolles;45.15284;5.726881;13.0;HAUT LE PIED;5;
27/12/23 09:50:41;Inconnu, Échirolles;45.152821;5.726945;;ARRET;4;
27/12/23 09:50:44;Inconnu, Échirolles;45.152851;5.726963;;MARCHE ARRIERE;8;
27/12/23 09:50:56;Inconnu, Échirolles;45.152885;5.726866;;ARRET;1;
27/12/23 09:51:00;Inconnu, Échirolles;45.152889;5.726882;;COLLECTE;1;
27/12/23 09:51:10;Inconnu, Échirolles;45.152897;5.726892;0.0;COLLECTE;0;
27/12/23 09:51:11;Inconnu, Échirolles;45.152897;5.726892;;ARRET;0;
