Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
16/11/23 11:21:39;Rue Denis Papin, Eybens;45.150608;5.738627;;ARRET;0;
16/11/23 11:21:39;Rue Denis Papin, Eybens;45.150608;5.738627;;ARRET;0;
16/11/23 11:21:40;Rue Denis Papin, Eybens;45.150608;5.738627;;ARRET;0;
16/11/23 11:21:50;Rue Denis Papin, Eybens;45.150608;5.738627;6.0;HAUT LE PIED;7;
16/11/23 11:22:20;Rue Denis Papin, Eybens;45.150658;5.738681;0.0;ARRET;1;
16/11/23 11:22:41;Rue Denis Papin, Eybens;45.150654;5.738678;;MARCHE ARRIERE;27;
16/11/23 11:23:02;Rue Denis Papin, Eybens;45.150669;5.739017;6.0;MARCHE ARRIERE;22;
16/11/23 11:23:21;Rue Denis Papin, Eybens;45.150726;5.739289;;ARRET;9;
16/11/23 11:23:25;Rue Denis Papin, Eybens;45.150669;5.739362;13.0;HAUT LE PIED;59;
16/11/23 11:23:39;Rue Évariste Galois, Eybens;45.150383;5.739998;15.0;HAUT LE PIED;22;
16/11/23 11:23:42;Rue Évariste Galois, Eybens;45.150192;5.740046;34.0;HAUT LE PIED;87;
16/11/23 11:23:54;Rue Évariste Galois, Eybens;45.149422;5.740199;23.0;HAUT LE PIED;22;
16/11/23 11:23:57;Rue Pierre Mendès France, Eybens;45.149246;5.740067;32.0;HAUT LE PIED;26;
16/11/23 11:24:00;Rue Pierre Mendès France, Eybens;45.149151;5.739767;35.0;HAUT LE PIED;257;
16/11/23 11:24:18;Rue Pierre Mendès France, Eybens;45.148529;5.736615;39.0;HAUT LE PIED;37;
16/11/23 11:24:23;Rue Pierre Mendès France, Eybens;45.148399;5.736184;8.0;HAUT LE PIED;27;
16/11/23 11:24:32;Rue François Quesnay, Eybens;45.148357;5.735845;11.0;HAUT LE PIED;15;
16/11/23 11:24:35;D 269A, Eybens;45.148422;5.735677;26.0;HAUT LE PIED;21;
16/11/23 11:24:38;D 269A, Eybens;45.148575;5.735512;30.0;HAUT LE PIED;225;
16/11/23 11:24:56;D 269A, Eybens;45.15041;5.734315;25.0;HAUT LE PIED;22;
16/11/23 11:24:59;Inconnu, Eybens;45.150604;5.734323;28.0;HAUT LE PIED;45;
16/11/23 11:25:04;Inconnu, Eybens;45.15097;5.734566;37.0;HAUT LE PIED;29;
16/11/23 11:25:07;Inconnu, Eybens;45.151215;5.734424;36.0;HAUT LE PIED;29;
16/11/23 11:25:10;Inconnu, Eybens;45.151348;5.734102;35.0;HAUT LE PIED;29;
16/11/23 11:25:13;Inconnu, Eybens;45.151295;5.733741;38.0;HAUT LE PIED;31;
16/11/23 11:25:16;Inconnu, Eybens;45.1511;5.733451;37.0;HAUT LE PIED;34;
16/11/23 11:25:19;Inconnu, Eybens;45.150986;5.733055;46.0;HAUT LE PIED;305;
16/11/23 11:25:36;Rocade Sud, Échirolles;45.150761;5.729179;67.0;HAUT LE PIED;264;
16/11/23 11:25:50;Rocade Sud, Échirolles;45.150928;5.725817;73.0;HAUT LE PIED;236;
