Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
21/12/23 04:40:40;;45.083935;5.765311;;DEPOT;0;
21/12/23 04:40:40;;45.083935;5.765311;;DEPOT;0;
21/12/23 04:40:41;;45.083935;5.765311;;DEPOT;0;
21/12/23 04:40:41;;45.083935;5.765311;;DEPOT;0;
21/12/23 04:40:41;;45.083935;5.765311;;DEPOT;0;
21/12/23 04:40:41;;45.083935;5.765311;;DEPOT;0;
21/12/23 04:40:51;;45.083935;5.765311;6.0;HAUT LE PIED;2;
21/12/23 04:41:22;;45.08395;5.765321;0.0;DEPOT;31;
21/12/23 04:48:55;Rue Ambroise Croizat, Vizille;45.08416;5.765583;12.0;HAUT LE PIED;66;
21/12/23 04:49:06;Rue Ambroise Croizat, Vizille;45.084148;5.766424;21.0;HAUT LE PIED;19;
21/12/23 04:49:09;Chemin du Bois de Cornage, Vizille;45.084007;5.766571;24.0;HAUT LE PIED;17;
21/12/23 04:49:12;Chemin du Bois de Cornage, Vizille;45.083855;5.766531;21.0;HAUT LE PIED;108;
21/12/23 04:49:30;Chemin du Bois de Cornage, Vizille;45.082912;5.766225;24.0;HAUT LE PIED;20;
21/12/23 04:49:33;Chemin du Bois de Cornage, Vizille;45.082764;5.766071;23.0;HAUT LE PIED;20;
21/12/23 04:49:36;Inconnu, Vizille;45.082676;5.765851;24.0;HAUT LE PIED;19;
21/12/23 04:49:39;Inconnu, Vizille;45.082558;5.765685;22.0;HAUT LE PIED;18;
21/12/23 04:49:42;Inconnu, Vizille;45.082424;5.765815;27.0;HAUT LE PIED;19;
21/12/23 04:49:45;Inconnu, Vizille;45.082439;5.766052;26.0;HAUT LE PIED;24;
21/12/23 04:49:48;Avenue Maurice Thorez, Vizille;45.08247;5.766353;28.0;HAUT LE PIED;23;
21/12/23 04:49:51;Avenue Maurice Thorez, Vizille;45.082428;5.766645;26.0;HAUT LE PIED;380;
21/12/23 04:50:22;Avenue Maurice Thorez, Vizille;45.08128;5.771206;43.0;HAUT LE PIED;62;
21/12/23 04:50:30;Rond-Point des Pompiers, Vizille;45.081089;5.771949;25.0;HAUT LE PIED;24;
21/12/23 04:50:33;Avenue Maurice Thorez, Vizille;45.081009;5.772235;27.0;HAUT LE PIED;140;
21/12/23 04:51:03;Avenue Maurice Thorez, Vizille;45.080601;5.773914;6.0;HAUT LE PIED;25;
21/12/23 04:51:10;Avenue Gabriel Péri, Vizille;45.080677;5.774214;25.0;HAUT LE PIED;22;
21/12/23 04:51:14;Avenue Gabriel Péri, Vizille;45.080853;5.774338;22.0;HAUT LE PIED;145;
21/12/23 04:51:35;Chemin du Prieuré, Vizille;45.082058;5.775048;16.0;HAUT LE PIED;9;
21/12/23 04:51:38;Chemin du Prieuré, Vizille;45.082054;5.775163;11.0;HAUT LE PIED;141;
21/12/23 04:52:03;Chemin du Prieuré, Vizille;45.081303;5.776608;16.0;HAUT LE PIED;16;
21/12/23 04:52:08;Chemin du Prieuré, Vizille;45.081261;5.7768;10.0;HAUT LE PIED;10;
21/12/23 04:52:11;Chemin du Prieuré, Vizille;45.081177;5.776831;15.0;HAUT LE PIED;14;
21/12/23 04:52:14;Chemin du Prieuré, Vizille;45.081066;5.776737;16.0;HAUT LE PIED;48;
21/12/23 04:52:44;Chemin du Prieuré, Vizille;45.080818;5.776236;6.0;HAUT LE PIED;1;
21/12/23 04:52:57;Chemin du Prieuré, Vizille;45.080822;5.776233;;COLLECTE;0;
21/12/23 04:53:08;Chemin du Prieuré, Vizille;45.080822;5.776232;;ARRET;0;
21/12/23 04:53:11;Chemin du Prieuré, Vizille;45.080822;5.776232;;ARRET;1;
21/12/23 04:53:14;Chemin du Prieuré, Vizille;45.080814;5.776226;0.0;ARRET;59;
21/12/23 04:53:26;Chemin du Prieuré, Vizille;45.080368;5.77581;20.0;HAUT LE PIED;18;
21/12/23 04:53:32;Chemin du Prieuré, Vizille;45.080235;5.775683;;ARRET;2;
21/12/23 04:53:39;Chemin du Prieuré, Vizille;45.080215;5.775692;;COLLECTE;3;
21/12/23 04:53:48;Inconnu, Vizille;45.080235;5.775674;;ARRET;0;
21/12/23 04:53:54;Inconnu, Vizille;45.080235;5.77567;;ARRET;0;
21/12/23 04:53:57;Inconnu, Vizille;45.080235;5.77567;0.0;ARRET;27;
21/12/23 04:54:03;Chemin du Prieuré, Vizille;45.079998;5.775575;20.0;HAUT LE PIED;54;
21/12/23 04:54:14;Chemin du Prieuré, Vizille;45.079536;5.775362;22.0;HAUT LE PIED;22;
21/12/23 04:54:19;Chemin du Prieuré, Vizille;45.079338;5.775375;9.0;HAUT LE PIED;13;
21/12/23 04:54:22;Chemin du Prieuré, Vizille;45.079239;5.775454;13.0;HAUT LE PIED;8;
21/12/23 04:54:28;Chemin du Prieuré, Vizille;45.079193;5.775532;;ARRET;11;
21/12/23 04:54:52;Rue du Château du Roi, Vizille;45.079098;5.77553;0.0;ARRET;5;
21/12/23 04:54:57;Rue du Château du Roi, Vizille;45.079067;5.775484;;MARCHE ARRIERE;8;
21/12/23 04:55:11;Chemin Sous les Vignes, Vizille;45.079121;5.775549;;ARRET;4;
21/12/23 04:55:22;Rue du Château du Roi, Vizille;45.079094;5.775523;;COLLECTE;0;
21/12/23 04:55:40;Rue du Château du Roi, Vizille;45.079094;5.77552;;ARRET;0;
21/12/23 04:55:47;Rue du Château du Roi, Vizille;45.079094;5.77552;;ARRET;27;
21/12/23 04:56:12;Rue du Château du Roi, Vizille;45.078934;5.77527;17.0;HAUT LE PIED;49;
21/12/23 04:56:27;Rue du Château du Roi, Vizille;45.078655;5.774786;14.0;HAUT LE PIED;42;
21/12/23 04:56:40;Rue du Château du Roi, Vizille;45.078358;5.774448;8.0;HAUT LE PIED;10;
21/12/23 04:56:43;Rue du Château du Roi, Vizille;45.078278;5.774399;13.0;HAUT LE PIED;20;
21/12/23 04:56:50;Rue du Château du Roi, Vizille;45.078121;5.77428;10.0;HAUT LE PIED;9;
21/12/23 04:56:53;Rue de la Résistance, Vizille;45.078136;5.774164;8.0;HAUT LE PIED;20;
21/12/23 04:57:06;Rue du Château du Roi, Vizille;45.077995;5.774;;ARRET;3;
21/12/23 04:57:24;Rue du Château du Roi, Vizille;45.07798;5.774036;0.0;ARRET;2;
21/12/23 04:57:34;Rue du Château du Roi, Vizille;45.077988;5.774052;;COLLECTE;1;
21/12/23 04:57:51;Rue du Château du Roi, Vizille;45.077991;5.774047;;ARRET;0;
21/12/23 04:58:23;Rue du Château du Roi, Vizille;45.077991;5.774045;;COLLECTE;0;
21/12/23 04:58:37;Rue du Château du Roi, Vizille;45.077991;5.774044;;ARRET;0;
21/12/23 04:58:48;Rue du Château du Roi, Vizille;45.077991;5.774044;;COLLECTE;0;
