Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
13/12/23 09:09:44;Rue Ambroise Croizat, Vizille;45.084053;5.765507;;DEPOT;0;
13/12/23 09:09:44;Rue Ambroise Croizat, Vizille;45.084053;5.765507;;DEPOT;0;
13/12/23 09:09:44;Rue Ambroise Croizat, Vizille;45.084053;5.765507;;DEPOT;0;
13/12/23 09:09:53;Rue Ambroise Croizat, Vizille;45.084053;5.765507;0.0;DEPOT;33;
13/12/23 09:13:32;Rue Ambroise Croizat, Vizille;45.084179;5.765883;31.0;HAUT LE PIED;49;
13/12/23 09:13:38;Rue Ambroise Croizat, Vizille;45.08411;5.766495;17.0;HAUT LE PIED;15;
13/12/23 09:13:41;Chemin du Bois de Cornage, Vizille;45.083988;5.766586;17.0;HAUT LE PIED;24;
13/12/23 09:13:44;Chemin du Bois de Cornage, Vizille;45.083778;5.766498;32.0;HAUT LE PIED;107;
13/12/23 09:14:01;Chemin du Bois de Cornage, Vizille;45.082844;5.766189;27.0;HAUT LE PIED;17;
13/12/23 09:14:03;Chemin du Bois de Cornage, Vizille;45.082733;5.766034;13.0;HAUT LE PIED;17;
13/12/23 09:14:07;Inconnu, Vizille;45.082672;5.765831;21.0;HAUT LE PIED;22;
13/12/23 09:14:10;Avenue Maurice Thorez, Vizille;45.082714;5.765552;32.0;HAUT LE PIED;268;
13/12/23 09:14:28;N 85, Vizille;45.083515;5.762335;68.0;HAUT LE PIED;397;
13/12/23 09:14:50;N 85, Vizille;45.084732;5.757579;65.0;HAUT LE PIED;113;
13/12/23 09:14:57;N 85, Vizille;45.085239;5.756328;56.0;HAUT LE PIED;48;
13/12/23 09:15:00;N 85, Vizille;45.08527;5.755714;61.0;HAUT LE PIED;106;
13/12/23 09:15:06;N 85, Vizille;45.085068;5.754399;68.0;HAUT LE PIED;508;
13/12/23 09:15:35;D 1085G, Montchaboud;45.083881;5.748154;57.0;HAUT LE PIED;160;
13/12/23 09:15:45;D 1085G, Montchaboud;45.083542;5.746181;56.0;HAUT LE PIED;116;
13/12/23 09:15:53;Route de Vizille, Montchaboud;45.083313;5.744735;47.0;HAUT LE PIED;54;
13/12/23 09:15:58;Route de Vizille, Montchaboud;45.083374;5.744054;26.0;HAUT LE PIED;42;
13/12/23 09:16:05;Inconnu, Jarrie;45.083523;5.743568;14.0;HAUT LE PIED;106;
13/12/23 09:16:36;Place du Maquis de l'Oisans, Jarrie;45.083973;5.742385;20.0;HAUT LE PIED;399;
13/12/23 09:17:06;Route de Vizille, Champ-sur-Drac;45.08572;5.737946;63.0;HAUT LE PIED;534;
13/12/23 09:17:36;Route de Vizille, Jarrie;45.08812;5.73206;41.0;HAUT LE PIED;76;
13/12/23 09:18:02;Rue de l'Électro-Chimie, Jarrie;45.088505;5.731261;24.0;HAUT LE PIED;15;
13/12/23 09:18:05;Rue de l'Électro-Chimie, Jarrie;45.088554;5.731084;19.0;HAUT LE PIED;16;
13/12/23 09:18:08;D 1085B, Champ-sur-Drac;45.088432;5.730977;21.0;HAUT LE PIED;23;
13/12/23 09:18:11;D 529, Champ-sur-Drac;45.08823;5.730914;32.0;HAUT LE PIED;153;
13/12/23 09:18:26;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.087002;5.730024;42.0;HAUT LE PIED;46;
13/12/23 09:18:30;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.086605;5.729846;41.0;HAUT LE PIED;165;
13/12/23 09:18:48;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.085194;5.729203;40.0;HAUT LE PIED;321;
13/12/23 09:19:18;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.082439;5.727974;39.0;HAUT LE PIED;373;
13/12/23 09:19:49;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.079235;5.726556;39.0;HAUT LE PIED;405;
13/12/23 09:20:19;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.075768;5.724999;53.0;HAUT LE PIED;479;
13/12/23 09:20:50;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.071663;5.723155;49.0;HAUT LE PIED;480;
13/12/23 09:21:21;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.067547;5.721312;59.0;HAUT LE PIED;170;
13/12/23 09:21:32;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.066078;5.720723;46.0;HAUT LE PIED;36;
13/12/23 09:21:35;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.065765;5.720835;42.0;HAUT LE PIED;210;
13/12/23 09:21:51;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.063957;5.721601;37.0;HAUT LE PIED;31;
13/12/23 09:21:54;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.063686;5.721509;38.0;HAUT LE PIED;154;
13/12/23 09:22:05;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.062546;5.720396;59.0;HAUT LE PIED;198;
13/12/23 09:22:16;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.060989;5.719173;68.0;HAUT LE PIED;394;
13/12/23 09:22:35;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.057892;5.716734;74.0;HAUT LE PIED;523;
13/12/23 09:23:00;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.053936;5.713151;71.0;HAUT LE PIED;172;
13/12/23 09:23:13;Route de Saint-Georges-de-Commiers, Saint-Georges-de-Commiers;45.0527;5.711843;24.0;HAUT LE PIED;23;
13/12/23 09:23:18;Route de Saint-Georges-de-Commiers, Saint-Georges-de-Commiers;45.052593;5.711599;14.0;HAUT LE PIED;13;
13/12/23 09:23:21;Inconnu, Saint-Georges-de-Commiers;45.05262;5.711442;18.0;HAUT LE PIED;16;
13/12/23 09:23:24;Inconnu, Saint-Georges-de-Commiers;45.052567;5.711253;22.0;HAUT LE PIED;28;
13/12/23 09:23:28;Route des Isles, Saint-Georges-de-Commiers;45.052383;5.711016;31.0;HAUT LE PIED;172;
13/12/23 09:23:43;Inconnu, Saint-Georges-de-Commiers;45.051407;5.709311;43.0;HAUT LE PIED;229;
13/12/23 09:24:09;Rue des Isles, Saint-Georges-de-Commiers;45.049843;5.707426;19.0;HAUT LE PIED;268;
13/12/23 09:24:34;Rue des Isles, Saint-Georges-de-Commiers;45.047729;5.705799;38.0;HAUT LE PIED;182;
13/12/23 09:24:50;Rue des Isles, Saint-Georges-de-Commiers;45.046635;5.704077;27.0;HAUT LE PIED;44;
13/12/23 09:24:55;Rue des Isles, Saint-Georges-de-Commiers;45.046417;5.703614;35.0;HAUT LE PIED;80;
13/12/23 09:25:14;Rue des Isles, Saint-Georges-de-Commiers;45.045948;5.702839;31.0;HAUT LE PIED;120;
13/12/23 09:25:25;Allée des Cerisiers, Saint-Georges-de-Commiers;45.045307;5.701606;41.0;HAUT LE PIED;29;
13/12/23 09:25:28;Allée des Cerisiers, Saint-Georges-de-Commiers;45.045128;5.701338;32.0;HAUT LE PIED;30;
13/12/23 09:25:32;Rue des Isles, Saint-Georges-de-Commiers;45.044937;5.701063;38.0;HAUT LE PIED;114;
13/12/23 09:25:41;Rue des Isles, Saint-Georges-de-Commiers;45.044109;5.70021;29.0;HAUT LE PIED;21;
13/12/23 09:25:45;Rue des Isles, Saint-Georges-de-Commiers;45.043934;5.700125;15.0;HAUT LE PIED;19;
13/12/23 09:25:48;Rue des Isles, Saint-Georges-de-Commiers;45.043762;5.700146;26.0;HAUT LE PIED;34;
13/12/23 09:25:57;Rue des Isles, Saint-Georges-de-Commiers;45.043461;5.700171;8.0;HAUT LE PIED;9;
13/12/23 09:26:01;Rue de la Gare, Saint-Georges-de-Commiers;45.043442;5.700065;10.0;HAUT LE PIED;17;
13/12/23 09:26:04;Rue de la Gare, Saint-Georges-de-Commiers;45.043423;5.699847;30.0;HAUT LE PIED;82;
13/12/23 09:26:11;Rue de la Gare, Saint-Georges-de-Commiers;45.043419;5.698802;54.0;HAUT LE PIED;301;
13/12/23 09:26:28;Pont de la Rivoire, Vif;45.043964;5.695056;59.0;HAUT LE PIED;92;
13/12/23 09:26:36;Avenue de la Gare, Vif;45.044209;5.693936;29.0;HAUT LE PIED;26;
13/12/23 09:26:39;Avenue de la Gare, Vif;45.04443;5.69385;32.0;HAUT LE PIED;29;
13/12/23 09:26:42;Avenue de la Gare, Vif;45.044693;5.69389;41.0;HAUT LE PIED;25;
13/12/23 09:26:45;Avenue de la Gare, Vif;45.044918;5.693892;25.0;HAUT LE PIED;19;
13/12/23 09:26:48;Avenue de la Gare, Vif;45.045059;5.693767;20.0;HAUT LE PIED;17;
13/12/23 09:26:51;Avenue de la Gare, Vif;45.045059;5.693545;26.0;HAUT LE PIED;67;
13/12/23 09:26:58;Avenue de la Gare, Vif;45.044941;5.692711;43.0;HAUT LE PIED;108;
13/12/23 09:27:06;Avenue de la Gare, Vif;45.045216;5.691397;48.0;HAUT LE PIED;40;
13/12/23 09:27:09;Avenue de la Gare, Vif;45.045403;5.690969;46.0;HAUT LE PIED;191;
13/12/23 09:27:24;Avenue de la Gare, Vif;45.046589;5.689214;54.0;HAUT LE PIED;249;
13/12/23 09:27:42;Inconnu, Vif;45.047882;5.686636;42.0;HAUT LE PIED;141;
13/12/23 09:27:58;Avenue de la Gare, Vif;45.048664;5.685225;12.0;HAUT LE PIED;11;
13/12/23 09:28:01;Avenue de la Gare, Vif;45.048748;5.685145;12.0;HAUT LE PIED;24;
13/12/23 09:28:32;Avenue de la Gare, Vif;45.048923;5.68496;0.0;ARRET;28;
13/12/23 09:29:36;Avenue de la Gare, Vif;45.049072;5.684671;22.0;HAUT LE PIED;46;
13/12/23 09:29:46;Avenue de la Gare, Vif;45.049362;5.684252;11.0;HAUT LE PIED;69;
13/12/23 09:30:05;Avenue de la Gare, Vif;45.049805;5.683632;10.0;HAUT LE PIED;205;
13/12/23 09:30:32;Avenue de la Gare, Vif;45.050785;5.681419;49.0;HAUT LE PIED;337;
13/12/23 09:31:02;Rue des Pierres, Vif;45.052452;5.677842;19.0;HAUT LE PIED;17;
13/12/23 09:31:05;Avenue de la Gare, Vif;45.05246;5.677626;20.0;HAUT LE PIED;12;
13/12/23 09:31:08;Avenue de la Gare, Vif;45.052414;5.677483;9.0;HAUT LE PIED;25;
13/12/23 09:31:21;Rond-Point du Général de Gaulle, Vif;45.052555;5.677232;10.0;HAUT LE PIED;27;
13/12/23 09:31:26;Rond-Point du Général de Gaulle, Vif;45.052792;5.677322;21.0;HAUT LE PIED;15;
13/12/23 09:31:29;Avenue du 8 Mai 1945, Vif;45.052864;5.677154;20.0;HAUT LE PIED;16;
13/12/23 09:31:32;Rond-Point du Général de Gaulle, Vif;45.052788;5.676979;20.0;HAUT LE PIED;22;
13/12/23 09:31:35;Boulevard de la Résistance, Vif;45.052635;5.67681;31.0;HAUT LE PIED;30;
13/12/23 09:31:38;Boulevard de la Résistance, Vif;45.052502;5.676471;40.0;HAUT LE PIED;69;
13/12/23 09:32:09;Boulevard de la Résistance, Vif;45.052311;5.675632;0.0;ARRET;27;
13/12/23 09:32:44;Inconnu, Vif;45.052216;5.675312;23.0;HAUT LE PIED;24;
13/12/23 09:33:15;Boulevard de la Résistance, Vif;45.05212;5.675035;0.0;ARRET;28;
13/12/23 09:33:24;Rue Célestin Nicolas, Vif;45.051872;5.675042;19.0;HAUT LE PIED;12;
13/12/23 09:33:55;Rue Célestin Nicolas, Vif;45.051804;5.675166;0.0;ARRET;27;
13/12/23 09:35:16;Rue Célestin Nicolas, Vif;45.051971;5.675414;20.0;HAUT LE PIED;16;
13/12/23 09:35:20;Rue Célestin Nicolas, Vif;45.052082;5.675549;10.0;HAUT LE PIED;12;
13/12/23 09:35:50;Rue Célestin Nicolas, Vif;45.052151;5.675667;0.0;ARRET;27;
13/12/23 09:36:49;Rue Célestin Nicolas, Vif;45.052231;5.675998;13.0;HAUT LE PIED;43;
13/12/23 09:36:59;Rue Célestin Nicolas, Vif;45.052273;5.676547;24.0;HAUT LE PIED;15;
13/12/23 09:37:02;Rue Célestin Nicolas, Vif;45.052197;5.6767;16.0;HAUT LE PIED;7;
13/12/23 09:37:32;Rue Célestin Nicolas, Vif;45.052147;5.676749;0.0;ARRET;0;
13/12/23 09:38:04;Rue Célestin Nicolas, Vif;45.052147;5.67675;;MARCHE ARRIERE;16;
13/12/23 09:38:20;Rue Célestin Nicolas, Vif;45.052261;5.676624;;ARRET;17;
13/12/23 09:38:25;Rue Célestin Nicolas, Vif;45.052372;5.676776;19.0;HAUT LE PIED;15;
13/12/23 09:38:28;Rue Célestin Nicolas, Vif;45.052402;5.676958;20.0;HAUT LE PIED;15;
13/12/23 09:38:31;Rue Célestin Nicolas, Vif;45.052319;5.67711;14.0;HAUT LE PIED;14;
13/12/23 09:38:59;Rue Célestin Nicolas, Vif;45.052383;5.67727;;MARCHE ARRIERE;3;
13/12/23 09:39:02;Rue Célestin Nicolas, Vif;45.052361;5.677244;0.0;MARCHE ARRIERE;4;
13/12/23 09:39:08;Rue Célestin Nicolas, Vif;45.05233;5.677236;;ARRET;34;
13/12/23 09:40:12;Rond-Point du Général de Gaulle, Vif;45.052631;5.677299;22.0;HAUT LE PIED;18;
13/12/23 09:40:15;Avenue du 8 Mai 1945, Vif;45.052788;5.677348;22.0;HAUT LE PIED;19;
13/12/23 09:40:19;Avenue du 8 Mai 1945, Vif;45.052956;5.677387;18.0;HAUT LE PIED;47;
13/12/23 09:40:49;Rivalta, Vif;45.053288;5.677754;0.0;ARRET;27;
13/12/23 09:42:01;Avenue du 8 Mai 1945, Vif;45.053486;5.677953;22.0;HAUT LE PIED;108;
13/12/23 09:42:31;Avenue du 8 Mai 1945, Vif;45.054272;5.678749;0.0;ARRET;26;
13/12/23 09:43:14;Inconnu, Vif;45.054325;5.679075;9.0;HAUT LE PIED;28;
13/12/23 09:43:29;Avenue d'Argenson, Vif;45.054577;5.679019;10.0;HAUT LE PIED;10;
13/12/23 09:43:32;Avenue d'Argenson, Vif;45.054516;5.678934;17.0;HAUT LE PIED;20;
13/12/23 09:43:35;Avenue d'Argenson, Vif;45.054375;5.678769;31.0;HAUT LE PIED;39;
13/12/23 09:43:40;Avenue du 8 Mai 1945, Vif;45.054089;5.678479;20.0;HAUT LE PIED;134;
13/12/23 09:44:11;Avenue du 8 Mai 1945, Vif;45.053101;5.677505;0.0;ARRET;28;
13/12/23 09:45:01;Avenue du 8 Mai 1945, Vif;45.05291;5.677271;12.0;HAUT LE PIED;9;
13/12/23 09:45:03;Avenue du 8 Mai 1945, Vif;45.052879;5.677166;14.0;HAUT LE PIED;16;
13/12/23 09:45:06;D 63, Vif;45.052929;5.676971;25.0;HAUT LE PIED;93;
13/12/23 09:45:37;D 63, Vif;45.05336;5.675951;0.0;ARRET;31;
