Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
26/12/23 04:15:32;Inconnu, La Tronche;45.198254;5.756273;;DEPOT;0;
26/12/23 04:15:32;Inconnu, La Tronche;45.198254;5.756273;;DEPOT;0;
26/12/23 04:15:32;Inconnu, La Tronche;45.198254;5.756273;;DEPOT;0;
26/12/23 04:15:43;Inconnu, La Tronche;45.198254;5.756273;6.0;HAUT LE PIED;2;
26/12/23 04:16:13;Inconnu, La Tronche;45.198242;5.756261;0.0;DEPOT;10;
26/12/23 05:07:40;Inconnu, La Tronche;45.198185;5.756364;;DEPOT;2;
26/12/23 05:07:47;Inconnu, La Tronche;45.198196;5.756343;;DEPOT;35;
26/12/23 05:08:03;Inconnu, La Tronche;45.198006;5.756702;15.0;HAUT LE PIED;13;
26/12/23 05:08:06;Inconnu, La Tronche;45.197918;5.756816;17.0;HAUT LE PIED;11;
26/12/23 05:08:09;Inconnu, La Tronche;45.197929;5.756956;11.0;HAUT LE PIED;19;
26/12/23 05:08:14;Inconnu, La Tronche;45.198055;5.757126;18.0;HAUT LE PIED;11;
26/12/23 05:08:17;Inconnu, La Tronche;45.198154;5.757089;15.0;HAUT LE PIED;23;
26/12/23 05:08:21;Inconnu, La Tronche;45.198357;5.75701;17.0;HAUT LE PIED;16;
26/12/23 05:08:25;Inconnu, La Tronche;45.198502;5.756999;12.0;HAUT LE PIED;11;
26/12/23 05:08:28;Chemin de la Tuilerie, La Tronche;45.198563;5.757105;14.0;HAUT LE PIED;20;
26/12/23 05:08:31;Chemin de la Tuilerie, La Tronche;45.198647;5.757336;32.0;HAUT LE PIED;65;
26/12/23 05:08:37;Inconnu, La Tronche;45.198875;5.758095;42.0;HAUT LE PIED;152;
26/12/23 05:08:52;Inconnu, La Tronche;45.199261;5.759959;25.0;HAUT LE PIED;17;
26/12/23 05:08:55;Inconnu, La Tronche;45.199184;5.760145;21.0;HAUT LE PIED;18;
26/12/23 05:08:58;Inconnu, La Tronche;45.199028;5.760207;25.0;HAUT LE PIED;20;
26/12/23 05:09:01;Inconnu, La Tronche;45.198868;5.760332;28.0;HAUT LE PIED;56;
26/12/23 05:09:07;Inconnu, La Tronche;45.198395;5.760569;33.0;HAUT LE PIED;33;
26/12/23 05:09:11;Inconnu, La Tronche;45.198128;5.760756;21.0;HAUT LE PIED;20;
26/12/23 05:09:14;;45.198017;5.760964;26.0;HAUT LE PIED;16;
26/12/23 05:09:17;Chemin de la Tuilerie, La Tronche;45.198112;5.761113;22.0;HAUT LE PIED;20;
26/12/23 05:09:20;Chemin de la Tuilerie, La Tronche;45.198288;5.761083;27.0;HAUT LE PIED;115;
26/12/23 05:09:33;Chemin de la Tuilerie, La Tronche;45.199207;5.760422;43.0;HAUT LE PIED;72;
26/12/23 05:09:40;Chemin de la Tuilerie, La Tronche;45.199764;5.759949;40.0;HAUT LE PIED;102;
26/12/23 05:09:58;Chemin de la Tuilerie, Meylan;45.200478;5.759133;22.0;HAUT LE PIED;30;
26/12/23 05:10:29;Avenue de Verdun, La Tronche;45.200718;5.758954;0.0;ARRET;25;
26/12/23 05:10:55;Avenue de Verdun, Meylan;45.200928;5.758834;12.0;HAUT LE PIED;15;
26/12/23 05:10:58;Avenue de Verdun, Meylan;45.200905;5.758641;28.0;HAUT LE PIED;27;
26/12/23 05:11:01;D 1090, La Tronche;45.200768;5.758363;34.0;HAUT LE PIED;134;
26/12/23 05:11:10;D 1090, La Tronche;45.199905;5.757171;63.0;HAUT LE PIED;667;
26/12/23 05:11:41;Avenue de Verdun, La Tronche;45.195641;5.751195;83.0;HAUT LE PIED;708;
26/12/23 05:12:12;Avenue de Verdun, La Tronche;45.191216;5.744702;74.0;HAUT LE PIED;286;
26/12/23 05:12:40;D 1090, Grenoble;45.189507;5.741974;18.0;HAUT LE PIED;13;
26/12/23 05:12:43;Rue du 19 Mars 1962, Grenoble;45.189575;5.741834;22.0;HAUT LE PIED;31;
26/12/23 05:12:46;Rue du 19 Mars 1962, Grenoble;45.189777;5.74157;43.0;HAUT LE PIED;39;
26/12/23 05:12:50;Rue du 19 Mars 1962, Grenoble;45.190094;5.741364;25.0;HAUT LE PIED;29;
26/12/23 05:12:55;Rue du 19 Mars 1962, Grenoble;45.190353;5.741312;25.0;HAUT LE PIED;61;
26/12/23 05:13:01;Rue du 19 Mars 1962, Grenoble;45.190903;5.741242;45.0;HAUT LE PIED;36;
