Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
29/11/23 04:33:40;Inconnu, Sassenage;45.20454;5.686183;;DEPOT;0;
29/11/23 04:33:40;Inconnu, Sassenage;45.20454;5.686183;;DEPOT;0;
29/11/23 04:33:40;Inconnu, Sassenage;45.20454;5.686183;;DEPOT;0;
29/11/23 04:33:40;Inconnu, Sassenage;45.20454;5.686183;;DEPOT;0;
29/11/23 04:33:40;Inconnu, Sassenage;45.20454;5.686183;;DEPOT;0;
29/11/23 04:33:40;Inconnu, Sassenage;45.20454;5.686183;;DEPOT;0;
29/11/23 04:33:49;Inconnu, Sassenage;45.20454;5.686183;0.0;DEPOT;75;
29/11/23 04:57:34;Rue de Sornin, Sassenage;45.20483;5.685313;17.0;HAUT LE PIED;69;
29/11/23 04:57:47;Rue de la Sure, Sassenage;45.204659;5.684461;13.0;HAUT LE PIED;11;
29/11/23 04:57:50;Rue de la Sure, Sassenage;45.204727;5.684353;16.0;HAUT LE PIED;15;
29/11/23 04:57:53;Rue de la Sure, Sassenage;45.204823;5.684218;22.0;HAUT LE PIED;27;
29/11/23 04:57:57;Rue de la Sure, Sassenage;45.204967;5.683933;31.0;HAUT LE PIED;82;
29/11/23 04:58:07;Rue de la Sure, Sassenage;45.20533;5.683024;18.0;HAUT LE PIED;212;
29/11/23 04:58:26;Rue de la Maladière, Sassenage;45.206661;5.681081;55.0;HAUT LE PIED;358;
29/11/23 04:58:50;Rue François Blumet, Sassenage;45.209023;5.677977;55.0;HAUT LE PIED;194;
29/11/23 04:59:05;Rue François Blumet, Sassenage;45.21032;5.676315;32.0;HAUT LE PIED;19;
29/11/23 04:59:08;Inconnu, Sassenage;45.210487;5.676248;20.0;HAUT LE PIED;18;
29/11/23 04:59:11;Inconnu, Sassenage;45.210648;5.676237;21.0;HAUT LE PIED;16;
29/11/23 04:59:14;Inconnu, Sassenage;45.210712;5.676054;20.0;HAUT LE PIED;22;
29/11/23 04:59:18;Rue François Blumet, Sassenage;45.210682;5.675774;22.0;HAUT LE PIED;21;
29/11/23 04:59:21;Rue François Blumet, Sassenage;45.210777;5.675547;26.0;HAUT LE PIED;195;
29/11/23 04:59:42;Rue Jean-François Champollion, Sassenage;45.212002;5.673764;26.0;HAUT LE PIED;20;
29/11/23 04:59:45;Inconnu, Sassenage;45.211948;5.673523;25.0;HAUT LE PIED;242;
29/11/23 05:00:16;Rue du 8 Mai 1945, Sassenage;45.21056;5.671144;30.0;HAUT LE PIED;45;
29/11/23 05:00:24;Rue du 8 Mai 1945, Sassenage;45.210323;5.670682;15.0;HAUT LE PIED;29;
29/11/23 05:00:29;Rue du 8 Mai 1945, Sassenage;45.210228;5.670341;24.0;HAUT LE PIED;213;
29/11/23 05:00:54;Rue du 8 Mai 1945, Sassenage;45.20945;5.66786;29.0;HAUT LE PIED;30;
29/11/23 05:00:58;Rue Charles de Gaulle, Sassenage;45.209377;5.667496;24.0;HAUT LE PIED;20;
29/11/23 05:01:01;Rue Charles de Gaulle, Sassenage;45.209469;5.667271;26.0;HAUT LE PIED;26;
29/11/23 05:01:04;Rue Charles de Gaulle, Sassenage;45.209663;5.667078;35.0;HAUT LE PIED;159;
29/11/23 05:01:21;Place Charles de Gaulle, Sassenage;45.210762;5.665781;20.0;HAUT LE PIED;17;
29/11/23 05:01:24;Rue du Gua, Sassenage;45.210754;5.665566;23.0;HAUT LE PIED;21;
29/11/23 05:01:27;Rue du Gua, Sassenage;45.210686;5.66532;25.0;HAUT LE PIED;31;
29/11/23 05:01:31;Rue du Gua, Sassenage;45.210499;5.665028;29.0;HAUT LE PIED;199;
29/11/23 05:01:54;Rue du Gua, Sassenage;45.209049;5.663538;22.0;HAUT LE PIED;39;
29/11/23 05:02:01;Rue du Gua, Sassenage;45.208847;5.663138;20.0;HAUT LE PIED;49;
29/11/23 05:02:09;Rue du Gua, Sassenage;45.208706;5.66254;23.0;HAUT LE PIED;15;
29/11/23 05:02:12;Avenue de Valence, Sassenage;45.208809;5.66241;21.0;HAUT LE PIED;37;
29/11/23 05:02:42;Avenue de Valence, Sassenage;45.209133;5.662337;8.0;HAUT LE PIED;162;
29/11/23 05:03:04;Avenue de Valence, Sassenage;45.210571;5.662052;39.0;HAUT LE PIED;321;
29/11/23 05:03:29;Avenue de Valence, Sassenage;45.213425;5.661485;36.0;HAUT LE PIED;32;
29/11/23 05:03:32;Avenue de Valence, Sassenage;45.213711;5.661436;41.0;HAUT LE PIED;142;
29/11/23 05:03:42;Avenue de Valence, Sassenage;45.214981;5.661201;56.0;HAUT LE PIED;496;
29/11/23 05:04:13;Avenue de Valence, Sassenage;45.219402;5.660349;54.0;HAUT LE PIED;313;
29/11/23 05:04:34;Avenue de Valence, Noyarey;45.222187;5.659795;55.0;HAUT LE PIED;112;
29/11/23 05:04:41;Avenue de Valence, Noyarey;45.223129;5.659274;61.0;HAUT LE PIED;117;
29/11/23 05:04:48;Avenue de Valence, Noyarey;45.223953;5.658341;61.0;HAUT LE PIED;533;
29/11/23 05:05:19;Avenue de Valence, Noyarey;45.227127;5.65325;62.0;HAUT LE PIED;470;
29/11/23 05:05:50;D 1532, Noyarey;45.229923;5.648746;48.0;HAUT LE PIED;118;
29/11/23 05:05:59;D 1532, Noyarey;45.23069;5.647711;41.0;HAUT LE PIED;41;
29/11/23 05:06:03;Inconnu, Noyarey;45.23103;5.647518;34.0;HAUT LE PIED;25;
29/11/23 05:06:06;Inconnu, Noyarey;45.231255;5.647477;27.0;HAUT LE PIED;21;
29/11/23 05:06:09;Inconnu, Noyarey;45.231365;5.64726;26.0;HAUT LE PIED;21;
29/11/23 05:06:12;Inconnu, Noyarey;45.231316;5.647007;25.0;HAUT LE PIED;20;
29/11/23 05:06:15;Inconnu, Noyarey;45.231152;5.646892;26.0;HAUT LE PIED;28;
29/11/23 05:06:20;Rue Louise Drevet, Noyarey;45.2309;5.646846;13.0;HAUT LE PIED;10;
29/11/23 05:06:23;Rue Louise Drevet, Noyarey;45.230854;5.646734;9.0;HAUT LE PIED;5;
29/11/23 05:06:54;Rue Louise Drevet, Noyarey;45.230858;5.646669;0.0;ARRET;0;
29/11/23 05:07:03;Rue Louise Drevet, Noyarey;45.230858;5.646671;;COLLECTE;0;
29/11/23 05:07:03;Rue Louise Drevet, Noyarey;45.230858;5.646671;;COLLECTE;0;
29/11/23 05:07:03;Rue Louise Drevet, Noyarey;45.230858;5.646671;;COLLECTE;1;
29/11/23 05:07:20;Rue Louise Drevet, Noyarey;45.230858;5.646657;;COLLECTE;0;
29/11/23 05:07:20;Rue Louise Drevet, Noyarey;45.230858;5.646657;;COLLECTE;0;
29/11/23 05:07:20;Rue Louise Drevet, Noyarey;45.230858;5.646657;;ARRET;0;
29/11/23 05:07:27;Rue Louise Drevet, Noyarey;45.230858;5.646655;;COLLECTE;0;
29/11/23 05:07:27;Rue Louise Drevet, Noyarey;45.230858;5.646655;;COLLECTE;0;
29/11/23 05:07:27;Rue Louise Drevet, Noyarey;45.230858;5.646655;;COLLECTE;0;
29/11/23 05:07:43;Rue Louise Drevet, Noyarey;45.230854;5.646655;;COLLECTE;0;
29/11/23 05:07:43;Rue Louise Drevet, Noyarey;45.230854;5.646655;;COLLECTE;0;
29/11/23 05:07:43;Rue Louise Drevet, Noyarey;45.230854;5.646655;;ARRET;0;
29/11/23 05:07:49;Rue Louise Drevet, Noyarey;45.230854;5.646655;;COLLECTE;0;
29/11/23 05:07:49;Rue Louise Drevet, Noyarey;45.230854;5.646655;;COLLECTE;0;
29/11/23 05:07:49;Rue Louise Drevet, Noyarey;45.230854;5.646655;;COLLECTE;2;
29/11/23 05:08:05;Rue Louise Drevet, Noyarey;45.230839;5.646651;;COLLECTE;0;
29/11/23 05:08:05;Rue Louise Drevet, Noyarey;45.230839;5.646651;;COLLECTE;0;
29/11/23 05:08:05;Rue Louise Drevet, Noyarey;45.230839;5.646651;;ARRET;25;
29/11/23 05:08:19;Rue Louise Drevet, Noyarey;45.230679;5.646432;16.0;HAUT LE PIED;13;
29/11/23 05:08:22;Rue Louise Drevet, Noyarey;45.230656;5.646275;17.0;HAUT LE PIED;14;
29/11/23 05:08:25;Rue Louise Drevet, Noyarey;45.230553;5.646168;22.0;HAUT LE PIED;14;
29/11/23 05:08:28;Rue Louise Drevet, Noyarey;45.23053;5.646343;19.0;HAUT LE PIED;30;
29/11/23 05:08:33;Rue Louise Drevet, Noyarey;45.230698;5.646636;26.0;HAUT LE PIED;32;
29/11/23 05:08:43;Rue Louise Drevet, Noyarey;45.230869;5.646971;;ARRET;9;
29/11/23 05:08:48;Inconnu, Noyarey;45.230911;5.647071;11.0;HAUT LE PIED;11;
29/11/23 05:08:51;Inconnu, Noyarey;45.230907;5.647205;14.0;HAUT LE PIED;17;
29/11/23 05:08:54;D 1532, Noyarey;45.230824;5.647388;21.0;HAUT LE PIED;20;
29/11/23 05:08:57;D 1532, Noyarey;45.230682;5.647553;26.0;HAUT LE PIED;95;
29/11/23 05:09:09;D 1532, Noyarey;45.230057;5.648382;29.0;HAUT LE PIED;187;
29/11/23 05:09:35;Avenue de Valence, Noyarey;45.228943;5.65017;;ARRET;4;
29/11/23 05:09:40;Avenue de Valence, Noyarey;45.228924;5.650213;0.0;ARRET;4;
29/11/23 05:09:53;Avenue de Valence, Noyarey;45.228962;5.650228;;COLLECTE;0;
29/11/23 05:10:00;Avenue de Valence, Noyarey;45.228962;5.650228;;COLLECTE;0;
29/11/23 05:10:00;Avenue de Valence, Noyarey;45.228962;5.650228;;COLLECTE;0;
29/11/23 05:10:03;Avenue de Valence, Noyarey;45.228962;5.650228;;COLLECTE;0;
29/11/23 05:10:07;Avenue de Valence, Noyarey;45.228962;5.650228;;COLLECTE;0;
29/11/23 05:10:08;Avenue de Valence, Noyarey;45.228962;5.650228;;ARRET;0;
29/11/23 05:10:12;Avenue de Valence, Noyarey;45.228962;5.650228;;ARRET;30;
29/11/23 05:10:21;Avenue de Valence, Noyarey;45.228771;5.650498;18.0;HAUT LE PIED;122;
29/11/23 05:10:38;Avenue de Valence, Noyarey;45.228027;5.651636;14.0;HAUT LE PIED;11;
29/11/23 05:10:41;Avenue de Valence, Noyarey;45.227928;5.651652;10.0;HAUT LE PIED;10;
29/11/23 05:10:44;Avenue de Valence, Noyarey;45.227848;5.651697;12.0;HAUT LE PIED;5;
29/11/23 05:10:47;Avenue de Valence, Noyarey;45.227818;5.651752;;ARRET;5;
29/11/23 05:11:14;Avenue de Valence, Noyarey;45.227779;5.651792;;COLLECTE;0;
29/11/23 05:11:15;Avenue de Valence, Noyarey;45.227779;5.651792;;COLLECTE;0;
29/11/23 05:11:15;Avenue de Valence, Noyarey;45.227779;5.651792;;COLLECTE;0;
29/11/23 05:11:33;Avenue de Valence, Noyarey;45.227776;5.651793;;COLLECTE;0;
29/11/23 05:11:33;Avenue de Valence, Noyarey;45.227776;5.651793;;COLLECTE;0;
29/11/23 05:11:33;Avenue de Valence, Noyarey;45.227776;5.651793;;ARRET;0;
29/11/23 05:11:39;Avenue de Valence, Noyarey;45.227776;5.651794;;COLLECTE;0;
29/11/23 05:11:39;Avenue de Valence, Noyarey;45.227776;5.651794;;COLLECTE;0;
29/11/23 05:11:39;Avenue de Valence, Noyarey;45.227776;5.651794;;COLLECTE;0;
29/11/23 05:11:56;Avenue de Valence, Noyarey;45.227776;5.651794;;COLLECTE;0;
29/11/23 05:11:56;Avenue de Valence, Noyarey;45.227776;5.651794;;COLLECTE;0;
29/11/23 05:11:56;Avenue de Valence, Noyarey;45.227776;5.651794;;ARRET;0;
29/11/23 05:12:03;Avenue de Valence, Noyarey;45.227776;5.651794;;COLLECTE;0;
