Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
21/12/23 04:52:51;Inconnu, La Tronche;45.198139;5.756482;;DEPOT;0;
21/12/23 04:52:51;Inconnu, La Tronche;45.198139;5.756482;;DEPOT;0;
21/12/23 04:52:51;Inconnu, La Tronche;45.198139;5.756482;;DEPOT;0;
21/12/23 04:52:51;Inconnu, La Tronche;45.198139;5.756482;;DEPOT;0;
21/12/23 04:52:51;Inconnu, La Tronche;45.198139;5.756482;;DEPOT;0;
21/12/23 04:52:51;Inconnu, La Tronche;45.198139;5.756482;;DEPOT;0;
21/12/23 04:53:01;Inconnu, La Tronche;45.198139;5.756482;6.0;HAUT LE PIED;4;
21/12/23 04:53:32;Inconnu, La Tronche;45.198177;5.756473;0.0;DEPOT;33;
21/12/23 05:05:00;Inconnu, La Tronche;45.19796;5.75676;11.0;HAUT LE PIED;17;
21/12/23 05:05:03;Inconnu, La Tronche;45.19796;5.756977;19.0;HAUT LE PIED;12;
21/12/23 05:05:06;Inconnu, La Tronche;45.198006;5.757112;14.0;HAUT LE PIED;12;
21/12/23 05:05:09;Inconnu, La Tronche;45.198109;5.757135;16.0;HAUT LE PIED;20;
21/12/23 05:05:13;Inconnu, La Tronche;45.19828;5.757057;22.0;HAUT LE PIED;21;
21/12/23 05:05:17;Inconnu, La Tronche;45.198463;5.756999;16.0;HAUT LE PIED;13;
21/12/23 05:05:20;Chemin de la Tuilerie, La Tronche;45.19857;5.757069;15.0;HAUT LE PIED;68;
21/12/23 05:05:30;Chemin de la Tuilerie, La Tronche;45.198902;5.757804;28.0;HAUT LE PIED;141;
21/12/23 05:05:43;Inconnu, La Tronche;45.19928;5.759514;34.0;HAUT LE PIED;43;
21/12/23 05:05:48;Inconnu, La Tronche;45.199284;5.760064;29.0;HAUT LE PIED;23;
21/12/23 05:05:51;Inconnu, La Tronche;45.1991;5.760195;29.0;HAUT LE PIED;44;
21/12/23 05:05:56;Inconnu, La Tronche;45.19873;5.7604;35.0;HAUT LE PIED;52;
21/12/23 05:06:07;Inconnu, La Tronche;45.198296;5.760649;24.0;HAUT LE PIED;22;
21/12/23 05:06:10;Inconnu, La Tronche;45.198116;5.760767;33.0;HAUT LE PIED;16;
21/12/23 05:06:13;;45.198025;5.760928;21.0;HAUT LE PIED;18;
21/12/23 05:06:16;Chemin de la Tuilerie, La Tronche;45.198067;5.761147;25.0;HAUT LE PIED;19;
21/12/23 05:06:19;Chemin de la Tuilerie, La Tronche;45.198238;5.76111;24.0;HAUT LE PIED;187;
21/12/23 05:06:37;Chemin de la Tuilerie, La Tronche;45.199726;5.760001;34.0;HAUT LE PIED;94;
21/12/23 05:07:07;Chemin de la Tuilerie, Meylan;45.200363;5.759219;8.0;HAUT LE PIED;34;
21/12/23 05:07:16;Inconnu, Meylan;45.200634;5.759012;16.0;HAUT LE PIED;13;
21/12/23 05:07:19;Avenue de Verdun, La Tronche;45.200745;5.758974;11.0;HAUT LE PIED;25;
