Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
21/12/23 08:55:55;;45.152988;5.737541;;DEPOT;0;
21/12/23 08:55:55;;45.152988;5.737541;;DEPOT;0;
21/12/23 08:55:55;;45.152988;5.737541;;DEPOT;0;
21/12/23 08:55:55;;45.152988;5.737541;;DEPOT;0;
21/12/23 08:55:55;;45.152988;5.737541;;DEPOT;0;
21/12/23 08:55:56;;45.152988;5.737541;;DEPOT;9;
21/12/23 08:56:34;;45.152924;5.737478;0.0;DEPOT;75;
21/12/23 09:25:18;Rue Le Corbusier, Eybens;45.153358;5.736745;15.0;HAUT LE PIED;11;
21/12/23 09:25:21;Rue Le Corbusier, Eybens;45.15337;5.736601;16.0;HAUT LE PIED;178;
21/12/23 09:25:39;Inconnu, Eybens;45.153362;5.73433;30.0;HAUT LE PIED;28;
21/12/23 09:25:42;Rond-Point Jean Monnet, Eybens;45.153503;5.734038;35.0;HAUT LE PIED;27;
21/12/23 09:25:45;Rond-Point Jean Monnet, Eybens;45.153557;5.733699;35.0;HAUT LE PIED;28;
21/12/23 09:25:48;Rond-Point Jean Monnet, Eybens;45.153366;5.733465;35.0;HAUT LE PIED;31;
21/12/23 09:25:51;Rond-Point Jean Monnet, Eybens;45.153099;5.733587;43.0;HAUT LE PIED;37;
21/12/23 09:25:54;D 269A, Eybens;45.152794;5.733766;50.0;HAUT LE PIED;150;
21/12/23 09:26:08;Inconnu, Eybens;45.151443;5.733847;16.0;HAUT LE PIED;14;
21/12/23 09:26:11;Inconnu, Eybens;45.15134;5.733755;18.0;HAUT LE PIED;64;
21/12/23 09:26:19;Inconnu, Eybens;45.151009;5.73309;40.0;HAUT LE PIED;420;
21/12/23 09:26:44;Rocade Sud, Échirolles;45.150806;5.72774;70.0;HAUT LE PIED;238;
21/12/23 09:26:56;Rocade Sud, Échirolles;45.151127;5.724744;68.0;HAUT LE PIED;527;
21/12/23 09:27:22;Rocade Sud, Échirolles;45.152374;5.718268;69.0;HAUT LE PIED;114;
21/12/23 09:27:28;Rocade Sud, Échirolles;45.15292;5.717045;66.0;HAUT LE PIED;138;
21/12/23 09:27:36;Inconnu, Échirolles;45.153824;5.71584;59.0;HAUT LE PIED;330;
21/12/23 09:27:58;Rocade Sud, Échirolles;45.156246;5.713403;49.0;HAUT LE PIED;150;
21/12/23 09:28:08;Inconnu, Échirolles;45.157417;5.712467;54.0;HAUT LE PIED;88;
21/12/23 09:28:14;Carrefour du Rondeau, Échirolles;45.157963;5.711652;51.0;HAUT LE PIED;172;
21/12/23 09:28:26;Carrefour du Rondeau, Grenoble;45.158691;5.70972;44.0;HAUT LE PIED;128;
21/12/23 09:28:37;Inconnu, Grenoble;45.158905;5.708115;41.0;HAUT LE PIED;90;
21/12/23 09:28:47;Inconnu, Grenoble;45.15892;5.706967;27.0;HAUT LE PIED;22;
21/12/23 09:28:50;Rocade Sud, Grenoble;45.158825;5.706716;25.0;HAUT LE PIED;23;
21/12/23 09:28:53;Rocade Sud, Grenoble;45.158783;5.706431;29.0;HAUT LE PIED;118;
21/12/23 09:29:04;Rue Hilaire de Chardonnet, Grenoble;45.158844;5.704927;41.0;HAUT LE PIED;36;
21/12/23 09:29:07;Rue Hilaire de Chardonnet, Grenoble;45.158897;5.704479;44.0;HAUT LE PIED;102;
21/12/23 09:29:15;Échangeur du Rondeau, Grenoble;45.158951;5.703181;46.0;HAUT LE PIED;49;
21/12/23 09:29:19;Échangeur du Rondeau, Grenoble;45.159119;5.702597;42.0;HAUT LE PIED;129;
21/12/23 09:29:30;Échangeur du Rondeau, Échirolles;45.159645;5.701134;40.0;HAUT LE PIED;34;
21/12/23 09:29:33;Échangeur du Rondeau, Échirolles;45.159584;5.700703;44.0;HAUT LE PIED;38;
21/12/23 09:29:36;Échangeur du Rondeau, Échirolles;45.15934;5.70036;50.0;HAUT LE PIED;70;
21/12/23 09:29:41;Échangeur du Rondeau, Échirolles;45.158737;5.700097;44.0;HAUT LE PIED;47;
21/12/23 09:29:44;Échangeur du Rondeau, Échirolles;45.158321;5.700192;54.0;HAUT LE PIED;42;
21/12/23 09:29:47;Échangeur du Rondeau, Échirolles;45.157974;5.700403;48.0;HAUT LE PIED;41;
21/12/23 09:29:50;Échangeur du Rondeau, Échirolles;45.157608;5.700332;51.0;HAUT LE PIED;127;
21/12/23 09:29:58;Échangeur du Rondeau, Échirolles;45.156586;5.699621;63.0;HAUT LE PIED;274;
21/12/23 09:30:12;A 480, Échirolles;45.154259;5.698481;75.0;HAUT LE PIED;648;
21/12/23 09:30:43;A 480, Échirolles;45.148724;5.695901;83.0;HAUT LE PIED;731;
21/12/23 09:31:14;A 480, Le Pont-de-Claix;45.142487;5.692953;81.0;HAUT LE PIED;641;
21/12/23 09:31:42;A 480, Le Pont-de-Claix;45.136974;5.690598;86.0;HAUT LE PIED;427;
