Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
27/12/23 08:07:05;Inconnu, Sassenage;45.204651;5.68592;;DEPOT;0;
27/12/23 08:07:06;Inconnu, Sassenage;45.204651;5.68592;;DEPOT;0;
27/12/23 08:07:06;Inconnu, Sassenage;45.204651;5.68592;;DEPOT;0;
27/12/23 08:07:13;Inconnu, Sassenage;45.204651;5.68592;0.0;DEPOT;29;
27/12/23 08:08:30;Inconnu, Sassenage;45.204445;5.686138;15.0;HAUT LE PIED;13;
27/12/23 08:08:33;Inconnu, Sassenage;45.204365;5.686258;15.0;HAUT LE PIED;15;
27/12/23 08:08:36;Inconnu, Sassenage;45.204449;5.686407;14.0;HAUT LE PIED;13;
27/12/23 08:08:39;Inconnu, Sassenage;45.204563;5.686362;16.0;HAUT LE PIED;32;
27/12/23 08:08:46;Inconnu, Sassenage;45.204792;5.686115;15.0;HAUT LE PIED;10;
27/12/23 08:08:49;Inconnu, Sassenage;45.204777;5.685985;9.0;HAUT LE PIED;13;
27/12/23 08:09:19;Rue Baptiste Marcet, Sassenage;45.204781;5.68582;0.0;DEPOT;5;
27/12/23 08:20:53;Inconnu, Sassenage;45.204762;5.685875;;DEPOT;11;
27/12/23 08:21:13;Inconnu, Sassenage;45.204762;5.686013;;DEPOT;27;
27/12/23 08:21:27;Inconnu, Sassenage;45.204525;5.686071;12.0;HAUT LE PIED;20;
27/12/23 08:21:36;Inconnu, Sassenage;45.20438;5.686224;8.0;HAUT LE PIED;4;
27/12/23 08:21:39;Inconnu, Sassenage;45.204376;5.686269;;DEPOT;14;
27/12/23 08:22:00;Inconnu, Sassenage;45.204426;5.686103;;DEPOT;0;
27/12/23 08:22:04;Inconnu, Sassenage;45.204426;5.686105;;DEPOT;0;
27/12/23 08:22:07;Inconnu, Sassenage;45.204426;5.686107;0.0;DEPOT;3;
27/12/23 11:58:02;Inconnu, Sassenage;45.204449;5.686098;;DEPOT;0;
27/12/23 11:58:02;Inconnu, Sassenage;45.204449;5.686098;;DEPOT;0;
27/12/23 11:58:02;Inconnu, Sassenage;45.204449;5.686098;;DEPOT;0;
27/12/23 11:58:10;Inconnu, Sassenage;45.204449;5.686098;0.0;DEPOT;25;
27/12/23 11:59:18;Inconnu, Sassenage;45.204437;5.686418;6.0;HAUT LE PIED;26;
27/12/23 11:59:36;Inconnu, Sassenage;45.204651;5.686292;10.0;HAUT LE PIED;24;
27/12/23 11:59:48;Inconnu, Sassenage;45.204819;5.6861;9.0;HAUT LE PIED;22;
27/12/23 12:00:01;Inconnu, Sassenage;45.204632;5.686026;8.0;HAUT LE PIED;17;
27/12/23 12:00:07;Inconnu, Sassenage;45.204494;5.686123;12.0;HAUT LE PIED;21;
27/12/23 12:00:37;Inconnu, Sassenage;45.204353;5.686299;0.0;DEPOT;31;
27/12/23 12:00:59;Inconnu, Sassenage;45.204632;5.686339;10.0;HAUT LE PIED;25;
27/12/23 12:01:29;Inconnu, Sassenage;45.204605;5.686026;0.0;DEPOT;36;
27/12/23 12:01:52;Inconnu, Sassenage;45.204357;5.686312;;DEPOT;2;
27/12/23 12:02:00;Inconnu, Sassenage;45.204372;5.686295;6.0;HAUT LE PIED;2;
27/12/23 12:02:05;Inconnu, Sassenage;45.204376;5.686271;;DEPOT;19;
27/12/23 12:02:30;Inconnu, Sassenage;45.204521;5.686399;0.0;DEPOT;28;
27/12/23 12:04:37;Inconnu, Sassenage;45.204731;5.686208;18.0;HAUT LE PIED;11;
27/12/23 12:04:41;Inconnu, Sassenage;45.204811;5.686122;10.0;HAUT LE PIED;14;
27/12/23 12:04:49;Inconnu, Sassenage;45.204742;5.685979;8.0;HAUT LE PIED;9;
27/12/23 12:04:53;Inconnu, Sassenage;45.204662;5.685976;8.0;HAUT LE PIED;18;
27/12/23 12:05:01;Inconnu, Sassenage;45.204514;5.686082;10.0;HAUT LE PIED;20;
27/12/23 12:05:08;Inconnu, Sassenage;45.204369;5.686234;8.0;HAUT LE PIED;5;
27/12/23 12:05:39;Inconnu, Sassenage;45.204365;5.686294;0.0;DEPOT;2;
27/12/23 12:05:49;Inconnu, Sassenage;45.204353;5.686314;;DEPOT;19;
27/12/23 12:06:25;Inconnu, Sassenage;45.204441;5.686111;;DEPOT;0;
27/12/23 12:06:27;Inconnu, Sassenage;45.204437;5.68611;;DEPOT;0;
