Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
01/12/23 08:49:54;;45.152767;5.737814;;DEPOT;0;
01/12/23 08:49:54;;45.152767;5.737814;;DEPOT;0;
01/12/23 08:49:54;;45.152767;5.737814;;DEPOT;0;
01/12/23 08:49:55;;45.152767;5.737814;;DEPOT;0;
01/12/23 08:49:55;;45.152767;5.737814;;DEPOT;0;
01/12/23 08:49:55;;45.152767;5.737814;;DEPOT;0;
01/12/23 08:50:04;;45.152767;5.737814;6.0;HAUT LE PIED;24;
01/12/23 08:50:35;;45.152882;5.737557;0.0;DEPOT;43;
01/12/23 09:23:42;Rue Le Corbusier, Eybens;45.153244;5.73736;19.0;HAUT LE PIED;35;
01/12/23 09:23:49;Rue Le Corbusier, Eybens;45.153225;5.736911;11.0;HAUT LE PIED;27;
01/12/23 09:24:08;Rue Le Corbusier, Eybens;45.153404;5.736684;9.0;HAUT LE PIED;182;
01/12/23 09:24:34;Rue Le Corbusier, Eybens;45.153328;5.734362;15.0;HAUT LE PIED;13;
01/12/23 09:24:37;Rue Le Corbusier, Eybens;45.153381;5.734211;15.0;HAUT LE PIED;30;
01/12/23 09:24:42;Avenue d'Innsbruck, Eybens;45.153549;5.733915;26.0;HAUT LE PIED;23;
01/12/23 09:24:45;Avenue d'Innsbruck, Eybens;45.153526;5.733629;29.0;HAUT LE PIED;23;
01/12/23 09:24:48;Rond-Point Jean Monnet, Eybens;45.15337;5.733446;28.0;HAUT LE PIED;25;
01/12/23 09:24:51;Rond-Point Jean Monnet, Eybens;45.153145;5.733487;31.0;HAUT LE PIED;45;
01/12/23 09:24:56;D 269A, Eybens;45.152786;5.733746;34.0;HAUT LE PIED;152;
01/12/23 09:25:15;D 269A, Eybens;45.151417;5.733833;9.0;HAUT LE PIED;27;
01/12/23 09:25:26;Inconnu, Eybens;45.151237;5.733609;23.0;HAUT LE PIED;41;
01/12/23 09:25:32;Inconnu, Eybens;45.151009;5.733191;31.0;HAUT LE PIED;267;
01/12/23 09:25:51;Inconnu, Eybens;45.150761;5.729806;59.0;HAUT LE PIED;222;
01/12/23 09:26:04;Rocade Sud, Échirolles;45.150841;5.726976;61.0;HAUT LE PIED;286;
01/12/23 09:26:21;Rocade Sud, Échirolles;45.15134;5.723395;58.0;HAUT LE PIED;347;
01/12/23 09:26:42;Rocade Sud, Échirolles;45.152157;5.719131;57.0;HAUT LE PIED;134;
01/12/23 09:26:51;Rocade Sud, Échirolles;45.152622;5.717555;55.0;HAUT LE PIED;116;
01/12/23 09:26:59;Rocade Sud, Échirolles;45.15329;5.716428;45.0;HAUT LE PIED;321;
01/12/23 09:27:25;Rocade Sud, Échirolles;45.155571;5.713931;48.0;HAUT LE PIED;211;
01/12/23 09:27:43;Carrefour du Rondeau, Échirolles;45.157227;5.712615;43.0;HAUT LE PIED;101;
01/12/23 09:27:51;Carrefour du Rondeau, Échirolles;45.157875;5.711716;47.0;HAUT LE PIED;162;
01/12/23 09:28:03;Rocade Sud, Grenoble;45.158569;5.709898;48.0;HAUT LE PIED;152;
01/12/23 09:28:14;Inconnu, Grenoble;45.158882;5.708014;45.0;HAUT LE PIED;86;
01/12/23 09:28:23;Inconnu, Grenoble;45.158875;5.706923;22.0;HAUT LE PIED;39;
01/12/23 09:28:29;Rocade Sud, Grenoble;45.158745;5.706457;29.0;HAUT LE PIED;94;
01/12/23 09:28:39;Rocade Sud, Grenoble;45.158733;5.705262;31.0;HAUT LE PIED;169;
01/12/23 09:28:55;Échangeur du Rondeau, Grenoble;45.158936;5.703124;40.0;HAUT LE PIED;51;
01/12/23 09:29:00;Échangeur du Rondeau, Grenoble;45.159126;5.702536;34.0;HAUT LE PIED;30;
01/12/23 09:29:03;Échangeur du Rondeau, Grenoble;45.159241;5.702186;35.0;HAUT LE PIED;39;
01/12/23 09:29:07;Échangeur du Rondeau, Échirolles;45.159405;5.701753;34.0;HAUT LE PIED;39;
01/12/23 09:29:11;Échangeur du Rondeau, Échirolles;45.159584;5.70132;37.0;HAUT LE PIED;31;
01/12/23 09:29:14;Échangeur du Rondeau, Échirolles;45.159626;5.70093;40.0;HAUT LE PIED;34;
01/12/23 09:29:17;Échangeur du Rondeau, Échirolles;45.1595;5.700529;44.0;HAUT LE PIED;37;
01/12/23 09:29:20;Échangeur du Rondeau, Échirolles;45.159214;5.700286;46.0;HAUT LE PIED;76;
01/12/23 09:29:26;Échangeur du Rondeau, Échirolles;45.158546;5.700084;42.0;HAUT LE PIED;35;
01/12/23 09:29:29;Échangeur du Rondeau, Échirolles;45.158253;5.700231;43.0;HAUT LE PIED;48;
01/12/23 09:29:33;Échangeur du Rondeau, Échirolles;45.157852;5.700439;43.0;HAUT LE PIED;33;
01/12/23 09:29:36;Échangeur du Rondeau, Échirolles;45.157558;5.700347;39.0;HAUT LE PIED;111;
01/12/23 09:29:46;Échangeur du Rondeau, Échirolles;45.156673;5.699681;38.0;HAUT LE PIED;256;
01/12/23 09:30:10;A 480, Échirolles;45.154495;5.698634;35.0;HAUT LE PIED;275;
