Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
04/12/23 04:26:17;Rue Baptiste Marcet, Sassenage;45.204369;5.686044;;DEPOT;0;
04/12/23 04:26:18;Rue Baptiste Marcet, Sassenage;45.204369;5.686044;;DEPOT;0;
04/12/23 04:26:18;Rue Baptiste Marcet, Sassenage;45.204369;5.686044;;DEPOT;0;
04/12/23 04:26:18;Rue Baptiste Marcet, Sassenage;45.204369;5.686044;;DEPOT;0;
04/12/23 04:26:18;Rue Baptiste Marcet, Sassenage;45.204369;5.686044;;DEPOT;0;
04/12/23 04:26:18;Rue Baptiste Marcet, Sassenage;45.204369;5.686044;;DEPOT;0;
04/12/23 04:26:26;Rue Baptiste Marcet, Sassenage;45.204369;5.686044;0.0;DEPOT;32;
04/12/23 04:44:06;Inconnu, Sassenage;45.204422;5.68644;8.0;HAUT LE PIED;8;
04/12/23 04:44:09;Inconnu, Sassenage;45.204487;5.686478;8.0;HAUT LE PIED;8;
04/12/23 04:44:12;Inconnu, Sassenage;45.204559;5.686444;12.0;HAUT LE PIED;64;
04/12/23 04:44:33;Rue de Sornin, Sassenage;45.205048;5.686009;13.0;HAUT LE PIED;13;
04/12/23 04:44:36;Rue de Sornin, Sassenage;45.205017;5.685852;16.0;HAUT LE PIED;115;
04/12/23 04:44:57;Rue de la Sure, Sassenage;45.204689;5.684457;8.0;HAUT LE PIED;10;
04/12/23 04:45:00;Rue de la Sure, Sassenage;45.204742;5.684354;11.0;HAUT LE PIED;35;
04/12/23 04:45:06;Rue de la Sure, Sassenage;45.20496;5.684029;27.0;HAUT LE PIED;93;
04/12/23 04:45:18;Rue de Chamechaude, Sassenage;45.205379;5.683;20.0;HAUT LE PIED;40;
04/12/23 04:45:49;Rue de la Sure, Sassenage;45.205647;5.682662;0.0;ARRET;27;
04/12/23 04:46:02;Rue de l'Argentière, Sassenage;45.205528;5.682362;22.0;HAUT LE PIED;51;
04/12/23 04:46:08;Rue de l'Argentière, Sassenage;45.205101;5.682135;37.0;HAUT LE PIED;86;
04/12/23 04:46:17;Rue de l'Argentière, Sassenage;45.204456;5.681528;20.0;HAUT LE PIED;24;
04/12/23 04:46:47;Rue de l'Argentière, Sassenage;45.204315;5.681293;0.0;ARRET;1;
04/12/23 04:46:59;Rue de l'Argentière, Sassenage;45.204311;5.681283;;ARRET;0;
04/12/23 04:46:59;Rue de l'Argentière, Sassenage;45.204311;5.681283;;COLLECTE;0;
04/12/23 04:47:09;Rue de l'Argentière, Sassenage;45.204311;5.681282;;COLLECTE;0;
04/12/23 04:47:09;Rue de l'Argentière, Sassenage;45.204311;5.681282;;ARRET;0;
04/12/23 04:47:12;Rue de l'Argentière, Sassenage;45.204311;5.681282;;ARRET;27;
04/12/23 04:47:20;Rue de l'Argentière, Sassenage;45.204166;5.681012;21.0;HAUT LE PIED;109;
04/12/23 04:47:38;Rue de l'Argentière, Sassenage;45.203602;5.679873;;ARRET;1;
04/12/23 04:47:43;Rue de l'Argentière, Sassenage;45.203602;5.679887;;ARRET;0;
04/12/23 04:47:43;Rue de l'Argentière, Sassenage;45.203602;5.679887;;COLLECTE;1;
04/12/23 04:47:51;Rue de l'Argentière, Sassenage;45.203598;5.679884;0.0;COLLECTE;0;
04/12/23 04:47:53;Rue de l'Argentière, Sassenage;45.203598;5.679884;;COLLECTE;0;
04/12/23 04:47:53;Rue de l'Argentière, Sassenage;45.203598;5.679884;;ARRET;22;
04/12/23 04:48:13;Rue de l'Argentière, Sassenage;45.203514;5.679626;;ARRET;0;
04/12/23 04:48:13;Rue de l'Argentière, Sassenage;45.203514;5.679626;;COLLECTE;1;
04/12/23 04:48:21;Rue de l'Argentière, Sassenage;45.203518;5.679636;;COLLECTE;0;
04/12/23 04:48:21;Rue de l'Argentière, Sassenage;45.203518;5.679636;;ARRET;0;
04/12/23 04:48:25;Rue de l'Argentière, Sassenage;45.203518;5.679635;;ARRET;6;
04/12/23 04:48:28;Rue de l'Argentière, Sassenage;45.203491;5.679566;10.0;HAUT LE PIED;127;
04/12/23 04:48:49;Rue de l'Argentière, Sassenage;45.202759;5.678321;;ARRET;0;
