Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
12/12/23 04:30:30;Inconnu, Vizille;45.083847;5.765338;;DEPOT;0;
12/12/23 04:30:30;Inconnu, Vizille;45.083847;5.765338;;DEPOT;0;
12/12/23 04:30:30;Inconnu, Vizille;45.083847;5.765338;;DEPOT;0;
12/12/23 04:30:30;Inconnu, Vizille;45.083847;5.765338;;DEPOT;0;
12/12/23 04:30:30;Inconnu, Vizille;45.083847;5.765338;;DEPOT;0;
12/12/23 04:30:31;Inconnu, Vizille;45.083847;5.765338;;DEPOT;0;
12/12/23 04:30:41;Inconnu, Vizille;45.083847;5.765338;6.0;HAUT LE PIED;24;
12/12/23 04:31:11;Rue Ambroise Croizat, Vizille;45.084023;5.765519;0.0;DEPOT;76;
12/12/23 04:47:32;Rue Ambroise Croizat, Vizille;45.084152;5.766466;21.0;HAUT LE PIED;17;
12/12/23 04:47:35;Chemin du Bois de Cornage, Vizille;45.084015;5.766551;24.0;HAUT LE PIED;71;
12/12/23 04:47:47;Chemin du Bois de Cornage, Vizille;45.083389;5.766373;16.0;HAUT LE PIED;69;
12/12/23 04:47:58;Chemin du Bois de Cornage, Vizille;45.08279;5.766138;22.0;HAUT LE PIED;19;
12/12/23 04:48:01;Chemin du Bois de Cornage, Vizille;45.082699;5.765935;25.0;HAUT LE PIED;33;
12/12/23 04:48:05;Avenue Maurice Thorez, Vizille;45.082718;5.765521;38.0;HAUT LE PIED;329;
12/12/23 04:48:25;N 85, Vizille;45.083706;5.761573;66.0;HAUT LE PIED;213;
12/12/23 04:48:36;N 85, Vizille;45.084324;5.759001;72.0;HAUT LE PIED;140;
12/12/23 04:48:43;N 85, Vizille;45.084824;5.757371;69.0;HAUT LE PIED;94;
12/12/23 04:48:48;N 85, Vizille;45.085228;5.756315;68.0;HAUT LE PIED;57;
12/12/23 04:48:51;N 85, Vizille;45.085255;5.755588;70.0;HAUT LE PIED;218;
