Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
08/12/23 16:23:21;Rue Jacquard, Les Avenières Veyrins-Thuellin;45.62373;5.587957;;ARRET;0;
08/12/23 16:23:21;Rue Jacquard, Les Avenières Veyrins-Thuellin;45.62373;5.587957;;ARRET;0;
08/12/23 16:23:21;Rue Jacquard, Les Avenières Veyrins-Thuellin;45.62373;5.587957;;ARRET;0;
08/12/23 16:24:51;Rue Jacquard, Les Avenières Veyrins-Thuellin;45.62373;5.587957;6.0;HAUT LE PIED;52;
08/12/23 16:25:22;;45.624088;5.587535;0.0;ARRET;20;
08/12/23 16:33:10;;45.624237;5.587383;;MOTEUR OFF;2;
08/12/23 16:40:33;;45.624222;5.587401;;ARRET;26;
08/12/23 16:56:22;;45.624443;5.587303;6.0;HAUT LE PIED;0;
08/12/23 16:56:53;;45.624443;5.587304;0.0;ARRET;21;
08/12/23 17:12:35;;45.624271;5.587422;;MOTEUR OFF;0;
