Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
22/12/23 09:13:27;;45.152794;5.737729;;DEPOT;0;
22/12/23 09:13:27;;45.152794;5.737729;;DEPOT;0;
22/12/23 09:13:27;;45.152794;5.737729;;DEPOT;0;
22/12/23 09:13:35;;45.152794;5.737729;0.0;DEPOT;35;
22/12/23 09:18:15;;45.153107;5.737757;19.0;HAUT LE PIED;16;
22/12/23 09:18:18;Rue Le Corbusier, Eybens;45.153225;5.737642;22.0;HAUT LE PIED;19;
22/12/23 09:18:21;Rue Le Corbusier, Eybens;45.153248;5.737396;26.0;HAUT LE PIED;37;
22/12/23 09:18:26;Rue Le Corbusier, Eybens;45.153252;5.736929;17.0;HAUT LE PIED;17;
22/12/23 09:18:31;Rue Le Corbusier, Eybens;45.15337;5.736794;13.0;HAUT LE PIED;16;
22/12/23 09:18:34;Rue Le Corbusier, Eybens;45.153381;5.736586;20.0;HAUT LE PIED;168;
22/12/23 09:18:48;Rue Le Corbusier, Eybens;45.153324;5.734452;30.0;HAUT LE PIED;23;
22/12/23 09:18:51;Inconnu, Eybens;45.153416;5.734196;28.0;HAUT LE PIED;34;
22/12/23 09:18:55;Avenue d'Innsbruck, Eybens;45.153641;5.733895;32.0;HAUT LE PIED;30;
22/12/23 09:18:58;Avenue d'Innsbruck, Eybens;45.153908;5.733821;42.0;HAUT LE PIED;247;
22/12/23 09:19:29;Avenue d'Innsbruck, Grenoble;45.156128;5.73375;35.0;HAUT LE PIED;34;
22/12/23 09:19:32;Inconnu, Grenoble;45.156429;5.733777;43.0;HAUT LE PIED;83;
22/12/23 09:19:38;Pôle Sud - Alpexpo, Grenoble;45.157177;5.733839;52.0;HAUT LE PIED;171;
22/12/23 09:20:01;Avenue d'Innsbruck, Grenoble;45.15871;5.733699;24.0;HAUT LE PIED;23;
22/12/23 09:20:04;Inconnu, Grenoble;45.158829;5.733461;28.0;HAUT LE PIED;40;
22/12/23 09:20:11;Inconnu, Grenoble;45.158932;5.732979;19.0;HAUT LE PIED;13;
22/12/23 09:20:42;Grand'Place, Grenoble;45.158939;5.732819;0.0;ARRET;4;
