Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
27/12/23 04:40:30;Inconnu, Sassenage;45.204556;5.686062;;DEPOT;0;
27/12/23 04:40:30;Inconnu, Sassenage;45.204556;5.686062;;DEPOT;0;
27/12/23 04:40:30;Inconnu, Sassenage;45.204556;5.686062;;DEPOT;0;
27/12/23 04:40:41;Inconnu, Sassenage;45.204556;5.686062;6.0;HAUT LE PIED;12;
27/12/23 04:41:12;Inconnu, Sassenage;45.204628;5.685952;0.0;DEPOT;46;
27/12/23 05:02:59;Rue de Sornin, Sassenage;45.205044;5.68598;11.0;HAUT LE PIED;11;
27/12/23 05:03:02;Rue de Sornin, Sassenage;45.205006;5.685845;15.0;HAUT LE PIED;18;
27/12/23 05:03:06;Rue de Sornin, Sassenage;45.204922;5.685644;20.0;HAUT LE PIED;98;
27/12/23 05:03:23;Rue de la Sure, Sassenage;45.204662;5.684446;9.0;HAUT LE PIED;13;
27/12/23 05:03:26;Rue de la Sure, Sassenage;45.204746;5.68434;21.0;HAUT LE PIED;21;
27/12/23 05:03:29;Rue de la Sure, Sassenage;45.20488;5.684144;33.0;HAUT LE PIED;117;
27/12/23 05:03:43;Rue de la Sure, Sassenage;45.205429;5.682878;23.0;HAUT LE PIED;30;
27/12/23 05:04:14;Rue de la Sure, Sassenage;45.205624;5.682614;0.0;ARRET;30;
27/12/23 05:04:27;Rue de la Maladière, Sassenage;45.205795;5.682325;24.0;HAUT LE PIED;175;
27/12/23 05:04:44;Rue de la Maladière, Sassenage;45.206917;5.680768;48.0;HAUT LE PIED;424;
27/12/23 05:05:15;Rue François Blumet, Sassenage;45.209705;5.677074;48.0;HAUT LE PIED;90;
27/12/23 05:05:23;Rue François Blumet, Sassenage;45.210312;5.676324;28.0;HAUT LE PIED;19;
27/12/23 05:05:26;Inconnu, Sassenage;45.210472;5.676238;18.0;HAUT LE PIED;21;
27/12/23 05:05:30;Inconnu, Sassenage;45.210659;5.676236;20.0;HAUT LE PIED;17;
27/12/23 05:05:33;Inconnu, Sassenage;45.210732;5.676052;21.0;HAUT LE PIED;27;
27/12/23 05:05:38;Rue François Blumet, Sassenage;45.210716;5.675706;21.0;HAUT LE PIED;22;
27/12/23 05:05:41;Rue François Blumet, Sassenage;45.210831;5.675484;31.0;HAUT LE PIED;190;
27/12/23 05:05:59;Rue Jean-François Champollion, Sassenage;45.212017;5.673738;22.0;HAUT LE PIED;21;
27/12/23 05:06:02;Inconnu, Sassenage;45.211948;5.673483;31.0;HAUT LE PIED;264;
27/12/23 05:06:33;Rue du 8 Mai 1945, Sassenage;45.210434;5.670897;13.0;HAUT LE PIED;19;
27/12/23 05:06:38;Rue du 8 Mai 1945, Sassenage;45.210342;5.6707;12.0;HAUT LE PIED;44;
27/12/23 05:06:47;Rue du 8 Mai 1945, Sassenage;45.210178;5.670188;28.0;HAUT LE PIED;32;
27/12/23 05:06:51;Inconnu, Sassenage;45.210041;5.66983;33.0;HAUT LE PIED;196;
27/12/23 05:07:11;Rue Charles de Gaulle, Sassenage;45.209404;5.667496;25.0;HAUT LE PIED;22;
27/12/23 05:07:14;Rue Charles de Gaulle, Sassenage;45.209499;5.667243;31.0;HAUT LE PIED;183;
27/12/23 05:07:32;Place Charles de Gaulle, Sassenage;45.210808;5.665825;13.0;HAUT LE PIED;17;
27/12/23 05:07:36;Place Charles de Gaulle, Sassenage;45.210957;5.665862;18.0;HAUT LE PIED;13;
27/12/23 05:07:39;Inconnu, Sassenage;45.211033;5.665736;17.0;HAUT LE PIED;11;
27/12/23 05:07:42;Place Charles de Gaulle, Sassenage;45.210991;5.665605;10.0;HAUT LE PIED;4;
27/12/23 05:08:13;Place Charles de Gaulle, Sassenage;45.210964;5.66558;0.0;ARRET;25;
27/12/23 05:10:18;Inconnu, Sassenage;45.210835;5.665317;21.0;HAUT LE PIED;168;
27/12/23 05:10:35;Rue du Gua, Sassenage;45.209541;5.664206;38.0;HAUT LE PIED;112;
27/12/23 05:10:51;Rue du Gua, Sassenage;45.208832;5.66319;15.0;HAUT LE PIED;12;
27/12/23 05:10:54;Rue du Gua, Sassenage;45.208801;5.663042;14.0;HAUT LE PIED;11;
27/12/23 05:10:57;Rue du Gua, Sassenage;45.208759;5.662918;10.0;HAUT LE PIED;26;
27/12/23 05:11:03;Rue du Gua, Sassenage;45.208691;5.662597;20.0;HAUT LE PIED;17;
27/12/23 05:11:06;Avenue de Valence, Sassenage;45.20879;5.662438;23.0;HAUT LE PIED;100;
27/12/23 05:11:16;Avenue de Valence, Sassenage;45.209679;5.662223;46.0;HAUT LE PIED;368;
27/12/23 05:11:42;Avenue de Valence, Sassenage;45.212955;5.661563;21.0;HAUT LE PIED;18;
27/12/23 05:11:45;Place Jean Prévost, Sassenage;45.213112;5.661542;21.0;HAUT LE PIED;22;
27/12/23 05:11:48;Place Jean Prévost, Sassenage;45.213306;5.661551;30.0;HAUT LE PIED;33;
27/12/23 05:11:52;Avenue de Valence, Sassenage;45.213596;5.661451;33.0;HAUT LE PIED;113;
27/12/23 05:12:01;Rue du Routoire, Sassenage;45.2146;5.661277;53.0;HAUT LE PIED;511;
27/12/23 05:12:31;Avenue de Valence, Sassenage;45.219151;5.660407;50.0;HAUT LE PIED;381;
27/12/23 05:12:57;Avenue de Valence, Noyarey;45.222534;5.659662;64.0;HAUT LE PIED;109;
27/12/23 05:13:03;Avenue de Valence, Noyarey;45.2234;5.659019;67.0;HAUT LE PIED;132;
27/12/23 05:13:10;Avenue de Valence, Noyarey;45.224262;5.657866;69.0;HAUT LE PIED;562;
27/12/23 05:13:40;Avenue de Valence, Noyarey;45.2276;5.652488;70.0;HAUT LE PIED;510;
27/12/23 05:14:10;D 1532, Noyarey;45.230709;5.647707;41.0;HAUT LE PIED;36;
27/12/23 05:14:14;D 1532, Noyarey;45.231007;5.647525;22.0;HAUT LE PIED;33;
27/12/23 05:14:19;D 105 F, Noyarey;45.231304;5.647483;26.0;HAUT LE PIED;21;
27/12/23 05:14:22;Inconnu, Noyarey;45.231396;5.64725;26.0;HAUT LE PIED;22;
27/12/23 05:14:25;Inconnu, Noyarey;45.23135;5.64698;26.0;HAUT LE PIED;23;
27/12/23 05:14:28;D 1532, Noyarey;45.231365;5.646693;31.0;HAUT LE PIED;103;
27/12/23 05:14:37;D 1532, Noyarey;45.231899;5.64562;51.0;HAUT LE PIED;499;
27/12/23 05:15:05;D 1532, Noyarey;45.234844;5.640812;64.0;HAUT LE PIED;376;
27/12/23 05:15:35;Avenue Saint-Jean, Noyarey;45.237076;5.637214;41.0;HAUT LE PIED;345;
27/12/23 05:16:06;Avenue Saint-Jean, Noyarey;45.23914;5.633921;40.0;HAUT LE PIED;132;
27/12/23 05:16:16;Avenue Saint-Jean, Noyarey;45.240047;5.632841;47.0;HAUT LE PIED;118;
27/12/23 05:16:24;Avenue Saint-Jean, Noyarey;45.241043;5.632308;51.0;HAUT LE PIED;75;
27/12/23 05:16:30;Avenue Saint-Jean, Noyarey;45.241684;5.632029;42.0;HAUT LE PIED;179;
27/12/23 05:16:42;Avenue Saint-Jean, Noyarey;45.24329;5.632212;53.0;HAUT LE PIED;348;
27/12/23 05:17:08;Avenue Saint-Jean, Noyarey;45.246376;5.632943;64.0;HAUT LE PIED;114;
27/12/23 05:17:15;Avenue Saint-Jean, Noyarey;45.247398;5.633043;56.0;HAUT LE PIED;138;
27/12/23 05:17:23;Avenue Saint-Jean, Noyarey;45.248554;5.632409;63.0;HAUT LE PIED;487;
27/12/23 05:17:54;Avenue Saint-Jean, Noyarey;45.252621;5.630101;39.0;HAUT LE PIED;46;
27/12/23 05:18:00;Avenue Saint-Jean, Noyarey;45.252998;5.629845;16.0;HAUT LE PIED;14;
27/12/23 05:18:03;Route du Ruisset, Veurey-Voroize;45.252979;5.629673;19.0;HAUT LE PIED;16;
27/12/23 05:18:06;Route du Ruisset, Veurey-Voroize;45.252918;5.629492;17.0;HAUT LE PIED;10;
27/12/23 05:18:37;Route du Ruisset, Veurey-Voroize;45.25288;5.629381;0.0;ARRET;30;
27/12/23 05:19:29;Route du Ruisset, Veurey-Voroize;45.25275;5.62905;25.0;HAUT LE PIED;22;
27/12/23 05:20:00;Route du Ruisset, Veurey-Voroize;45.252686;5.62879;0.0;ARRET;26;
27/12/23 05:20:12;Route du Ruisset, Veurey-Voroize;45.252613;5.628471;27.0;HAUT LE PIED;40;
27/12/23 05:20:43;Route du Ruisset, Veurey-Voroize;45.252472;5.627997;0.0;ARRET;0;
27/12/23 05:20:51;Route du Ruisset, Veurey-Voroize;45.252472;5.627996;;COLLECTE;0;
27/12/23 05:21:06;Route du Ruisset, Veurey-Voroize;45.252468;5.627996;;ARRET;31;
27/12/23 05:21:16;Route du Ruisset, Veurey-Voroize;45.252377;5.627626;26.0;HAUT LE PIED;35;
