Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
22/12/23 04:36:47;Inconnu, La Tronche;45.198067;5.756427;;DEPOT;0;
22/12/23 04:36:47;Inconnu, La Tronche;45.198067;5.756427;;DEPOT;0;
22/12/23 04:36:47;Inconnu, La Tronche;45.198067;5.756427;;DEPOT;0;
22/12/23 04:36:47;Inconnu, La Tronche;45.198067;5.756427;;DEPOT;0;
22/12/23 04:36:47;Inconnu, La Tronche;45.198067;5.756427;;DEPOT;0;
22/12/23 04:36:48;Inconnu, La Tronche;45.198067;5.756427;;DEPOT;0;
22/12/23 04:36:56;Inconnu, La Tronche;45.198067;5.756427;0.0;DEPOT;31;
22/12/23 04:55:47;Inconnu, La Tronche;45.198349;5.756438;15.0;HAUT LE PIED;13;
22/12/23 04:55:50;Inconnu, La Tronche;45.198414;5.756576;17.0;HAUT LE PIED;86;
22/12/23 04:56:08;Chemin de la Tuilerie, La Tronche;45.198723;5.757585;25.0;HAUT LE PIED;21;
22/12/23 04:56:11;Inconnu, La Tronche;45.198822;5.757819;26.0;HAUT LE PIED;140;
22/12/23 04:56:34;Inconnu, La Tronche;45.199299;5.759476;13.0;HAUT LE PIED;39;
22/12/23 04:56:43;Inconnu, La Tronche;45.19931;5.759968;19.0;HAUT LE PIED;15;
22/12/23 04:56:45;Inconnu, La Tronche;45.199238;5.760137;20.0;HAUT LE PIED;18;
22/12/23 04:56:48;Inconnu, La Tronche;45.199085;5.760206;21.0;HAUT LE PIED;18;
22/12/23 04:56:51;Inconnu, La Tronche;45.198925;5.760266;19.0;HAUT LE PIED;98;
22/12/23 04:57:09;Inconnu, La Tronche;45.198128;5.760788;13.0;HAUT LE PIED;12;
22/12/23 04:57:12;Chemin de la Tuilerie, La Tronche;45.198174;5.76093;13.0;HAUT LE PIED;14;
22/12/23 04:57:15;Chemin de la Tuilerie, La Tronche;45.198242;5.761079;15.0;HAUT LE PIED;11;
22/12/23 04:57:19;Chemin de la Tuilerie, La Tronche;45.198341;5.761068;13.0;HAUT LE PIED;178;
22/12/23 04:57:38;Chemin de la Tuilerie, La Tronche;45.199749;5.759989;40.0;HAUT LE PIED;104;
22/12/23 04:58:07;Chemin de la Tuilerie, Meylan;45.200493;5.75919;15.0;HAUT LE PIED;12;
22/12/23 04:58:10;A 41s, Meylan;45.200581;5.759283;18.0;HAUT LE PIED;136;
22/12/23 04:58:23;A 41s, Meylan;45.200947;5.760934;51.0;HAUT LE PIED;626;
22/12/23 04:58:54;A 41s, Meylan;45.20229;5.768684;86.0;HAUT LE PIED;754;
22/12/23 04:59:25;A 41, Meylan;45.203575;5.778132;88.0;HAUT LE PIED;755;
22/12/23 04:59:56;A 41, Meylan;45.205093;5.787518;88.0;HAUT LE PIED;609;
22/12/23 05:00:21;A 41, Meylan;45.206654;5.794963;87.0;HAUT LE PIED;511;
22/12/23 05:00:42;A 41, Meylan;45.208313;5.801042;87.0;HAUT LE PIED;415;
22/12/23 05:00:59;A 41, Meylan;45.210033;5.805736;88.0;HAUT LE PIED;367;
22/12/23 05:01:14;A 41, Meylan;45.211945;5.809546;87.0;HAUT LE PIED;365;
22/12/23 05:01:29;A 41, Montbonnot-Saint-Martin;45.214153;5.812995;88.0;HAUT LE PIED;367;
22/12/23 05:01:44;A 41, Montbonnot-Saint-Martin;45.216667;5.816019;87.0;HAUT LE PIED;691;
22/12/23 05:02:14;Inconnu, Montbonnot-Saint-Martin;45.221668;5.821242;55.0;HAUT LE PIED;68;
22/12/23 05:02:20;Inconnu, Montbonnot-Saint-Martin;45.22208;5.82189;33.0;HAUT LE PIED;26;
22/12/23 05:02:23;Inconnu, Montbonnot-Saint-Martin;45.22208;5.822216;32.0;HAUT LE PIED;29;
22/12/23 05:02:26;Inconnu, Montbonnot-Saint-Martin;45.22192;5.822507;39.0;HAUT LE PIED;35;
22/12/23 05:02:29;Inconnu, Montbonnot-Saint-Martin;45.221622;5.822636;43.0;HAUT LE PIED;89;
22/12/23 05:02:35;Route de Domène, Montbonnot-Saint-Martin;45.220825;5.822696;61.0;HAUT LE PIED;232;
22/12/23 05:02:48;Route de Domène, Montbonnot-Saint-Martin;45.218742;5.822617;55.0;HAUT LE PIED;118;
22/12/23 05:02:55;Route de Domène, Montbonnot-Saint-Martin;45.217762;5.82319;62.0;HAUT LE PIED;571;
22/12/23 05:03:24;Route de Domène, Montbonnot-Saint-Martin;45.213341;5.826888;62.0;HAUT LE PIED;182;
22/12/23 05:03:34;Route de Domène, Montbonnot-Saint-Martin;45.212387;5.828773;69.0;HAUT LE PIED;262;
22/12/23 05:03:56;D 11, Domène;45.210953;5.831428;18.0;HAUT LE PIED;41;
22/12/23 05:04:02;D 11, Domène;45.210659;5.831738;21.0;HAUT LE PIED;21;
22/12/23 05:04:05;Rond-Point Jean Moulin, Domène;45.210472;5.831736;31.0;HAUT LE PIED;28;
22/12/23 05:04:09;Inconnu, Domène;45.210239;5.831614;23.0;HAUT LE PIED;13;
22/12/23 05:04:12;Rue Marius Charles, Domène;45.210163;5.83149;11.0;HAUT LE PIED;8;
22/12/23 05:04:15;Rue Marius Charles, Domène;45.210205;5.8314;8.0;HAUT LE PIED;48;
22/12/23 05:04:45;Rue Marius Charles, Domène;45.210487;5.830935;6.0;HAUT LE PIED;2;
