Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
28/11/23 04:35:14;Inconnu, La Tronche;45.198215;5.756164;;DEPOT;0;
28/11/23 04:35:14;Inconnu, La Tronche;45.198215;5.756164;;DEPOT;0;
28/11/23 04:35:14;Inconnu, La Tronche;45.198215;5.756164;;DEPOT;0;
28/11/23 04:35:14;Inconnu, La Tronche;45.198215;5.756164;;DEPOT;0;
28/11/23 04:35:14;Inconnu, La Tronche;45.198215;5.756164;;DEPOT;0;
28/11/23 04:35:14;Inconnu, La Tronche;45.198215;5.756164;;DEPOT;0;
28/11/23 04:35:24;Inconnu, La Tronche;45.198215;5.756164;6.0;HAUT LE PIED;8;
28/11/23 04:35:55;Inconnu, La Tronche;45.19828;5.756212;0.0;DEPOT;33;
28/11/23 05:01:00;Inconnu, La Tronche;45.198402;5.756591;9.0;HAUT LE PIED;64;
28/11/23 05:01:16;Chemin de la Tuilerie, La Tronche;45.198616;5.757352;22.0;HAUT LE PIED;70;
28/11/23 05:01:26;Chemin de la Tuilerie, La Tronche;45.198902;5.758149;29.0;HAUT LE PIED;109;
28/11/23 05:01:40;Inconnu, La Tronche;45.199291;5.759426;22.0;HAUT LE PIED;46;
28/11/23 05:01:49;Inconnu, La Tronche;45.199707;5.759465;19.0;HAUT LE PIED;55;
28/11/23 05:01:59;Chemin de la Tuilerie, La Tronche;45.200199;5.759379;19.0;HAUT LE PIED;28;
28/11/23 05:02:29;Chemin de la Tuilerie, Meylan;45.200424;5.759211;0.0;ARRET;28;
28/11/23 05:02:44;Inconnu, Meylan;45.200649;5.759052;17.0;HAUT LE PIED;15;
28/11/23 05:02:48;Avenue de Verdun, Meylan;45.200775;5.758984;8.0;HAUT LE PIED;28;
28/11/23 05:03:05;Avenue de Verdun, Meylan;45.201004;5.759129;18.0;HAUT LE PIED;33;
28/11/23 05:03:10;Avenue de Verdun, Meylan;45.20126;5.759348;29.0;HAUT LE PIED;212;
28/11/23 05:03:33;Inconnu, Meylan;45.202625;5.761232;13.0;HAUT LE PIED;266;
28/11/23 05:04:03;Avenue de Verdun, Meylan;45.204353;5.763576;44.0;HAUT LE PIED;453;
28/11/23 05:04:34;Avenue de Verdun, Meylan;45.207191;5.76772;56.0;HAUT LE PIED;458;
28/11/23 05:05:04;Avenue de Verdun, Meylan;45.210033;5.771943;29.0;HAUT LE PIED;15;
28/11/23 05:05:07;Inconnu, Meylan;45.210094;5.772119;15.0;HAUT LE PIED;8;
