Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
15/11/23 07:56:14;;45.218792;5.675756;;ARRET;0;
15/11/23 07:56:14;;45.218792;5.675756;;ARRET;0;
15/11/23 07:56:14;;45.218792;5.675756;;ARRET;0;
15/11/23 07:56:25;;45.218792;5.675756;6.0;HAUT LE PIED;19;
15/11/23 07:56:55;Inconnu, Saint-Égrève;45.218708;5.675962;0.0;ARRET;35;
15/11/23 07:57:46;;45.218857;5.67636;13.0;HAUT LE PIED;38;
15/11/23 07:58:00;Rue des Glairaux, Saint-Égrève;45.219055;5.676759;16.0;HAUT LE PIED;17;
15/11/23 07:58:03;Rue des Glairaux, Saint-Égrève;45.218933;5.676896;25.0;HAUT LE PIED;56;
15/11/23 07:58:10;Rue des Glairaux, Saint-Égrève;45.218521;5.677309;31.0;HAUT LE PIED;26;
15/11/23 07:58:13;Inconnu, Saint-Égrève;45.218342;5.677524;29.0;HAUT LE PIED;26;
15/11/23 07:58:16;Inconnu, Saint-Égrève;45.218323;5.677852;33.0;HAUT LE PIED;30;
15/11/23 07:58:19;Rue des Glairaux, Saint-Égrève;45.218464;5.678184;38.0;HAUT LE PIED;88;
15/11/23 07:58:31;Rue des Glairaux, Saint-Égrève;45.218948;5.679072;15.0;HAUT LE PIED;14;
15/11/23 07:58:34;Avenue de l'Île Brune, Saint-Égrève;45.218952;5.679256;21.0;HAUT LE PIED;21;
15/11/23 07:58:37;Avenue de l'Île Brune, Saint-Égrève;45.218842;5.679467;29.0;HAUT LE PIED;395;
15/11/23 07:59:06;Avenue de l'Île Brune, Saint-Égrève;45.216103;5.682665;44.0;HAUT LE PIED;85;
15/11/23 07:59:14;Avenue de l'Île Brune, Saint-Égrève;45.215832;5.683685;25.0;HAUT LE PIED;20;
15/11/23 07:59:17;Inconnu, Saint-Égrève;45.215652;5.683727;29.0;HAUT LE PIED;30;
15/11/23 07:59:20;Inconnu, Saint-Égrève;45.215424;5.683529;44.0;HAUT LE PIED;37;
15/11/23 07:59:24;Inconnu, Saint-Égrève;45.215214;5.683162;47.0;HAUT LE PIED;39;
15/11/23 07:59:26;Inconnu, Saint-Égrève;45.215134;5.682678;47.0;HAUT LE PIED;42;
15/11/23 07:59:29;Inconnu, Saint-Égrève;45.215229;5.68216;55.0;HAUT LE PIED;158;
15/11/23 07:59:40;Inconnu, Saint-Égrève;45.215961;5.680435;39.0;HAUT LE PIED;29;
15/11/23 07:59:43;Inconnu, Saint-Égrève;45.215855;5.680093;37.0;HAUT LE PIED;29;
15/11/23 07:59:46;Inconnu, Saint-Égrève;45.215607;5.679981;39.0;HAUT LE PIED;32;
15/11/23 07:59:50;Inconnu, Saint-Égrève;45.215393;5.680258;51.0;HAUT LE PIED;154;
15/11/23 07:59:58;Inconnu, Saint-Égrève;45.214684;5.681941;70.0;HAUT LE PIED;163;
15/11/23 08:00:06;A 480, Saint-Martin-le-Vinoux;45.213669;5.683437;76.0;HAUT LE PIED;171;
15/11/23 08:00:15;A 480, Saint-Martin-le-Vinoux;45.212341;5.684529;79.0;HAUT LE PIED;251;
15/11/23 08:00:27;Inconnu, Grenoble;45.210197;5.68551;41.0;HAUT LE PIED;56;
15/11/23 08:00:40;D 531, Grenoble;45.209694;5.685561;23.0;HAUT LE PIED;79;
15/11/23 08:00:51;D 531, Grenoble;45.209003;5.685357;15.0;HAUT LE PIED;30;
15/11/23 08:00:56;Inconnu, Grenoble;45.208782;5.685134;24.0;HAUT LE PIED;232;
15/11/23 08:01:20;D 531, Sassenage;45.207291;5.683064;30.0;HAUT LE PIED;73;
15/11/23 08:01:28;D 531, Sassenage;45.206665;5.682776;41.0;HAUT LE PIED;104;
