Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
29/11/23 07:49:01;;45.219162;5.675859;;ARRET;0;
29/11/23 07:49:01;;45.219162;5.675859;;ARRET;0;
29/11/23 07:49:01;;45.219162;5.675859;;ARRET;0;
29/11/23 07:49:01;;45.219162;5.675859;;ARRET;0;
29/11/23 07:49:01;;45.219162;5.675859;;ARRET;0;
29/11/23 07:49:01;;45.219162;5.675859;;ARRET;0;
29/11/23 07:49:08;;45.219162;5.675859;0.0;ARRET;7;
29/11/23 07:49:13;;45.219166;5.675947;;MOTEUR OFF;9;
29/11/23 08:25:56;;45.219242;5.675916;;ARRET;40;
29/11/23 08:27:07;;45.218884;5.675833;25.0;HAUT LE PIED;15;
29/11/23 08:27:10;Inconnu, Saint-Égrève;45.218769;5.675931;16.0;HAUT LE PIED;11;
29/11/23 08:27:13;Inconnu, Saint-Égrève;45.218765;5.676076;15.0;HAUT LE PIED;65;
29/11/23 08:27:29;Inconnu, Saint-Égrève;45.219128;5.676719;8.0;HAUT LE PIED;14;
29/11/23 08:27:32;Rue des Glairaux, Saint-Égrève;45.219242;5.676639;20.0;HAUT LE PIED;147;
29/11/23 08:27:46;Inconnu, Saint-Égrève;45.220268;5.67546;41.0;HAUT LE PIED;366;
29/11/23 08:28:15;Rue des Glairaux, Saint-Égrève;45.222881;5.672627;28.0;HAUT LE PIED;22;
29/11/23 08:28:18;Rue des Glairaux, Saint-Égrève;45.223076;5.672702;27.0;HAUT LE PIED;24;
29/11/23 08:28:21;Rue des Glairaux, Saint-Égrève;45.223225;5.672923;29.0;HAUT LE PIED;66;
29/11/23 08:28:33;Inconnu, Saint-Égrève;45.223537;5.673633;14.0;HAUT LE PIED;19;
29/11/23 08:28:36;Avenue de l'Île Brune, Saint-Égrève;45.223515;5.673874;30.0;HAUT LE PIED;28;
29/11/23 08:28:39;Avenue de l'Île Brune, Saint-Égrève;45.223392;5.674192;40.0;HAUT LE PIED;110;
29/11/23 08:28:51;Avenue de l'Île Brune, Saint-Égrève;45.222702;5.675198;29.0;HAUT LE PIED;323;
29/11/23 08:29:22;Avenue de l'Île Brune, Saint-Égrève;45.220409;5.677726;43.0;HAUT LE PIED;173;
29/11/23 08:29:38;Inconnu, Saint-Égrève;45.219143;5.679001;31.0;HAUT LE PIED;25;
29/11/23 08:29:41;Rue des Glairaux, Saint-Égrève;45.218937;5.678887;32.0;HAUT LE PIED;99;
29/11/23 08:29:50;Rue des Glairaux, Saint-Égrève;45.218395;5.677887;36.0;HAUT LE PIED;26;
29/11/23 08:29:53;Rue des Glairaux, Saint-Égrève;45.218395;5.677554;31.0;HAUT LE PIED;26;
29/11/23 08:29:56;Rue des Glairaux, Saint-Égrève;45.218563;5.677318;35.0;HAUT LE PIED;72;
29/11/23 08:30:04;Rue des Glairaux, Saint-Égrève;45.219074;5.676747;20.0;HAUT LE PIED;16;
29/11/23 08:30:07;Inconnu, Saint-Égrève;45.219055;5.676551;20.0;HAUT LE PIED;59;
29/11/23 08:30:15;Inconnu, Saint-Égrève;45.218735;5.675955;19.0;HAUT LE PIED;17;
29/11/23 08:30:18;;45.21883;5.675792;22.0;HAUT LE PIED;32;
29/11/23 08:30:23;;45.219055;5.675539;13.0;HAUT LE PIED;8;
29/11/23 08:30:53;;45.21907;5.675641;0.0;ARRET;17;
29/11/23 08:31:49;;45.219158;5.675826;;MOTEUR OFF;7;
29/11/23 08:35:29;;45.219212;5.675858;;ARRET;45;
29/11/23 08:36:27;;45.218807;5.67591;27.0;HAUT LE PIED;16;
29/11/23 08:36:30;;45.218803;5.676114;25.0;HAUT LE PIED;59;
29/11/23 08:36:40;Rue des Glairaux, Saint-Égrève;45.219151;5.676682;14.0;HAUT LE PIED;19;
29/11/23 08:36:43;Rue des Glairaux, Saint-Égrève;45.219299;5.676556;30.0;HAUT LE PIED;349;
