Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
19/12/23 04:50:32;Chemin des Acacias, La Tronche;45.198128;5.756096;;DEPOT;0;
19/12/23 04:50:33;Chemin des Acacias, La Tronche;45.198128;5.756096;;DEPOT;0;
19/12/23 04:50:33;Chemin des Acacias, La Tronche;45.198128;5.756096;;DEPOT;0;
19/12/23 04:50:33;Chemin des Acacias, La Tronche;45.198128;5.756096;;DEPOT;0;
19/12/23 04:50:34;Chemin des Acacias, La Tronche;45.198128;5.756096;;DEPOT;0;
19/12/23 04:50:34;Chemin des Acacias, La Tronche;45.198128;5.756096;;DEPOT;0;
19/12/23 04:50:41;Chemin des Acacias, La Tronche;45.198128;5.756096;0.0;DEPOT;31;
19/12/23 05:22:23;Inconnu, La Tronche;45.198322;5.756382;16.0;HAUT LE PIED;14;
19/12/23 05:22:26;Inconnu, La Tronche;45.198414;5.756508;22.0;HAUT LE PIED;137;
19/12/23 05:22:45;Chemin de la Tuilerie, La Tronche;45.198914;5.758101;38.0;HAUT LE PIED;127;
19/12/23 05:22:57;Inconnu, La Tronche;45.199306;5.759622;31.0;HAUT LE PIED;34;
19/12/23 05:23:01;Inconnu, La Tronche;45.199306;5.760055;25.0;HAUT LE PIED;20;
19/12/23 05:23:04;Inconnu, La Tronche;45.199158;5.760194;25.0;HAUT LE PIED;30;
19/12/23 05:23:08;Inconnu, La Tronche;45.198898;5.760298;24.0;HAUT LE PIED;70;
19/12/23 05:23:15;Inconnu, La Tronche;45.198318;5.760658;31.0;HAUT LE PIED;24;
19/12/23 05:23:18;Inconnu, La Tronche;45.198128;5.760798;25.0;HAUT LE PIED;19;
19/12/23 05:23:21;Chemin de la Tuilerie, La Tronche;45.198025;5.760992;22.0;HAUT LE PIED;16;
19/12/23 05:23:24;Chemin de la Tuilerie, La Tronche;45.19812;5.761149;23.0;HAUT LE PIED;23;
19/12/23 05:23:28;Chemin de la Tuilerie, La Tronche;45.198326;5.761086;22.0;HAUT LE PIED;131;
19/12/23 05:23:43;Chemin de la Tuilerie, La Tronche;45.199364;5.760291;31.0;HAUT LE PIED;133;
19/12/23 05:23:59;Chemin de la Tuilerie, Meylan;45.200314;5.759269;26.0;HAUT LE PIED;18;
19/12/23 05:24:30;Chemin de la Tuilerie, Meylan;45.200436;5.75912;0.0;ARRET;29;
19/12/23 05:24:42;Avenue de Verdun, La Tronche;45.200676;5.758965;20.0;HAUT LE PIED;17;
