Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
15/12/23 04:45:18;Chemin des Acacias, La Tronche;45.197891;5.75642;;DEPOT;0;
15/12/23 04:45:18;Chemin des Acacias, La Tronche;45.197891;5.75642;;DEPOT;0;
15/12/23 04:45:18;Chemin des Acacias, La Tronche;45.197891;5.75642;;DEPOT;0;
15/12/23 04:45:19;Chemin des Acacias, La Tronche;45.197891;5.75642;;DEPOT;0;
15/12/23 04:45:19;Chemin des Acacias, La Tronche;45.197891;5.75642;;DEPOT;0;
15/12/23 04:45:19;Chemin des Acacias, La Tronche;45.197891;5.75642;;DEPOT;0;
15/12/23 04:45:27;Chemin des Acacias, La Tronche;45.197891;5.75642;0.0;DEPOT;31;
15/12/23 05:03:04;Chemin des Acacias, La Tronche;45.197872;5.756814;12.0;HAUT LE PIED;12;
15/12/23 05:03:07;Inconnu, La Tronche;45.197906;5.756965;14.0;HAUT LE PIED;22;
15/12/23 05:03:13;Inconnu, La Tronche;45.198032;5.75718;13.0;HAUT LE PIED;12;
15/12/23 05:03:16;Inconnu, La Tronche;45.198143;5.757192;13.0;HAUT LE PIED;13;
15/12/23 05:03:19;Inconnu, La Tronche;45.198246;5.757121;14.0;HAUT LE PIED;32;
15/12/23 05:03:28;Inconnu, La Tronche;45.198517;5.75697;9.0;HAUT LE PIED;9;
15/12/23 05:03:31;Chemin de la Tuilerie, La Tronche;45.198586;5.757022;9.0;HAUT LE PIED;9;
15/12/23 05:03:34;Chemin de la Tuilerie, La Tronche;45.198612;5.757126;10.0;HAUT LE PIED;20;
15/12/23 05:03:39;Chemin de la Tuilerie, La Tronche;45.198692;5.757356;16.0;HAUT LE PIED;22;
15/12/23 05:03:43;Chemin de la Tuilerie, La Tronche;45.198822;5.757566;26.0;HAUT LE PIED;166;
15/12/23 05:04:04;Inconnu, La Tronche;45.19931;5.759567;22.0;HAUT LE PIED;19;
15/12/23 05:04:07;Inconnu, La Tronche;45.199337;5.759807;23.0;HAUT LE PIED;18;
15/12/23 05:04:10;Inconnu, La Tronche;45.199326;5.76004;22.0;HAUT LE PIED;19;
15/12/23 05:04:13;Inconnu, La Tronche;45.199188;5.760189;26.0;HAUT LE PIED;119;
15/12/23 05:04:28;Inconnu, La Tronche;45.198189;5.760737;28.0;HAUT LE PIED;19;
15/12/23 05:04:31;;45.198059;5.760894;22.0;HAUT LE PIED;15;
15/12/23 05:04:34;Chemin de la Tuilerie, La Tronche;45.198063;5.761091;19.0;HAUT LE PIED;14;
15/12/23 05:04:37;Chemin de la Tuilerie, La Tronche;45.198177;5.761171;18.0;HAUT LE PIED;22;
15/12/23 05:04:41;Chemin de la Tuilerie, La Tronche;45.19836;5.761055;25.0;HAUT LE PIED;171;
15/12/23 05:04:59;Chemin de la Tuilerie, La Tronche;45.199718;5.760033;33.0;HAUT LE PIED;109;
15/12/23 05:05:19;Chemin de la Tuilerie, Meylan;45.200474;5.759149;18.0;HAUT LE PIED;28;
15/12/23 05:05:26;Avenue de Verdun, La Tronche;45.200691;5.758972;11.0;HAUT LE PIED;18;
15/12/23 05:05:57;Avenue de Verdun, Meylan;45.200848;5.758953;0.0;ARRET;26;
15/12/23 05:06:15;Avenue de Verdun, Meylan;45.200905;5.758626;10.0;HAUT LE PIED;16;
15/12/23 05:06:18;Avenue de Verdun, La Tronche;45.200829;5.758459;22.0;HAUT LE PIED;183;
15/12/23 05:06:35;Inconnu, La Tronche;45.199692;5.756773;51.0;HAUT LE PIED;563;
15/12/23 05:07:06;Avenue de Verdun, La Tronche;45.196129;5.751674;76.0;HAUT LE PIED;653;
15/12/23 05:07:37;Avenue de Verdun, La Tronche;45.191978;5.745792;72.0;HAUT LE PIED;398;
15/12/23 05:08:08;D 1090, Grenoble;45.189529;5.7421;0.0;ARRET;28;
15/12/23 05:08:23;Rue du 19 Mars 1962, Grenoble;45.189297;5.741958;22.0;HAUT LE PIED;45;
15/12/23 05:08:29;Rue du 19 Mars 1962, Grenoble;45.18895;5.742258;33.0;HAUT LE PIED;27;
15/12/23 05:08:32;Rue du 19 Mars 1962, Grenoble;45.188835;5.742554;33.0;HAUT LE PIED;22;
15/12/23 05:08:35;Rue du 19 Mars 1962, Grenoble;45.188812;5.742839;20.0;HAUT LE PIED;79;
15/12/23 05:08:46;Rue du 19 Mars 1962, Grenoble;45.188835;5.743845;37.0;HAUT LE PIED;30;
15/12/23 05:08:49;Rue du 19 Mars 1962, Grenoble;45.188717;5.744183;34.0;HAUT LE PIED;77;
15/12/23 05:09:00;Rue du 19 Mars 1962, Grenoble;45.188366;5.745036;31.0;HAUT LE PIED;75;
15/12/23 05:09:26;Rue du 19 Mars 1962, Grenoble;45.188156;5.745942;11.0;HAUT LE PIED;9;
15/12/23 05:09:29;Rue Jules Flandrin, Grenoble;45.188072;5.745953;15.0;HAUT LE PIED;14;
15/12/23 05:09:32;Rue Jules Flandrin, Grenoble;45.187984;5.745827;18.0;HAUT LE PIED;184;
15/12/23 05:10:03;Rue Jules Flandrin, Grenoble;45.186893;5.744062;0.0;ARRET;29;
15/12/23 05:10:16;Avenue Jules Flandrin, Grenoble;45.186653;5.743907;18.0;HAUT LE PIED;17;
15/12/23 05:10:19;Avenue de Valmy, Grenoble;45.186554;5.744076;24.0;HAUT LE PIED;188;
