Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
17/11/23 04:56:17;;45.083931;5.765734;;DEPOT;0;
17/11/23 04:56:17;;45.083931;5.765734;;DEPOT;0;
17/11/23 04:56:17;;45.083931;5.765734;;DEPOT;0;
17/11/23 04:56:17;;45.083931;5.765734;;DEPOT;0;
17/11/23 04:56:17;;45.083931;5.765734;;DEPOT;0;
17/11/23 04:56:17;;45.083931;5.765734;;DEPOT;0;
17/11/23 04:56:25;;45.083931;5.765734;0.0;DEPOT;26;
17/11/23 04:57:49;Rue Ambroise Croizat, Vizille;45.08403;5.765437;7.0;HAUT LE PIED;7;
17/11/23 04:57:53;;45.084003;5.765352;8.0;HAUT LE PIED;10;
17/11/23 04:58:24;Rue Ambroise Croizat, Vizille;45.084091;5.765349;0.0;DEPOT;27;
17/11/23 04:58:41;Rue Ambroise Croizat, Vizille;45.084164;5.765672;17.0;HAUT LE PIED;61;
17/11/23 04:58:51;Rue Ambroise Croizat, Vizille;45.084122;5.76645;19.0;HAUT LE PIED;15;
17/11/23 04:58:54;Chemin du Bois de Cornage, Vizille;45.083996;5.766527;21.0;HAUT LE PIED;115;
17/11/23 04:59:13;Chemin du Bois de Cornage, Vizille;45.082981;5.766263;27.0;HAUT LE PIED;23;
17/11/23 04:59:16;Chemin du Bois de Cornage, Vizille;45.082798;5.766127;27.0;HAUT LE PIED;22;
17/11/23 04:59:19;Inconnu, Vizille;45.082706;5.765874;29.0;HAUT LE PIED;26;
17/11/23 04:59:22;Avenue Maurice Thorez, Vizille;45.082741;5.765553;35.0;HAUT LE PIED;205;
17/11/23 04:59:38;N 85, Vizille;45.083328;5.763085;53.0;HAUT LE PIED;476;
17/11/23 05:00:06;N 85, Vizille;45.084812;5.757404;65.0;HAUT LE PIED;87;
17/11/23 05:00:11;N 85, Vizille;45.085205;5.756444;66.0;HAUT LE PIED;54;
17/11/23 05:00:14;N 85, Vizille;45.085247;5.755753;66.0;HAUT LE PIED;152;
17/11/23 05:00:22;N 85, Vizille;45.084949;5.753871;70.0;HAUT LE PIED;353;
17/11/23 05:00:39;D 1085G, Montchaboud;45.084034;5.749574;77.0;HAUT LE PIED;305;
17/11/23 05:00:53;Pont RN85 amont, Montchaboud;45.083172;5.74589;78.0;HAUT LE PIED;215;
17/11/23 05:01:04;N 85, Champ-sur-Drac;45.08223;5.743505;68.0;HAUT LE PIED;98;
17/11/23 05:01:09;N 85, Champ-sur-Drac;45.082195;5.742256;72.0;HAUT LE PIED;99;
17/11/23 05:01:14;N 85, Champ-sur-Drac;45.082439;5.741041;73.0;HAUT LE PIED;85;
17/11/23 05:01:18;N 85, Champ-sur-Drac;45.082893;5.740167;78.0;HAUT LE PIED;87;
17/11/23 05:01:22;N 85, Champ-sur-Drac;45.083511;5.739485;83.0;HAUT LE PIED;267;
17/11/23 05:01:34;Pont RN85 aval, Champ-sur-Drac;45.085518;5.737633;82.0;HAUT LE PIED;183;
17/11/23 05:01:42;Pont RN85 aval, Champ-sur-Drac;45.086452;5.735721;83.0;HAUT LE PIED;648;
17/11/23 05:02:12;D 1085B, Jarrie;45.08939;5.728593;80.0;HAUT LE PIED;426;
17/11/23 05:02:31;Route de Vizille, Champagnier;45.091553;5.724114;79.0;HAUT LE PIED;109;
17/11/23 05:02:36;Route de Vizille, Champagnier;45.092369;5.723346;78.0;HAUT LE PIED;486;
17/11/23 05:02:58;Route de Vizille, Champagnier;45.096146;5.720228;79.0;HAUT LE PIED;617;
17/11/23 05:03:28;N 85, Champagnier;45.100903;5.716196;70.0;HAUT LE PIED;182;
17/11/23 05:03:39;N 85, Champagnier;45.102264;5.714899;49.0;HAUT LE PIED;116;
17/11/23 05:03:49;D 1085a, Champagnier;45.10302;5.713891;42.0;HAUT LE PIED;33;
17/11/23 05:03:52;D 1085a, Champagnier;45.103313;5.71382;40.0;HAUT LE PIED;119;
17/11/23 05:04:00;D 1085a, Champagnier;45.104362;5.713522;58.0;HAUT LE PIED;428;
17/11/23 05:04:24;D 1085a, Champagnier;45.107731;5.71089;65.0;HAUT LE PIED;549;
17/11/23 05:04:55;D 1085a, Champagnier;45.112011;5.707418;61.0;HAUT LE PIED;284;
17/11/23 05:05:17;D 1085a, Le Pont-de-Claix;45.114262;5.705705;28.0;HAUT LE PIED;30;
17/11/23 05:05:21;Inconnu, Le Pont-de-Claix;45.11451;5.70557;28.0;HAUT LE PIED;74;
17/11/23 05:05:29;Avenue du Maquis de l'Oisans, Le Pont-de-Claix;45.115017;5.704961;42.0;HAUT LE PIED;387;
17/11/23 05:05:59;Avenue du Maquis de l'Oisans, Le Pont-de-Claix;45.118019;5.702476;47.0;HAUT LE PIED;386;
17/11/23 05:06:30;Arrêt Scolaire, Le Pont-de-Claix;45.121078;5.700169;46.0;HAUT LE PIED;274;
17/11/23 05:06:55;Inconnu, Le Pont-de-Claix;45.123207;5.69841;20.0;HAUT LE PIED;14;
17/11/23 05:06:58;Place du 8 Mai 1945, Le Pont-de-Claix;45.12323;5.698241;17.0;HAUT LE PIED;13;
17/11/23 05:07:01;Place du 8 Mai 1945, Le Pont-de-Claix;45.123196;5.698082;15.0;HAUT LE PIED;25;
17/11/23 05:07:16;Avenue du Maréchal Juin, Le Pont-de-Claix;45.123055;5.697833;20.0;HAUT LE PIED;18;
17/11/23 05:07:19;Avenue du Maréchal Juin, Le Pont-de-Claix;45.122906;5.697751;26.0;HAUT LE PIED;32;
17/11/23 05:07:23;Avenue du Maréchal Juin, Le Pont-de-Claix;45.122627;5.697669;33.0;HAUT LE PIED;211;
17/11/23 05:07:40;Pont Rouge, Le Pont-de-Claix;45.120899;5.696551;45.0;HAUT LE PIED;304;
17/11/23 05:08:11;Avenue de la Libération, Claix;45.118973;5.693809;23.0;HAUT LE PIED;96;
17/11/23 05:08:25;Avenue de la Libération, Claix;45.11837;5.692937;26.0;HAUT LE PIED;127;
17/11/23 05:08:37;Avenue de la Libération, Claix;45.117565;5.691788;40.0;HAUT LE PIED;100;
17/11/23 05:08:46;Avenue de la Libération, Claix;45.116806;5.691098;42.0;HAUT LE PIED;146;
17/11/23 05:08:58;Avenue de la Libération, Claix;45.115551;5.690548;46.0;HAUT LE PIED;421;
17/11/23 05:09:28;Avenue de la Libération, Claix;45.111893;5.6892;53.0;HAUT LE PIED;452;
17/11/23 05:09:59;D 1075, Varces-Allières-et-Risset;45.107952;5.687788;51.0;HAUT LE PIED;203;
17/11/23 05:10:14;D 1075, Varces-Allières-et-Risset;45.106228;5.686957;42.0;HAUT LE PIED;33;
17/11/23 05:10:17;D 1075, Varces-Allières-et-Risset;45.106022;5.686655;33.0;HAUT LE PIED;49;
17/11/23 05:10:38;D 1075, Varces-Allières-et-Risset;45.105762;5.686154;15.0;HAUT LE PIED;16;
17/11/23 05:10:41;D 1075, Varces-Allières-et-Risset;45.105614;5.68616;25.0;HAUT LE PIED;126;
17/11/23 05:10:53;D 1075, Varces-Allières-et-Risset;45.104492;5.686397;45.0;HAUT LE PIED;105;
17/11/23 05:11:03;D 1075, Varces-Allières-et-Risset;45.103565;5.686175;19.0;HAUT LE PIED;15;
17/11/23 05:11:06;Route du Pavillon, Varces-Allières-et-Risset;45.103493;5.686015;16.0;HAUT LE PIED;14;
17/11/23 05:11:09;Route du Pavillon, Varces-Allières-et-Risset;45.103508;5.685835;17.0;HAUT LE PIED;19;
17/11/23 05:11:39;Route du Pavillon, Varces-Allières-et-Risset;45.103561;5.685604;0.0;ARRET;2;
17/11/23 05:12:03;Route du Pavillon, Varces-Allières-et-Risset;45.103554;5.685582;;COLLECTE;0;
17/11/23 05:12:16;Route du Pavillon, Varces-Allières-et-Risset;45.103554;5.685582;;ARRET;0;
17/11/23 05:12:23;Route du Pavillon, Varces-Allières-et-Risset;45.103554;5.685582;;COLLECTE;0;
17/11/23 05:12:38;Route du Pavillon, Varces-Allières-et-Risset;45.103554;5.685582;;ARRET;0;
17/11/23 05:12:46;Route du Pavillon, Varces-Allières-et-Risset;45.103554;5.685582;;ARRET;26;
17/11/23 05:12:53;Route du Pavillon, Varces-Allières-et-Risset;45.103672;5.685302;27.0;HAUT LE PIED;154;
17/11/23 05:13:14;Route du Pavillon, Varces-Allières-et-Risset;45.104221;5.683507;24.0;HAUT LE PIED;19;
17/11/23 05:13:21;Route du Pavillon, Varces-Allières-et-Risset;45.10434;5.683337;;ARRET;3;
17/11/23 05:13:45;Route du Pavillon, Varces-Allières-et-Risset;45.104355;5.683361;;COLLECTE;0;
17/11/23 05:13:50;Route du Pavillon, Varces-Allières-et-Risset;45.104355;5.683361;;COLLECTE;0;
17/11/23 05:13:51;Route du Pavillon, Varces-Allières-et-Risset;45.104355;5.683361;;COLLECTE;0;
17/11/23 05:13:56;Route du Pavillon, Varces-Allières-et-Risset;45.104355;5.683361;;ARRET;0;
17/11/23 05:13:56;Route du Pavillon, Varces-Allières-et-Risset;45.104355;5.683361;;COLLECTE;0;
17/11/23 05:14:02;Route du Pavillon, Varces-Allières-et-Risset;45.104355;5.683361;;ARRET;0;
17/11/23 05:14:07;Route du Pavillon, Varces-Allières-et-Risset;45.104355;5.683361;;COLLECTE;0;
17/11/23 05:14:20;Route du Pavillon, Varces-Allières-et-Risset;45.104355;5.683361;;ARRET;1;
17/11/23 05:14:26;Route du Pavillon, Varces-Allières-et-Risset;45.104362;5.683358;;COLLECTE;4;
17/11/23 05:14:39;Route du Pavillon, Varces-Allières-et-Risset;45.104378;5.683403;;ARRET;0;
17/11/23 05:14:41;;45.104378;5.683409;;ALERTE;1;NC - Non sortis
17/11/23 05:14:46;Route du Pavillon, Varces-Allières-et-Risset;45.104366;5.683411;;ARRET;27;
17/11/23 05:14:52;Route du Pavillon, Varces-Allières-et-Risset;45.104553;5.683184;19.0;HAUT LE PIED;4;
17/11/23 05:14:57;Route du Pavillon, Varces-Allières-et-Risset;45.104572;5.683143;;ARRET;2;
17/11/23 05:15:16;Route du Pavillon, Varces-Allières-et-Risset;45.104557;5.683158;;COLLECTE;1;
17/11/23 05:15:23;Route du Pavillon, Varces-Allières-et-Risset;45.104557;5.683146;0.0;COLLECTE;1;
17/11/23 05:15:29;Route du Pavillon, Varces-Allières-et-Risset;45.104549;5.68314;;ARRET;0;
17/11/23 05:15:29;Route du Pavillon, Varces-Allières-et-Risset;45.104549;5.68314;;ARRET;28;
17/11/23 05:15:40;Route du Pavillon, Varces-Allières-et-Risset;45.104744;5.682911;23.0;HAUT LE PIED;148;
17/11/23 05:16:05;Route du Pavillon, Varces-Allières-et-Risset;45.105793;5.681742;;ARRET;1;
17/11/23 05:16:10;Route du Pavillon, Varces-Allières-et-Risset;45.105789;5.681751;0.0;ARRET;1;
17/11/23 05:16:22;Route du Pavillon, Varces-Allières-et-Risset;45.105789;5.681742;;COLLECTE;0;
17/11/23 05:16:27;Route du Pavillon, Varces-Allières-et-Risset;45.105789;5.68174;;ARRET;0;
17/11/23 05:16:33;Route du Pavillon, Varces-Allières-et-Risset;45.105789;5.68174;;COLLECTE;0;
17/11/23 05:16:45;Route du Pavillon, Varces-Allières-et-Risset;45.105789;5.681739;;ARRET;2;
17/11/23 05:16:54;Inconnu, Varces-Allières-et-Risset;45.105782;5.68171;;COLLECTE;1;
17/11/23 05:17:07;Route du Pavillon, Varces-Allières-et-Risset;45.105785;5.681716;;ARRET;0;
17/11/23 05:17:22;Route du Pavillon, Varces-Allières-et-Risset;45.105785;5.681716;;COLLECTE;0;
17/11/23 05:17:41;Route du Pavillon, Varces-Allières-et-Risset;45.105785;5.681717;;ARRET;0;
17/11/23 05:17:45;Route du Pavillon, Varces-Allières-et-Risset;45.105785;5.681719;;COLLECTE;0;
17/11/23 05:17:47;Route du Pavillon, Varces-Allières-et-Risset;45.105789;5.68172;;ARRET;0;
17/11/23 05:17:52;Route du Pavillon, Varces-Allières-et-Risset;45.105789;5.681722;;COLLECTE;4;
17/11/23 05:18:04;Route du Pavillon, Varces-Allières-et-Risset;45.10582;5.681747;;ARRET;0;
17/11/23 05:18:21;Route du Pavillon, Varces-Allières-et-Risset;45.10582;5.681752;;ARRET;26;
17/11/23 05:18:32;Route du Pavillon, Varces-Allières-et-Risset;45.106007;5.681551;20.0;HAUT LE PIED;119;
17/11/23 05:18:47;Route du Pavillon, Varces-Allières-et-Risset;45.106709;5.680415;28.0;HAUT LE PIED;40;
17/11/23 05:18:54;Route du Pavillon, Varces-Allières-et-Risset;45.106892;5.679974;14.0;HAUT LE PIED;4;
17/11/23 05:18:58;Route du Pavillon, Varces-Allières-et-Risset;45.106876;5.679928;;ARRET;1;
17/11/23 05:19:23;Route du Pavillon, Varces-Allières-et-Risset;45.106888;5.67992;;COLLECTE;0;
17/11/23 05:19:25;Route du Pavillon, Varces-Allières-et-Risset;45.106888;5.67992;0.0;COLLECTE;0;
17/11/23 05:19:36;Route du Pavillon, Varces-Allières-et-Risset;45.106888;5.679921;;ARRET;1;
17/11/23 05:19:43;Route du Pavillon, Varces-Allières-et-Risset;45.10688;5.679916;;COLLECTE;1;
17/11/23 05:19:55;Route du Pavillon, Varces-Allières-et-Risset;45.106873;5.679931;;ARRET;4;
17/11/23 05:20:00;Route du Pavillon, Varces-Allières-et-Risset;45.106884;5.679884;;COLLECTE;3;
17/11/23 05:20:12;Résidence du Val d'Allières, Varces-Allières-et-R;45.106873;5.679853;;ARRET;2;
17/11/23 05:20:19;Route du Pavillon, Varces-Allières-et-Risset;45.106857;5.679875;;COLLECTE;2;
17/11/23 05:20:31;Route du Pavillon, Varces-Allières-et-Risset;45.106846;5.679887;;ARRET;0;
17/11/23 05:20:36;Route du Pavillon, Varces-Allières-et-Risset;45.106846;5.679887;;COLLECTE;2;
17/11/23 05:20:50;Route du Pavillon, Varces-Allières-et-Risset;45.106838;5.679907;;ARRET;2;
17/11/23 05:20:54;Route du Pavillon, Varces-Allières-et-Risset;45.106842;5.679926;;ARRET;35;
17/11/23 05:21:05;Route du Pavillon, Varces-Allières-et-Risset;45.107132;5.679763;25.0;HAUT LE PIED;23;
17/11/23 05:21:08;Route du Pavillon, Varces-Allières-et-Risset;45.107296;5.679586;25.0;HAUT LE PIED;50;
17/11/23 05:21:15;Route du Pavillon, Varces-Allières-et-Risset;45.107628;5.679158;28.0;HAUT LE PIED;32;
17/11/23 05:21:19;Route du Pavillon, Varces-Allières-et-Risset;45.107742;5.67878;28.0;HAUT LE PIED;34;
17/11/23 05:21:23;Route du Pavillon, Varces-Allières-et-Risset;45.107777;5.678353;30.0;HAUT LE PIED;25;
17/11/23 05:21:26;Route du Pavillon, Varces-Allières-et-Risset;45.107723;5.678038;30.0;HAUT LE PIED;28;
17/11/23 05:21:30;Route du Pavillon, Varces-Allières-et-Risset;45.107597;5.67773;18.0;HAUT LE PIED;8;
17/11/23 05:21:35;Inconnu, Varces-Allières-et-Risset;45.107578;5.677634;;ARRET;0;
17/11/23 05:21:43;Inconnu, Varces-Allières-et-Risset;45.107574;5.677635;;COLLECTE;3;
17/11/23 05:21:56;Route du Pavillon, Varces-Allières-et-Risset;45.107597;5.677621;;ARRET;1;
17/11/23 05:22:00;Route du Pavillon, Varces-Allières-et-Risset;45.107605;5.67761;0.0;ARRET;0;
17/11/23 05:22:02;Route du Pavillon, Varces-Allières-et-Risset;45.107605;5.677606;;ARRET;29;
17/11/23 05:22:12;Route du Pavillon, Varces-Allières-et-Risset;45.107674;5.677249;26.0;HAUT LE PIED;27;
17/11/23 05:22:17;Route du Pavillon, Varces-Allières-et-Risset;45.10775;5.67692;9.0;HAUT LE PIED;2;
17/11/23 05:22:20;Route du Pavillon, Varces-Allières-et-Risset;45.107758;5.676902;;ARRET;1;
17/11/23 05:22:34;Route du Pavillon, Varces-Allières-et-Risset;45.107754;5.676906;;COLLECTE;0;
17/11/23 05:22:34;Route du Pavillon, Varces-Allières-et-Risset;45.107754;5.676905;;COLLECTE;0;
17/11/23 05:22:36;Route du Pavillon, Varces-Allières-et-Risset;45.107758;5.676906;;COLLECTE;0;
17/11/23 05:22:37;Route du Pavillon, Varces-Allières-et-Risset;45.107758;5.676906;;ARRET;0;
17/11/23 05:22:38;Route du Pavillon, Varces-Allières-et-Risset;45.107758;5.676906;;COLLECTE;0;
17/11/23 05:22:39;Route du Pavillon, Varces-Allières-et-Risset;45.107758;5.676906;;COLLECTE;0;
17/11/23 05:22:45;Route du Pavillon, Varces-Allières-et-Risset;45.107758;5.676912;;COLLECTE;0;
17/11/23 05:22:46;Route du Pavillon, Varces-Allières-et-Risset;45.107761;5.676914;;ARRET;0;
17/11/23 05:22:48;Route du Pavillon, Varces-Allières-et-Risset;45.107761;5.676916;0.0;ARRET;0;
17/11/23 05:22:51;Route du Pavillon, Varces-Allières-et-Risset;45.107758;5.676917;;COLLECTE;0;
17/11/23 05:22:52;Route du Pavillon, Varces-Allières-et-Risset;45.107758;5.676917;;COLLECTE;0;
17/11/23 05:22:57;Route du Pavillon, Varces-Allières-et-Risset;45.107754;5.676916;;COLLECTE;0;
17/11/23 05:22:58;Route du Pavillon, Varces-Allières-et-Risset;45.107754;5.676916;;ARRET;0;
17/11/23 05:23:01;Route du Pavillon, Varces-Allières-et-Risset;45.107754;5.676916;;COLLECTE;0;
17/11/23 05:23:07;Route du Pavillon, Varces-Allières-et-Risset;45.107754;5.676916;;ARRET;0;
17/11/23 05:23:11;Route du Pavillon, Varces-Allières-et-Risset;45.107754;5.676916;;ARRET;23;
17/11/23 05:23:27;Route du Pavillon, Varces-Allières-et-Risset;45.107841;5.676651;;COLLECTE;1;
17/11/23 05:23:33;Route du Pavillon, Varces-Allières-et-Risset;45.107834;5.67665;;ARRET;3;
17/11/23 05:23:37;Route du Pavillon, Varces-Allières-et-Risset;45.107841;5.676617;8.0;HAUT LE PIED;24;
17/11/23 05:23:42;Route du Pavillon, Varces-Allières-et-Risset;45.107922;5.676333;18.0;HAUT LE PIED;9;
17/11/23 05:23:47;Route du Pavillon, Varces-Allières-et-Risset;45.107971;5.676236;;ARRET;1;
17/11/23 05:23:56;Inconnu, Varces-Allières-et-Risset;45.107983;5.676233;;COLLECTE;0;
