Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
18/12/23 04:49:31;Inconnu, Sassenage;45.204628;5.686389;;DEPOT;0;
18/12/23 04:49:31;Inconnu, Sassenage;45.204628;5.686389;;DEPOT;0;
18/12/23 04:49:31;Inconnu, Sassenage;45.204628;5.686389;;DEPOT;0;
18/12/23 04:49:39;Inconnu, Sassenage;45.204628;5.686389;0.0;DEPOT;50;
18/12/23 04:53:03;Rue de Sornin, Sassenage;45.205002;5.686042;9.0;HAUT LE PIED;9;
18/12/23 04:53:06;Rue de Sornin, Sassenage;45.205059;5.685952;14.0;HAUT LE PIED;16;
18/12/23 04:53:09;Rue de Sornin, Sassenage;45.204964;5.685801;14.0;HAUT LE PIED;111;
18/12/23 04:53:26;Rue de la Sure, Sassenage;45.204655;5.684457;11.0;HAUT LE PIED;9;
18/12/23 04:53:29;Rue de la Sure, Sassenage;45.204689;5.68435;12.0;HAUT LE PIED;23;
18/12/23 04:53:33;Rue de la Sure, Sassenage;45.204849;5.68416;29.0;HAUT LE PIED;37;
18/12/23 04:53:37;Rue de la Sure, Sassenage;45.205021;5.683762;33.0;HAUT LE PIED;72;
18/12/23 04:53:46;Rue de Chamechaude, Sassenage;45.20536;5.682984;32.0;HAUT LE PIED;212;
18/12/23 04:54:02;Rue de la Maladière, Sassenage;45.206688;5.681046;52.0;HAUT LE PIED;423;
18/12/23 04:54:29;Inconnu, Sassenage;45.209496;5.677412;56.0;HAUT LE PIED;123;
18/12/23 04:54:38;Inconnu, Sassenage;45.21032;5.676358;35.0;HAUT LE PIED;25;
18/12/23 04:54:41;Inconnu, Sassenage;45.210541;5.676288;28.0;HAUT LE PIED;19;
18/12/23 04:54:44;Inconnu, Sassenage;45.210705;5.676202;26.0;HAUT LE PIED;20;
18/12/23 04:54:47;Inconnu, Sassenage;45.210705;5.675945;27.0;HAUT LE PIED;23;
18/12/23 04:54:50;Rue François Blumet, Sassenage;45.210732;5.675656;33.0;HAUT LE PIED;31;
18/12/23 04:54:53;Rue François Blumet, Sassenage;45.210922;5.675359;42.0;HAUT LE PIED;168;
18/12/23 04:55:07;Rue François Blumet, Sassenage;45.21199;5.673836;29.0;HAUT LE PIED;25;
18/12/23 04:55:10;Rue du 8 Mai 1945, Sassenage;45.211937;5.673528;32.0;HAUT LE PIED;50;
18/12/23 04:55:41;Rue du 8 Mai 1945, Sassenage;45.211651;5.673028;0.0;ARRET;33;
18/12/23 04:58:31;Rue du 8 Mai 1945, Sassenage;45.211456;5.672717;28.0;HAUT LE PIED;35;
18/12/23 04:59:01;Rue du 8 Mai 1945, Sassenage;45.211273;5.672355;0.0;ARRET;31;
18/12/23 04:59:23;Rue du 8 Mai 1945, Sassenage;45.211086;5.672068;30.0;HAUT LE PIED;134;
18/12/23 04:59:42;Rue du 8 Mai 1945, Sassenage;45.210327;5.670735;18.0;HAUT LE PIED;13;
18/12/23 04:59:45;Rue Pierre de Coubertin, Sassenage;45.210323;5.670566;14.0;HAUT LE PIED;4;
18/12/23 05:00:16;Rue Pierre de Coubertin, Sassenage;45.210308;5.670514;0.0;ARRET;27;
18/12/23 05:00:47;Rue du 8 Mai 1945, Sassenage;45.210182;5.670217;27.0;HAUT LE PIED;49;
18/12/23 05:00:53;Rue du 8 Mai 1945, Sassenage;45.209969;5.669677;29.0;HAUT LE PIED;37;
18/12/23 05:00:58;Rue du 8 Mai 1945, Sassenage;45.209805;5.669272;21.0;HAUT LE PIED;16;
18/12/23 05:01:01;Rue Émile Zola, Sassenage;45.209663;5.66923;20.0;HAUT LE PIED;13;
18/12/23 05:01:04;Allée George Sand, Sassenage;45.209557;5.669157;14.0;HAUT LE PIED;7;
18/12/23 05:01:09;Allée George Sand, Sassenage;45.209545;5.669075;;COLLECTE;16;
18/12/23 05:01:24;Rue Émile Zola, Sassenage;45.209602;5.669262;;ARRET;2;
18/12/23 05:01:35;Rue Émile Zola, Sassenage;45.209602;5.669286;0.0;ARRET;29;
18/12/23 05:02:29;Rue Stendhal, Sassenage;45.20982;5.669077;22.0;HAUT LE PIED;20;
18/12/23 05:02:33;Rue du 8 Mai 1945, Sassenage;45.209766;5.668833;30.0;HAUT LE PIED;113;
18/12/23 05:02:47;Rond-Point Jean Moulin, Sassenage;45.209354;5.667514;24.0;HAUT LE PIED;19;
18/12/23 05:02:50;Rond-Point Jean Moulin, Sassenage;45.209229;5.667354;25.0;HAUT LE PIED;20;
18/12/23 05:02:53;Rond-Point Jean Moulin, Sassenage;45.209087;5.667506;27.0;HAUT LE PIED;21;
18/12/23 05:02:56;Rue Jean Moulin, Sassenage;45.208988;5.667741;26.0;HAUT LE PIED;24;
18/12/23 05:02:59;Rue Jean Moulin, Sassenage;45.208885;5.668005;30.0;HAUT LE PIED;41;
18/12/23 05:03:30;Rue Jean Moulin, Sassenage;45.208748;5.668495;0.0;ARRET;31;
18/12/23 05:03:56;Rue Jean Moulin, Sassenage;45.208584;5.66882;29.0;HAUT LE PIED;48;
18/12/23 05:04:02;Rue Jean Moulin, Sassenage;45.208313;5.669295;28.0;HAUT LE PIED;39;
18/12/23 05:04:32;Rue Jean Moulin, Sassenage;45.20813;5.669723;0.0;ARRET;27;
18/12/23 05:04:40;Rue Jean Moulin, Sassenage;45.208035;5.670037;28.0;HAUT LE PIED;64;
18/12/23 05:04:49;Rue Jean Moulin, Sassenage;45.207829;5.670797;18.0;HAUT LE PIED;13;
18/12/23 05:04:52;Inconnu, Sassenage;45.207935;5.670867;12.0;HAUT LE PIED;1;
18/12/23 05:04:55;Inconnu, Sassenage;45.207943;5.670852;;COLLECTE;8;
18/12/23 05:05:06;Inconnu, Sassenage;45.207878;5.670814;;ARRET;6;
18/12/23 05:05:23;Rue Jean Moulin, Sassenage;45.207882;5.670736;0.0;ARRET;28;
18/12/23 05:05:45;Inconnu, Sassenage;45.207981;5.670401;21.0;HAUT LE PIED;18;
18/12/23 05:06:16;Rue Jean Moulin, Sassenage;45.208054;5.670189;0.0;ARRET;32;
18/12/23 05:06:44;Rue Jean Moulin, Sassenage;45.208164;5.669806;29.0;HAUT LE PIED;32;
18/12/23 05:07:14;Rue Jean Moulin, Sassenage;45.208332;5.669478;0.0;ARRET;28;
18/12/23 05:07:20;Rue Jean Moulin, Sassenage;45.208447;5.669167;28.0;HAUT LE PIED;71;
18/12/23 05:07:51;Rue Jean Moulin, Sassenage;45.208832;5.66845;0.0;ARRET;27;
18/12/23 05:08:45;Rue Jean Moulin, Sassenage;45.20892;5.668132;25.0;HAUT LE PIED;38;
18/12/23 05:08:49;Inconnu, Sassenage;45.20908;5.667709;24.0;HAUT LE PIED;14;
18/12/23 05:08:52;Rond-Point Jean Moulin, Sassenage;45.209198;5.667665;18.0;HAUT LE PIED;11;
18/12/23 05:08:55;Rond-Point Jean Moulin, Sassenage;45.209293;5.667711;21.0;HAUT LE PIED;17;
18/12/23 05:08:58;Rond-Point Jean Moulin, Sassenage;45.209385;5.667542;24.0;HAUT LE PIED;19;
18/12/23 05:09:01;Rond-Point Jean Moulin, Sassenage;45.20929;5.667348;23.0;HAUT LE PIED;22;
18/12/23 05:09:04;Chemin des Marronnières, Sassenage;45.209133;5.667171;31.0;HAUT LE PIED;31;
18/12/23 05:09:09;Chemin des Marronnières, Sassenage;45.208935;5.6669;22.0;HAUT LE PIED;12;
18/12/23 05:09:39;Chemin des Marronnières, Sassenage;45.208839;5.666844;0.0;ARRET;28;
18/12/23 05:11:39;Chemin des Marronnières, Sassenage;45.208603;5.666731;18.0;HAUT LE PIED;71;
18/12/23 05:11:49;Chemin des Marronnières, Sassenage;45.208008;5.66639;16.0;HAUT LE PIED;8;
18/12/23 05:12:20;Chemin des Marronnières, Sassenage;45.207939;5.666355;0.0;ARRET;29;
18/12/23 05:12:51;Chemin des Marronnières, Sassenage;45.207684;5.666295;29.0;HAUT LE PIED;49;
18/12/23 05:12:58;Rue des Marronnières, Sassenage;45.207241;5.666263;17.0;HAUT LE PIED;12;
18/12/23 05:13:01;Inconnu, Sassenage;45.207138;5.666239;10.0;HAUT LE PIED;3;
18/12/23 05:13:32;Chemin des Blondes, Sassenage;45.207115;5.666233;0.0;ARRET;28;
18/12/23 05:13:36;Chemin des Blondes, Sassenage;45.206867;5.666251;28.0;HAUT LE PIED;56;
18/12/23 05:13:44;Chemin des Blondes, Sassenage;45.206379;5.666404;12.0;HAUT LE PIED;11;
18/12/23 05:13:47;Chemin du Billery, Sassenage;45.206306;5.666305;14.0;HAUT LE PIED;15;
18/12/23 05:13:50;Chemin du Billery, Sassenage;45.206364;5.666127;18.0;HAUT LE PIED;64;
18/12/23 05:14:00;Chemin du Billery, Sassenage;45.206436;5.665315;18.0;HAUT LE PIED;9;
18/12/23 05:14:30;Chemin du Billery, Sassenage;45.206432;5.665194;0.0;ARRET;31;
18/12/23 05:14:40;Chemin du Billery, Sassenage;45.206459;5.664799;29.0;HAUT LE PIED;26;
18/12/23 05:15:11;Esplanade de la Mairie, Sassenage;45.206474;5.664466;0.0;ARRET;30;
18/12/23 05:15:32;Chemin du Billery, Sassenage;45.20647;5.664087;23.0;HAUT LE PIED;19;
18/12/23 05:16:03;Esplanade de la Mairie, Sassenage;45.206516;5.663855;0.0;ARRET;25;
18/12/23 05:17:02;Chemin du Billery, Sassenage;45.206512;5.663533;7.0;HAUT LE PIED;2;
18/12/23 05:17:33;Chemin du Billery, Sassenage;45.206497;5.663513;0.0;ARRET;26;
18/12/23 05:17:58;Chemin du Billery, Sassenage;45.206516;5.663181;15.0;HAUT LE PIED;12;
18/12/23 05:18:29;Chemin du Billery, Sassenage;45.206532;5.663036;0.0;ARRET;31;
18/12/23 05:18:59;Avenue de Romans, Sassenage;45.206257;5.663067;29.0;HAUT LE PIED;165;
18/12/23 05:19:30;Avenue de Romans, Sassenage;45.205051;5.664288;0.0;ARRET;32;
18/12/23 05:19:51;Place de l'Europe, Sassenage;45.204811;5.664514;29.0;HAUT LE PIED;326;
18/12/23 05:20:22;Avenue des Buissières, Sassenage;45.202415;5.666917;16.0;HAUT LE PIED;17;
18/12/23 05:20:25;Avenue des Buissières, Sassenage;45.202297;5.666785;24.0;HAUT LE PIED;23;
18/12/23 05:20:28;Avenue des Buissières, Sassenage;45.20229;5.66649;33.0;HAUT LE PIED;109;
18/12/23 05:20:38;Avenue des Buissières, Sassenage;45.202274;5.665098;32.0;HAUT LE PIED;20;
18/12/23 05:20:42;Rue du Moucherotte, Sassenage;45.202129;5.664948;25.0;HAUT LE PIED;19;
18/12/23 05:20:45;Inconnu, Sassenage;45.201965;5.665032;26.0;HAUT LE PIED;98;
18/12/23 05:20:57;Rue du Moucherotte, Sassenage;45.201286;5.665826;22.0;HAUT LE PIED;8;
18/12/23 05:21:00;Rue du Moucherotte, Sassenage;45.201218;5.665854;13.0;HAUT LE PIED;6;
18/12/23 05:21:04;Rue du Moucherotte, Sassenage;45.20118;5.665803;;COLLECTE;5;
18/12/23 05:21:10;Rue du Moucherotte, Sassenage;45.201195;5.665859;;ARRET;0;
18/12/23 05:21:11;Rue du Moucherotte, Sassenage;45.201191;5.66586;;COLLECTE;2;
18/12/23 05:21:16;Rue du Moucherotte, Sassenage;45.20121;5.665849;;ARRET;7;
18/12/23 05:21:31;Rue du Moucherotte, Sassenage;45.201267;5.665808;0.0;ARRET;27;
18/12/23 05:22:29;Rue du Moucherotte, Sassenage;45.201473;5.665632;28.0;HAUT LE PIED;48;
18/12/23 05:22:36;Rue du Moucherotte, Sassenage;45.201824;5.66527;12.0;HAUT LE PIED;7;
18/12/23 05:23:07;Rue du Moucherotte, Sassenage;45.201885;5.665232;0.0;ARRET;25;
18/12/23 05:24:17;Rue du Moucherotte, Sassenage;45.202072;5.665054;30.0;HAUT LE PIED;17;
18/12/23 05:24:20;Avenue des Buissières, Sassenage;45.202221;5.664984;17.0;HAUT LE PIED;13;
18/12/23 05:24:23;Avenue des Buissières, Sassenage;45.202301;5.665107;17.0;HAUT LE PIED;22;
18/12/23 05:24:26;Avenue des Buissières, Sassenage;45.202316;5.665391;29.0;HAUT LE PIED;49;
18/12/23 05:24:32;Avenue des Buissières, Sassenage;45.202312;5.666014;28.0;HAUT LE PIED;58;
18/12/23 05:25:03;Avenue des Buissières, Sassenage;45.202244;5.666749;0.0;ARRET;25;
18/12/23 05:25:46;Avenue des Buissières, Sassenage;45.202286;5.667067;17.0;HAUT LE PIED;16;
18/12/23 05:25:49;Avenue de Romans, Sassenage;45.202427;5.667019;23.0;HAUT LE PIED;15;
18/12/23 05:25:52;Avenue des Buissières, Sassenage;45.202362;5.666848;24.0;HAUT LE PIED;20;
18/12/23 05:25:55;Avenue des Buissières, Sassenage;45.202312;5.666603;29.0;HAUT LE PIED;117;
18/12/23 05:26:13;Avenue des Buissières, Sassenage;45.202282;5.665117;30.0;HAUT LE PIED;23;
18/12/23 05:26:16;Rue du Moucherotte, Sassenage;45.202335;5.66484;30.0;HAUT LE PIED;24;
18/12/23 05:26:19;Rue du Moucherotte, Sassenage;45.202534;5.664716;29.0;HAUT LE PIED;16;
18/12/23 05:26:49;Rue du Moucherotte, Sassenage;45.202675;5.664666;0.0;ARRET;27;
