Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
27/12/23 04:53:58;Inconnu, Sassenage;45.204597;5.686152;;DEPOT;0;
27/12/23 04:53:58;Inconnu, Sassenage;45.204597;5.686152;;DEPOT;0;
27/12/23 04:53:58;Inconnu, Sassenage;45.204597;5.686152;;DEPOT;0;
27/12/23 04:54:19;Inconnu, Sassenage;45.204597;5.686152;6.0;HAUT LE PIED;2;
27/12/23 04:54:49;Inconnu, Sassenage;45.204601;5.686125;0.0;DEPOT;49;
27/12/23 04:59:34;Rue de Sornin, Sassenage;45.205029;5.685956;12.0;HAUT LE PIED;11;
27/12/23 04:59:37;Rue de Sornin, Sassenage;45.205006;5.685815;13.0;HAUT LE PIED;109;
27/12/23 04:59:58;Rue de Sornin, Sassenage;45.204678;5.68451;11.0;HAUT LE PIED;11;
27/12/23 05:00:01;Rue de la Sure, Sassenage;45.204716;5.684381;16.0;HAUT LE PIED;51;
27/12/23 05:00:08;Rue de la Sure, Sassenage;45.204998;5.683864;36.0;HAUT LE PIED;76;
27/12/23 05:00:16;Rue de la Sure, Sassenage;45.205338;5.683016;28.0;HAUT LE PIED;45;
27/12/23 05:00:46;Rue de la Sure, Sassenage;45.205654;5.682648;0.0;ARRET;29;
27/12/23 05:01:00;D 531, Sassenage;45.205914;5.682599;27.0;HAUT LE PIED;177;
27/12/23 05:01:16;D 531, Sassenage;45.207432;5.683258;47.0;HAUT LE PIED;141;
27/12/23 05:01:26;Pont des Martyrs, Grenoble;45.208324;5.684529;52.0;HAUT LE PIED;138;
27/12/23 05:01:37;D 531, Grenoble;45.209236;5.68573;38.0;HAUT LE PIED;31;
27/12/23 05:01:40;D 531, Grenoble;45.209518;5.685754;40.0;HAUT LE PIED;34;
27/12/23 05:01:43;Inconnu, Grenoble;45.209782;5.685535;45.0;HAUT LE PIED;118;
27/12/23 05:01:53;D 531, Grenoble;45.21056;5.684521;43.0;HAUT LE PIED;35;
27/12/23 05:01:55;D 531, Grenoble;45.210869;5.684458;43.0;HAUT LE PIED;34;
27/12/23 05:01:58;D 531, Grenoble;45.211117;5.684712;40.0;HAUT LE PIED;32;
27/12/23 05:02:01;A 480, Grenoble;45.211212;5.685103;41.0;HAUT LE PIED;45;
27/12/23 05:02:05;VV7, Grenoble;45.211163;5.685678;44.0;HAUT LE PIED;32;
27/12/23 05:02:08;VV7, Grenoble;45.211048;5.686058;35.0;HAUT LE PIED;26;
27/12/23 05:02:12;D 531, Grenoble;45.210873;5.686275;26.0;HAUT LE PIED;38;
27/12/23 05:02:16;Inconnu, Grenoble;45.210541;5.686407;30.0;HAUT LE PIED;23;
27/12/23 05:02:19;Inconnu, Grenoble;45.210487;5.686696;31.0;HAUT LE PIED;67;
27/12/23 05:02:26;Avenue des Martyrs, Grenoble;45.210621;5.687529;42.0;HAUT LE PIED;203;
27/12/23 05:02:40;Avenue des Martyrs, Grenoble;45.210217;5.690061;59.0;HAUT LE PIED;361;
