Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
20/11/23 04:27:32;Rue Ambroise Croizat, Vizille;45.084099;5.765587;;DEPOT;0;
20/11/23 04:27:32;Rue Ambroise Croizat, Vizille;45.084099;5.765587;;DEPOT;0;
20/11/23 04:27:32;Rue Ambroise Croizat, Vizille;45.084099;5.765587;;DEPOT;0;
20/11/23 04:27:40;Rue Ambroise Croizat, Vizille;45.084099;5.765587;0.0;DEPOT;34;
20/11/23 04:54:45;Rue Ambroise Croizat, Vizille;45.08416;5.766017;27.0;HAUT LE PIED;35;
20/11/23 04:54:51;Rue Ambroise Croizat, Vizille;45.084122;5.766462;17.0;HAUT LE PIED;12;
20/11/23 04:54:54;Chemin du Bois de Cornage, Vizille;45.084042;5.766569;14.0;HAUT LE PIED;16;
20/11/23 04:54:57;Chemin du Bois de Cornage, Vizille;45.0839;5.766554;18.0;HAUT LE PIED;123;
20/11/23 04:55:18;Chemin du Bois de Cornage, Vizille;45.082829;5.766162;18.0;HAUT LE PIED;13;
20/11/23 04:55:21;Chemin du Bois de Cornage, Vizille;45.082737;5.76605;12.0;HAUT LE PIED;9;
20/11/23 04:55:24;Chemin du Bois de Cornage, Vizille;45.082691;5.765952;8.0;HAUT LE PIED;15;
20/11/23 04:55:28;Avenue Maurice Thorez, Vizille;45.082661;5.765762;18.0;HAUT LE PIED;18;
20/11/23 04:55:31;Avenue Maurice Thorez, Vizille;45.08271;5.765537;26.0;HAUT LE PIED;286;
20/11/23 04:55:52;N 85, Vizille;45.083557;5.7621;58.0;HAUT LE PIED;378;
20/11/23 04:56:15;N 85, Vizille;45.084728;5.757581;48.0;HAUT LE PIED;113;
20/11/23 04:56:23;N 85, Vizille;45.085232;5.756339;54.0;HAUT LE PIED;45;
20/11/23 04:56:26;N 85, Vizille;45.085278;5.755765;55.0;HAUT LE PIED;64;
20/11/23 04:56:30;N 85, Vizille;45.085144;5.75497;58.0;HAUT LE PIED;486;
20/11/23 04:56:58;D 1085G, Montchaboud;45.083954;5.749012;54.0;HAUT LE PIED;325;
20/11/23 04:57:20;Route de Vizille, Montchaboud;45.083286;5.74499;49.0;HAUT LE PIED;56;
20/11/23 04:57:24;Route de Vizille, Montchaboud;45.083309;5.744273;50.0;HAUT LE PIED;34;
20/11/23 04:57:27;Route de Vizille, Montchaboud;45.083393;5.74386;33.0;HAUT LE PIED;269;
20/11/23 04:57:58;Route de Vizille, Jarrie;45.084545;5.740852;49.0;HAUT LE PIED;500;
20/11/23 04:58:29;Route de Vizille, Champ-sur-Drac;45.086781;5.735336;59.0;HAUT LE PIED;372;
20/11/23 04:58:57;Rue de l'Électro-Chimie, Jarrie;45.088467;5.731246;15.0;HAUT LE PIED;14;
20/11/23 04:59:00;Inconnu, Jarrie;45.088505;5.731073;20.0;HAUT LE PIED;13;
20/11/23 04:59:03;Inconnu, Jarrie;45.088402;5.730998;19.0;HAUT LE PIED;18;
20/11/23 04:59:06;D 529, Champ-sur-Drac;45.088242;5.730951;24.0;HAUT LE PIED;140;
20/11/23 04:59:19;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.087147;5.730083;42.0;HAUT LE PIED;312;
20/11/23 04:59:41;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.084476;5.728877;55.0;HAUT LE PIED;457;
20/11/23 05:00:11;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.080563;5.727118;56.0;HAUT LE PIED;476;
20/11/23 05:00:42;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.076481;5.7253;49.0;HAUT LE PIED;336;
20/11/23 05:01:04;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.073601;5.724023;58.0;HAUT LE PIED;486;
20/11/23 05:01:35;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.069431;5.722163;54.0;HAUT LE PIED;378;
20/11/23 05:02:00;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.066185;5.720729;44.0;HAUT LE PIED;37;
20/11/23 05:02:03;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.065853;5.720792;46.0;HAUT LE PIED;217;
20/11/23 05:02:18;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.063988;5.721604;42.0;HAUT LE PIED;35;
20/11/23 05:02:21;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.063679;5.721515;43.0;HAUT LE PIED;166;
20/11/23 05:02:33;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.062454;5.720301;59.0;HAUT LE PIED;207;
20/11/23 05:02:46;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.060825;5.71904;60.0;HAUT LE PIED;309;
20/11/23 05:03:02;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.058392;5.717136;75.0;HAUT LE PIED;550;
20/11/23 05:03:28;Route de Saint-Georges-de-Commiers, Champ-sur-Drac;45.054214;5.713402;76.0;HAUT LE PIED;210;
20/11/23 05:03:41;Route de Saint-Georges-de-Commiers, Saint-Georges-de-Commiers;45.052685;5.711826;32.0;HAUT LE PIED;20;
20/11/23 05:03:44;Route de Saint-Georges-de-Commiers, Saint-Georges-de-Commiers;45.052586;5.711618;15.0;HAUT LE PIED;12;
20/11/23 05:03:47;Inconnu, Saint-Georges-de-Commiers;45.052605;5.711471;18.0;HAUT LE PIED;16;
20/11/23 05:03:50;Inconnu, Saint-Georges-de-Commiers;45.052567;5.71127;19.0;HAUT LE PIED;23;
20/11/23 05:03:53;Route des Isles, Saint-Georges-de-Commiers;45.05241;5.711074;30.0;HAUT LE PIED;45;
20/11/23 05:03:57;Inconnu, Saint-Georges-de-Commiers;45.052181;5.710604;47.0;HAUT LE PIED;109;
