Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
15/11/23 08:59:53;Rue Ambroise Croizat, Vizille;45.084114;5.765184;;DEPOT;0;
15/11/23 08:59:53;Rue Ambroise Croizat, Vizille;45.084114;5.765184;;DEPOT;0;
15/11/23 08:59:53;Rue Ambroise Croizat, Vizille;45.084114;5.765184;;DEPOT;0;
15/11/23 08:59:53;Rue Ambroise Croizat, Vizille;45.084114;5.765184;;DEPOT;0;
15/11/23 08:59:54;Rue Ambroise Croizat, Vizille;45.084114;5.765184;;DEPOT;0;
15/11/23 08:59:54;Rue Ambroise Croizat, Vizille;45.084114;5.765184;;DEPOT;0;
15/11/23 09:00:03;Rue Ambroise Croizat, Vizille;45.084114;5.765184;6.0;HAUT LE PIED;11;
15/11/23 09:00:33;Rue Ambroise Croizat, Vizille;45.084049;5.765296;0.0;DEPOT;9;
15/11/23 09:01:18;;45.083969;5.765332;;DEPOT;2;
15/11/23 09:01:30;;45.083973;5.765351;;DEPOT;1;
15/11/23 09:02:25;;45.083984;5.765359;;DEPOT;0;
15/11/23 09:02:36;;45.083984;5.765359;;DEPOT;1;
15/11/23 09:02:51;;45.083973;5.765362;;DEPOT;1;
15/11/23 09:03:00;;45.083961;5.765362;;DEPOT;2;
15/11/23 09:03:11;;45.083946;5.765351;;DEPOT;0;
15/11/23 09:03:24;;45.083946;5.765349;;DEPOT;40;
15/11/23 09:08:22;Rue Ambroise Croizat, Vizille;45.084175;5.76574;16.0;HAUT LE PIED;60;
15/11/23 09:08:32;Rue Ambroise Croizat, Vizille;45.08411;5.766495;19.0;HAUT LE PIED;15;
15/11/23 09:08:35;Chemin du Bois de Cornage, Vizille;45.083992;5.766576;18.0;HAUT LE PIED;17;
15/11/23 09:08:38;Chemin du Bois de Cornage, Vizille;45.083847;5.766505;17.0;HAUT LE PIED;37;
15/11/23 09:08:43;Chemin du Bois de Cornage, Vizille;45.083523;5.766431;17.0;HAUT LE PIED;76;
15/11/23 09:08:56;Chemin du Bois de Cornage, Vizille;45.082855;5.766208;24.0;HAUT LE PIED;19;
15/11/23 09:08:59;Chemin du Bois de Cornage, Vizille;45.082726;5.766047;22.0;HAUT LE PIED;23;
15/11/23 09:09:02;Avenue Maurice Thorez, Vizille;45.082664;5.765769;30.0;HAUT LE PIED;25;
15/11/23 09:09:05;Avenue Maurice Thorez, Vizille;45.082718;5.765462;30.0;HAUT LE PIED;164;
15/11/23 09:09:19;N 85, Vizille;45.083199;5.76349;54.0;HAUT LE PIED;503;
15/11/23 09:09:47;N 85, Vizille;45.084732;5.757471;65.0;HAUT LE PIED;105;
15/11/23 09:09:53;N 85, Vizille;45.085205;5.756315;64.0;HAUT LE PIED;54;
