Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
15/11/23 04:21:29;Chemin des Acacias, La Tronche;45.198086;5.756316;;DEPOT;0;
15/11/23 04:21:29;Chemin des Acacias, La Tronche;45.198086;5.756316;;DEPOT;0;
15/11/23 04:21:30;Chemin des Acacias, La Tronche;45.198086;5.756316;;DEPOT;0;
15/11/23 04:21:30;Chemin des Acacias, La Tronche;45.198086;5.756316;;DEPOT;0;
15/11/23 04:21:30;Chemin des Acacias, La Tronche;45.198086;5.756316;;DEPOT;0;
15/11/23 04:21:30;Chemin des Acacias, La Tronche;45.198086;5.756316;;DEPOT;0;
15/11/23 04:21:38;Chemin des Acacias, La Tronche;45.198086;5.756316;0.0;DEPOT;33;
15/11/23 04:44:42;Inconnu, La Tronche;45.19838;5.756401;6.0;HAUT LE PIED;0;
15/11/23 04:44:43;Inconnu, La Tronche;45.198376;5.756403;;DEPOT;0;
15/11/23 04:44:43;Inconnu, La Tronche;45.198376;5.756403;;DEPOT;1;
15/11/23 04:44:48;Inconnu, La Tronche;45.198364;5.756411;;DEPOT;0;
15/11/23 04:44:49;Inconnu, La Tronche;45.198364;5.756411;;DEPOT;13;
15/11/23 04:45:13;Inconnu, La Tronche;45.19841;5.756562;0.0;DEPOT;25;
15/11/23 04:47:03;Inconnu, La Tronche;45.198483;5.756866;6.0;HAUT LE PIED;15;
15/11/23 04:47:10;Chemin de la Tuilerie, La Tronche;45.19854;5.757043;8.0;HAUT LE PIED;10;
15/11/23 04:47:14;Chemin de la Tuilerie, La Tronche;45.198574;5.757159;9.0;HAUT LE PIED;20;
15/11/23 04:47:45;Chemin de la Tuilerie, La Tronche;45.198654;5.757389;0.0;ARRET;26;
15/11/23 04:48:47;Chemin de la Tuilerie, La Tronche;45.198814;5.757634;7.0;HAUT LE PIED;10;
15/11/23 04:48:50;Chemin de la Tuilerie, La Tronche;45.198853;5.757753;12.0;HAUT LE PIED;145;
15/11/23 04:49:10;Chemin de la Tuilerie, La Tronche;45.199329;5.759468;32.0;HAUT LE PIED;28;
15/11/23 04:49:13;Chemin de la Tuilerie, La Tronche;45.199497;5.759734;32.0;HAUT LE PIED;20;
15/11/23 04:49:16;Chemin de la Tuilerie, La Tronche;45.199661;5.759853;19.0;HAUT LE PIED;15;
15/11/23 04:49:19;Chemin de la Tuilerie, La Tronche;45.199791;5.759876;15.0;HAUT LE PIED;16;
15/11/23 04:49:22;Chemin de la Tuilerie, La Tronche;45.199913;5.759775;22.0;HAUT LE PIED;118;
15/11/23 04:49:38;Avenue de Verdun, Meylan;45.20079;5.758939;10.0;HAUT LE PIED;30;
15/11/23 04:50:08;Avenue de Verdun, Meylan;45.201042;5.759071;22.0;HAUT LE PIED;46;
