Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
14/12/23 05:23:24;Inconnu, La Tronche;45.198112;5.756427;;DEPOT;0;
14/12/23 05:23:24;Inconnu, La Tronche;45.198112;5.756427;;DEPOT;0;
14/12/23 05:23:25;Inconnu, La Tronche;45.198112;5.756427;;DEPOT;0;
14/12/23 05:23:25;Inconnu, La Tronche;45.198112;5.756427;;DEPOT;0;
14/12/23 05:23:25;Inconnu, La Tronche;45.198112;5.756427;;DEPOT;0;
14/12/23 05:23:25;Inconnu, La Tronche;45.198112;5.756427;;DEPOT;0;
14/12/23 05:23:39;Inconnu, La Tronche;45.198112;5.756427;6.0;HAUT LE PIED;18;
14/12/23 05:24:10;Inconnu, La Tronche;45.198265;5.756372;0.0;DEPOT;27;
14/12/23 05:24:23;Inconnu, La Tronche;45.19846;5.756581;12.0;HAUT LE PIED;47;
14/12/23 05:24:38;Chemin de la Tuilerie, La Tronche;45.198605;5.757144;13.0;HAUT LE PIED;22;
14/12/23 05:24:43;Chemin de la Tuilerie, La Tronche;45.198715;5.757382;18.0;HAUT LE PIED;18;
14/12/23 05:24:46;Chemin de la Tuilerie, La Tronche;45.198799;5.757582;22.0;HAUT LE PIED;33;
14/12/23 05:24:51;Inconnu, La Tronche;45.198925;5.757969;24.0;HAUT LE PIED;121;
14/12/23 05:25:08;Chemin de la Tuilerie, La Tronche;45.199306;5.759419;19.0;HAUT LE PIED;20;
14/12/23 05:25:12;Inconnu, La Tronche;45.199306;5.759676;18.0;HAUT LE PIED;14;
14/12/23 05:25:15;Inconnu, La Tronche;45.199341;5.759843;13.0;HAUT LE PIED;14;
14/12/23 05:25:18;Inconnu, La Tronche;45.19931;5.760011;15.0;HAUT LE PIED;15;
14/12/23 05:25:21;Inconnu, La Tronche;45.199207;5.760139;21.0;HAUT LE PIED;120;
14/12/23 05:25:40;Inconnu, La Tronche;45.198208;5.7607;20.0;HAUT LE PIED;20;
14/12/23 05:25:44;;45.198071;5.760874;17.0;HAUT LE PIED;13;
14/12/23 05:25:47;Chemin de la Tuilerie, La Tronche;45.198082;5.761044;16.0;HAUT LE PIED;12;
