Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
04/12/23 04:37:41;Rue Ambroise Croizat, Vizille;45.084042;5.765539;;DEPOT;0;
04/12/23 04:37:42;Rue Ambroise Croizat, Vizille;45.084042;5.765539;;DEPOT;0;
04/12/23 04:37:42;Rue Ambroise Croizat, Vizille;45.084042;5.765539;;DEPOT;0;
04/12/23 04:37:49;Rue Ambroise Croizat, Vizille;45.084042;5.765539;0.0;DEPOT;6;
04/12/23 04:51:02;;45.083996;5.765506;;DEPOT;10;
04/12/23 04:52:19;Rue Ambroise Croizat, Vizille;45.084057;5.765594;;DEPOT;0;
04/12/23 04:52:19;Rue Ambroise Croizat, Vizille;45.084057;5.765594;;DEPOT;0;
04/12/23 04:52:19;Rue Ambroise Croizat, Vizille;45.084057;5.765594;;DEPOT;0;
04/12/23 04:52:28;Rue Ambroise Croizat, Vizille;45.084057;5.765594;6.0;HAUT LE PIED;6;
04/12/23 04:52:58;Rue Ambroise Croizat, Vizille;45.08408;5.76552;0.0;DEPOT;6;
04/12/23 05:07:24;Rue Ambroise Croizat, Vizille;45.084026;5.76552;;DEPOT;9;
04/12/23 05:08:38;Rue Ambroise Croizat, Vizille;45.084103;5.765522;;DEPOT;0;
04/12/23 05:08:38;Rue Ambroise Croizat, Vizille;45.084103;5.765522;;DEPOT;0;
04/12/23 05:08:38;Rue Ambroise Croizat, Vizille;45.084103;5.765522;;DEPOT;0;
04/12/23 05:08:48;Rue Ambroise Croizat, Vizille;45.084103;5.765522;6.0;HAUT LE PIED;2;
04/12/23 05:09:19;Rue Ambroise Croizat, Vizille;45.084087;5.765517;0.0;DEPOT;34;
04/12/23 05:14:33;Rue Ambroise Croizat, Vizille;45.084187;5.765921;29.0;HAUT LE PIED;44;
04/12/23 05:14:39;Rue Ambroise Croizat, Vizille;45.084126;5.766471;21.0;HAUT LE PIED;17;
04/12/23 05:14:42;Chemin du Bois de Cornage, Vizille;45.083981;5.766534;24.0;HAUT LE PIED;128;
04/12/23 05:14:58;Chemin du Bois de Cornage, Vizille;45.082863;5.766162;28.0;HAUT LE PIED;18;
04/12/23 05:15:01;Chemin du Bois de Cornage, Vizille;45.082737;5.766009;11.0;HAUT LE PIED;26;
04/12/23 05:15:09;Avenue Maurice Thorez, Vizille;45.082676;5.765686;25.0;HAUT LE PIED;101;
04/12/23 05:15:18;N 85, Vizille;45.082966;5.764469;53.0;HAUT LE PIED;554;
04/12/23 05:15:49;N 85, Vizille;45.084557;5.757782;68.0;HAUT LE PIED;58;
04/12/23 05:15:52;N 85, Vizille;45.084846;5.757172;70.0;HAUT LE PIED;57;
04/12/23 05:15:55;N 85, Vizille;45.085102;5.75655;66.0;HAUT LE PIED;56;
04/12/23 05:15:58;N 85, Vizille;45.085209;5.75585;68.0;HAUT LE PIED;76;
04/12/23 05:16:02;N 85, Vizille;45.085094;5.754895;71.0;HAUT LE PIED;578;
04/12/23 05:16:32;N 85, Montchaboud;45.083668;5.747816;64.0;HAUT LE PIED;165;
04/12/23 05:16:41;D 1085B, Montchaboud;45.083179;5.745831;66.0;HAUT LE PIED;217;
04/12/23 05:16:53;N 85, Champ-sur-Drac;45.082207;5.743443;67.0;HAUT LE PIED;76;
04/12/23 05:16:57;N 85, Champ-sur-Drac;45.08213;5.742481;67.0;HAUT LE PIED;92;
04/12/23 05:17:02;N 85, Champ-sur-Drac;45.082306;5.741331;68.0;HAUT LE PIED;75;
04/12/23 05:17:06;Inconnu, Champ-sur-Drac;45.082645;5.7405;70.0;HAUT LE PIED;78;
04/12/23 05:17:10;N 85, Champ-sur-Drac;45.083134;5.739787;70.0;HAUT LE PIED;185;
04/12/23 05:17:20;Pont RN85 aval, Champ-sur-Drac;45.084591;5.738653;64.0;HAUT LE PIED;110;
04/12/23 05:17:26;Pont RN85 aval, Champ-sur-Drac;45.085396;5.73785;66.0;HAUT LE PIED;127;
04/12/23 05:17:33;Pont RN85 aval, Champ-sur-Drac;45.086079;5.736559;64.0;HAUT LE PIED;454;
04/12/23 05:17:59;Pont RN85 aval, Champ-sur-Drac;45.088131;5.731562;63.0;HAUT LE PIED;552;
04/12/23 05:18:30;N 85, Champ-sur-Drac;45.090683;5.725533;65.0;HAUT LE PIED;143;
04/12/23 05:18:38;Route de Vizille, Champagnier;45.091488;5.724116;63.0;HAUT LE PIED;215;
04/12/23 05:18:50;Route de Vizille, Champagnier;45.093098;5.722606;62.0;HAUT LE PIED;362;
04/12/23 05:19:07;Route de Vizille, Champagnier;45.09594;5.720363;87.0;HAUT LE PIED;668;
04/12/23 05:19:35;N 85, Champagnier;45.101078;5.715963;76.0;HAUT LE PIED;167;
04/12/23 05:19:44;N 85, Champagnier;45.102325;5.714773;58.0;HAUT LE PIED;70;
04/12/23 05:19:49;N 85, Champagnier;45.102722;5.714085;47.0;HAUT LE PIED;39;
04/12/23 05:19:52;D 1085a, Champagnier;45.103039;5.713865;51.0;HAUT LE PIED;43;
04/12/23 05:19:55;D 1085a, Champagnier;45.103424;5.713837;52.0;HAUT LE PIED;77;
04/12/23 05:20:00;D 1085a, Champagnier;45.104111;5.713691;61.0;HAUT LE PIED;147;
04/12/23 05:20:08;D 1085a, Champagnier;45.105286;5.712826;72.0;HAUT LE PIED;731;
04/12/23 05:20:39;D 1085a, Champagnier;45.110989;5.708207;86.0;HAUT LE PIED;376;
04/12/23 05:20:57;D 1085a, Le Pont-de-Claix;45.113937;5.705874;54.0;HAUT LE PIED;36;
04/12/23 05:21:00;D 1085a, Le Pont-de-Claix;45.114231;5.705694;38.0;HAUT LE PIED;28;
04/12/23 05:21:03;Inconnu, Le Pont-de-Claix;45.114479;5.70561;33.0;HAUT LE PIED;27;
04/12/23 05:21:06;Avenue du Maquis de l'Oisans, Le Pont-de-Claix;45.114609;5.705317;35.0;HAUT LE PIED;34;
04/12/23 05:21:09;Avenue du Maquis de l'Oisans, Le Pont-de-Claix;45.114857;5.705056;44.0;HAUT LE PIED;548;
04/12/23 05:21:39;Avenue du Maquis de l'Oisans, Le Pont-de-Claix;45.119156;5.701659;74.0;HAUT LE PIED;518;
04/12/23 05:22:08;Avenue du Maquis de l'Oisans, Le Pont-de-Claix;45.123184;5.698353;24.0;HAUT LE PIED;21;
04/12/23 05:22:11;Rue de Stalingrad, Le Pont-de-Claix;45.123184;5.698087;29.0;HAUT LE PIED;29;
04/12/23 05:22:19;Avenue du Maréchal Juin, Le Pont-de-Claix;45.123032;5.697794;23.0;HAUT LE PIED;23;
04/12/23 05:22:22;Avenue du Maréchal Juin, Le Pont-de-Claix;45.122833;5.69771;33.0;HAUT LE PIED;32;
04/12/23 05:22:25;Avenue du Maréchal Juin, Le Pont-de-Claix;45.122562;5.697587;41.0;HAUT LE PIED;191;
04/12/23 05:22:38;Avenue du Maréchal Juin, Le Pont-de-Claix;45.120975;5.696644;58.0;HAUT LE PIED;241;
04/12/23 05:22:54;Avenue de la Libération, Claix;45.119415;5.694512;41.0;HAUT LE PIED;273;
04/12/23 05:23:19;Avenue de la Libération, Claix;45.117748;5.691967;37.0;HAUT LE PIED;121;
04/12/23 05:23:28;Avenue de la Libération, Claix;45.116852;5.691096;57.0;HAUT LE PIED;126;
04/12/23 05:23:35;Avenue de la Libération, Claix;45.115776;5.690608;69.0;HAUT LE PIED;692;
04/12/23 05:24:06;D 1075, Claix;45.10976;5.688357;85.0;HAUT LE PIED;414;
04/12/23 05:24:25;D 1075, Varces-Allières-et-Risset;45.106182;5.686897;54.0;HAUT LE PIED;41;
04/12/23 05:24:28;D 1075, Varces-Allières-et-Risset;45.105991;5.686456;47.0;HAUT LE PIED;37;
04/12/23 05:24:31;D 1075, Varces-Allières-et-Risset;45.106075;5.685996;48.0;HAUT LE PIED;42;
04/12/23 05:24:34;D 1075, Varces-Allières-et-Risset;45.106358;5.685644;54.0;HAUT LE PIED;216;
04/12/23 05:24:46;D 1075, Varces-Allières-et-Risset;45.107811;5.683825;74.0;HAUT LE PIED;139;
04/12/23 05:24:53;Inconnu, Varces-Allières-et-Risset;45.108955;5.683099;56.0;HAUT LE PIED;46;
04/12/23 05:24:56;Inconnu, Varces-Allières-et-Risset;45.109364;5.683121;54.0;HAUT LE PIED;47;
04/12/23 05:24:59;Inconnu, Varces-Allières-et-Risset;45.10973;5.683425;58.0;HAUT LE PIED;48;
04/12/23 05:25:02;Inconnu, Varces-Allières-et-Risset;45.1101;5.683742;53.0;HAUT LE PIED;56;
04/12/23 05:25:07;Inconnu, Varces-Allières-et-Risset;45.110584;5.683959;16.0;HAUT LE PIED;14;
04/12/23 05:25:10;Rue de la Pissarde, Claix;45.110672;5.68383;24.0;HAUT LE PIED;19;
04/12/23 05:25:13;Rue de la Pissarde, Varces-Allières-et-Risset;45.11063;5.683592;27.0;HAUT LE PIED;119;
04/12/23 05:25:24;Rue de la Pissarde, Varces-Allières-et-Risset;45.110481;5.682093;45.0;HAUT LE PIED;115;
