Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
03/12/23 13:17:49;;45.152798;5.737613;;DEPOT;0;
03/12/23 13:17:50;;45.152798;5.737613;;DEPOT;0;
03/12/23 13:17:50;;45.152798;5.737613;;DEPOT;0;
03/12/23 13:17:56;;45.152798;5.737613;0.0;DEPOT;34;
03/12/23 13:25:49;;45.15308;5.73779;21.0;HAUT LE PIED;13;
03/12/23 13:25:52;Rue Le Corbusier, Eybens;45.153198;5.737753;13.0;HAUT LE PIED;12;
03/12/23 13:25:55;Rue Le Corbusier, Eybens;45.153267;5.737629;13.0;HAUT LE PIED;14;
03/12/23 13:25:58;Rue Le Corbusier, Eybens;45.153263;5.737454;13.0;HAUT LE PIED;46;
03/12/23 13:26:06;Rue Le Corbusier, Eybens;45.153252;5.736866;12.0;HAUT LE PIED;8;
03/12/23 13:26:09;Rue Le Corbusier, Eybens;45.153301;5.73679;9.0;HAUT LE PIED;19;
03/12/23 13:26:39;Rue Le Corbusier, Eybens;45.153419;5.73662;0.0;ARRET;28;
03/12/23 13:27:13;Rue Le Corbusier, Eybens;45.153397;5.736259;20.0;HAUT LE PIED;154;
03/12/23 13:27:31;Rue Le Corbusier, Eybens;45.153358;5.734294;14.0;HAUT LE PIED;9;
03/12/23 13:27:34;Rue Le Corbusier, Eybens;45.1534;5.734191;9.0;HAUT LE PIED;32;
03/12/23 13:27:40;Avenue d'Innsbruck, Eybens;45.15358;5.733878;29.0;HAUT LE PIED;22;
03/12/23 13:27:43;Avenue d'Innsbruck, Eybens;45.153561;5.733595;30.0;HAUT LE PIED;27;
03/12/23 13:27:46;Rond-Point Jean Monnet, Eybens;45.153366;5.733394;32.0;HAUT LE PIED;27;
03/12/23 13:27:49;Rond-Point Jean Monnet, Eybens;45.153126;5.733458;34.0;HAUT LE PIED;36;
03/12/23 13:27:53;D 269A, Eybens;45.152855;5.733704;33.0;HAUT LE PIED;123;
03/12/23 13:28:05;D 269A, Eybens;45.151752;5.733802;38.0;HAUT LE PIED;37;
03/12/23 13:28:10;Inconnu, Eybens;45.151417;5.733809;11.0;HAUT LE PIED;9;
03/12/23 13:28:13;Inconnu, Eybens;45.151356;5.733743;9.0;HAUT LE PIED;55;
03/12/23 13:28:22;Inconnu, Eybens;45.151028;5.733211;30.0;HAUT LE PIED;136;
03/12/23 13:28:33;Inconnu, Eybens;45.150871;5.731491;60.0;HAUT LE PIED;267;
03/12/23 13:28:48;Rocade Sud, Échirolles;45.150803;5.728087;66.0;HAUT LE PIED;218;
03/12/23 13:28:59;Rocade Sud, Échirolles;45.151028;5.725332;73.0;HAUT LE PIED;271;
03/12/23 13:29:12;Rocade Sud, Échirolles;45.151661;5.721997;76.0;HAUT LE PIED;326;
03/12/23 13:29:28;Pont Jacques Duclos, Échirolles;45.152454;5.718002;68.0;HAUT LE PIED;112;
03/12/23 13:29:34;Rocade Sud, Échirolles;45.15303;5.716834;68.0;HAUT LE PIED;159;
03/12/23 13:29:43;Rocade Sud, Échirolles;45.154121;5.715526;58.0;HAUT LE PIED;289;
03/12/23 13:30:01;Rocade Sud, Échirolles;45.156261;5.713433;57.0;HAUT LE PIED;125;
03/12/23 13:30:09;Carrefour du Rondeau, Échirolles;45.157242;5.712649;59.0;HAUT LE PIED;122;
03/12/23 13:30:17;Carrefour du Rondeau, Échirolles;45.157993;5.711511;52.0;HAUT LE PIED;168;
03/12/23 13:30:28;Rocade Sud, Grenoble;45.158661;5.709584;54.0;HAUT LE PIED;161;
03/12/23 13:30:39;Inconnu, Grenoble;45.158916;5.707569;49.0;HAUT LE PIED;54;
03/12/23 13:30:44;Inconnu, Grenoble;45.15889;5.706888;27.0;HAUT LE PIED;40;
03/12/23 13:30:49;Rocade Sud, Grenoble;45.158783;5.706397;29.0;HAUT LE PIED;108;
03/12/23 13:31:00;Rocade Sud, Grenoble;45.158821;5.705021;33.0;HAUT LE PIED;40;
03/12/23 13:31:04;Rue Hilaire de Chardonnet, Grenoble;45.158905;5.704527;37.0;HAUT LE PIED;129;
