Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
16/11/23 04:24:46;Inconnu, La Tronche;45.198544;5.756884;;DEPOT;0;
16/11/23 04:24:46;Inconnu, La Tronche;45.198544;5.756884;;DEPOT;0;
16/11/23 04:24:46;Inconnu, La Tronche;45.198544;5.756884;;DEPOT;0;
16/11/23 04:24:46;Inconnu, La Tronche;45.198544;5.756884;;DEPOT;0;
16/11/23 04:24:46;Inconnu, La Tronche;45.198544;5.756884;;DEPOT;0;
16/11/23 04:24:47;Inconnu, La Tronche;45.198544;5.756884;;DEPOT;0;
16/11/23 04:24:53;Inconnu, La Tronche;45.198544;5.756884;11.0;HAUT LE PIED;50;
16/11/23 04:25:08;Chemin de la Tuilerie, La Tronche;45.198681;5.757489;17.0;HAUT LE PIED;27;
16/11/23 04:25:13;Inconnu, La Tronche;45.198811;5.757785;19.0;HAUT LE PIED;162;
16/11/23 04:25:39;Inconnu, La Tronche;45.199364;5.759694;26.0;HAUT LE PIED;24;
16/11/23 04:25:43;Chemin de la Tuilerie, La Tronche;45.199543;5.759864;21.0;HAUT LE PIED;17;
16/11/23 04:25:46;Chemin de la Tuilerie, La Tronche;45.199692;5.759913;19.0;HAUT LE PIED;17;
16/11/23 04:25:49;Chemin de la Tuilerie, La Tronche;45.199844;5.759878;22.0;HAUT LE PIED;41;
16/11/23 04:25:56;Chemin de la Tuilerie, La Tronche;45.20013;5.759553;12.0;HAUT LE PIED;11;
16/11/23 04:26:06;Inconnu, La Tronche;45.200146;5.759415;;ARRET;0;
16/11/23 04:26:06;Inconnu, La Tronche;45.200146;5.759415;;MARCHE ARRIERE;8;
16/11/23 04:26:17;Chemin de la Tuilerie, La Tronche;45.200119;5.759505;;MARCHE ARRIERE;0;
16/11/23 04:26:17;Chemin de la Tuilerie, La Tronche;45.200119;5.759505;;ARRET;22;
16/11/23 04:26:24;Inconnu, La Tronche;45.199978;5.759304;16.0;HAUT LE PIED;15;
16/11/23 04:26:27;Inconnu, La Tronche;45.199848;5.759374;18.0;HAUT LE PIED;17;
16/11/23 04:26:39;Inconnu, La Tronche;45.199699;5.759408;;MOTEUR OFF;0;
16/11/23 04:26:40;Inconnu, La Tronche;45.199696;5.759405;;MOTEUR OFF;2;
16/11/23 04:26:58;Inconnu, La Tronche;45.199688;5.759385;0.0;MOTEUR OFF;2;
16/11/23 04:27:47;Inconnu, La Tronche;45.199677;5.759363;;ARRET;0;
16/11/23 04:27:55;Inconnu, La Tronche;45.199673;5.759362;;ARRET;35;
16/11/23 04:32:29;Chemin de la Tuilerie, La Tronche;45.199375;5.759486;17.0;HAUT LE PIED;14;
16/11/23 04:32:32;Inconnu, La Tronche;45.199261;5.759408;24.0;HAUT LE PIED;116;
16/11/23 04:32:45;Inconnu, La Tronche;45.198914;5.758015;38.0;HAUT LE PIED;63;
16/11/23 04:32:51;Chemin de la Tuilerie, La Tronche;45.198654;5.757299;36.0;HAUT LE PIED;22;
16/11/23 04:32:54;Chemin de la Tuilerie, La Tronche;45.198563;5.757053;18.0;HAUT LE PIED;66;
16/11/23 04:33:10;Inconnu, La Tronche;45.198307;5.756298;14.0;HAUT LE PIED;12;
16/11/23 04:33:13;Inconnu, La Tronche;45.1982;5.75629;17.0;HAUT LE PIED;13;
16/11/23 04:33:16;Inconnu, La Tronche;45.198116;5.756406;15.0;HAUT LE PIED;10;
16/11/23 04:33:19;Inconnu, La Tronche;45.19812;5.756539;10.0;HAUT LE PIED;15;
16/11/23 04:33:36;Inconnu, La Tronche;45.19825;5.756602;;DEPOT;0;
16/11/23 04:33:36;Inconnu, La Tronche;45.19825;5.756602;;DEPOT;1;
16/11/23 04:33:50;Inconnu, La Tronche;45.198254;5.756597;;DEPOT;0;
16/11/23 04:33:50;Inconnu, La Tronche;45.198254;5.756597;;DEPOT;34;
16/11/23 04:40:11;Inconnu, La Tronche;45.19849;5.756876;18.0;HAUT LE PIED;19;
16/11/23 04:40:20;Chemin de la Tuilerie, La Tronche;45.198544;5.757111;;DEPOT;0;
16/11/23 04:40:20;Chemin de la Tuilerie, La Tronche;45.198544;5.757111;;DEPOT;3;
16/11/23 04:40:28;Chemin de la Tuilerie, La Tronche;45.198521;5.757091;;DEPOT;0;
16/11/23 04:40:28;Chemin de la Tuilerie, La Tronche;45.198521;5.757091;;DEPOT;31;
16/11/23 04:40:34;Chemin de la Tuilerie, La Tronche;45.198647;5.757446;24.0;HAUT LE PIED;33;
16/11/23 04:40:38;Inconnu, La Tronche;45.198811;5.757792;37.0;HAUT LE PIED;151;
16/11/23 04:40:51;Inconnu, La Tronche;45.199341;5.759564;39.0;HAUT LE PIED;38;
16/11/23 04:40:55;Chemin de la Tuilerie, La Tronche;45.199608;5.759874;32.0;HAUT LE PIED;20;
16/11/23 04:40:58;Chemin de la Tuilerie, La Tronche;45.199783;5.759912;13.0;HAUT LE PIED;29;
16/11/23 04:41:08;Chemin de la Tuilerie, La Tronche;45.199989;5.759676;21.0;HAUT LE PIED;56;
16/11/23 04:41:16;Chemin de la Tuilerie, Meylan;45.200405;5.75928;13.0;HAUT LE PIED;26;
16/11/23 04:41:30;A 41s, Meylan;45.200603;5.759455;25.0;HAUT LE PIED;457;
16/11/23 04:42:01;A 41s, Meylan;45.201691;5.765081;73.0;HAUT LE PIED;548;
16/11/23 04:42:25;A 41s, Meylan;45.202728;5.771915;86.0;HAUT LE PIED;664;
16/11/23 04:42:53;Inconnu, Meylan;45.203674;5.780276;61.0;HAUT LE PIED;49;
16/11/23 04:42:56;Inconnu, Meylan;45.203602;5.780894;58.0;HAUT LE PIED;49;
16/11/23 04:42:59;Inconnu, Meylan;45.203365;5.781419;59.0;HAUT LE PIED;50;
16/11/23 04:43:02;Inconnu, Meylan;45.202988;5.781761;63.0;HAUT LE PIED;54;
16/11/23 04:43:05;Inconnu, Meylan;45.202507;5.781852;67.0;HAUT LE PIED;58;
16/11/23 04:43:08;Inconnu, Meylan;45.202007;5.781657;71.0;HAUT LE PIED;279;
16/11/23 04:43:22;Rocade Sud, Meylan;45.199631;5.780535;73.0;HAUT LE PIED;105;
16/11/23 04:43:27;Rocade Sud, Meylan;45.198689;5.780533;77.0;HAUT LE PIED;152;
16/11/23 04:43:34;Rocade Sud, Meylan;45.197365;5.781032;79.0;HAUT LE PIED;297;
16/11/23 04:43:47;Rocade Sud, Meylan;45.194767;5.781919;83.0;HAUT LE PIED;274;
16/11/23 04:43:59;Rocade Sud, Meylan;45.192307;5.781974;80.0;HAUT LE PIED;566;
16/11/23 04:44:23;Rocade Sud, Gières;45.187225;5.781577;84.0;HAUT LE PIED;238;
16/11/23 04:44:33;Rocade Sud, Gières;45.18515;5.780846;85.0;HAUT LE PIED;232;
16/11/23 04:44:43;Rocade Sud, Saint-Martin-d'Hères;45.183235;5.779665;84.0;HAUT LE PIED;260;
16/11/23 04:44:54;Rocade Sud, Saint-Martin-d'Hères;45.181267;5.777886;82.0;HAUT LE PIED;230;
16/11/23 04:45:04;Rocade Sud, Saint-Martin-d'Hères;45.179737;5.775914;84.0;HAUT LE PIED;299;
16/11/23 04:45:17;Rocade Sud, Saint-Martin-d'Hères;45.178093;5.772891;83.0;HAUT LE PIED;535;
16/11/23 04:45:40;Rocade Sud, Saint-Martin-d'Hères;45.175228;5.767418;83.0;HAUT LE PIED;347;
16/11/23 04:45:55;Rocade Sud, Saint-Martin-d'Hères;45.173016;5.764294;83.0;HAUT LE PIED;348;
16/11/23 04:46:10;Rocade Sud, Saint-Martin-d'Hères;45.170551;5.76157;83.0;HAUT LE PIED;529;
16/11/23 04:46:36;Inconnu, Saint-Martin-d'Hères;45.166653;5.757715;21.0;HAUT LE PIED;16;
16/11/23 04:46:39;Inconnu, Saint-Martin-d'Hères;45.166637;5.757514;20.0;HAUT LE PIED;21;
16/11/23 04:46:42;Boulevard Dulcie September, Saint-Martin-d'Hères;45.166763;5.757323;32.0;HAUT LE PIED;225;
16/11/23 04:47:01;Boulevard Dulcie September, Saint-Martin-d'Hères;45.168407;5.755658;26.0;HAUT LE PIED;20;
16/11/23 04:47:04;Rond-Point Nelson Mandela, Saint-Martin-d'Hères;45.168575;5.755551;25.0;HAUT LE PIED;21;
16/11/23 04:47:07;Inconnu, Saint-Martin-d'Hères;45.168633;5.755301;27.0;HAUT LE PIED;26;
16/11/23 04:47:10;Rue du Pré Ruffier, Saint-Martin-d'Hères;45.168797;5.755073;31.0;HAUT LE PIED;68;
16/11/23 04:47:19;Rue du Pré Ruffier, Saint-Martin-d'Hères;45.169258;5.754495;15.0;HAUT LE PIED;12;
16/11/23 04:47:22;Inconnu, Saint-Martin-d'Hères;45.169353;5.754567;15.0;HAUT LE PIED;14;
16/11/23 04:47:25;Allée Jean Wiener, Saint-Martin-d'Hères;45.169453;5.754675;14.0;HAUT LE PIED;5;
16/11/23 04:47:56;Allée Jean Wiener, Saint-Martin-d'Hères;45.169498;5.754702;0.0;ARRET;0;
16/11/23 04:48:06;Allée Jean Wiener, Saint-Martin-d'Hères;45.169498;5.754703;;COLLECTE;0;
16/11/23 04:48:07;Allée Jean Wiener, Saint-Martin-d'Hères;45.169498;5.754703;;COLLECTE;0;
16/11/23 04:48:07;Allée Jean Wiener, Saint-Martin-d'Hères;45.169498;5.754703;;COLLECTE;0;
16/11/23 04:48:19;Allée Jean Wiener, Saint-Martin-d'Hères;45.169495;5.754703;;COLLECTE;0;
16/11/23 04:48:19;Allée Jean Wiener, Saint-Martin-d'Hères;45.169495;5.754703;;COLLECTE;0;
16/11/23 04:48:19;Allée Jean Wiener, Saint-Martin-d'Hères;45.169495;5.754703;;ARRET;0;
16/11/23 04:48:24;Allée Jean Wiener, Saint-Martin-d'Hères;45.169495;5.754703;;COLLECTE;0;
