Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
16/11/23 05:32:08;Inconnu, La Tronche;45.19836;5.75626;;DEPOT;0;
16/11/23 05:32:08;Inconnu, La Tronche;45.19836;5.75626;;DEPOT;0;
16/11/23 05:32:08;Inconnu, La Tronche;45.19836;5.75626;;DEPOT;0;
16/11/23 05:32:14;Inconnu, La Tronche;45.19836;5.75626;0.0;DEPOT;8;
16/11/23 05:35:58;Inconnu, La Tronche;45.198372;5.756155;;DEPOT;1;
16/11/23 05:36:01;Inconnu, La Tronche;45.198368;5.756158;;DEPOT;1;
16/11/23 05:36:06;Inconnu, La Tronche;45.198368;5.756168;;DEPOT;1;
16/11/23 05:36:13;Inconnu, La Tronche;45.198368;5.756176;;DEPOT;0;
16/11/23 05:36:18;Inconnu, La Tronche;45.198368;5.75618;;DEPOT;1;
16/11/23 05:36:21;Inconnu, La Tronche;45.19836;5.756169;;DEPOT;48;
16/11/23 05:36:42;Inconnu, La Tronche;45.198471;5.75676;21.0;HAUT LE PIED;57;
16/11/23 05:36:57;Chemin de la Tuilerie, La Tronche;45.198692;5.757419;10.0;HAUT LE PIED;22;
16/11/23 05:37:03;Chemin de la Tuilerie, La Tronche;45.198807;5.757641;16.0;HAUT LE PIED;170;
16/11/23 05:37:28;Chemin de la Tuilerie, La Tronche;45.199421;5.759621;26.0;HAUT LE PIED;27;
16/11/23 05:37:32;Chemin de la Tuilerie, La Tronche;45.199623;5.759822;21.0;HAUT LE PIED;15;
16/11/23 05:37:35;Chemin de la Tuilerie, La Tronche;45.199749;5.759882;16.0;HAUT LE PIED;13;
16/11/23 05:37:38;Chemin de la Tuilerie, La Tronche;45.19986;5.75982;17.0;HAUT LE PIED;78;
16/11/23 05:38:08;Chemin de la Tuilerie, Meylan;45.200428;5.759246;0.0;ARRET;25;
16/11/23 05:38:23;A 41s, Meylan;45.200611;5.759431;25.0;HAUT LE PIED;475;
16/11/23 05:38:54;A 41s, Meylan;45.201725;5.765277;71.0;HAUT LE PIED;432;
16/11/23 05:39:14;A 41s, Meylan;45.202549;5.77066;82.0;HAUT LE PIED;690;
16/11/23 05:39:44;Inconnu, Meylan;45.203606;5.779333;72.0;HAUT LE PIED;103;
16/11/23 05:39:50;Inconnu, Meylan;45.203648;5.780649;54.0;HAUT LE PIED;43;
