Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
22/12/23 09:05:09;;45.153023;5.73688;;DEPOT;0;
22/12/23 09:05:09;;45.153023;5.73688;;DEPOT;0;
22/12/23 09:05:09;;45.153023;5.73688;;DEPOT;0;
22/12/23 09:05:09;;45.153023;5.73688;;DEPOT;0;
22/12/23 09:05:09;;45.153023;5.73688;;DEPOT;3;
22/12/23 09:05:09;;45.153046;5.736897;;DEPOT;3;
22/12/23 09:05:15;;45.153023;5.73688;0.0;DEPOT;32;
22/12/23 09:11:49;;45.153057;5.737283;6.0;HAUT LE PIED;1;
22/12/23 09:12:20;;45.153061;5.737293;0.0;DEPOT;33;
22/12/23 09:19:12;;45.152767;5.737297;9.0;HAUT LE PIED;9;
22/12/23 09:19:15;;45.152702;5.737365;9.0;HAUT LE PIED;8;
22/12/23 09:19:18;;45.152676;5.737461;10.0;HAUT LE PIED;31;
22/12/23 09:19:49;;45.152817;5.737807;6.0;HAUT LE PIED;46;
22/12/23 09:20:15;Rue Le Corbusier, Eybens;45.153221;5.737711;14.0;HAUT LE PIED;9;
22/12/23 09:20:18;Rue Le Corbusier, Eybens;45.153259;5.737611;10.0;HAUT LE PIED;12;
22/12/23 09:20:21;Rue Le Corbusier, Eybens;45.153275;5.737464;11.0;HAUT LE PIED;19;
22/12/23 09:20:24;Rue Le Corbusier, Eybens;45.153255;5.737224;14.0;HAUT LE PIED;33;
22/12/23 09:20:33;Rue Le Corbusier, Eybens;45.153309;5.736811;9.0;HAUT LE PIED;26;
22/12/23 09:20:44;Rue Le Corbusier, Eybens;45.153366;5.736485;21.0;HAUT LE PIED;173;
22/12/23 09:21:02;Rue Le Corbusier, Eybens;45.153355;5.734283;15.0;HAUT LE PIED;51;
22/12/23 09:21:18;Avenue d'Innsbruck, Eybens;45.153679;5.733828;28.0;HAUT LE PIED;26;
22/12/23 09:21:21;Avenue d'Innsbruck, Eybens;45.153908;5.733788;39.0;HAUT LE PIED;235;
22/12/23 09:21:51;Avenue d'Innsbruck, Grenoble;45.156017;5.733737;34.0;HAUT LE PIED;252;
22/12/23 09:22:16;Avenue d'Innsbruck, Grenoble;45.158279;5.733721;28.0;HAUT LE PIED;22;
22/12/23 09:22:47;Avenue d'Innsbruck, Grenoble;45.158478;5.733684;0.0;ARRET;28;
22/12/23 09:22:58;Avenue d'Innsbruck, Grenoble;45.158733;5.733704;23.0;HAUT LE PIED;20;
22/12/23 09:23:01;Avenue de l'Europe, Grenoble;45.158852;5.733893;23.0;HAUT LE PIED;18;
22/12/23 09:23:04;Avenue de l'Europe, Grenoble;45.158943;5.734081;22.0;HAUT LE PIED;23;
22/12/23 09:23:07;D 5B, Grenoble;45.159145;5.734141;27.0;HAUT LE PIED;22;
22/12/23 09:23:10;D 5B, Grenoble;45.159325;5.734023;27.0;HAUT LE PIED;27;
22/12/23 09:23:13;Avenue de l'Europe, Grenoble;45.159428;5.733709;36.0;HAUT LE PIED;161;
22/12/23 09:23:29;Inconnu, Grenoble;45.159355;5.731661;9.0;HAUT LE PIED;189;
22/12/23 09:24:00;Avenue de l'Europe, Grenoble;45.159283;5.729256;6.0;HAUT LE PIED;228;
22/12/23 09:24:30;Avenue Edmond Esmonin, Grenoble;45.15937;5.726351;43.0;HAUT LE PIED;135;
22/12/23 09:25:01;Avenue Edmond Esmonin, Grenoble;45.159554;5.724652;0.0;ARRET;29;
22/12/23 09:25:12;Inconnu, Grenoble;45.159592;5.724286;19.0;HAUT LE PIED;244;
22/12/23 09:25:37;Avenue Edmond Esmonin, Grenoble;45.160114;5.721264;15.0;HAUT LE PIED;18;
22/12/23 09:25:41;Avenue Edmond Esmonin, Grenoble;45.160213;5.721077;14.0;HAUT LE PIED;17;
22/12/23 09:25:45;Avenue Edmond Esmonin, Grenoble;45.160343;5.720957;23.0;HAUT LE PIED;39;
22/12/23 09:25:50;Rue Lucien Andrieux, Grenoble;45.160648;5.720721;31.0;HAUT LE PIED;29;
22/12/23 09:25:53;Rue Lucien Andrieux, Grenoble;45.160763;5.720387;36.0;HAUT LE PIED;29;
22/12/23 09:25:56;Inconnu, Grenoble;45.160736;5.720018;36.0;HAUT LE PIED;34;
22/12/23 09:25:59;Avenue Paul Verlaine, Grenoble;45.160652;5.719607;44.0;HAUT LE PIED;35;
22/12/23 09:26:02;Avenue Paul Verlaine, Grenoble;45.160748;5.719176;45.0;HAUT LE PIED;194;
22/12/23 09:26:33;Avenue Paul Verlaine, Grenoble;45.161549;5.716981;6.0;HAUT LE PIED;3;
22/12/23 09:27:04;Avenue Paul Verlaine, Grenoble;45.161568;5.717006;0.0;ARRET;3;
22/12/23 09:27:30;Avenue Paul Verlaine, Grenoble;45.161591;5.71701;;COLLECTE;0;
22/12/23 09:27:38;Avenue Paul Verlaine, Grenoble;45.161594;5.717013;;ARRET;1;
22/12/23 09:27:44;Avenue Paul Verlaine, Grenoble;45.161594;5.717;;ARRET;24;
22/12/23 09:27:47;Inconnu, Grenoble;45.161694;5.716736;28.0;HAUT LE PIED;71;
22/12/23 09:28:16;Inconnu, Grenoble;45.162022;5.715961;10.0;HAUT LE PIED;11;
22/12/23 09:28:19;Inconnu, Grenoble;45.162117;5.715954;13.0;HAUT LE PIED;19;
22/12/23 09:28:22;Inconnu, Grenoble;45.162239;5.716123;24.0;HAUT LE PIED;33;
22/12/23 09:28:28;Avenue Léon Blum, Grenoble;45.162483;5.716364;11.0;HAUT LE PIED;3;
22/12/23 09:28:31;Avenue Léon Blum, Grenoble;45.162502;5.716396;;ARRET;1;
22/12/23 09:28:40;Avenue Léon Blum, Grenoble;45.162495;5.716411;;COLLECTE;1;
22/12/23 09:28:49;Avenue Léon Blum, Grenoble;45.162502;5.716411;;ARRET;4;
22/12/23 09:28:59;Avenue Léon Blum, Grenoble;45.162533;5.716423;;COLLECTE;3;
22/12/23 09:29:07;Avenue Léon Blum, Grenoble;45.16256;5.716425;;ARRET;1;
22/12/23 09:29:11;Avenue Léon Blum, Grenoble;45.162571;5.71643;;ARRET;24;
22/12/23 09:29:19;Avenue Léon Blum, Grenoble;45.162762;5.716574;;ARRET;4;
22/12/23 09:29:29;Avenue Léon Blum, Grenoble;45.162792;5.71656;;COLLECTE;1;
22/12/23 09:29:38;Avenue Léon Blum, Grenoble;45.1628;5.716561;;ARRET;0;
22/12/23 09:29:39;Avenue Léon Blum, Grenoble;45.1628;5.716564;6.0;HAUT LE PIED;0;
22/12/23 09:29:42;Avenue Léon Blum, Grenoble;45.1628;5.716563;;COLLECTE;0;
22/12/23 09:29:51;Avenue Léon Blum, Grenoble;45.1628;5.716565;;ARRET;0;
22/12/23 09:29:55;Avenue Léon Blum, Grenoble;45.1628;5.716564;;COLLECTE;1;
22/12/23 09:30:03;Avenue Léon Blum, Grenoble;45.162804;5.716558;;ARRET;1;
22/12/23 09:30:04;Avenue Léon Blum, Grenoble;45.162807;5.716553;;ARRET;7;
22/12/23 09:30:09;Avenue Léon Blum, Grenoble;45.162861;5.716593;0.0;ARRET;25;
22/12/23 09:30:16;Avenue Léon Blum, Grenoble;45.163044;5.716787;;ARRET;8;
22/12/23 09:30:23;Avenue Léon Blum, Grenoble;45.162979;5.716826;;COLLECTE;1;
22/12/23 09:30:25;Avenue Léon Blum, Grenoble;45.162968;5.71683;;ARRET;0;
22/12/23 09:30:29;Avenue Léon Blum, Grenoble;45.162964;5.716832;;COLLECTE;0;
22/12/23 09:30:31;Avenue Léon Blum, Grenoble;45.162964;5.716832;;ARRET;0;
22/12/23 09:30:34;Avenue Léon Blum, Grenoble;45.162964;5.716832;;COLLECTE;0;
22/12/23 09:30:42;Avenue Léon Blum, Grenoble;45.162964;5.716831;;ARRET;0;
22/12/23 09:30:43;Avenue Léon Blum, Grenoble;45.162964;5.716831;;ARRET;5;
22/12/23 09:30:46;Avenue Léon Blum, Grenoble;45.163002;5.716864;9.0;HAUT LE PIED;225;
22/12/23 09:31:17;Avenue Léon Blum, Grenoble;45.164719;5.718388;22.0;HAUT LE PIED;6;
22/12/23 09:31:19;Avenue Léon Blum, Grenoble;45.164764;5.718429;;ARRET;1;
22/12/23 09:31:41;Avenue Léon Blum, Grenoble;45.164753;5.718439;;COLLECTE;0;
22/12/23 09:31:47;Avenue Léon Blum, Grenoble;45.164753;5.718438;0.0;COLLECTE;0;
22/12/23 09:31:49;Avenue Léon Blum, Grenoble;45.164753;5.718438;;ARRET;0;
22/12/23 09:31:50;Avenue Léon Blum, Grenoble;45.164753;5.718438;;ARRET;29;
22/12/23 09:32:01;Avenue Léon Blum, Grenoble;45.164967;5.718642;30.0;HAUT LE PIED;21;
22/12/23 09:32:07;Inconnu, Grenoble;45.165123;5.718788;;ARRET;3;
22/12/23 09:32:18;Inconnu, Grenoble;45.165146;5.71878;;COLLECTE;0;
22/12/23 09:32:27;Inconnu, Grenoble;45.165146;5.718776;;ARRET;0;
22/12/23 09:32:31;Inconnu, Grenoble;45.165146;5.718776;;COLLECTE;0;
22/12/23 09:32:32;Inconnu, Grenoble;45.165146;5.718774;0.0;COLLECTE;0;
22/12/23 09:32:39;Inconnu, Grenoble;45.16515;5.718774;;ARRET;0;
22/12/23 09:32:39;Inconnu, Grenoble;45.16515;5.718774;;ARRET;29;
22/12/23 09:32:47;Avenue Léon Blum, Grenoble;45.165382;5.718951;29.0;HAUT LE PIED;48;
22/12/23 09:32:56;Avenue Léon Blum, Grenoble;45.165745;5.719286;;ARRET;2;
22/12/23 09:33:05;Avenue Léon Blum, Grenoble;45.16573;5.719301;;ARRET;61;
22/12/23 09:33:18;Avenue Léon Blum, Grenoble;45.166195;5.719718;28.0;HAUT LE PIED;19;
22/12/23 09:33:24;Avenue Léon Blum, Grenoble;45.166332;5.71986;;ARRET;2;
22/12/23 09:33:42;Avenue Léon Blum, Grenoble;45.166317;5.71985;;COLLECTE;0;
22/12/23 09:33:45;Avenue Léon Blum, Grenoble;45.166317;5.71985;;COLLECTE;0;
22/12/23 09:33:48;Avenue Léon Blum, Grenoble;45.166317;5.71985;0.0;COLLECTE;0;
22/12/23 09:33:49;Avenue Léon Blum, Grenoble;45.166317;5.71985;;COLLECTE;0;
22/12/23 09:33:53;Avenue Léon Blum, Grenoble;45.166317;5.71985;;ARRET;0;
22/12/23 09:33:53;Avenue Léon Blum, Grenoble;45.166317;5.71985;;ARRET;26;
22/12/23 09:33:59;Inconnu, Grenoble;45.166512;5.720041;29.0;HAUT LE PIED;18;
22/12/23 09:34:04;Avenue Léon Blum, Grenoble;45.166641;5.720174;;ARRET;3;
22/12/23 09:34:29;Avenue Léon Blum, Grenoble;45.166653;5.720137;;COLLECTE;0;
22/12/23 09:34:30;Avenue Léon Blum, Grenoble;45.166653;5.720137;0.0;COLLECTE;0;
22/12/23 09:34:37;Avenue Léon Blum, Grenoble;45.166653;5.720138;;ARRET;0;
22/12/23 09:34:41;Avenue Léon Blum, Grenoble;45.166653;5.720138;;COLLECTE;0;
22/12/23 09:34:49;Avenue Léon Blum, Grenoble;45.166653;5.720138;;ARRET;0;
22/12/23 09:34:50;Avenue Léon Blum, Grenoble;45.166653;5.720139;;ARRET;33;
