Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
24/11/23 04:23:29;Inconnu, Sassenage;45.204418;5.686213;;DEPOT;0;
24/11/23 04:23:29;Inconnu, Sassenage;45.204418;5.686213;;DEPOT;0;
24/11/23 04:23:29;Inconnu, Sassenage;45.204418;5.686213;;DEPOT;0;
24/11/23 04:23:38;Inconnu, Sassenage;45.204418;5.686213;0.0;DEPOT;55;
24/11/23 04:37:16;Inconnu, Sassenage;45.20491;5.686097;7.0;HAUT LE PIED;17;
24/11/23 04:37:22;Rue de Sornin, Sassenage;45.205036;5.685964;14.0;HAUT LE PIED;13;
24/11/23 04:37:25;Rue de Sornin, Sassenage;45.205032;5.685801;17.0;HAUT LE PIED;117;
24/11/23 04:37:38;Rue de la Sure, Sassenage;45.204662;5.684409;20.0;HAUT LE PIED;19;
24/11/23 04:37:41;Rue de la Sure, Sassenage;45.204784;5.684247;28.0;HAUT LE PIED;30;
24/11/23 04:37:44;Rue de la Sure, Sassenage;45.20496;5.683959;42.0;HAUT LE PIED;103;
24/11/23 04:37:53;Rue de la Sure, Sassenage;45.20546;5.682856;35.0;HAUT LE PIED;41;
24/11/23 04:38:04;D 531, Sassenage;45.205772;5.682566;24.0;HAUT LE PIED;24;
24/11/23 04:38:07;D 531, Sassenage;45.205982;5.682649;32.0;HAUT LE PIED;167;
24/11/23 04:38:21;D 531, Sassenage;45.207417;5.683268;46.0;HAUT LE PIED;129;
24/11/23 04:38:30;Pont des Martyrs, Grenoble;45.208237;5.684435;57.0;HAUT LE PIED;148;
24/11/23 04:38:41;D 531, Grenoble;45.20919;5.685748;44.0;HAUT LE PIED;36;
24/11/23 04:38:44;D 531, Grenoble;45.209511;5.685778;45.0;HAUT LE PIED;42;
24/11/23 04:38:47;D 531, Grenoble;45.209827;5.685477;56.0;HAUT LE PIED;116;
24/11/23 04:38:55;D 531, Grenoble;45.210598;5.684485;40.0;HAUT LE PIED;33;
24/11/23 04:38:58;D 531, Grenoble;45.210892;5.684508;40.0;HAUT LE PIED;34;
24/11/23 04:39:01;D 531, Grenoble;45.211128;5.684789;42.0;HAUT LE PIED;35;
24/11/23 04:39:04;D 531, Grenoble;45.211208;5.685222;41.0;HAUT LE PIED;40;
24/11/23 04:39:07;D 531, Grenoble;45.211113;5.68571;50.0;HAUT LE PIED;35;
24/11/23 04:39:10;D 531, Grenoble;45.210995;5.686121;36.0;HAUT LE PIED;26;
24/11/23 04:39:13;D 531, Grenoble;45.2108;5.686311;29.0;HAUT LE PIED;26;
24/11/23 04:39:16;Inconnu, Grenoble;45.210571;5.68636;31.0;HAUT LE PIED;23;
24/11/23 04:39:19;Inconnu, Grenoble;45.210453;5.686604;30.0;HAUT LE PIED;25;
24/11/23 04:39:22;Avenue des Martyrs, Grenoble;45.210514;5.686917;33.0;HAUT LE PIED;31;
24/11/23 04:39:25;Avenue des Martyrs, Grenoble;45.21059;5.687304;39.0;HAUT LE PIED;37;
24/11/23 04:39:28;Avenue des Martyrs, Grenoble;45.210556;5.687769;47.0;HAUT LE PIED;313;
24/11/23 04:39:47;Avenue des Martyrs, Grenoble;45.209976;5.691676;70.0;HAUT LE PIED;228;
24/11/23 04:39:58;Avenue des Martyrs, Grenoble;45.20945;5.694487;77.0;HAUT LE PIED;107;
24/11/23 04:40:03;Avenue des Martyrs, Grenoble;45.208858;5.695568;82.0;HAUT LE PIED;350;
24/11/23 04:40:18;Avenue des Martyrs, Grenoble;45.206562;5.698611;75.0;HAUT LE PIED;151;
