Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
16/11/23 04:41:58;Inconnu, La Tronche;45.198235;5.756469;;DEPOT;0;
16/11/23 04:41:59;Inconnu, La Tronche;45.198235;5.756469;;DEPOT;0;
16/11/23 04:41:59;Inconnu, La Tronche;45.198235;5.756469;;DEPOT;0;
16/11/23 04:41:59;Inconnu, La Tronche;45.198235;5.756469;;DEPOT;0;
16/11/23 04:42:06;Inconnu, La Tronche;45.198235;5.756469;0.0;DEPOT;42;
16/11/23 05:08:03;Inconnu, La Tronche;45.198502;5.756848;17.0;HAUT LE PIED;236;
16/11/23 05:08:30;Chemin de la Tuilerie, La Tronche;45.199467;5.759524;31.0;HAUT LE PIED;26;
16/11/23 05:08:34;Chemin de la Tuilerie, La Tronche;45.199612;5.759786;25.0;HAUT LE PIED;18;
16/11/23 05:08:37;Chemin de la Tuilerie, La Tronche;45.19976;5.759866;21.0;HAUT LE PIED;18;
16/11/23 05:08:40;Chemin de la Tuilerie, La Tronche;45.199913;5.759781;25.0;HAUT LE PIED;68;
16/11/23 05:08:49;Chemin de la Tuilerie, Meylan;45.200409;5.759277;18.0;HAUT LE PIED;44;
16/11/23 05:09:14;Inconnu, Meylan;45.200748;5.758999;8.0;HAUT LE PIED;31;
16/11/23 05:09:42;Avenue de Verdun, Meylan;45.201012;5.759106;26.0;HAUT LE PIED;35;
16/11/23 05:09:46;Avenue de Verdun, Meylan;45.201271;5.75935;40.0;HAUT LE PIED;244;
16/11/23 05:10:08;Avenue de Verdun, Meylan;45.202896;5.761447;17.0;HAUT LE PIED;16;
16/11/23 05:10:11;Avenue de la Plaine Fleurie, Meylan;45.203014;5.76134;20.0;HAUT LE PIED;173;
16/11/23 05:10:30;Avenue de la Plaine Fleurie, Meylan;45.204136;5.75982;39.0;HAUT LE PIED;317;
16/11/23 05:11:00;Avenue de la Plaine Fleurie, Meylan;45.20628;5.757166;33.0;HAUT LE PIED;24;
16/11/23 05:11:03;Avenue de la Plaine Fleurie, Meylan;45.206444;5.756971;25.0;HAUT LE PIED;20;
16/11/23 05:11:06;Avenue de la Plaine Fleurie, Meylan;45.206581;5.756799;24.0;HAUT LE PIED;84;
16/11/23 05:11:16;Avenue de la Plaine Fleurie, Meylan;45.207188;5.756153;30.0;HAUT LE PIED;31;
16/11/23 05:11:25;Avenue de la Plaine Fleurie, Meylan;45.207424;5.755942;9.0;HAUT LE PIED;10;
16/11/23 05:11:28;Avenue du Grésivaudan, Meylan;45.207447;5.755817;16.0;HAUT LE PIED;16;
16/11/23 05:11:31;Avenue du Grésivaudan, Meylan;45.207375;5.755633;25.0;HAUT LE PIED;83;
16/11/23 05:11:42;Avenue du Grésivaudan, Meylan;45.207008;5.754707;15.0;HAUT LE PIED;2;
16/11/23 05:12:13;Inconnu, Meylan;45.207005;5.754682;0.0;ARRET;0;
16/11/23 05:12:49;Inconnu, Meylan;45.207005;5.754682;;ARRET;0;
16/11/23 05:12:52;Inconnu, Meylan;45.207005;5.754682;;ARRET;0;
16/11/23 05:12:58;Inconnu, Meylan;45.207005;5.754682;;ARRET;0;
16/11/23 05:13:00;Inconnu, Meylan;45.207005;5.754682;;ARRET;3;
16/11/23 05:13:07;Inconnu, Meylan;45.206978;5.754663;;ARRET;29;
16/11/23 05:13:15;Avenue du Grésivaudan, Meylan;45.206837;5.754347;25.0;HAUT LE PIED;16;
16/11/23 05:13:22;Avenue du Grésivaudan, Meylan;45.206772;5.754171;;ARRET;0;
16/11/23 05:13:26;Avenue du Grésivaudan, Meylan;45.206776;5.754173;;ARRET;1;
16/11/23 05:13:46;Avenue du Grésivaudan, Meylan;45.206776;5.754185;0.0;ARRET;0;
16/11/23 05:14:02;Avenue du Grésivaudan, Meylan;45.206776;5.754185;;ARRET;0;
16/11/23 05:14:04;Avenue du Grésivaudan, Meylan;45.206776;5.754185;;ARRET;25;
16/11/23 05:14:13;Avenue du Grésivaudan, Meylan;45.206673;5.7539;16.0;HAUT LE PIED;10;
16/11/23 05:14:18;Avenue du Grésivaudan, Meylan;45.206615;5.753801;;ARRET;2;
