Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
21/12/23 04:55:48;Inconnu, La Tronche;45.19825;5.756308;;DEPOT;0;
21/12/23 04:55:48;Inconnu, La Tronche;45.19825;5.756308;;DEPOT;0;
21/12/23 04:55:48;Inconnu, La Tronche;45.19825;5.756308;;DEPOT;0;
21/12/23 04:55:57;Inconnu, La Tronche;45.19825;5.756308;0.0;DEPOT;5;
21/12/23 05:08:17;Inconnu, La Tronche;45.198208;5.756274;;DEPOT;3;
21/12/23 05:08:32;Inconnu, La Tronche;45.198193;5.756241;;DEPOT;56;
21/12/23 05:08:51;Inconnu, La Tronche;45.198486;5.756815;22.0;HAUT LE PIED;28;
21/12/23 05:08:57;Chemin de la Tuilerie, La Tronche;45.198589;5.757143;14.0;HAUT LE PIED;131;
21/12/23 05:09:15;Chemin de la Tuilerie, La Tronche;45.199097;5.758657;35.0;HAUT LE PIED;102;
21/12/23 05:09:27;Inconnu, La Tronche;45.19931;5.759924;24.0;HAUT LE PIED;21;
21/12/23 05:09:30;Inconnu, La Tronche;45.199203;5.760147;25.0;HAUT LE PIED;22;
21/12/23 05:09:33;Inconnu, La Tronche;45.199009;5.760217;27.0;HAUT LE PIED;42;
21/12/23 05:09:38;Inconnu, La Tronche;45.198669;5.760445;36.0;HAUT LE PIED;41;
21/12/23 05:09:45;Inconnu, La Tronche;45.19833;5.760645;21.0;HAUT LE PIED;17;
21/12/23 05:09:48;Inconnu, La Tronche;45.198189;5.760738;20.0;HAUT LE PIED;23;
21/12/23 05:09:52;;45.198048;5.760946;19.0;HAUT LE PIED;14;
21/12/23 05:09:55;Chemin de la Tuilerie, La Tronche;45.198093;5.761113;20.0;HAUT LE PIED;17;
21/12/23 05:09:58;Chemin de la Tuilerie, La Tronche;45.198246;5.761104;23.0;HAUT LE PIED;23;
21/12/23 05:10:01;Chemin de la Tuilerie, La Tronche;45.198441;5.760993;31.0;HAUT LE PIED;217;
21/12/23 05:10:23;Chemin de la Tuilerie, La Tronche;45.200108;5.759547;24.0;HAUT LE PIED;31;
21/12/23 05:10:53;Chemin de la Tuilerie, Meylan;45.200325;5.75929;13.0;HAUT LE PIED;24;
21/12/23 05:10:58;L'Alpine, La Tronche;45.200493;5.759104;22.0;HAUT LE PIED;24;
21/12/23 05:11:29;Inconnu, Meylan;45.200695;5.758995;0.0;ARRET;31;
21/12/23 05:11:37;Avenue de Verdun, Meylan;45.20097;5.758952;16.0;HAUT LE PIED;27;
21/12/23 05:11:46;Avenue de Verdun, Meylan;45.200928;5.758615;21.0;HAUT LE PIED;23;
21/12/23 05:11:49;D 1090, La Tronche;45.200794;5.758393;32.0;HAUT LE PIED;451;
21/12/23 05:12:18;Avenue de Verdun, La Tronche;45.197952;5.754294;68.0;HAUT LE PIED;595;
21/12/23 05:12:48;Avenue de Verdun, La Tronche;45.194176;5.748917;69.0;HAUT LE PIED;566;
21/12/23 05:13:19;Avenue de Verdun, La Tronche;45.190643;5.743716;52.0;HAUT LE PIED;323;
21/12/23 05:13:49;Boulevard Jean Pain, Grenoble;45.188805;5.740523;55.0;HAUT LE PIED;175;
21/12/23 05:14:05;Grenoble - Hôtel de Ville, Grenoble;45.188057;5.738567;12.0;HAUT LE PIED;38;
21/12/23 05:14:30;Rue Joseph Chanrion, Grenoble;45.187923;5.738128;17.0;HAUT LE PIED;19;
21/12/23 05:14:33;Rue Joseph Chanrion, Grenoble;45.188068;5.737991;25.0;HAUT LE PIED;105;
21/12/23 05:14:45;Rue Joseph Chanrion, Grenoble;45.188889;5.737319;21.0;HAUT LE PIED;25;
21/12/23 05:14:48;Inconnu, Grenoble;45.188969;5.737019;28.0;HAUT LE PIED;31;
21/12/23 05:14:51;Inconnu, Grenoble;45.188904;5.73663;35.0;HAUT LE PIED;264;
21/12/23 05:15:19;Place de Verdun, Grenoble;45.188671;5.733276;21.0;HAUT LE PIED;19;
21/12/23 05:15:22;Place de Verdun, Grenoble;45.188808;5.733126;27.0;HAUT LE PIED;94;
21/12/23 05:15:32;Place de Verdun, Grenoble;45.189548;5.732537;25.0;HAUT LE PIED;21;
21/12/23 05:15:35;Place de Verdun, Grenoble;45.189541;5.732265;29.0;HAUT LE PIED;36;
21/12/23 05:15:39;Place de Verdun, Grenoble;45.189373;5.731878;34.0;HAUT LE PIED;46;
21/12/23 05:15:44;Place de Verdun, Grenoble;45.189083;5.731453;33.0;HAUT LE PIED;25;
21/12/23 05:15:47;Place de Verdun, Grenoble;45.188908;5.731246;32.0;HAUT LE PIED;21;
21/12/23 05:15:50;Inconnu, Grenoble;45.188725;5.731292;22.0;HAUT LE PIED;16;
21/12/23 05:15:53;Inconnu, Grenoble;45.188587;5.731253;19.0;HAUT LE PIED;21;
21/12/23 05:15:56;Verdun-Préfecture, Grenoble;45.188507;5.731017;27.0;HAUT LE PIED;30;
21/12/23 05:16:27;Verdun-Préfecture, Grenoble;45.188374;5.730679;0.0;ARRET;27;
21/12/23 05:18:07;Rue Lesdiguières, Grenoble;45.188202;5.730439;15.0;HAUT LE PIED;24;
21/12/23 05:18:38;Rue Lesdiguières, Grenoble;45.188137;5.730144;0.0;ARRET;26;
21/12/23 05:19:13;Rue Lesdiguières, Grenoble;45.188049;5.729837;9.0;HAUT LE PIED;44;
21/12/23 05:19:44;Rue Lesdiguières, Grenoble;45.187866;5.729338;0.0;ARRET;40;
21/12/23 05:20:14;Place de l'Étoile, Grenoble;45.187729;5.728864;10.0;HAUT LE PIED;8;
21/12/23 05:20:45;Place de l'Étoile, Grenoble;45.187767;5.728772;0.0;ARRET;3;
21/12/23 05:21:37;Place de l'Étoile, Grenoble;45.187752;5.728736;;MARCHE ARRIERE;7;
21/12/23 05:21:53;Place de l'Étoile, Grenoble;45.187809;5.728706;;ARRET;30;
21/12/23 05:23:12;Rue Saint-Joseph, Grenoble;45.187538;5.728653;18.0;HAUT LE PIED;20;
21/12/23 05:23:15;Rue Lesdiguières, Grenoble;45.187469;5.728415;27.0;HAUT LE PIED;61;
21/12/23 05:23:46;Rue Lesdiguières, Grenoble;45.187183;5.727755;0.0;ARRET;26;
21/12/23 05:24:29;Boulevard Agutte Sembat, Grenoble;45.187195;5.727421;12.0;HAUT LE PIED;14;
21/12/23 05:24:32;Boulevard Agutte Sembat, Grenoble;45.187305;5.727345;16.0;HAUT LE PIED;42;
21/12/23 05:25:01;Square Docteur Léon Martin, Grenoble;45.187637;5.727079;11.0;HAUT LE PIED;9;
21/12/23 05:25:04;Square Docteur Léon Martin, Grenoble;45.187698;5.727145;12.0;HAUT LE PIED;43;
21/12/23 05:25:34;Square Docteur Léon Martin, Grenoble;45.187824;5.727662;17.0;HAUT LE PIED;31;
21/12/23 05:26:05;Place Vaucanson, Grenoble;45.187965;5.728004;0.0;ARRET;28;
21/12/23 05:26:34;Place Vaucanson, Grenoble;45.188099;5.728311;21.0;HAUT LE PIED;47;
21/12/23 05:27:05;Place Vaucanson, Grenoble;45.18829;5.728839;0.0;ARRET;27;
21/12/23 05:27:53;Rue de la Liberté, Grenoble;45.188423;5.729128;13.0;HAUT LE PIED;41;
21/12/23 05:28:24;Rue de la Liberté, Grenoble;45.188553;5.72962;8.0;HAUT LE PIED;6;
21/12/23 05:28:54;Rue Casimir Périer, Grenoble;45.188602;5.72965;0.0;ARRET;28;
21/12/23 05:29:05;Rue de la Liberté, Grenoble;45.188736;5.729956;13.0;HAUT LE PIED;12;
21/12/23 05:29:08;Rue de la Liberté, Grenoble;45.188789;5.730089;15.0;HAUT LE PIED;15;
21/12/23 05:29:39;Rue de la Liberté, Grenoble;45.188759;5.730279;0.0;ARRET;25;
21/12/23 05:31:39;Rue de la Liberté, Grenoble;45.188866;5.730565;6.0;HAUT LE PIED;7;
21/12/23 05:32:10;Rue de la Liberté, Grenoble;45.188881;5.730651;0.0;ARRET;26;
21/12/23 05:32:31;Place de Verdun, Grenoble;45.189014;5.730929;9.0;HAUT LE PIED;13;
21/12/23 05:32:34;Rue Marcel Benoit, Grenoble;45.189121;5.73088;13.0;HAUT LE PIED;42;
21/12/23 05:33:05;Rue Condillac, Grenoble;45.189434;5.730587;6.0;HAUT LE PIED;5;
21/12/23 05:33:36;Rue Condillac, Grenoble;45.189423;5.730522;0.0;ARRET;26;
21/12/23 05:34:19;Rue Condillac, Grenoble;45.189312;5.730234;15.0;HAUT LE PIED;38;
21/12/23 05:34:50;Rue Condillac, Grenoble;45.189133;5.729826;18.0;HAUT LE PIED;15;
21/12/23 05:35:21;Rue Condillac, Grenoble;45.189098;5.729644;0.0;ARRET;26;
21/12/23 05:35:39;Place Jean Achard, Grenoble;45.189129;5.729321;12.0;HAUT LE PIED;53;
21/12/23 05:35:48;Rue Vicat, Grenoble;45.189564;5.729046;16.0;HAUT LE PIED;28;
21/12/23 05:36:18;Rue Vicat, Grenoble;45.189777;5.728858;0.0;ARRET;33;
21/12/23 05:37:14;Rue Vicat, Grenoble;45.190052;5.728717;18.0;HAUT LE PIED;29;
21/12/23 05:37:25;Rue Raoul Blanchard, Grenoble;45.190075;5.729087;26.0;HAUT LE PIED;103;
21/12/23 05:37:38;Rue Raoul Blanchard, Grenoble;45.190056;5.730398;13.0;HAUT LE PIED;8;
21/12/23 05:37:41;Rue Raoul Blanchard, Grenoble;45.190125;5.730437;9.0;HAUT LE PIED;2;
21/12/23 05:37:44;Rue Raoul Blanchard, Grenoble;45.190109;5.730424;;MARCHE ARRIERE;4;
21/12/23 05:37:47;Rue Raoul Blanchard, Grenoble;45.190105;5.730377;;ARRET;23;
21/12/23 05:37:54;Rue Raoul Blanchard, Grenoble;45.190128;5.730083;23.0;HAUT LE PIED;36;
21/12/23 05:37:59;Rue Raoul Blanchard, Grenoble;45.190147;5.729631;28.0;HAUT LE PIED;69;
21/12/23 05:38:08;Rue Lafayette, Grenoble;45.190174;5.728751;17.0;HAUT LE PIED;4;
21/12/23 05:38:39;Rue Vicat, Grenoble;45.19014;5.72874;0.0;ARRET;27;
21/12/23 05:39:45;Rue Vicat, Grenoble;45.189911;5.728857;6.0;HAUT LE PIED;74;
21/12/23 05:40:01;Inconnu, Grenoble;45.189297;5.729235;13.0;HAUT LE PIED;20;
