Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
29/11/23 09:01:59;;45.15284;5.737803;;DEPOT;0;
29/11/23 09:01:59;;45.15284;5.737803;;DEPOT;0;
29/11/23 09:01:59;;45.15284;5.737803;;DEPOT;0;
29/11/23 09:01:59;;45.15284;5.737803;;DEPOT;0;
29/11/23 09:02:00;;45.15284;5.737803;;DEPOT;0;
29/11/23 09:02:00;;45.15284;5.737803;;DEPOT;0;
29/11/23 09:02:08;;45.15284;5.737803;0.0;DEPOT;61;
29/11/23 09:30:53;Rue Le Corbusier, Eybens;45.153233;5.73727;28.0;HAUT LE PIED;26;
29/11/23 09:30:57;Rue Le Corbusier, Eybens;45.153229;5.73694;17.0;HAUT LE PIED;8;
29/11/23 09:31:00;Rue Le Corbusier, Eybens;45.153278;5.736857;10.0;HAUT LE PIED;7;
29/11/23 09:31:03;Rue Le Corbusier, Eybens;45.153332;5.736807;11.0;HAUT LE PIED;12;
29/11/23 09:31:06;Rue Le Corbusier, Eybens;45.153347;5.736661;17.0;HAUT LE PIED;19;
29/11/23 09:31:09;Rue Le Corbusier, Eybens;45.153343;5.736423;28.0;HAUT LE PIED;171;
29/11/23 09:31:30;Rue Le Corbusier, Eybens;45.153381;5.734241;26.0;HAUT LE PIED;22;
29/11/23 09:31:33;Rond-Point Jean Monnet, Eybens;45.153522;5.734046;28.0;HAUT LE PIED;24;
29/11/23 09:31:36;Rond-Point Jean Monnet, Eybens;45.153576;5.73375;31.0;HAUT LE PIED;25;
29/11/23 09:31:39;Rond-Point Jean Monnet, Eybens;45.15345;5.733487;31.0;HAUT LE PIED;26;
29/11/23 09:31:42;Rond-Point Jean Monnet, Eybens;45.153217;5.733445;32.0;HAUT LE PIED;27;
29/11/23 09:31:45;D 269A, Eybens;45.153015;5.733635;33.0;HAUT LE PIED;29;
29/11/23 09:31:48;D 269A, Eybens;45.152771;5.733771;39.0;HAUT LE PIED;151;
29/11/23 09:32:02;D 269A, Eybens;45.151417;5.733848;25.0;HAUT LE PIED;22;
29/11/23 09:32:05;Inconnu, Eybens;45.151276;5.733652;28.0;HAUT LE PIED;26;
29/11/23 09:32:08;Inconnu, Eybens;45.151085;5.733457;32.0;HAUT LE PIED;27;
29/11/23 09:32:11;Inconnu, Eybens;45.150845;5.733439;35.0;HAUT LE PIED;30;
29/11/23 09:32:14;Inconnu, Eybens;45.150623;5.733645;37.0;HAUT LE PIED;40;
29/11/23 09:32:18;D 269A, Eybens;45.150421;5.734064;37.0;HAUT LE PIED;34;
29/11/23 09:32:21;D 269A, Eybens;45.150146;5.734239;45.0;HAUT LE PIED;228;
29/11/23 09:32:45;Rue François Quesnay, Eybens;45.148266;5.735406;10.0;HAUT LE PIED;13;
29/11/23 09:32:48;Avenue de Kimberley, Eybens;45.148155;5.735373;15.0;HAUT LE PIED;21;
29/11/23 09:32:51;Rue François Quesnay, Eybens;45.147999;5.735528;25.0;HAUT LE PIED;21;
29/11/23 09:32:54;Rue François Quesnay, Eybens;45.147984;5.735798;28.0;HAUT LE PIED;21;
29/11/23 09:32:57;Rue François Quesnay, Eybens;45.148121;5.735977;27.0;HAUT LE PIED;24;
29/11/23 09:33:01;Rue Pierre Mendès France, Eybens;45.148277;5.736191;33.0;HAUT LE PIED;112;
29/11/23 09:33:10;Rue Pierre Mendès France, Eybens;45.148727;5.737474;31.0;HAUT LE PIED;19;
29/11/23 09:33:13;Rue Mersenne, Eybens;45.148792;5.737691;20.0;HAUT LE PIED;16;
29/11/23 09:33:16;Rue Mersenne, Eybens;45.148933;5.73771;19.0;HAUT LE PIED;59;
29/11/23 09:33:26;Rue Mersenne, Eybens;45.149448;5.737512;13.0;HAUT LE PIED;10;
29/11/23 09:33:29;Rue Irène Joliot Curie, Eybens;45.149502;5.737406;10.0;HAUT LE PIED;11;
29/11/23 09:33:32;Rue Irène Joliot Curie, Eybens;45.149521;5.73727;14.0;HAUT LE PIED;8;
29/11/23 09:34:03;Rue Irène Joliot Curie, Eybens;45.149509;5.737172;0.0;ARRET;2;
29/11/23 09:34:37;Rue Irène Joliot Curie, Eybens;45.149506;5.737191;;COLLECTE;0;
29/11/23 09:34:40;Rue Irène Joliot Curie, Eybens;45.149506;5.737191;;ARRET;2;
29/11/23 09:35:14;Inconnu, Eybens;45.149525;5.737203;;COLLECTE;0;
29/11/23 09:35:27;Inconnu, Eybens;45.149525;5.737208;;ARRET;0;
29/11/23 09:36:05;Inconnu, Eybens;45.149525;5.737207;;COLLECTE;0;
29/11/23 09:36:13;Inconnu, Eybens;45.149525;5.737207;;COLLECTE;0;
29/11/23 09:36:13;Inconnu, Eybens;45.149525;5.737207;;ARRET;0;
29/11/23 09:36:14;Inconnu, Eybens;45.149525;5.737207;;ARRET;2;
29/11/23 09:36:18;Inconnu, Eybens;45.149525;5.737187;;ARRET;27;
29/11/23 09:36:25;Rue Irène Joliot Curie, Eybens;45.149464;5.736852;18.0;HAUT LE PIED;53;
29/11/23 09:36:36;Rue Irène Joliot Curie, Eybens;45.149353;5.736196;13.0;HAUT LE PIED;10;
29/11/23 09:36:40;Rue Irène Joliot Curie, Eybens;45.149399;5.736084;9.0;HAUT LE PIED;16;
29/11/23 09:36:48;Rue Irène Joliot Curie, Eybens;45.149529;5.735997;8.0;HAUT LE PIED;56;
29/11/23 09:37:13;Rue Irène Joliot Curie, Eybens;45.150017;5.735802;12.0;HAUT LE PIED;28;
29/11/23 09:37:42;Inconnu, Eybens;45.150089;5.735465;16.0;HAUT LE PIED;49;
29/11/23 09:37:52;Inconnu, Eybens;45.150017;5.734851;15.0;HAUT LE PIED;12;
29/11/23 09:37:55;Inconnu, Eybens;45.150101;5.734748;18.0;HAUT LE PIED;15;
29/11/23 09:37:59;Inconnu, Eybens;45.150238;5.734749;12.0;HAUT LE PIED;9;
29/11/23 09:38:02;Inconnu, Eybens;45.150311;5.734695;14.0;HAUT LE PIED;6;
29/11/23 09:38:08;Inconnu, Eybens;45.150318;5.734616;;ARRET;0;
29/11/23 09:38:08;Inconnu, Eybens;45.150318;5.734616;;MARCHE ARRIERE;1;
29/11/23 09:38:13;Inconnu, Eybens;45.150322;5.734619;;ARRET;0;
29/11/23 09:38:27;Inconnu, Eybens;45.150326;5.734618;;COLLECTE;0;
29/11/23 09:38:31;Inconnu, Eybens;45.150326;5.734618;;COLLECTE;0;
29/11/23 09:38:31;Inconnu, Eybens;45.150326;5.734618;;ARRET;0;
29/11/23 09:38:33;Inconnu, Eybens;45.150326;5.734618;0.0;ARRET;0;
29/11/23 09:38:35;Inconnu, Eybens;45.150326;5.734618;;ARRET;0;
29/11/23 09:38:35;Inconnu, Eybens;45.150326;5.734618;;COLLECTE;0;
29/11/23 09:38:41;Inconnu, Eybens;45.150326;5.734618;;ARRET;0;
29/11/23 09:38:58;Inconnu, Eybens;45.150326;5.734618;;COLLECTE;1;
29/11/23 09:39:12;Inconnu, Eybens;45.150326;5.734625;;ARRET;1;
29/11/23 09:40:34;Inconnu, Eybens;45.150318;5.734629;;COLLECTE;0;
29/11/23 09:40:34;Inconnu, Eybens;45.150318;5.734629;;COLLECTE;0;
29/11/23 09:40:43;Inconnu, Eybens;45.150318;5.734629;;COLLECTE;0;
29/11/23 09:40:46;Inconnu, Eybens;45.150318;5.734629;;ARRET;2;
29/11/23 09:41:15;Inconnu, Eybens;45.150322;5.734653;;COLLECTE;0;
29/11/23 09:41:25;Inconnu, Eybens;45.150322;5.734654;;ARRET;0;
29/11/23 09:41:28;Inconnu, Eybens;45.150322;5.734654;;MARCHE ARRIERE;4;
29/11/23 09:41:43;Inconnu, Eybens;45.150295;5.734693;;ARRET;11;
29/11/23 09:41:55;Inconnu, Eybens;45.1502;5.734672;;ARRET;35;
29/11/23 09:42:07;Inconnu, Eybens;45.14999;5.735009;20.0;HAUT LE PIED;57;
29/11/23 09:42:19;Rue Irène Joliot Curie, Eybens;45.150085;5.73572;13.0;HAUT LE PIED;28;
29/11/23 09:42:35;Rue Irène Joliot Curie, Eybens;45.14986;5.735867;10.0;HAUT LE PIED;57;
29/11/23 09:42:51;Rue Irène Joliot Curie, Eybens;45.149361;5.736014;15.0;HAUT LE PIED;13;
29/11/23 09:42:54;Rue Irène Joliot Curie, Eybens;45.149288;5.736147;17.0;HAUT LE PIED;17;
29/11/23 09:42:57;Rue Irène Joliot Curie, Eybens;45.149296;5.736361;19.0;HAUT LE PIED;10;
29/11/23 09:43:03;Rue Irène Joliot Curie, Eybens;45.149303;5.736494;;ARRET;1;
29/11/23 09:43:15;Rue Irène Joliot Curie, Eybens;45.149296;5.736492;;COLLECTE;0;
29/11/23 09:43:24;Rue Irène Joliot Curie, Eybens;45.149296;5.736492;;ARRET;0;
29/11/23 09:43:27;Rue Irène Joliot Curie, Eybens;45.149296;5.736492;0.0;ARRET;3;
29/11/23 09:43:48;Rue Irène Joliot Curie, Eybens;45.149273;5.736486;;COLLECTE;1;
29/11/23 09:44:01;Rue Irène Joliot Curie, Eybens;45.149265;5.736491;;ARRET;1;
