Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
29/12/23 04:33:47;Inconnu, La Tronche;45.198261;5.756229;;DEPOT;0;
29/12/23 04:33:47;Inconnu, La Tronche;45.198261;5.756229;;DEPOT;0;
29/12/23 04:33:47;Inconnu, La Tronche;45.198261;5.756229;;DEPOT;0;
29/12/23 04:35:02;Inconnu, La Tronche;45.198261;5.756229;6.0;HAUT LE PIED;21;
29/12/23 04:35:33;Inconnu, La Tronche;45.198105;5.75639;0.0;DEPOT;33;
29/12/23 05:03:32;Inconnu, La Tronche;45.197983;5.756775;8.0;HAUT LE PIED;9;
29/12/23 05:03:36;Inconnu, La Tronche;45.197929;5.756867;11.0;HAUT LE PIED;9;
29/12/23 05:03:39;Inconnu, La Tronche;45.197933;5.756987;11.0;HAUT LE PIED;18;
29/12/23 05:03:44;Inconnu, La Tronche;45.198017;5.757179;12.0;HAUT LE PIED;10;
29/12/23 05:03:47;Inconnu, La Tronche;45.198101;5.757223;13.0;HAUT LE PIED;13;
29/12/23 05:03:50;Inconnu, La Tronche;45.198204;5.757136;13.0;HAUT LE PIED;34;
29/12/23 05:04:01;Inconnu, La Tronche;45.198471;5.756936;10.0;HAUT LE PIED;8;
29/12/23 05:04:05;Inconnu, La Tronche;45.198528;5.757005;8.0;HAUT LE PIED;215;
29/12/23 05:04:35;Inconnu, La Tronche;45.199295;5.75952;28.0;HAUT LE PIED;37;
29/12/23 05:04:41;Inconnu, La Tronche;45.199318;5.759989;19.0;HAUT LE PIED;18;
29/12/23 05:04:44;Inconnu, La Tronche;45.199196;5.760146;25.0;HAUT LE PIED;140;
29/12/23 05:05:10;;45.198048;5.760882;21.0;HAUT LE PIED;16;
29/12/23 05:05:13;Chemin de la Tuilerie, La Tronche;45.198021;5.761088;18.0;HAUT LE PIED;16;
29/12/23 05:05:16;Chemin de la Tuilerie, La Tronche;45.198154;5.761154;23.0;HAUT LE PIED;116;
29/12/23 05:05:32;Chemin de la Tuilerie, La Tronche;45.199089;5.760487;28.0;HAUT LE PIED;210;
29/12/23 05:05:54;Inconnu, Meylan;45.20068;5.759043;25.0;HAUT LE PIED;17;
29/12/23 05:05:57;Avenue de Verdun, Meylan;45.200829;5.759;17.0;HAUT LE PIED;31;
29/12/23 05:06:23;Avenue de Verdun, Meylan;45.201073;5.759186;34.0;HAUT LE PIED;186;
29/12/23 05:06:36;Avenue de Verdun, Meylan;45.20232;5.760768;51.0;HAUT LE PIED;150;
29/12/23 05:07:06;Plaine Fleurie, Meylan;45.203293;5.762084;38.0;HAUT LE PIED;371;
29/12/23 05:07:36;Avenue de Verdun, Meylan;45.205654;5.765421;46.0;HAUT LE PIED;223;
29/12/23 05:07:52;Avenue de Verdun, Meylan;45.207043;5.767468;47.0;HAUT LE PIED;143;
29/12/23 05:08:23;Avenue de Verdun, Meylan;45.207966;5.768738;40.0;HAUT LE PIED;453;
29/12/23 05:08:54;Avenue de Verdun, Meylan;45.210762;5.772946;55.0;HAUT LE PIED;403;
29/12/23 05:09:22;Avenue de Verdun, Meylan;45.213165;5.776796;46.0;HAUT LE PIED;185;
29/12/23 05:09:37;Lycée du Grésivaudan - Bachais, Meylan;45.213989;5.778849;42.0;HAUT LE PIED;56;
29/12/23 05:09:43;Avenue de Verdun, Meylan;45.214111;5.779548;21.0;HAUT LE PIED;19;
29/12/23 05:09:46;Inconnu, Meylan;45.214024;5.77975;27.0;HAUT LE PIED;22;
29/12/23 05:09:49;Inconnu, Meylan;45.213963;5.780023;29.0;HAUT LE PIED;20;
29/12/23 05:09:52;Inconnu, Meylan;45.214077;5.780221;25.0;HAUT LE PIED;22;
29/12/23 05:09:55;Inconnu, Meylan;45.214264;5.7803;28.0;HAUT LE PIED;26;
29/12/23 05:09:59;D 1090, Meylan;45.214493;5.780362;25.0;HAUT LE PIED;32;
29/12/23 05:10:03;D 1090, Meylan;45.214714;5.780627;35.0;HAUT LE PIED;263;
29/12/23 05:10:25;Avenue des 7 Laux, Meylan;45.216358;5.783037;50.0;HAUT LE PIED;93;
29/12/23 05:10:32;Avenue des 7 Laux, Meylan;45.216801;5.784048;46.0;HAUT LE PIED;95;
29/12/23 05:10:39;Avenue des 7 Laux, Meylan;45.21727;5.785055;49.0;HAUT LE PIED;265;
29/12/23 05:10:58;D 1090, Meylan;45.219063;5.787283;51.0;HAUT LE PIED;258;
29/12/23 05:11:17;D 1090, Meylan;45.220791;5.789475;44.0;HAUT LE PIED;70;
29/12/23 05:11:27;Chemin de Rochasson, Meylan;45.221149;5.790203;18.0;HAUT LE PIED;16;
29/12/23 05:11:30;Chemin de Rochasson, Meylan;45.221294;5.790213;17.0;HAUT LE PIED;52;
29/12/23 05:12:01;Chemin de Rochasson, Meylan;45.221714;5.789926;0.0;ARRET;29;
29/12/23 05:13:37;Chemin de Rochasson, Meylan;45.221916;5.789699;15.0;HAUT LE PIED;30;
29/12/23 05:14:07;Chemin de Jallières, Meylan;45.222157;5.789518;12.0;HAUT LE PIED;10;
29/12/23 05:14:10;Chemin de Rochasson, Meylan;45.222206;5.789407;11.0;HAUT LE PIED;15;
29/12/23 05:14:41;Chemin de Rochasson, Meylan;45.222176;5.78922;0.0;ARRET;28;
29/12/23 05:14:49;Chemin de Rochasson, Meylan;45.222031;5.788929;15.0;HAUT LE PIED;11;
29/12/23 05:15:20;Chemin de Rochasson, Meylan;45.221947;5.788848;0.0;ARRET;25;
29/12/23 05:15:56;Chemin de Rochasson, Meylan;45.221836;5.788565;12.0;HAUT LE PIED;41;
29/12/23 05:16:04;Chemin de Rochasson, Meylan;45.221645;5.788124;23.0;HAUT LE PIED;18;
29/12/23 05:16:07;Chemin de Rochasson, Meylan;45.221615;5.787895;21.0;HAUT LE PIED;17;
29/12/23 05:16:10;Chemin de Rochasson, Meylan;45.221703;5.787716;21.0;HAUT LE PIED;17;
29/12/23 05:16:13;Chemin de Rochasson, Meylan;45.221851;5.787644;18.0;HAUT LE PIED;22;
29/12/23 05:16:43;Chemin de Rochasson, Meylan;45.222046;5.787589;0.0;ARRET;27;
29/12/23 05:17:34;Chemin de Rochasson, Meylan;45.222282;5.787514;19.0;HAUT LE PIED;61;
29/12/23 05:17:44;Chemin de Rochasson, Meylan;45.222801;5.787263;10.0;HAUT LE PIED;16;
29/12/23 05:18:15;Chemin de Rochasson, Meylan;45.222923;5.787146;0.0;ARRET;31;
29/12/23 05:18:23;Chemin de Rochasson, Meylan;45.223164;5.786955;10.0;HAUT LE PIED;11;
29/12/23 05:18:53;Chemin de Rochasson, Meylan;45.223248;5.786876;0.0;ARRET;27;
29/12/23 05:19:21;Chemin de Rochasson, Meylan;45.223431;5.786643;9.0;HAUT LE PIED;48;
29/12/23 05:19:52;Chemin de Rochasson, Meylan;45.223766;5.786249;8.0;HAUT LE PIED;49;
29/12/23 05:20:22;Chemin de Rochasson, Meylan;45.224117;5.785875;8.0;HAUT LE PIED;33;
29/12/23 05:20:31;Chemin de Rochasson, Meylan;45.224392;5.785724;13.0;HAUT LE PIED;27;
29/12/23 05:21:01;Chemin de Rochasson, Meylan;45.224602;5.785905;12.0;HAUT LE PIED;27;
29/12/23 05:21:32;Chemin de Rochasson, Meylan;45.224831;5.786023;0.0;ARRET;30;
29/12/23 05:21:52;Chemin de Rochasson, Meylan;45.225067;5.786201;22.0;HAUT LE PIED;29;
29/12/23 05:22:17;Chemin de Rochasson, Meylan;45.225292;5.786378;18.0;HAUT LE PIED;31;
29/12/23 05:22:22;Chemin de Rochasson, Meylan;45.225521;5.786602;22.0;HAUT LE PIED;15;
29/12/23 05:22:25;Chemin de Rochasson, Meylan;45.225643;5.786532;24.0;HAUT LE PIED;18;
29/12/23 05:22:28;Chemin de Rochasson, Meylan;45.225681;5.786308;19.0;HAUT LE PIED;36;
29/12/23 05:22:33;Chemin de Rochasson, Meylan;45.225666;5.78585;24.0;HAUT LE PIED;15;
29/12/23 05:22:36;Chemin de Rochasson, Meylan;45.225693;5.785662;11.0;HAUT LE PIED;5;
29/12/23 05:23:06;Chemin de Rochasson, Meylan;45.2257;5.785593;0.0;ARRET;46;
29/12/23 05:23:18;Chemin de Rochasson, Meylan;45.2258;5.785018;8.0;HAUT LE PIED;28;
29/12/23 05:23:47;Chemin de l'Église, Meylan;45.2258;5.784666;10.0;HAUT LE PIED;9;
29/12/23 05:24:18;Chemin de Rochasson, Meylan;45.225845;5.784571;0.0;ARRET;27;
29/12/23 05:25:25;Chemin de Rochasson, Meylan;45.225971;5.784276;20.0;HAUT LE PIED;45;
29/12/23 05:25:55;Chemin de Rochasson, Meylan;45.226257;5.783879;8.0;HAUT LE PIED;53;
