Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
28/12/23 08:02:02;Rue Le Corbusier, Eybens;45.153214;5.737565;;DEPOT;0;
28/12/23 08:02:02;Rue Le Corbusier, Eybens;45.153214;5.737565;;DEPOT;0;
28/12/23 08:02:02;Rue Le Corbusier, Eybens;45.153214;5.737565;;DEPOT;0;
28/12/23 08:02:02;Rue Le Corbusier, Eybens;45.153214;5.737565;;DEPOT;0;
28/12/23 08:02:02;Rue Le Corbusier, Eybens;45.153214;5.737565;;DEPOT;0;
28/12/23 08:02:02;Rue Le Corbusier, Eybens;45.153214;5.737565;;DEPOT;0;
28/12/23 08:02:13;Rue Le Corbusier, Eybens;45.153214;5.737565;6.0;HAUT LE PIED;8;
28/12/23 08:02:43;;45.153168;5.737639;0.0;DEPOT;33;
28/12/23 08:16:31;;45.152985;5.737314;31.0;HAUT LE PIED;31;
28/12/23 08:16:35;;45.15271;5.737362;23.0;HAUT LE PIED;14;
28/12/23 08:16:38;;45.15266;5.73752;14.0;HAUT LE PIED;13;
28/12/23 08:17:09;;45.152695;5.737675;0.0;DEPOT;23;
28/12/23 08:17:35;;45.152889;5.737772;;DEPOT;2;
28/12/23 08:17:41;;45.15287;5.737767;;DEPOT;6;
28/12/23 08:17:51;;45.152927;5.737773;;DEPOT;2;
28/12/23 08:17:58;;45.152908;5.737766;;DEPOT;5;
28/12/23 08:18:14;;45.152954;5.737745;17.0;HAUT LE PIED;23;
28/12/23 08:18:18;;45.15316;5.737689;17.0;HAUT LE PIED;15;
28/12/23 08:18:21;Rue Le Corbusier, Eybens;45.153236;5.737536;20.0;HAUT LE PIED;30;
28/12/23 08:18:26;Rue Le Corbusier, Eybens;45.153225;5.73716;20.0;HAUT LE PIED;22;
28/12/23 08:18:30;Rue Le Corbusier, Eybens;45.153217;5.736882;15.0;HAUT LE PIED;30;
28/12/23 08:18:43;Rue Le Corbusier, Eybens;45.153389;5.736588;17.0;HAUT LE PIED;173;
28/12/23 08:19:01;Rue Le Corbusier, Eybens;45.153336;5.734387;25.0;HAUT LE PIED;22;
28/12/23 08:19:03;Inconnu, Eybens;45.153454;5.734164;25.0;HAUT LE PIED;21;
28/12/23 08:19:06;Avenue d'Innsbruck, Eybens;45.153561;5.733938;27.0;HAUT LE PIED;21;
28/12/23 08:19:09;Rond-Point Jean Monnet, Eybens;45.15353;5.73367;28.0;HAUT LE PIED;23;
28/12/23 08:19:12;Rond-Point Jean Monnet, Eybens;45.153385;5.733467;28.0;HAUT LE PIED;23;
28/12/23 08:19:15;Rond-Point Jean Monnet, Eybens;45.153183;5.733481;30.0;HAUT LE PIED;53;
28/12/23 08:19:21;D 269A, Eybens;45.152752;5.733772;38.0;HAUT LE PIED;151;
28/12/23 08:19:36;D 269A, Eybens;45.151398;5.733866;12.0;HAUT LE PIED;11;
28/12/23 08:19:39;Inconnu, Eybens;45.151333;5.733759;19.0;HAUT LE PIED;59;
28/12/23 08:19:47;Inconnu, Eybens;45.151024;5.733143;35.0;HAUT LE PIED;363;
28/12/23 08:20:09;Rocade Sud, Échirolles;45.150761;5.728537;73.0;HAUT LE PIED;242;
28/12/23 08:20:21;Rocade Sud, Échirolles;45.151016;5.725471;71.0;HAUT LE PIED;256;
28/12/23 08:20:34;Rocade Sud, Échirolles;45.15163;5.722327;71.0;HAUT LE PIED;325;
28/12/23 08:20:59;Carrefour Jacques Duclos, Échirolles;45.152657;5.718443;21.0;HAUT LE PIED;22;
28/12/23 08:21:03;Carrefour Jacques Duclos, Échirolles;45.152691;5.718167;17.0;HAUT LE PIED;15;
28/12/23 08:21:06;Carrefour Jacques Duclos, Échirolles;45.152596;5.718029;20.0;HAUT LE PIED;19;
28/12/23 08:21:09;Pont Jacques Duclos, Échirolles;45.152424;5.717984;24.0;HAUT LE PIED;38;
28/12/23 08:21:27;Carrefour Jacques Duclos, Échirolles;45.152088;5.717919;17.0;HAUT LE PIED;140;
28/12/23 08:21:43;Avenue du 8 Mai 1945, Échirolles;45.150826;5.717927;33.0;HAUT LE PIED;130;
28/12/23 08:21:56;Avenue du 8 Mai 1945, Échirolles;45.149654;5.717899;37.0;HAUT LE PIED;29;
28/12/23 08:22:01;Inconnu, Échirolles;45.149391;5.717904;13.0;HAUT LE PIED;11;
28/12/23 08:22:06;Rue Honoré de Balzac, Échirolles;45.149387;5.717762;13.0;HAUT LE PIED;18;
28/12/23 08:22:09;Rue Honoré de Balzac, Échirolles;45.149445;5.717543;20.0;HAUT LE PIED;16;
28/12/23 08:22:12;Rue Honoré de Balzac, Échirolles;45.149406;5.717345;16.0;HAUT LE PIED;4;
28/12/23 08:22:18;Rue Honoré de Balzac, Échirolles;45.149372;5.717352;;MARCHE ARRIERE;4;
28/12/23 08:22:23;Rue Honoré de Balzac, Échirolles;45.149391;5.717397;;ARRET;4;
28/12/23 08:22:43;Rue Honoré de Balzac, Échirolles;45.149414;5.717429;0.0;ARRET;1;
28/12/23 08:22:57;Rue Honoré de Balzac, Échirolles;45.149418;5.717426;;ARRET;0;
28/12/23 08:23:09;Rue Honoré de Balzac, Échirolles;45.149418;5.717426;;ARRET;0;
28/12/23 08:23:12;Rue Honoré de Balzac, Échirolles;45.149418;5.717426;;ARRET;2;
28/12/23 08:23:27;Rue Honoré de Balzac, Échirolles;45.149426;5.717409;;ARRET;1;
28/12/23 08:23:31;Rue Honoré de Balzac, Échirolles;45.149422;5.717397;;ARRET;4;
28/12/23 08:23:42;Rue Honoré de Balzac, Échirolles;45.149387;5.717373;;ARRET;2;
28/12/23 08:23:46;Rue Honoré de Balzac, Échirolles;45.149372;5.717351;;ARRET;1;
28/12/23 08:23:53;Rue Honoré de Balzac, Échirolles;45.149372;5.717338;;ARRET;1;
28/12/23 08:23:59;Rue Honoré de Balzac, Échirolles;45.149368;5.71733;;ARRET;17;
28/12/23 08:24:03;Rue Honoré de Balzac, Échirolles;45.149281;5.717155;25.0;HAUT LE PIED;170;
28/12/23 08:24:26;Rue Honoré de Balzac, Échirolles;45.148388;5.715397;18.0;HAUT LE PIED;15;
28/12/23 08:24:29;Rue Honoré de Balzac, Échirolles;45.148258;5.715463;19.0;HAUT LE PIED;48;
28/12/23 08:24:36;Rue Honoré de Balzac, Échirolles;45.147888;5.715789;18.0;HAUT LE PIED;11;
28/12/23 08:24:40;Rue Honoré de Balzac, Échirolles;45.147797;5.715856;8.0;HAUT LE PIED;9;
28/12/23 08:24:43;Rue Honoré de Balzac, Échirolles;45.14772;5.715827;9.0;HAUT LE PIED;3;
28/12/23 08:24:46;Rue Honoré de Balzac, Échirolles;45.147694;5.715829;;ARRET;2;
28/12/23 08:24:52;Rue Honoré de Balzac, Échirolles;45.147682;5.715849;;ARRET;1;
28/12/23 08:25:01;Rue Honoré de Balzac, Échirolles;45.147671;5.715849;;ARRET;1;
28/12/23 08:25:07;Rue Honoré de Balzac, Échirolles;45.147675;5.715853;;ARRET;2;
28/12/23 08:25:14;Rue Honoré de Balzac, Échirolles;45.147678;5.715883;0.0;ARRET;1;
28/12/23 08:25:22;Rue Honoré de Balzac, Échirolles;45.147682;5.715899;;ARRET;1;
28/12/23 08:25:26;Rue Honoré de Balzac, Échirolles;45.14769;5.715891;;ARRET;0;
28/12/23 08:25:41;Rue Honoré de Balzac, Échirolles;45.147694;5.71589;;ARRET;0;
28/12/23 08:25:42;Rue Honoré de Balzac, Échirolles;45.147694;5.71589;;ARRET;29;
28/12/23 08:25:50;Rue Honoré de Balzac, Échirolles;45.147469;5.716064;31.0;HAUT LE PIED;38;
28/12/23 08:25:55;Allée Gaston Leroux, Échirolles;45.147194;5.71636;25.0;HAUT LE PIED;20;
28/12/23 08:25:58;Allée Gaston Leroux, Échirolles;45.147114;5.716594;25.0;HAUT LE PIED;26;
28/12/23 08:26:06;Allée Gaston Leroux, Échirolles;45.147102;5.716924;;ARRET;2;
28/12/23 08:26:15;Allée Gaston Leroux, Échirolles;45.147083;5.71692;;ARRET;1;
28/12/23 08:26:29;Allée Gaston Leroux, Échirolles;45.147079;5.716914;0.0;ARRET;0;
28/12/23 08:26:33;Allée Gaston Leroux, Échirolles;45.147079;5.716914;;ARRET;0;
28/12/23 08:26:40;Allée Gaston Leroux, Échirolles;45.147079;5.716915;;ARRET;0;
28/12/23 08:27:05;Allée Gaston Leroux, Échirolles;45.147079;5.716914;;ARRET;0;
28/12/23 08:27:12;Allée Gaston Leroux, Échirolles;45.147079;5.716914;;ARRET;0;
28/12/23 08:27:27;Allée Gaston Leroux, Échirolles;45.147083;5.716914;;ARRET;0;
28/12/23 08:27:33;Allée Gaston Leroux, Échirolles;45.147083;5.716914;;ARRET;7;
28/12/23 08:27:57;Allée Gaston Leroux, Échirolles;45.147148;5.716907;;ARRET;3;
28/12/23 08:28:04;Allée Gaston Leroux, Échirolles;45.147179;5.716914;;ARRET;26;
28/12/23 08:28:30;Inconnu, Échirolles;45.14711;5.717235;7.0;HAUT LE PIED;12;
28/12/23 08:28:34;Inconnu, Échirolles;45.147011;5.717185;11.0;HAUT LE PIED;20;
28/12/23 08:28:37;Inconnu, Échirolles;45.146832;5.717134;24.0;HAUT LE PIED;82;
28/12/23 08:28:57;Allée Eugène Sue, Échirolles;45.14613;5.716828;9.0;HAUT LE PIED;25;
28/12/23 08:29:02;Allée Eugène Sue, Échirolles;45.146202;5.716528;22.0;HAUT LE PIED;6;
28/12/23 08:29:07;Allée Eugène Sue, Échirolles;45.146225;5.716463;;ARRET;1;
28/12/23 08:29:12;Allée Eugène Sue, Échirolles;45.146233;5.716461;;ARRET;0;
28/12/23 08:29:22;Allée Eugène Sue, Échirolles;45.146236;5.71646;;ARRET;1;
28/12/23 08:29:26;Allée Eugène Sue, Échirolles;45.146233;5.716454;;ARRET;1;
28/12/23 08:29:33;Allée Eugène Sue, Échirolles;45.146229;5.716457;0.0;ARRET;0;
28/12/23 08:29:42;Allée Eugène Sue, Échirolles;45.146229;5.716457;;ARRET;0;
28/12/23 08:29:54;Allée Eugène Sue, Échirolles;45.146229;5.716458;;ARRET;0;
28/12/23 08:30:04;Allée Eugène Sue, Échirolles;45.146229;5.716458;;ARRET;0;
28/12/23 08:30:07;Allée Eugène Sue, Échirolles;45.146229;5.716457;;ARRET;31;
28/12/23 08:30:14;Allée Eugène Sue, Échirolles;45.146397;5.716148;25.0;HAUT LE PIED;18;
28/12/23 08:30:17;Rue Honoré de Balzac, Échirolles;45.146557;5.716115;21.0;HAUT LE PIED;24;
28/12/23 08:30:21;Rue Honoré de Balzac, Échirolles;45.14677;5.716147;16.0;HAUT LE PIED;2;
28/12/23 08:30:25;Rue Honoré de Balzac, Échirolles;45.146786;5.716146;;ARRET;2;
28/12/23 08:30:33;Rue Honoré de Balzac, Échirolles;45.146774;5.716129;;ARRET;2;
28/12/23 08:30:50;Rue Honoré de Balzac, Échirolles;45.146755;5.716124;;ARRET;0;
28/12/23 08:30:52;Rue Honoré de Balzac, Échirolles;45.146755;5.716124;0.0;ARRET;0;
28/12/23 08:30:53;Rue Honoré de Balzac, Échirolles;45.146755;5.716124;;ARRET;0;
28/12/23 08:31:06;Rue Honoré de Balzac, Échirolles;45.146755;5.716123;;ARRET;0;
28/12/23 08:31:12;Rue Honoré de Balzac, Échirolles;45.146755;5.716123;;ARRET;1;
28/12/23 08:31:26;Rue Honoré de Balzac, Échirolles;45.146763;5.716133;;ARRET;1;
28/12/23 08:31:29;Rue Honoré de Balzac, Échirolles;45.14677;5.716138;;ARRET;1;
28/12/23 08:31:38;Rue Honoré de Balzac, Échirolles;45.146782;5.716138;;ARRET;1;
28/12/23 08:31:41;Rue Honoré de Balzac, Échirolles;45.146782;5.716129;;ARRET;27;
28/12/23 08:32:06;Rue Honoré de Balzac, Échirolles;45.147022;5.716198;28.0;HAUT LE PIED;35;
28/12/23 08:32:11;Rue Honoré de Balzac, Échirolles;45.147339;5.71623;26.0;HAUT LE PIED;19;
28/12/23 08:32:14;Rue Honoré de Balzac, Échirolles;45.147484;5.716095;25.0;HAUT LE PIED;35;
28/12/23 08:32:19;Rue Honoré de Balzac, Échirolles;45.147743;5.71585;22.0;HAUT LE PIED;12;
28/12/23 08:32:22;Rue Honoré de Balzac, Échirolles;45.14785;5.715886;13.0;HAUT LE PIED;9;
28/12/23 08:32:30;Rue Honoré de Balzac, Échirolles;45.147919;5.715819;;ARRET;1;
28/12/23 08:32:38;Rue Honoré de Balzac, Échirolles;45.14793;5.715818;;ARRET;0;
28/12/23 08:32:53;Rue Honoré de Balzac, Échirolles;45.147934;5.715821;0.0;ARRET;0;
28/12/23 08:32:58;Rue Honoré de Balzac, Échirolles;45.14793;5.71582;;ARRET;2;
28/12/23 08:33:08;Rue Honoré de Balzac, Échirolles;45.14793;5.715796;;ARRET;28;
28/12/23 08:33:19;Rue Honoré de Balzac, Échirolles;45.14814;5.715599;23.0;HAUT LE PIED;34;
28/12/23 08:33:26;Rue Honoré de Balzac, Échirolles;45.148407;5.715386;12.0;HAUT LE PIED;9;
28/12/23 08:33:29;Rue Honoré de Balzac, Échirolles;45.148483;5.715436;13.0;HAUT LE PIED;66;
28/12/23 08:33:39;Rue Honoré de Balzac, Échirolles;45.148781;5.716158;14.0;HAUT LE PIED;3;
28/12/23 08:33:41;Rue Honoré de Balzac, Échirolles;45.148785;5.716115;;ARRET;5;
28/12/23 08:33:46;Rue Honoré de Balzac, Échirolles;45.14875;5.716156;;ARRET;1;
28/12/23 08:33:55;Rue Honoré de Balzac, Échirolles;45.148754;5.716165;;ARRET;0;
28/12/23 08:33:59;Rue Honoré de Balzac, Échirolles;45.148754;5.716165;;ARRET;0;
28/12/23 08:34:10;Rue Honoré de Balzac, Échirolles;45.148754;5.716165;0.0;ARRET;0;
28/12/23 08:34:11;Rue Honoré de Balzac, Échirolles;45.148754;5.716165;;ARRET;0;
28/12/23 08:34:15;Rue Honoré de Balzac, Échirolles;45.148754;5.716166;;ARRET;29;
28/12/23 08:34:44;Rue Honoré de Balzac, Échirolles;45.148891;5.716473;19.0;HAUT LE PIED;41;
28/12/23 08:34:53;Rue Honoré de Balzac, Échirolles;45.149097;5.716911;;ARRET;1;
