Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
29/12/23 08:51:36;;45.153095;5.737248;;DEPOT;0;
29/12/23 08:51:36;;45.153095;5.737248;;DEPOT;0;
29/12/23 08:51:36;;45.153095;5.737248;;DEPOT;0;
29/12/23 08:51:36;;45.153095;5.737248;;DEPOT;0;
29/12/23 08:51:36;;45.153095;5.737248;;DEPOT;0;
29/12/23 08:51:36;;45.153095;5.737248;;DEPOT;0;
29/12/23 08:51:47;;45.153095;5.737248;6.0;HAUT LE PIED;5;
29/12/23 08:52:18;;45.153057;5.737283;0.0;DEPOT;25;
29/12/23 08:53:47;;45.152836;5.737254;8.0;HAUT LE PIED;15;
29/12/23 08:53:54;;45.152702;5.737303;8.0;HAUT LE PIED;13;
29/12/23 08:54:00;;45.152653;5.737448;8.0;HAUT LE PIED;28;
29/12/23 08:54:17;;45.152733;5.73778;;DEPOT;6;
29/12/23 08:54:31;;45.152699;5.737716;0.0;DEPOT;0;
29/12/23 08:54:34;;45.152702;5.737717;;DEPOT;78;
29/12/23 09:24:55;Rue Le Corbusier, Eybens;45.153248;5.7371;18.0;HAUT LE PIED;12;
29/12/23 09:24:58;Rue Le Corbusier, Eybens;45.153267;5.736949;8.0;HAUT LE PIED;25;
29/12/23 09:25:07;Rue Le Corbusier, Eybens;45.153385;5.736673;19.0;HAUT LE PIED;186;
29/12/23 09:25:33;Inconnu, Eybens;45.153374;5.734307;10.0;HAUT LE PIED;12;
29/12/23 09:25:36;Inconnu, Eybens;45.15345;5.73419;16.0;HAUT LE PIED;22;
29/12/23 09:25:40;Inconnu, Eybens;45.153591;5.733987;28.0;HAUT LE PIED;23;
29/12/23 09:25:43;Avenue d'Innsbruck, Eybens;45.153763;5.733832;28.0;HAUT LE PIED;118;
29/12/23 09:25:54;Avenue d'Innsbruck, Grenoble;45.154823;5.733807;43.0;HAUT LE PIED;206;
29/12/23 09:26:24;Inconnu, Grenoble;45.15667;5.733844;0.0;ARRET;115;
29/12/23 09:26:55;Avenue d'Innsbruck, Grenoble;45.157703;5.73379;36.0;HAUT LE PIED;113;
29/12/23 09:27:16;Avenue d'Innsbruck, Grenoble;45.158718;5.733787;27.0;HAUT LE PIED;24;
29/12/23 09:27:19;Avenue de l'Europe, Grenoble;45.158882;5.73399;33.0;HAUT LE PIED;27;
29/12/23 09:27:22;D 5B, Grenoble;45.159084;5.734172;32.0;HAUT LE PIED;29;
29/12/23 09:27:25;Avenue de l'Europe, Grenoble;45.159348;5.734164;34.0;HAUT LE PIED;36;
29/12/23 09:27:28;Avenue de l'Europe, Grenoble;45.159534;5.73379;36.0;HAUT LE PIED;38;
29/12/23 09:27:31;Avenue de l'Europe, Grenoble;45.159462;5.73332;45.0;HAUT LE PIED;158;
29/12/23 09:28:02;Avenue de l'Europe, Grenoble;45.159386;5.731305;0.0;ARRET;32;
29/12/23 09:28:14;Inconnu, Grenoble;45.159367;5.730904;30.0;HAUT LE PIED;151;
29/12/23 09:28:45;D 269A, Grenoble;45.159336;5.728984;23.0;HAUT LE PIED;259;
29/12/23 09:29:03;Avenue Edmond Esmonin, Grenoble;45.159397;5.72569;65.0;HAUT LE PIED;108;
29/12/23 09:29:34;Avenue Edmond Esmonin, Grenoble;45.15955;5.724327;0.0;ARRET;30;
29/12/23 09:30:09;Inconnu, Grenoble;45.159611;5.723956;35.0;HAUT LE PIED;227;
29/12/23 09:30:25;Avenue Edmond Esmonin, Grenoble;45.160217;5.721189;44.0;HAUT LE PIED;35;
29/12/23 09:30:28;Rond-Point Pierre et Marie Curie, Grenoble;45.160454;5.720891;43.0;HAUT LE PIED;54;
29/12/23 09:30:33;Rue Lucien Andrieux, Grenoble;45.160896;5.720614;37.0;HAUT LE PIED;87;
29/12/23 09:30:40;Rue Lucien Andrieux, Grenoble;45.161671;5.720781;47.0;HAUT LE PIED;332;
29/12/23 09:31:05;Rue Alfred de Vigny, Grenoble;45.164623;5.721431;46.0;HAUT LE PIED;56;
29/12/23 09:31:10;Rue Alfred de Vigny, Grenoble;45.165112;5.721586;31.0;HAUT LE PIED;103;
29/12/23 09:31:20;Rue Alfred de Vigny, Grenoble;45.165844;5.7224;41.0;HAUT LE PIED;134;
29/12/23 09:31:50;Rue Alfred de Vigny, Grenoble;45.166798;5.723446;22.0;HAUT LE PIED;19;
29/12/23 09:31:53;Rue de Stalingrad, Grenoble;45.166962;5.723509;26.0;HAUT LE PIED;282;
29/12/23 09:32:24;Rue de Stalingrad, Grenoble;45.169483;5.723204;23.0;HAUT LE PIED;68;
29/12/23 09:32:33;Rue de Stalingrad, Grenoble;45.170097;5.723242;42.0;HAUT LE PIED;39;
29/12/23 09:32:36;Rue de Stalingrad, Grenoble;45.170422;5.723438;49.0;HAUT LE PIED;132;
29/12/23 09:33:07;Rue de Stalingrad, Grenoble;45.171478;5.724192;0.0;ARRET;30;
29/12/23 09:33:14;Rue des Alliés, Grenoble;45.171719;5.724374;28.0;HAUT LE PIED;230;
29/12/23 09:33:35;Rue de Stalingrad, Grenoble;45.173729;5.725038;40.0;HAUT LE PIED;75;
29/12/23 09:33:58;Rue de Stalingrad, Grenoble;45.174377;5.725284;13.0;HAUT LE PIED;52;
29/12/23 09:34:07;Rue de Stalingrad, Grenoble;45.174824;5.725481;14.0;HAUT LE PIED;29;
29/12/23 09:34:23;Rue de Stalingrad, Grenoble;45.175079;5.725571;18.0;HAUT LE PIED;20;
29/12/23 09:34:26;Rue du Général Ferrié, Grenoble;45.175247;5.725466;27.0;HAUT LE PIED;21;
29/12/23 09:34:30;Rue du Général Ferrié, Grenoble;45.175404;5.725311;13.0;HAUT LE PIED;15;
29/12/23 09:35:01;Rue du Général Ferrié, Grenoble;45.175468;5.725148;0.0;ARRET;2;
29/12/23 09:35:10;Rue du Général Ferrié, Grenoble;45.175453;5.725154;;ARRET;2;
29/12/23 09:35:23;Rue du Général Ferrié, Grenoble;45.175461;5.725179;;ARRET;0;
29/12/23 09:35:35;Rue du Général Ferrié, Grenoble;45.175465;5.725177;;COLLECTE;0;
29/12/23 09:35:39;Rue du Général Ferrié, Grenoble;45.175468;5.725174;;COLLECTE;1;
