Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
07/12/23 04:44:00;Inconnu, Sassenage;45.204357;5.686182;;DEPOT;0;
07/12/23 04:44:00;Inconnu, Sassenage;45.204357;5.686182;;DEPOT;0;
07/12/23 04:44:13;Inconnu, Sassenage;45.204357;5.686182;6.0;HAUT LE PIED;6;
07/12/23 04:44:44;Inconnu, Sassenage;45.204361;5.686101;0.0;DEPOT;69;
07/12/23 05:07:34;Rue de Sornin, Sassenage;45.204979;5.686001;14.0;HAUT LE PIED;13;
07/12/23 05:07:37;Rue de Sornin, Sassenage;45.204979;5.68583;14.0;HAUT LE PIED;17;
07/12/23 05:07:40;Rue de Sornin, Sassenage;45.204891;5.685653;20.0;HAUT LE PIED;18;
07/12/23 05:07:43;Rue Baptiste Marcet, Sassenage;45.204731;5.685629;26.0;HAUT LE PIED;28;
07/12/23 05:07:46;Rue Baptiste Marcet, Sassenage;45.20451;5.685806;44.0;HAUT LE PIED;100;
07/12/23 05:07:56;Rue Baptiste Marcet, Sassenage;45.203758;5.686512;30.0;HAUT LE PIED;27;
07/12/23 05:07:59;Rue Baptiste Marcet, Sassenage;45.203831;5.686843;39.0;HAUT LE PIED;64;
07/12/23 05:08:05;Rue Baptiste Marcet, Sassenage;45.204098;5.687559;27.0;HAUT LE PIED;22;
07/12/23 05:08:08;Boulevard Joliot Curie, Fontaine;45.204014;5.687808;30.0;HAUT LE PIED;28;
07/12/23 05:08:11;Boulevard Joliot Curie, Fontaine;45.203785;5.687969;38.0;HAUT LE PIED;314;
07/12/23 05:08:42;Boulevard Joliot Curie, Fontaine;45.201355;5.69;43.0;HAUT LE PIED;189;
07/12/23 05:08:59;Boulevard Joliot Curie, Fontaine;45.199894;5.691236;38.0;HAUT LE PIED;62;
07/12/23 05:09:04;Boulevard Joliot Curie, Fontaine;45.199421;5.691664;51.0;HAUT LE PIED;332;
07/12/23 05:09:31;Boulevard Joliot Curie, Fontaine;45.19685;5.693804;55.0;HAUT LE PIED;308;
07/12/23 05:09:50;Boulevard Joliot Curie, Fontaine;45.194145;5.694655;55.0;HAUT LE PIED;194;
07/12/23 05:10:17;Avenue du Vercors, Fontaine;45.192417;5.694978;25.0;HAUT LE PIED;19;
07/12/23 05:10:20;Avenue du Vercors, Fontaine;45.192383;5.695211;24.0;HAUT LE PIED;328;
07/12/23 05:10:48;Avenue du Vercors, Fontaine;45.192463;5.699392;48.0;HAUT LE PIED;233;
07/12/23 05:11:05;Pont du Vercors, Grenoble;45.192467;5.702365;25.0;HAUT LE PIED;35;
07/12/23 05:11:10;A 480, Grenoble;45.192383;5.702801;26.0;HAUT LE PIED;65;
07/12/23 05:11:19;Rue Diderot, Grenoble;45.192352;5.703631;26.0;HAUT LE PIED;24;
07/12/23 05:11:22;Rue Diderot, Grenoble;45.192204;5.703848;28.0;HAUT LE PIED;98;
07/12/23 05:11:32;Rue Diderot, Grenoble;45.191402;5.704354;29.0;HAUT LE PIED;189;
07/12/23 05:12:03;Rue Diderot, Grenoble;45.189835;5.705279;0.0;ARRET;26;
07/12/23 05:13:01;Rue Diderot, Grenoble;45.189621;5.705401;20.0;HAUT LE PIED;25;
07/12/23 05:13:32;Rue Diderot, Grenoble;45.189415;5.705528;0.0;ARRET;29;
07/12/23 05:14:18;Rue Diderot, Grenoble;45.189175;5.705685;10.0;HAUT LE PIED;29;
07/12/23 05:14:25;Rue Diderot, Grenoble;45.188934;5.705814;12.0;HAUT LE PIED;10;
07/12/23 05:14:28;Cours Berriat, Grenoble;45.188885;5.705709;9.0;HAUT LE PIED;33;
07/12/23 05:14:36;Cours Berriat, Grenoble;45.188942;5.7053;16.0;HAUT LE PIED;16;
07/12/23 05:15:06;Cours Berriat, Grenoble;45.188889;5.705108;0.0;ARRET;26;
07/12/23 05:16:59;Cours Berriat, Grenoble;45.188904;5.704783;6.0;HAUT LE PIED;3;
07/12/23 05:17:30;Cours Berriat, Grenoble;45.188923;5.704754;0.0;ARRET;26;
07/12/23 05:18:36;Cours Berriat, Grenoble;45.188965;5.704426;18.0;HAUT LE PIED;60;
07/12/23 05:18:51;Chemin des 3 Maisons, Grenoble;45.189018;5.70367;11.0;HAUT LE PIED;9;
07/12/23 05:18:54;Chemin des 3 Maisons, Grenoble;45.189095;5.703684;13.0;HAUT LE PIED;39;
07/12/23 05:19:00;Chemin des 3 Maisons, Grenoble;45.189442;5.703688;22.0;HAUT LE PIED;29;
07/12/23 05:19:30;Chemin des 3 Maisons, Grenoble;45.189705;5.703649;0.0;ARRET;27;
07/12/23 05:19:40;Rue Félix Esclangon, Grenoble;45.18993;5.703763;11.0;HAUT LE PIED;11;
07/12/23 05:19:43;Rue Félix Esclangon, Grenoble;45.189968;5.703887;15.0;HAUT LE PIED;104;
07/12/23 05:20:04;Rue Diderot, Grenoble;45.18998;5.705213;16.0;HAUT LE PIED;142;
07/12/23 05:20:23;Cours Berriat, Grenoble;45.188824;5.70597;21.0;HAUT LE PIED;18;
07/12/23 05:20:26;Cours Berriat, Grenoble;45.188801;5.706194;17.0;HAUT LE PIED;28;
07/12/23 05:20:56;Cours Berriat, Grenoble;45.188751;5.706539;11.0;HAUT LE PIED;29;
07/12/23 05:21:09;Rue Denis Papin, Grenoble;45.188492;5.706585;18.0;HAUT LE PIED;47;
07/12/23 05:21:40;Rue Denis Papin, Grenoble;45.188068;5.706546;0.0;ARRET;26;
07/12/23 05:22:27;Rue Denis Papin, Grenoble;45.187843;5.706457;14.0;HAUT LE PIED;9;
07/12/23 05:22:58;Rue Denis Papin, Grenoble;45.187775;5.706398;0.0;ARRET;25;
07/12/23 05:23:15;Rue Marx Dormoy, Grenoble;45.18755;5.706347;8.0;HAUT LE PIED;6;
07/12/23 05:23:18;Rue Marx Dormoy, Grenoble;45.187511;5.706294;8.0;HAUT LE PIED;10;
07/12/23 05:23:48;Rue Marx Dormoy, Grenoble;45.187576;5.706205;0.0;ARRET;30;
07/12/23 05:24:28;Rue Ampère, Grenoble;45.187714;5.70588;14.0;HAUT LE PIED;48;
07/12/23 05:24:59;Square des Fusillés, Grenoble;45.188141;5.705768;0.0;ARRET;55;
07/12/23 05:25:30;Rue Ampère, Grenoble;45.188633;5.705826;22.0;HAUT LE PIED;32;
07/12/23 05:25:52;Rue Diderot, Grenoble;45.188919;5.705807;14.0;HAUT LE PIED;12;
07/12/23 05:25:55;Rue Diderot, Grenoble;45.188976;5.705671;17.0;HAUT LE PIED;14;
07/12/23 05:25:58;Cours Berriat, Grenoble;45.188942;5.705496;18.0;HAUT LE PIED;60;
07/12/23 05:26:09;Cours Berriat, Grenoble;45.188923;5.704737;13.0;HAUT LE PIED;11;
07/12/23 05:26:12;Inconnu, Grenoble;45.18882;5.704744;11.0;HAUT LE PIED;14;
07/12/23 05:26:15;Square des Fusillés, Grenoble;45.188698;5.704744;17.0;HAUT LE PIED;14;
07/12/23 05:26:46;Square des Fusillés, Grenoble;45.188572;5.704731;0.0;ARRET;30;
07/12/23 05:28:08;Square des Fusillés, Grenoble;45.188301;5.704739;20.0;HAUT LE PIED;15;
07/12/23 05:28:11;Square des Fusillés, Grenoble;45.188168;5.70475;12.0;HAUT LE PIED;9;
07/12/23 05:28:15;Square des Fusillés, Grenoble;45.188137;5.704851;9.0;HAUT LE PIED;5;
07/12/23 05:28:45;Square des Fusillés, Grenoble;45.188152;5.704914;0.0;ARRET;27;
07/12/23 05:29:56;Square des Fusillés, Grenoble;45.188175;5.705255;10.0;HAUT LE PIED;13;
07/12/23 05:30:27;Square des Fusillés, Grenoble;45.188145;5.705418;0.0;ARRET;98;
07/12/23 05:36:11;Rue Ampère, Grenoble;45.187332;5.705899;6.0;HAUT LE PIED;1;
07/12/23 05:36:42;Rue Ampère, Grenoble;45.187336;5.705907;0.0;ARRET;25;
07/12/23 05:36:58;Rue Ampère, Grenoble;45.187111;5.705878;25.0;HAUT LE PIED;28;
07/12/23 05:37:03;Rue Ampère, Grenoble;45.186874;5.705772;12.0;HAUT LE PIED;3;
07/12/23 05:37:34;Rue Ampère, Grenoble;45.186852;5.705798;0.0;ARRET;27;
07/12/23 05:38:51;Rue Ampère, Grenoble;45.186615;5.705763;13.0;HAUT LE PIED;23;
07/12/23 05:39:22;Rue Louise Drevet, Grenoble;45.186588;5.706055;0.0;ARRET;29;
07/12/23 05:39:42;Rue Louise Drevet, Grenoble;45.186588;5.706419;16.0;HAUT LE PIED;13;
07/12/23 05:40:13;Rue Louise Drevet, Grenoble;45.186615;5.706583;0.0;ARRET;25;
07/12/23 05:40:57;Rue Louise Drevet, Grenoble;45.186584;5.706898;6.0;HAUT LE PIED;25;
07/12/23 05:41:28;Rue du Drac, Grenoble;45.186558;5.707219;6.0;HAUT LE PIED;16;
07/12/23 05:41:36;Rue du Drac, Grenoble;45.186417;5.707222;10.0;HAUT LE PIED;51;
07/12/23 05:42:06;Rue du Drac, Grenoble;45.185963;5.707153;6.0;HAUT LE PIED;30;
07/12/23 05:42:25;Rue Barginet, Grenoble;45.186001;5.706772;18.0;HAUT LE PIED;10;
07/12/23 05:42:56;Rue Barginet, Grenoble;45.186005;5.706647;0.0;ARRET;27;
07/12/23 05:44:18;Rue Barginet, Grenoble;45.186005;5.706299;12.0;HAUT LE PIED;43;
07/12/23 05:44:49;Rue Ampère, Grenoble;45.185997;5.705749;0.0;ARRET;28;
07/12/23 05:47:04;Rue Ampère, Grenoble;45.185745;5.705813;20.0;HAUT LE PIED;22;
