Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
11/12/23 04:49:36;Inconnu, Sassenage;45.204578;5.686372;;DEPOT;0;
11/12/23 04:49:36;Inconnu, Sassenage;45.204578;5.686372;;DEPOT;0;
11/12/23 04:49:37;Inconnu, Sassenage;45.204578;5.686372;;DEPOT;0;
11/12/23 04:49:37;Inconnu, Sassenage;45.204578;5.686372;;DEPOT;0;
11/12/23 04:49:37;Inconnu, Sassenage;45.204578;5.686372;;DEPOT;0;
11/12/23 04:49:37;Inconnu, Sassenage;45.204578;5.686372;;DEPOT;2;
11/12/23 04:49:48;Inconnu, Sassenage;45.204575;5.68635;;DEPOT;7;
11/12/23 04:49:52;Inconnu, Sassenage;45.204628;5.6863;;DEPOT;1;
11/12/23 04:50:16;Inconnu, Sassenage;45.204632;5.686309;0.0;DEPOT;1;
11/12/23 04:50:21;Inconnu, Sassenage;45.204628;5.686302;;DEPOT;2;
11/12/23 05:00:59;Inconnu, Sassenage;45.204624;5.686327;;DEPOT;2;
11/12/23 05:08:20;Inconnu, Sassenage;45.204632;5.686311;;DEPOT;0;
11/12/23 05:08:28;Inconnu, Sassenage;45.204632;5.686314;;DEPOT;1;
11/12/23 05:08:34;Inconnu, Sassenage;45.204624;5.686317;;DEPOT;5;
11/12/23 05:09:53;Inconnu, Sassenage;45.204655;5.686361;;DEPOT;0;
11/12/23 05:09:53;Inconnu, Sassenage;45.204655;5.686361;;DEPOT;0;
11/12/23 05:09:53;Inconnu, Sassenage;45.204655;5.686361;;DEPOT;0;
11/12/23 05:09:53;Inconnu, Sassenage;45.204655;5.686361;;DEPOT;0;
11/12/23 05:09:54;Inconnu, Sassenage;45.204655;5.686361;;DEPOT;0;
11/12/23 05:09:54;Inconnu, Sassenage;45.204655;5.686361;;DEPOT;0;
11/12/23 05:10:02;Inconnu, Sassenage;45.204655;5.686361;0.0;DEPOT;33;
11/12/23 05:13:51;Inconnu, Sassenage;45.204899;5.686117;13.0;HAUT LE PIED;14;
11/12/23 05:13:54;Rue de Sornin, Sassenage;45.205002;5.686013;17.0;HAUT LE PIED;14;
11/12/23 05:13:57;Rue de Sornin, Sassenage;45.204975;5.685844;17.0;HAUT LE PIED;21;
11/12/23 05:14:01;Rue de Sornin, Sassenage;45.204891;5.685601;31.0;HAUT LE PIED;92;
11/12/23 05:14:16;Rue de Sornin, Sassenage;45.204639;5.684484;9.0;HAUT LE PIED;15;
11/12/23 05:14:19;Rue de la Sure, Sassenage;45.204727;5.684332;27.0;HAUT LE PIED;27;
11/12/23 05:14:23;Rue de la Sure, Sassenage;45.204899;5.684084;35.0;HAUT LE PIED;114;
11/12/23 05:14:32;Rue de la Sure, Sassenage;45.205463;5.682863;38.0;HAUT LE PIED;18;
11/12/23 05:14:35;Rue de la Sure, Sassenage;45.205589;5.682713;9.0;HAUT LE PIED;28;
11/12/23 05:15:05;D 531, Sassenage;45.20583;5.682603;27.0;HAUT LE PIED;178;
11/12/23 05:15:21;VV5, Sassenage;45.207367;5.68323;46.0;HAUT LE PIED;111;
11/12/23 05:15:29;Pont des Martyrs, Grenoble;45.208092;5.6842;54.0;HAUT LE PIED;174;
11/12/23 05:15:40;D 531, Grenoble;45.209229;5.685719;52.0;HAUT LE PIED;45;
11/12/23 05:15:43;D 531, Grenoble;45.209633;5.685777;58.0;HAUT LE PIED;39;
11/12/23 05:15:46;Inconnu, Grenoble;45.2099;5.685454;48.0;HAUT LE PIED;112;
11/12/23 05:15:54;D 531, Grenoble;45.210644;5.684492;47.0;HAUT LE PIED;40;
11/12/23 05:15:57;D 531, Grenoble;45.210995;5.68458;47.0;HAUT LE PIED;35;
11/12/23 05:16:00;D 531, Grenoble;45.211174;5.684942;39.0;HAUT LE PIED;45;
11/12/23 05:16:04;VV7, Grenoble;45.211178;5.68551;46.0;HAUT LE PIED;41;
11/12/23 05:16:08;D 531, Grenoble;45.211033;5.685984;29.0;HAUT LE PIED;27;
11/12/23 05:16:11;D 531, Grenoble;45.21088;5.686248;31.0;HAUT LE PIED;28;
11/12/23 05:16:14;Inconnu, Grenoble;45.210636;5.686335;33.0;HAUT LE PIED;27;
11/12/23 05:16:17;Inconnu, Grenoble;45.210442;5.686532;35.0;HAUT LE PIED;23;
11/12/23 05:16:20;Inconnu, Grenoble;45.210438;5.686831;28.0;HAUT LE PIED;66;
11/12/23 05:16:26;Avenue des Martyrs, Grenoble;45.210587;5.687641;46.0;HAUT LE PIED;418;
11/12/23 05:16:51;Avenue des Martyrs, Grenoble;45.209816;5.692865;61.0;HAUT LE PIED;134;
11/12/23 05:16:59;Avenue des Martyrs, Grenoble;45.209442;5.694494;68.0;HAUT LE PIED;55;
11/12/23 05:17:02;Avenue des Martyrs, Grenoble;45.209164;5.695067;55.0;HAUT LE PIED;48;
11/12/23 05:17:32;Avenue des Martyrs, Grenoble;45.208866;5.695504;0.0;ARRET;32;
11/12/23 05:17:43;Avenue des Martyrs, Grenoble;45.20866;5.695789;34.0;HAUT LE PIED;462;
11/12/23 05:18:14;Avenue des Martyrs, Grenoble;45.205612;5.699799;31.0;HAUT LE PIED;18;
11/12/23 05:18:17;Place de la Résistance, Grenoble;45.205448;5.699837;25.0;HAUT LE PIED;18;
11/12/23 05:18:20;Place de la Résistance, Grenoble;45.205292;5.699763;26.0;HAUT LE PIED;19;
11/12/23 05:18:23;Place de la Résistance, Grenoble;45.205154;5.699915;27.0;HAUT LE PIED;48;
11/12/23 05:18:29;Place de la Résistance, Grenoble;45.204853;5.700348;22.0;HAUT LE PIED;14;
11/12/23 05:18:32;Place de la Résistance, Grenoble;45.204868;5.700529;11.0;HAUT LE PIED;52;
11/12/23 05:19:03;Inconnu, Grenoble;45.205158;5.701056;40.0;HAUT LE PIED;36;
11/12/23 05:19:06;Inconnu, Grenoble;45.205463;5.70121;47.0;HAUT LE PIED;158;
11/12/23 05:19:17;VV7, Grenoble;45.206825;5.701775;54.0;HAUT LE PIED;216;
11/12/23 05:19:31;Inconnu, Saint-Martin-le-Vinoux;45.208687;5.702549;49.0;HAUT LE PIED;27;
11/12/23 05:19:34;Inconnu, Saint-Martin-le-Vinoux;45.208908;5.702392;36.0;HAUT LE PIED;53;
11/12/23 05:19:37;Inconnu, Saint-Martin-le-Vinoux;45.209007;5.701736;50.0;HAUT LE PIED;595;
11/12/23 05:20:07;N 481, Saint-Martin-le-Vinoux;45.211075;5.694734;87.0;HAUT LE PIED;511;
11/12/23 05:20:28;N 481, Saint-Martin-le-Vinoux;45.21244;5.688507;87.0;HAUT LE PIED;242;
11/12/23 05:20:38;N 481, Saint-Martin-le-Vinoux;45.213383;5.685728;86.0;HAUT LE PIED;339;
11/12/23 05:20:52;N 481, Saint-Martin-le-Vinoux;45.215046;5.682106;88.0;HAUT LE PIED;531;
11/12/23 05:21:14;A 48, Saint-Égrève;45.217823;5.676589;87.0;HAUT LE PIED;243;
11/12/23 05:21:24;A 48, Saint-Égrève;45.219406;5.67446;87.0;HAUT LE PIED;242;
11/12/23 05:21:34;A 48, Saint-Égrève;45.221188;5.672698;89.0;HAUT LE PIED;752;
11/12/23 05:22:05;A 48, Saint-Égrève;45.227158;5.668207;85.0;HAUT LE PIED;600;
11/12/23 05:22:36;A 48, Saint-Égrève;45.23201;5.664857;66.0;HAUT LE PIED;376;
