Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
04/12/23 04:24:07;Inconnu, La Tronche;45.198235;5.756683;;DEPOT;0;
04/12/23 04:24:07;Inconnu, La Tronche;45.198235;5.756683;;DEPOT;0;
04/12/23 04:24:07;Inconnu, La Tronche;45.198235;5.756683;;DEPOT;0;
04/12/23 04:24:17;Inconnu, La Tronche;45.198235;5.756683;6.0;HAUT LE PIED;30;
04/12/23 04:24:48;Inconnu, La Tronche;45.198154;5.75632;0.0;DEPOT;41;
04/12/23 05:05:43;Inconnu, La Tronche;45.198471;5.756577;12.0;HAUT LE PIED;60;
04/12/23 05:05:56;Chemin de la Tuilerie, La Tronche;45.198681;5.757278;23.0;HAUT LE PIED;42;
04/12/23 05:06:02;Chemin de la Tuilerie, La Tronche;45.198898;5.757719;26.0;HAUT LE PIED;148;
04/12/23 05:06:21;Inconnu, La Tronche;45.199326;5.759512;23.0;HAUT LE PIED;18;
04/12/23 05:06:24;Inconnu, La Tronche;45.199352;5.759737;22.0;HAUT LE PIED;17;
04/12/23 05:06:27;Inconnu, La Tronche;45.199337;5.759947;21.0;HAUT LE PIED;18;
04/12/23 05:06:30;Inconnu, La Tronche;45.199215;5.760103;22.0;HAUT LE PIED;140;
04/12/23 05:06:50;Inconnu, La Tronche;45.198082;5.760866;20.0;HAUT LE PIED;16;
04/12/23 05:06:53;Chemin de la Tuilerie, La Tronche;45.198059;5.761061;22.0;HAUT LE PIED;15;
04/12/23 05:06:56;Chemin de la Tuilerie, La Tronche;45.198177;5.76115;20.0;HAUT LE PIED;32;
04/12/23 05:07:01;Chemin de la Tuilerie, La Tronche;45.198441;5.760995;29.0;HAUT LE PIED;209;
04/12/23 05:07:23;Chemin de la Tuilerie, La Tronche;45.200047;5.759604;24.0;HAUT LE PIED;60;
04/12/23 05:07:52;Chemin de la Tuilerie, Meylan;45.200466;5.759121;16.0;HAUT LE PIED;28;
04/12/23 05:07:58;Avenue de Verdun, La Tronche;45.200684;5.758947;13.0;HAUT LE PIED;16;
04/12/23 05:08:29;Avenue de Verdun, Meylan;45.200829;5.758958;0.0;ARRET;29;
04/12/23 05:08:46;Avenue de Verdun, La Tronche;45.20084;5.758587;24.0;HAUT LE PIED;36;
04/12/23 05:08:50;D 1090, La Tronche;45.200645;5.75822;38.0;HAUT LE PIED;500;
04/12/23 05:09:21;Avenue de Verdun, La Tronche;45.197495;5.753678;65.0;HAUT LE PIED;567;
04/12/23 05:09:52;Avenue de Verdun, La Tronche;45.19389;5.748558;60.0;HAUT LE PIED;494;
04/12/23 05:10:22;Avenue de Verdun, La Tronche;45.1908;5.744035;53.0;HAUT LE PIED;338;
04/12/23 05:10:46;Boulevard Jean Pain, Grenoble;45.188847;5.740729;49.0;HAUT LE PIED;217;
04/12/23 05:11:16;Boulevard Jean Pain, Grenoble;45.187889;5.738317;0.0;ARRET;33;
04/12/23 05:11:32;Boulevard Jean Pain, Grenoble;45.187748;5.737948;31.0;HAUT LE PIED;252;
04/12/23 05:12:03;Boulevard Jean Pain, Grenoble;45.186626;5.73516;0.0;ARRET;111;
04/12/23 05:12:33;Boulevard Jean Pain, Grenoble;45.186146;5.733919;24.0;HAUT LE PIED;137;
04/12/23 05:13:03;Boulevard Jean Pain, Grenoble;45.185539;5.732399;16.0;HAUT LE PIED;19;
04/12/23 05:13:34;Boulevard Jean Pain, Grenoble;45.185425;5.73222;0.0;ARRET;26;
04/12/23 05:14:02;Place Eugène Chavant, Grenoble;45.185333;5.731918;25.0;HAUT LE PIED;21;
04/12/23 05:14:05;Boulevard Maréchal Lyautey, Grenoble;45.185307;5.73165;30.0;HAUT LE PIED;26;
04/12/23 05:14:08;Boulevard Maréchal Lyautey, Grenoble;45.185394;5.731349;35.0;HAUT LE PIED;73;
04/12/23 05:14:15;Boulevard Maréchal Lyautey, Grenoble;45.185688;5.730519;37.0;HAUT LE PIED;23;
04/12/23 05:14:18;Boulevard Maréchal Lyautey, Grenoble;45.185757;5.730245;25.0;HAUT LE PIED;89;
04/12/23 05:14:48;Boulevard Maréchal Lyautey, Grenoble;45.185944;5.729141;0.0;ARRET;43;
04/12/23 05:15:13;Boulevard Agutte Sembat, Grenoble;45.1861;5.728646;25.0;HAUT LE PIED;120;
04/12/23 05:15:26;Boulevard Agutte Sembat, Grenoble;45.186951;5.727716;20.0;HAUT LE PIED;57;
04/12/23 05:15:57;Boulevard Agutte Sembat, Grenoble;45.187378;5.727312;31.0;HAUT LE PIED;86;
04/12/23 05:16:07;Boulevard Agutte Sembat, Grenoble;45.187981;5.726632;20.0;HAUT LE PIED;19;
04/12/23 05:16:10;Cours Lafontaine, Grenoble;45.187988;5.726395;27.0;HAUT LE PIED;246;
04/12/23 05:16:40;Inconnu, Grenoble;45.187752;5.723273;6.0;HAUT LE PIED;9;
04/12/23 05:17:11;Cours Berriat, Grenoble;45.187778;5.723162;0.0;ARRET;27;
04/12/23 05:18:19;Cours Berriat, Grenoble;45.187778;5.72282;11.0;HAUT LE PIED;4;
04/12/23 05:18:50;Cours Berriat, Grenoble;45.187809;5.72279;0.0;ARRET;28;
04/12/23 05:19:46;Cours Berriat, Grenoble;45.187809;5.722438;22.0;HAUT LE PIED;18;
04/12/23 05:20:16;Cours Berriat, Grenoble;45.187897;5.722249;0.0;ARRET;27;
04/12/23 05:20:30;Cours Berriat, Grenoble;45.187904;5.72191;21.0;HAUT LE PIED;14;
04/12/23 05:21:00;Cours Berriat, Grenoble;45.187889;5.721728;0.0;ARRET;26;
04/12/23 05:21:23;Cours Berriat, Grenoble;45.187866;5.7214;13.0;HAUT LE PIED;45;
04/12/23 05:21:54;Cours Berriat, Grenoble;45.187939;5.72083;0.0;ARRET;28;
04/12/23 05:22:35;Cours Berriat, Grenoble;45.187965;5.720479;6.0;HAUT LE PIED;37;
04/12/23 05:23:06;Cours Berriat, Grenoble;45.188034;5.720016;0.0;ARRET;31;
04/12/23 05:23:36;Cours Berriat, Grenoble;45.187992;5.719623;23.0;HAUT LE PIED;23;
04/12/23 05:24:07;Cours Berriat, Grenoble;45.188011;5.719336;0.0;ARRET;32;
04/12/23 05:24:33;Cours Jean Jaurès, Grenoble;45.188271;5.719176;25.0;HAUT LE PIED;143;
