Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
21/11/23 09:12:00;;45.152756;5.737782;;DEPOT;0;
21/11/23 09:12:00;;45.152756;5.737782;;DEPOT;0;
21/11/23 09:12:00;;45.152756;5.737782;;DEPOT;0;
21/11/23 09:12:10;;45.152756;5.737782;6.0;HAUT LE PIED;18;
21/11/23 09:12:41;;45.152809;5.737566;0.0;DEPOT;46;
21/11/23 09:25:24;Rue Le Corbusier, Eybens;45.153217;5.737693;10.0;HAUT LE PIED;16;
21/11/23 09:25:28;Rue Le Corbusier, Eybens;45.153244;5.737489;20.0;HAUT LE PIED;14;
21/11/23 09:25:31;Rue Le Corbusier, Eybens;45.153244;5.73731;13.0;HAUT LE PIED;32;
21/11/23 09:25:37;Rue Le Corbusier, Eybens;45.153267;5.736909;14.0;HAUT LE PIED;31;
21/11/23 09:25:54;Rue Le Corbusier, Eybens;45.153324;5.736527;26.0;HAUT LE PIED;173;
21/11/23 09:26:13;Rue Le Corbusier, Eybens;45.153351;5.734317;15.0;HAUT LE PIED;27;
21/11/23 09:26:22;Rond-Point Jean Monnet, Eybens;45.153507;5.734053;23.0;HAUT LE PIED;27;
21/11/23 09:26:26;Avenue d'Innsbruck, Eybens;45.153702;5.733846;29.0;HAUT LE PIED;26;
21/11/23 09:26:29;Avenue d'Innsbruck, Eybens;45.153934;5.733815;34.0;HAUT LE PIED;307;
21/11/23 09:26:58;Inconnu, Grenoble;45.156689;5.73383;42.0;HAUT LE PIED;34;
21/11/23 09:27:03;Pôle Sud - Alpexpo, Grenoble;45.15699;5.73387;17.0;HAUT LE PIED;159;
21/11/23 09:27:34;Avenue d'Innsbruck, Grenoble;45.158421;5.733757;0.0;ARRET;29;
21/11/23 09:29:33;Avenue d'Innsbruck, Grenoble;45.15868;5.733778;24.0;HAUT LE PIED;24;
21/11/23 09:29:36;Inconnu, Grenoble;45.158829;5.734004;32.0;HAUT LE PIED;25;
21/11/23 09:29:39;Avenue de l'Europe, Grenoble;45.159019;5.734175;27.0;HAUT LE PIED;28;
21/11/23 09:29:42;D 5B, Grenoble;45.159264;5.734114;30.0;HAUT LE PIED;26;
21/11/23 09:29:45;Avenue de l'Europe, Grenoble;45.159428;5.733883;29.0;HAUT LE PIED;29;
21/11/23 09:29:48;Avenue de l'Europe, Grenoble;45.159447;5.733515;36.0;HAUT LE PIED;330;
21/11/23 09:30:19;Avenue de l'Europe, Grenoble;45.159325;5.729317;18.0;HAUT LE PIED;13;
21/11/23 09:30:49;Avenue de l'Europe, Grenoble;45.159336;5.729158;0.0;ARRET;27;
