Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
18/12/23 05:07:52;Inconnu, La Tronche;45.198322;5.756552;;DEPOT;0;
18/12/23 05:07:53;Inconnu, La Tronche;45.198322;5.756552;;DEPOT;0;
18/12/23 05:07:53;Inconnu, La Tronche;45.198322;5.756552;;DEPOT;0;
18/12/23 05:08:02;Inconnu, La Tronche;45.198322;5.756552;;DEPOT;35;
18/12/23 05:08:32;Inconnu, La Tronche;45.198246;5.756116;6.0;HAUT LE PIED;5;
18/12/23 05:09:02;Inconnu, La Tronche;45.198246;5.756182;0.0;DEPOT;35;
18/12/23 05:18:11;Inconnu, La Tronche;45.198349;5.756599;20.0;HAUT LE PIED;63;
18/12/23 05:18:25;Chemin de la Tuilerie, La Tronche;45.198612;5.757315;20.0;HAUT LE PIED;23;
18/12/23 05:18:29;Chemin de la Tuilerie, La Tronche;45.198746;5.757534;21.0;HAUT LE PIED;171;
18/12/23 05:18:51;Inconnu, La Tronche;45.19928;5.759582;29.0;HAUT LE PIED;28;
18/12/23 05:18:55;Inconnu, La Tronche;45.199295;5.75994;24.0;HAUT LE PIED;18;
18/12/23 05:18:58;Inconnu, La Tronche;45.1992;5.760133;24.0;HAUT LE PIED;19;
18/12/23 05:19:01;Inconnu, La Tronche;45.199032;5.760192;21.0;HAUT LE PIED;41;
18/12/23 05:19:06;Inconnu, La Tronche;45.198689;5.760379;33.0;HAUT LE PIED;86;
18/12/23 05:19:17;;45.198009;5.760911;19.0;HAUT LE PIED;16;
18/12/23 05:19:20;Chemin de la Tuilerie, La Tronche;45.198059;5.761101;21.0;HAUT LE PIED;17;
18/12/23 05:19:23;Chemin de la Tuilerie, La Tronche;45.198208;5.761124;20.0;HAUT LE PIED;24;
18/12/23 05:19:26;Chemin de la Tuilerie, La Tronche;45.198406;5.761008;33.0;HAUT LE PIED;201;
18/12/23 05:19:45;Chemin de la Tuilerie, La Tronche;45.199966;5.759718;35.0;HAUT LE PIED;90;
18/12/23 05:20:11;Inconnu, Meylan;45.200623;5.759055;19.0;HAUT LE PIED;21;
18/12/23 05:20:16;Avenue de Verdun, Meylan;45.200802;5.758956;8.0;HAUT LE PIED;19;
18/12/23 05:20:46;Avenue de Verdun, Meylan;45.200958;5.758854;0.0;ARRET;31;
18/12/23 05:21:05;Avenue de Verdun, La Tronche;45.200844;5.75849;31.0;HAUT LE PIED;137;
18/12/23 05:21:16;D 1090, La Tronche;45.199986;5.757244;55.0;HAUT LE PIED;541;
18/12/23 05:21:47;Avenue de Verdun, La Tronche;45.196564;5.752339;62.0;HAUT LE PIED;505;
18/12/23 05:22:18;Avenue de Verdun, La Tronche;45.193356;5.747778;52.0;HAUT LE PIED;513;
18/12/23 05:22:49;Pont de la Porte de Savoie, La Tronche;45.190186;5.743026;60.0;HAUT LE PIED;115;
18/12/23 05:22:59;Rue du 19 Mars 1962, Grenoble;45.189514;5.741915;19.0;HAUT LE PIED;14;
18/12/23 05:23:02;Rue du 19 Mars 1962, Grenoble;45.189568;5.741755;20.0;HAUT LE PIED;66;
18/12/23 05:23:10;Rue du 19 Mars 1962, Grenoble;45.19009;5.741351;31.0;HAUT LE PIED;25;
18/12/23 05:23:14;Rue du 19 Mars 1962, Grenoble;45.190311;5.741295;19.0;HAUT LE PIED;74;
18/12/23 05:23:23;Rue du 19 Mars 1962, Grenoble;45.190971;5.741187;39.0;HAUT LE PIED;31;
18/12/23 05:23:26;Rue du 19 Mars 1962, Grenoble;45.191196;5.740956;36.0;HAUT LE PIED;25;
18/12/23 05:23:29;Rue du 19 Mars 1962, Grenoble;45.191307;5.740685;25.0;HAUT LE PIED;23;
18/12/23 05:23:33;Rue du 19 Mars 1962, Grenoble;45.191368;5.740408;22.0;HAUT LE PIED;39;
18/12/23 05:23:38;Rue du 19 Mars 1962, Grenoble;45.191345;5.739916;32.0;HAUT LE PIED;79;
18/12/23 05:23:47;Rue du 19 Mars 1962, Grenoble;45.1912;5.738929;27.0;HAUT LE PIED;40;
18/12/23 05:23:51;Boulevard Maréchal Leclerc, Grenoble;45.191349;5.738463;40.0;HAUT LE PIED;37;
18/12/23 05:23:54;Boulevard Maréchal Leclerc, Grenoble;45.191593;5.738134;48.0;HAUT LE PIED;269;
18/12/23 05:24:25;Boulevard Maréchal Leclerc, Grenoble;45.193573;5.736165;0.0;ARRET;29;
18/12/23 05:24:47;Boulevard Maréchal Leclerc, Grenoble;45.193779;5.73593;18.0;HAUT LE PIED;13;
