Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
21/11/23 04:40:49;Inconnu, La Tronche;45.19841;5.756314;;DEPOT;0;
21/11/23 04:40:49;Inconnu, La Tronche;45.19841;5.756314;;DEPOT;0;
21/11/23 04:40:49;Inconnu, La Tronche;45.19841;5.756314;;DEPOT;0;
21/11/23 04:41:00;Inconnu, La Tronche;45.19841;5.756314;6.0;HAUT LE PIED;9;
21/11/23 04:41:30;Inconnu, La Tronche;45.198406;5.756197;0.0;DEPOT;73;
21/11/23 05:07:15;Chemin de la Tuilerie, La Tronche;45.198559;5.757105;9.0;HAUT LE PIED;17;
21/11/23 05:07:19;Chemin de la Tuilerie, La Tronche;45.198639;5.757293;24.0;HAUT LE PIED;21;
21/11/23 05:07:22;Chemin de la Tuilerie, La Tronche;45.198746;5.757508;26.0;HAUT LE PIED;176;
21/11/23 05:07:40;Chemin de la Tuilerie, La Tronche;45.199379;5.759559;32.0;HAUT LE PIED;30;
21/11/23 05:07:44;Chemin de la Tuilerie, La Tronche;45.199585;5.759808;22.0;HAUT LE PIED;20;
21/11/23 05:07:48;Chemin de la Tuilerie, La Tronche;45.199753;5.759894;17.0;HAUT LE PIED;14;
21/11/23 05:07:51;Chemin de la Tuilerie, La Tronche;45.199867;5.75983;17.0;HAUT LE PIED;83;
21/11/23 05:08:04;Chemin de la Tuilerie, Meylan;45.200481;5.759218;17.0;HAUT LE PIED;14;
21/11/23 05:08:07;A 41s, Meylan;45.200584;5.759331;22.0;HAUT LE PIED;198;
21/11/23 05:08:23;A 41s, Meylan;45.201107;5.761742;59.0;HAUT LE PIED;613;
21/11/23 05:08:53;A 41s, Meylan;45.20237;5.76935;85.0;HAUT LE PIED;735;
21/11/23 05:09:24;Inconnu, Meylan;45.203537;5.778572;76.0;HAUT LE PIED;173;
21/11/23 05:09:34;Inconnu, Meylan;45.203632;5.780775;53.0;HAUT LE PIED;43;
21/11/23 05:09:37;Inconnu, Meylan;45.203465;5.781274;51.0;HAUT LE PIED;42;
21/11/23 05:09:40;Inconnu, Meylan;45.203186;5.781636;50.0;HAUT LE PIED;42;
21/11/23 05:09:43;Inconnu, Meylan;45.202839;5.781834;49.0;HAUT LE PIED;42;
