Date;Rue;Latitude;Longitude;Vitesse;Etat;Distance;Infos
15/11/23 09:24:25;Rue Denis Papin, Eybens;45.150635;5.738852;;ARRET;0;
15/11/23 09:24:25;Rue Denis Papin, Eybens;45.150635;5.738852;;COLLECTE;0;
15/11/23 09:24:25;Rue Denis Papin, Eybens;45.150635;5.738852;;COLLECTE;0;
15/11/23 09:24:26;Rue Denis Papin, Eybens;45.150635;5.738852;;COLLECTE;0;
15/11/23 09:24:26;Rue Denis Papin, Eybens;45.150635;5.738852;;COLLECTE;0;
15/11/23 09:24:26;Rue Denis Papin, Eybens;45.150635;5.738852;;MARCHE ARRIERE;0;
15/11/23 09:24:35;Rue Denis Papin, Eybens;45.150635;5.738852;6.0;MARCHE ARRIERE;29;
15/11/23 09:25:06;Rue Denis Papin, Eybens;45.150642;5.73922;0.0;MARCHE ARRIERE;7;
15/11/23 09:25:14;Rue Denis Papin, Eybens;45.150627;5.739303;;MARCHE ARRIERE;0;
15/11/23 09:25:14;Rue Denis Papin, Eybens;45.150627;5.739303;;ARRET;19;
15/11/23 09:25:23;Rue Denis Papin, Eybens;45.150539;5.739515;11.0;HAUT LE PIED;40;
15/11/23 09:25:31;Rue Évariste Galois, Eybens;45.150383;5.739969;20.0;HAUT LE PIED;17;
15/11/23 09:25:34;Rue Évariste Galois, Eybens;45.150234;5.740021;19.0;HAUT LE PIED;97;
15/11/23 09:25:47;Rue Évariste Galois, Eybens;45.149368;5.740205;16.0;HAUT LE PIED;15;
15/11/23 09:25:50;Inconnu, Eybens;45.149254;5.740096;22.0;HAUT LE PIED;19;
15/11/23 09:25:53;Rue Pierre Mendès France, Eybens;45.149147;5.739913;22.0;HAUT LE PIED;95;
15/11/23 09:26:03;Rue Pierre Mendès France, Eybens;45.148964;5.738736;38.0;HAUT LE PIED;156;
15/11/23 09:26:16;Rue Pierre Mendès France, Eybens;45.148602;5.736815;46.0;HAUT LE PIED;74;
15/11/23 09:26:24;Rue Pierre Mendès France, Eybens;45.148338;5.735956;12.0;HAUT LE PIED;27;
15/11/23 09:26:42;D 269A, Eybens;45.148399;5.735617;16.0;HAUT LE PIED;19;
15/11/23 09:26:45;D 269A, Eybens;45.148544;5.735478;31.0;HAUT LE PIED;182;
15/11/23 09:27:02;D 269A, Eybens;45.150005;5.734448;36.0;HAUT LE PIED;56;
15/11/23 09:27:11;D 269A, Eybens;45.150494;5.734281;22.0;HAUT LE PIED;19;
15/11/23 09:27:14;Inconnu, Eybens;45.15065;5.734377;27.0;HAUT LE PIED;27;
15/11/23 09:27:18;Inconnu, Eybens;45.150791;5.734654;29.0;HAUT LE PIED;324;
15/11/23 09:27:48;Rocade Sud, Eybens;45.151825;5.738508;39.0;HAUT LE PIED;326;
15/11/23 09:28:11;Rocade Sud, Eybens;45.153168;5.742203;63.0;HAUT LE PIED;263;
15/11/23 09:28:28;Rocade Sud, Eybens;45.154568;5.744896;34.0;HAUT LE PIED;101;
15/11/23 09:28:38;N 87, Eybens;45.155121;5.745911;37.0;HAUT LE PIED;42;
15/11/23 09:28:42;Inconnu, Eybens;45.155212;5.746426;41.0;HAUT LE PIED;69;
